date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2020-06-12,13.52,13.72,13.21,13.22,13.22,11549300.0,0.0,1.0
2020-06-10,14.5,14.52,13.81,13.96,13.96,27039100.0,0.0,1.0
2020-06-09,14.58,14.58,14.11,14.32,14.32,23940800.0,0.0,1.0
2020-06-08,14.34,14.83,14.23,14.6,14.6,47678900.0,0.0,1.0
2020-06-05,13.81,14.33,13.62,14.05,14.05,50766300.0,0.0,1.0
2020-06-04,13.3,13.48,13.18,13.38,13.38,20130800.0,0.0,1.0
2020-06-03,13.25,13.63,13.23,13.25,13.25,29826800.0,0.0,1.0
2020-06-02,12.76,13.3,12.64,12.97,12.97,25304000.0,0.0,1.0
2020-06-01,12.32,12.8,12.26,12.6,12.6,20420100.0,0.0,1.0
2020-05-29,12.81,12.83,12.21,12.48,12.48,46234500.0,0.0,1.0
2020-05-28,13.43,13.52,12.73,12.82,12.82,41520600.0,0.0,1.0
2020-05-27,12.68,13.46,12.64,13.38,13.38,36754400.0,0.0,1.0
2020-05-26,12.35,12.7,12.3,12.53,12.53,30153500.0,0.0,1.0
2020-05-25,12.01,12.39,12.01,12.27,12.27,12781100.0,0.0,1.0
2020-05-22,11.9,11.99,11.67,11.74,11.74,11924400.0,0.0,1.0
2020-05-21,12.14,12.35,11.74,11.88,11.88,38005800.0,0.0,1.0
2020-05-20,11.97,12.25,11.86,12.14,12.14,14121900.0,0.0,1.0
2020-05-19,12.19,12.35,11.94,11.94,11.94,17951200.0,0.0,1.0
2020-05-18,11.99,12.41,11.86,12.1,12.1,30350600.0,0.0,1.0
2020-05-15,11.69,11.88,11.52,11.64,11.64,30012000.0,0.0,1.0
2020-05-14,11.3,11.82,11.28,11.74,11.74,36918000.0,0.0,1.0
2020-05-13,11.84,11.89,11.19,11.26,11.26,46230300.0,0.0,1.0
2020-05-12,11.9,12.3,11.71,11.72,11.72,33395400.0,0.0,1.0
2020-05-11,12.04,12.35,11.92,11.94,11.94,20136100.0,0.0,1.0
2020-05-08,11.82,12.16,11.77,12.04,12.04,23218000.0,0.0,1.0
2020-05-07,11.65,12.3,11.34,11.54,11.54,56937900.0,0.0,1.0
2020-05-06,11.97,12.06,11.6,11.83,11.83,67031600.0,0.0,1.0
2020-05-05,11.9,12.15,11.84,11.94,11.94,25595500.0,0.0,1.0
2020-05-04,11.14,11.84,11.1,11.76,11.76,30157800.0,0.0,1.0
2020-04-30,11.53,11.68,11.25,11.34,11.34,35747500.0,0.0,1.0
2020-04-29,11.82,11.91,11.65,11.67,11.67,27558700.0,0.0,1.0
2020-04-28,11.94,12.18,11.58,11.7,11.7,27108700.0,0.0,1.0
2020-04-27,11.35,11.84,11.26,11.61,11.61,26166300.0,0.0,1.0
2020-04-24,11.45,11.55,10.68,11.11,11.11,50923200.0,0.0,1.0
2020-04-23,11.73,11.84,11.44,11.55,11.55,23608700.0,0.0,1.0
2020-04-22,11.65,11.79,11.51,11.62,11.62,22788300.0,0.0,1.0
2020-04-20,11.4,11.85,11.29,11.61,11.61,22065800.0,0.0,1.0
2020-04-17,11.7,11.8,11.49,11.6,11.6,16763000.0,0.0,1.0
2020-04-16,11.96,12.02,11.4,11.45,11.45,26018500.0,0.0,1.0
2020-04-15,11.92,12.06,11.72,11.91,11.91,35812700.0,0.0,1.0
2020-04-14,12.29,12.59,12.09,12.09,12.09,21281900.0,0.0,1.0
2020-04-13,12.11,12.24,11.9,12.1,12.1,17076200.0,0.0,1.0
2020-04-09,12.51,12.72,12.1,12.1,12.1,23748200.0,0.0,1.0
2020-04-08,12.5,12.68,12.02,12.31,12.31,22934300.0,0.0,1.0
2020-04-07,12.65,12.97,12.3,12.41,12.41,37535900.0,0.0,1.0
2020-04-06,12.0,12.57,11.68,11.86,11.86,19126100.0,0.0,1.0
2020-04-03,11.94,11.94,11.16,11.39,11.39,22886300.0,0.0,1.0
2020-04-02,11.68,12.24,11.47,11.99,11.99,18013700.0,0.0,1.0
2020-04-01,11.6,11.92,11.44,11.69,11.69,25192600.0,0.0,1.0
2020-03-31,12.4,12.4,11.85,11.92,11.92,27574800.0,0.0,1.0
