date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2020-06-12,49.28,50.99,48.8,48.87,48.87,6646500.0,0.0,1.0
2020-06-10,51.6,51.7,50.34,50.74,50.74,12835600.0,0.0,1.0
2020-06-09,51.05,51.67,50.8,51.07,51.07,11314800.0,0.0,1.0
2020-06-08,49.35,51.82,49.35,51.72,51.72,10005500.0,0.0,1.0
2020-06-05,50.8,51.97,48.81,49.07,49.07,15744300.0,0.0,1.0
2020-06-04,48.31,49.84,47.91,49.58,49.58,13161100.0,0.0,1.0
2020-06-03,47.08,48.88,47.08,48.82,48.82,17725200.0,0.0,1.0
2020-06-02,46.0,46.68,45.57,46.46,46.46,13800100.0,0.0,1.0
2020-06-01,44.83,46.49,44.83,45.53,45.53,7503900.0,0.0,1.0
2020-05-29,46.0,46.4,44.62,45.55,45.55,29888900.0,0.0,1.0
2020-05-28,46.01,47.22,45.75,45.95,45.95,10682300.0,0.0,1.0
2020-05-27,47.39,47.5,45.97,46.59,46.59,11077000.0,0.0,1.0
2020-05-26,46.5,47.98,45.9,46.5,46.5,14016500.0,0.0,1.0
2020-05-25,45.15,46.84,45.01,46.5,46.5,9877000.0,0.0,1.0
2020-05-22,43.34,44.07,42.72,43.88,43.88,9338600.0,0.0,1.0
2020-05-21,41.08,43.62,40.81,43.62,43.62,16047600.0,0.0,1.0
2020-05-20,40.97,41.77,40.08,40.64,40.64,10597700.0,0.0,1.0
2020-05-19,41.3,42.56,40.72,40.72,40.72,15107500.0,0.0,1.0
2020-05-18,40.76,42.49,40.44,41.99,41.99,19394700.0,0.0,1.0
2020-05-15,39.0,40.47,38.47,39.54,39.54,26029500.0,0.0,1.0
2020-05-14,35.64,37.82,35.37,37.82,37.82,16697400.0,0.0,1.0
2020-05-13,36.45,37.56,36.06,36.16,36.16,15972600.0,0.0,1.0
2020-05-12,36.98,37.37,35.58,35.73,35.73,15003800.0,0.0,1.0
2020-05-11,37.6,37.65,36.44,36.8,36.8,13148200.0,0.0,1.0
2020-05-08,37.83,38.03,37.09,37.76,37.76,11463700.0,0.0,1.0
2020-05-07,38.82,39.0,36.85,36.85,36.85,15718300.0,0.0,1.0
2020-05-06,38.69,39.19,37.55,38.44,38.44,8165100.0,0.0,1.0
2020-05-05,38.55,39.96,38.54,38.74,38.74,6951000.0,0.0,1.0
2020-05-04,37.87,38.8,37.7,38.38,38.38,9890600.0,0.0,1.0
2020-04-30,39.29,39.65,38.03,38.42,38.42,14480100.0,0.0,1.0
2020-04-29,40.66,40.69,38.84,39.9,39.9,16166700.0,0.0,1.0
2020-04-28,40.76,42.41,39.7,39.8,39.8,17481300.0,0.0,1.0
2020-04-27,38.0,39.58,37.86,39.23,39.23,19189500.0,0.0,1.0
2020-04-24,40.42,40.59,35.36,37.0,37.0,34044700.0,0.0,1.0
2020-04-23,42.45,43.24,40.61,41.25,41.25,14004900.0,0.0,1.0
2020-04-22,40.93,43.26,40.8,42.01,42.01,16155000.0,0.0,1.0
2020-04-20,38.18,41.19,38.18,40.59,40.59,13365300.0,0.0,1.0
2020-04-17,40.0,40.36,39.25,39.53,39.53,10024400.0,0.0,1.0
2020-04-16,40.09,41.49,39.13,39.31,39.31,16673600.0,0.0,1.0
2020-04-15,38.11,40.3,38.11,39.92,39.92,15353600.0,0.0,1.0
2020-04-14,39.99,41.23,39.44,39.56,39.56,11818100.0,0.0,1.0
2020-04-13,38.54,39.77,37.74,39.34,39.34,7839500.0,0.0,1.0
2020-04-09,39.5,39.86,38.05,39.01,39.01,15281300.0,0.0,1.0
2020-04-08,38.3,40.04,37.88,39.31,39.31,8148300.0,0.0,1.0
2020-04-07,40.42,41.2,38.09,38.5,38.5,24165600.0,0.0,1.0
2020-04-06,38.67,39.81,36.66,37.21,37.21,13549100.0,0.0,1.0
2020-04-03,36.41,36.58,35.13,35.85,35.85,19094900.0,0.0,1.0
2020-04-02,34.63,36.97,34.4,36.8,36.8,15059100.0,0.0,1.0
2020-04-01,34.51,34.92,33.16,34.65,34.65,13314000.0,0.0,1.0
2020-03-31,35.89,37.16,35.03,35.9,35.9,17903100.0,0.0,1.0
2020-03-30,36.75,38.06,36.3,37.0,37.0,16573600.0,0.0,1.0
2020-03-27,36.66,37.97,36.2,36.91,36.91,18605800.0,0.0,1.0
2020-03-26,38.9,39.52,36.36,38.64,38.64,24780200.0,0.3181,1.0
2020-03-25,35.8,39.8,35.8,38.79,38.4719,21315800.0,0.0,1.0
2020-03-24,33.43,36.94,33.35,36.31,36.0123,26551000.0,0.0,1.0
2020-03-23,33.07,33.17,29.7,30.45,30.2003,16626500.0,0.0,1.0
2020-03-20,33.95,35.9,31.23,32.44,32.174,33292800.0,0.0,1.0
2020-03-19,31.5,32.9,29.26,32.51,32.2434,52332700.0,0.0,1.0
2020-03-18,32.5,33.73,30.11,32.8,32.531,40556400.0,0.0,1.0
2020-03-17,34.81,36.62,33.62,35.54,35.2486,29882500.0,0.0,1.0
2020-03-16,34.04,37.95,33.65,34.29,34.0088,26377100.0,0.0,1.0
2020-03-13,42.88,43.4,37.17,40.88,40.5448,44441500.0,0.0,1.0
2020-03-12,36.0,37.0,32.0,36.89,36.5875,33949500.0,0.0,1.0
2020-03-11,43.51,44.44,39.01,42.55,42.2011,27289800.0,0.0,1.0
2020-03-10,43.4,46.16,41.25,46.0,45.6228,26706500.0,0.0,1.0
2020-03-09,43.08,44.6,40.68,40.9,40.5646,31490200.0,0.0,1.0
2020-03-06,45.5,46.9,43.66,46.48,46.0989,22029900.0,0.0,1.0
2020-03-05,49.2,49.4,45.95,47.11,46.7237,11400200.0,0.0,1.0
2020-03-04,50.39,50.39,48.57,49.79,49.3817,17215000.0,0.0,1.0
2020-03-03,49.02,50.6,48.36,49.61,49.2032,17100200.0,0.0,1.0
2020-03-02,47.7,50.04,47.24,50.0,49.59,15707400.0,0.0,1.0
2020-02-28,45.27,48.0,44.78,48.0,47.6064,30073600.0,0.0,1.0
2020-02-27,46.8,48.59,46.04,46.04,45.6625,17864000.0,0.0,1.0
2020-02-21,51.33,52.05,51.22,52.05,51.6232,8019100.0,0.0,1.0
2020-02-20,52.8,53.55,51.72,52.31,51.8811,10415200.0,0.0,1.0
2020-02-19,50.7,53.21,50.6,53.13,52.6944,11646800.0,0.0,1.0
2020-02-18,51.0,51.39,50.6,51.13,50.7108,8728800.0,0.0,1.0
2020-02-17,50.37,52.35,50.0,51.69,51.2662,12236000.0,0.0,1.0
2020-02-14,49.55,50.27,49.3,50.2,49.7884,9993600.0,0.0,1.0
2020-02-13,48.71,49.97,48.71,49.58,49.1735,9813100.0,0.0,1.0
2020-02-12,48.92,50.67,48.5,49.88,49.471,11522200.0,0.0,1.0
2020-02-11,49.05,49.45,48.34,48.9,48.499,6080900.0,0.0,1.0
2020-02-10,48.28,48.95,47.63,48.63,48.2313,9704700.0,0.0,1.0
2020-02-07,48.26,48.8,47.44,48.3,47.904,8606000.0,0.0,1.0
2020-02-06,49.35,49.63,48.55,48.69,48.2908,6950900.0,0.0,1.0
2020-02-05,50.3,50.49,48.54,49.35,48.9453,15791900.0,0.0,1.0
2020-02-04,50.6,50.86,49.07,49.96,49.5503,11679800.0,0.0,1.0
2020-02-03,48.5,50.36,47.85,50.09,49.6793,10622400.0,0.0,1.0
2020-01-31,48.0,48.25,47.5,48.2,47.8048,13035900.0,0.0,1.0
2020-01-30,47.91,48.9,47.19,48.8,48.3999,11477600.0,0.0,1.0
2020-01-29,48.7,49.47,48.45,48.6,48.2015,9504800.0,0.0,1.0
2020-01-28,47.85,49.31,47.77,49.08,48.6776,7493400.0,0.0,1.0
2020-01-27,48.06,48.7,47.4,47.65,47.2593,15291200.0,0.0,1.0
2020-01-24,48.65,48.99,48.26,48.99,48.5883,10911800.0,0.0,1.0
2020-01-23,46.96,49.35,46.44,48.7,48.3007,16159800.0,0.0,1.0
2020-01-22,46.7926,47.2078,46.7614,46.96,46.96,916405.0,0.0,1.0
2020-01-21,44.85,45.65,44.57,44.7,44.3335,8746100.0,0.0,1.0
2020-01-20,45.0,45.5,44.76,45.5,45.1269,5926700.0,0.0,1.0
2020-01-17,44.06,45.34,44.01,45.34,44.9682,11994000.0,0.0,1.0
2020-01-16,43.95,44.17,43.31,43.95,43.5896,13588600.0,0.0,1.0
2020-01-15,44.4,44.71,42.95,43.45,43.0937,20797400.0,0.0,1.0
2020-01-14,44.37,44.87,44.24,44.65,44.2839,10632600.0,0.0,1.0
2020-01-13,44.84,44.84,44.14,44.35,43.9863,10782700.0,0.0,1.0
2020-01-10,44.71,45.2,43.66,44.3,43.9368,15174500.0,0.0,1.0
2020-01-09,44.7,46.11,44.42,44.65,44.2839,18838600.0,0.0,1.0
2020-01-08,44.75,45.36,44.3,44.67,44.3037,13430700.0,0.0,1.0
2020-01-07,43.59,44.85,43.49,44.79,44.4227,14928700.0,0.0,1.0
2020-01-06,43.67,44.88,43.08,43.39,43.0342,20020300.0,0.0,1.0
2020-01-03,44.45,44.81,43.72,43.81,43.4508,14244800.0,0.0,1.0
2020-01-02,44.577,44.758,44.4406,44.45,44.45,523567.0,0.3538,1.0
2019-12-30,44.22,44.33,42.85,42.97,42.2667,18218800.0,0.0,1.0
2019-12-27,47.0,47.0,44.0,44.21,43.4864,23783000.0,0.0,1.0
2019-12-26,46.99,47.2,46.25,46.65,45.8865,11895100.0,0.0,1.0
