date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2020-06-12,33.0,33.88,32.9,32.92,32.92,11932400.0,0.0,1.0
2020-06-10,36.36,36.41,34.21,34.21,34.21,27346200.0,0.0,1.0
2020-06-09,35.54,37.08,35.12,35.79,35.79,28728300.0,0.0,1.0
2020-06-08,35.82,36.81,35.5,36.39,36.39,22264000.0,0.0,1.0
2020-06-05,37.41,38.17,35.01,35.2,35.2,35546100.0,0.0,1.0
2020-06-04,34.43,35.57,33.52,34.94,34.94,23947100.0,0.0,1.0
2020-06-03,34.47,35.0,33.84,34.75,34.75,29497200.0,0.0,1.0
2020-06-02,32.6,32.9,32.28,32.82,32.82,15772200.0,0.0,1.0
2020-06-01,30.77,32.15,30.56,31.8,31.8,22043600.0,0.0,1.0
2020-05-29,30.5,30.85,29.75,30.84,30.84,26926700.0,0.0,1.0
2020-05-28,30.61,31.46,30.21,30.79,30.79,20732700.0,0.0,1.0
2020-05-27,31.63,31.63,30.5,30.9,30.9,19310400.0,0.0,1.0
2020-05-26,32.5,32.93,30.23,30.79,30.79,30820300.0,0.0,1.0
2020-05-25,30.0,31.5,29.8,31.5,31.5,31886800.0,0.0,1.0
2020-05-22,28.86,29.15,27.91,28.51,28.51,26947900.0,0.0,1.0
2020-05-21,27.64,29.29,27.48,29.26,29.26,30519600.0,0.0,1.0
2020-05-20,27.0,27.64,26.77,27.33,27.33,22799800.0,0.0,1.0
2020-05-19,27.26,27.78,26.66,26.66,26.66,16726100.0,0.0,1.0
2020-05-18,27.13,27.78,26.65,27.4,27.4,18756800.0,0.0,1.0
2020-05-15,26.5,27.08,25.84,26.15,26.15,23436500.0,0.0,1.0
2020-05-14,25.0,26.8,24.75,26.65,26.65,36194500.0,0.0,1.0
2020-05-13,26.65,26.85,25.23,25.55,25.55,26406100.0,0.0,1.0
2020-05-12,27.44,27.55,26.26,26.31,26.31,24140900.0,0.0,1.0
2020-05-11,26.9,28.13,26.8,27.27,27.27,17332500.0,0.0,1.0
2020-05-08,27.1,27.71,26.8,27.1,27.1,17576000.0,0.0,1.0
2020-05-07,27.44,27.45,26.07,26.26,26.26,26405900.0,0.0,1.0
2020-05-06,27.96,28.13,26.75,26.99,26.99,20312700.0,0.0,1.0
2020-05-05,28.02,28.55,27.56,27.8,27.8,15799600.0,0.0,1.0
2020-05-04,27.37,27.76,26.99,27.76,27.76,16586000.0,0.0,1.0
2020-04-30,28.31,28.78,27.85,28.5,28.5,23935300.0,0.0,1.0
2020-04-29,30.04,30.21,28.73,29.56,29.56,24628700.0,0.0,1.0
2020-04-28,27.22,29.25,27.11,29.14,29.14,43232700.0,0.0,1.0
2020-04-27,25.5,26.2,25.11,25.69,25.69,32132800.0,0.0,1.0
2020-04-24,27.63,27.7,24.0,24.3,24.3,73978000.0,0.0,1.0
