date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2020-06-12,19.55,20.04,19.4,19.56,19.56,3812100.0,0.0,1.0
2020-06-10,21.55,21.6,20.36,20.36,20.36,8277400.0,0.0,1.0
2020-06-09,20.95,21.49,20.75,21.21,21.21,6159100.0,0.0,1.0
2020-06-08,20.84,21.5,20.79,21.43,21.43,6730300.0,0.0,1.0
2020-06-05,21.39,21.5,20.45,20.45,20.45,9102800.0,0.0,1.0
2020-06-04,19.84,20.39,19.46,19.99,19.99,8237800.0,0.0,1.0
2020-06-03,19.85,20.28,19.73,19.91,19.91,8635200.0,0.0,1.0
2020-06-02,18.71,19.06,18.56,19.05,19.05,6355100.0,0.0172,1.0
2020-06-01,17.69,18.56,17.54,18.37,18.3528,6628700.0,0.0,1.0
2020-05-29,17.52,17.8,17.08,17.8,17.7833,16800100.0,0.0,1.0
2020-05-28,17.8,17.95,17.4,17.67,17.6534,6345100.0,0.0,1.0
2020-05-27,17.95,18.04,17.51,17.83,17.8133,6168800.0,0.0,1.0
2020-05-26,18.84,18.9,17.54,17.55,17.5335,7481200.0,0.0,1.0
2020-05-25,17.7,18.41,17.67,18.38,18.3627,5428600.0,0.0,1.0
2020-05-22,17.26,17.43,16.91,17.02,17.004,5450000.0,0.0,1.0
2020-05-21,16.31,17.35,16.31,17.3,17.2838,5058800.0,0.0,1.0
2020-05-20,16.23,16.45,16.03,16.3,16.2847,4441700.0,0.0,1.0
2020-05-19,16.45,16.53,16.0,16.0,15.985,3768500.0,0.0,1.0
2020-05-18,16.44,16.58,16.05,16.56,16.5445,4853600.0,0.0,1.0
2020-05-15,16.23,16.59,15.75,15.81,15.7952,5108300.0,0.0,1.0
2020-05-14,15.52,16.45,15.02,16.38,16.3646,6524900.0,0.0,1.0
2020-05-13,16.0,16.29,15.42,15.7,15.6853,6325800.0,0.0,1.0
2020-05-12,16.5,16.63,15.82,15.82,15.8051,5357800.0,0.0,1.0
2020-05-11,16.51,17.15,16.32,16.34,16.3247,5068600.0,0.0,1.0
2020-05-08,16.4,16.82,16.24,16.63,16.6144,4559000.0,0.0,1.0
2020-05-07,16.52,16.67,15.79,15.92,15.9051,10904700.0,0.0,1.0
2020-05-06,16.82,17.02,16.23,16.46,16.4445,5046400.0,0.0,1.0
2020-05-05,16.97,17.56,16.77,16.85,16.8342,5449500.0,0.0172,1.0
2020-05-04,16.96,17.05,16.48,16.89,16.8569,5964400.0,0.0,1.0
2020-04-30,17.46,18.02,17.36,17.56,17.5256,7317800.0,0.0,1.0
2020-04-29,18.47,18.77,18.01,18.77,18.7332,4727400.0,0.0,1.0
2020-04-28,17.35,18.17,17.3,18.07,18.0346,6886800.0,0.0,1.0
2020-04-27,16.73,17.33,16.33,16.45,16.4178,6515700.0,0.0,1.0
2020-04-24,17.5,17.75,15.55,15.93,15.8988,14825200.0,0.0,1.0
2020-04-23,18.51,18.65,17.68,17.89,17.8549,6529900.0,0.0,1.0
2020-04-22,18.39,18.84,18.11,18.42,18.3839,5023200.0,0.0,1.0
