date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2020-06-12,61.77,63.29,60.7,61.34,61.34,1049100.0,0.0,1.0
2020-06-10,66.5,67.0,62.5,63.36,63.36,5319200.0,0.0,1.0
2020-06-09,64.49,68.5,63.28,65.58,65.58,4185100.0,0.0,1.0
2020-06-08,60.36,67.27,60.36,66.02,66.02,6100400.0,0.0,1.0
2020-06-05,62.25,63.64,59.58,60.24,60.24,6930300.0,0.0,1.0
2020-06-04,58.74,61.5,57.24,60.25,60.25,4213700.0,0.0,1.0
2020-06-03,57.39,61.87,56.8,59.5,59.5,8998000.0,0.0,1.0
2020-06-02,50.29,55.31,50.2,55.31,55.31,4993400.0,0.0,1.0
2020-06-01,48.84,50.44,48.19,50.14,50.14,2435800.0,0.0,1.0
2020-05-29,49.75,49.75,47.25,48.84,48.84,4683200.0,0.0,1.0
2020-05-28,49.99,50.5,49.13,49.59,49.59,2947100.0,0.0,1.0
2020-05-27,50.02,50.91,49.62,50.89,50.89,3973000.0,0.0,1.0
2020-05-26,51.01,52.05,49.21,49.21,49.21,3919000.0,0.0,1.0
2020-05-25,48.5,50.59,47.07,49.94,49.94,2790100.0,0.0,1.0
2020-05-22,46.15,46.9,45.21,46.07,46.07,3593300.0,0.0,1.0
2020-05-21,43.21,47.04,42.28,46.99,46.99,6155300.0,0.0,1.0
2020-05-20,41.8,43.27,41.16,42.97,42.97,3971500.0,0.0,1.0
2020-05-19,40.5,42.23,39.93,41.5,41.5,5119500.0,0.0,1.0
2020-05-18,38.5,40.94,38.0,40.73,40.73,3237600.0,0.0,1.0
2020-05-15,37.8,38.81,36.34,37.39,37.39,3068300.0,0.0,1.0
2020-05-14,37.0,38.12,36.1,38.12,38.12,3380200.0,0.0,1.0
2020-05-13,37.2,37.59,36.03,37.55,37.55,2257000.0,0.0,1.0
2020-05-12,38.6,39.52,36.24,36.49,36.49,3914300.0,0.0,1.0
2020-05-11,37.1,38.83,36.55,37.08,37.08,2487600.0,0.0,1.0
2020-05-08,37.51,38.41,36.52,37.42,37.42,4515400.0,0.0,1.0
2020-05-07,40.16,40.17,37.21,37.31,37.31,4947600.0,0.0,1.0
