date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2020-06-12,21.99,22.0,21.2,21.24,21.24,5958700.0,0.0,1.0
2020-06-10,23.15,23.3,22.51,22.52,22.52,8452800.0,0.0,1.0
2020-06-09,23.27,23.7,22.65,23.07,23.07,10156300.0,0.0,1.0
2020-06-08,22.9,23.31,22.65,23.25,23.25,8831200.0,0.0,1.0
2020-06-05,23.65,23.77,22.58,22.7,22.7,11864500.0,0.0,1.0
2020-06-04,22.76,23.57,22.57,23.45,23.45,8066500.0,0.0,1.0
2020-06-03,23.8,24.41,22.41,22.65,22.65,14422400.0,0.0,1.0
2020-06-02,23.96,23.98,23.22,23.35,23.35,9001400.0,0.0,1.0
2020-06-01,23.0,24.26,22.75,23.67,23.67,9612000.0,0.0,1.0
2020-05-29,23.2,23.49,22.45,23.13,23.13,11515100.0,0.0,1.0
2020-05-28,23.44,23.84,22.84,23.21,23.21,7784400.0,0.0,1.0
2020-05-27,22.89,23.39,22.74,23.25,23.25,6523600.0,0.0,1.0
2020-05-26,22.0,23.63,21.99,22.5,22.5,13863300.0,0.0,1.0
2020-05-25,22.2,22.39,21.61,21.75,21.75,6348000.0,0.0,1.0
2020-05-22,21.75,22.2,21.68,21.76,21.76,12735500.0,0.0,1.0
2020-05-21,22.68,22.74,21.52,21.8,21.8,11012300.0,0.0,1.0
2020-05-20,22.5,22.67,21.91,22.47,22.47,9274400.0,0.0,1.0
2020-05-19,21.51,22.78,21.42,22.0,22.0,11409900.0,0.0,1.0
2020-05-18,23.3,23.5,21.74,21.74,21.74,13468500.0,0.0,1.0
2020-05-15,22.99,23.27,21.95,22.66,22.66,14067100.0,0.0,1.0
2020-05-14,22.8,23.38,21.82,23.06,23.06,21940500.0,0.0,1.0
2020-05-13,20.52,22.85,20.4,22.85,22.85,26261600.0,0.0,1.0
2020-05-12,21.08,21.46,20.3,20.37,20.37,15767000.0,0.0,1.0
2020-05-11,19.75,21.53,19.62,20.85,20.85,29507600.0,0.0,1.0
2020-05-08,18.99,19.02,18.07,18.74,18.74,7741900.0,0.0,1.0
2020-05-07,18.57,19.29,18.32,18.41,18.41,11378600.0,0.0,1.0
2020-05-06,18.44,18.7,18.0,18.31,18.31,9124300.0,0.0,1.0
2020-05-05,18.7,19.28,18.29,18.34,18.34,8736000.0,0.0,1.0
2020-05-04,18.61,19.09,18.15,18.4,18.4,8738900.0,0.0,1.0
2020-04-30,20.09,20.09,19.22,19.39,19.39,11599600.0,0.0,1.0
2020-04-29,20.55,20.75,19.92,20.38,20.38,14526500.0,0.0,1.0
2020-04-28,21.1,21.29,20.1,20.31,20.31,13226300.0,0.0,1.0
2020-04-27,19.0,20.62,18.84,20.56,20.56,12417300.0,0.0,1.0
2020-04-24,19.22,19.37,17.35,18.55,18.55,14137000.0,0.0,1.0
2020-04-23,19.83,20.27,18.87,19.51,19.51,9224900.0,0.0,1.0
2020-04-22,18.94,19.82,18.8,19.45,19.45,6188400.0,0.0,1.0
2020-04-20,18.52,19.28,18.34,18.92,18.92,6097500.0,0.0,1.0
2020-04-17,19.75,19.75,18.7,19.05,19.05,7862500.0,0.0,1.0
2020-04-16,19.34,19.75,18.72,19.27,19.27,9501800.0,0.0,1.0
2020-04-15,18.4,19.42,18.06,19.05,19.05,9746900.0,0.0,1.0
2020-04-14,18.2,18.98,17.92,18.86,18.86,7917900.0,0.0,1.0
2020-04-13,18.04,18.21,17.38,17.82,17.82,9155100.0,0.0,1.0
2020-04-09,17.6,18.79,17.36,18.04,18.04,11649900.0,0.0,1.0
2020-04-08,17.6,17.75,16.83,17.4,17.4,8858100.0,0.0,1.0
2020-04-07,19.4,19.68,17.4,17.53,17.53,14604900.0,0.0,1.0
2020-04-06,16.0,17.75,15.85,17.68,17.68,11229200.0,0.0,1.0
2020-04-03,16.2,16.59,14.91,15.26,15.26,11909000.0,0.0,1.0
2020-04-02,15.75,16.5,15.62,16.25,16.25,11444500.0,0.0,1.0
2020-04-01,14.69,15.95,14.17,15.61,15.61,10701000.0,0.0,1.0
2020-03-31,14.52,15.62,14.31,15.09,15.09,12209900.0,0.0,1.0
2020-03-30,14.87,15.28,14.35,14.51,14.51,12714300.0,0.0,1.0
2020-03-27,15.35,15.44,14.73,14.87,14.87,11407300.0,0.0,1.0
2020-03-26,16.03,17.0,15.23,15.97,15.97,12772800.0,0.0,1.0
2020-03-25,15.04,16.36,14.4,15.91,15.91,11801200.0,0.0,1.0
2020-03-24,14.94,15.65,14.52,15.04,15.04,12905300.0,0.0,1.0
2020-03-23,14.3,14.5,13.35,14.03,14.03,11809100.0,0.0,1.0
2020-03-20,15.5,16.1,13.96,14.15,14.15,17671300.0,0.0,1.0
2020-03-19,12.6,15.3,11.71,14.9,14.9,15099900.0,0.0,1.0
2020-03-18,13.12,13.42,11.52,13.01,13.01,16997200.0,0.0,1.0
2020-03-17,13.75,15.48,13.0,14.25,14.25,21032500.0,0.0,1.0
2020-03-16,14.5,14.85,13.25,13.25,13.25,13360600.0,0.0,1.0
2020-03-13,17.99,18.13,14.9,16.49,16.49,16298900.0,0.0,1.0
2020-03-12,14.45,15.85,13.49,15.25,15.25,12247500.0,0.0,1.0
2020-03-11,20.35,20.36,17.68,18.5,18.5,11909900.0,0.0,1.0
2020-03-10,20.95,21.05,19.74,20.84,20.84,18052300.0,0.0,1.0
2020-03-09,20.6,21.32,19.0,20.0,20.0,15783900.0,0.0,1.0
2020-03-06,24.5,24.89,22.82,23.11,23.11,13609400.0,0.0,1.0
2020-03-05,26.39,26.47,24.95,25.6,25.6,5053800.0,0.0,1.0
2020-03-04,26.73,26.88,26.04,26.66,26.66,9734400.0,0.0,1.0
2020-03-03,28.49,28.7,26.15,26.15,26.15,17432700.0,0.0,1.0
2020-03-02,27.05,28.36,27.05,28.2,28.2,6765100.0,0.0,1.0
2020-02-28,27.25,27.5,25.95,27.04,27.04,8956400.0,0.0,1.0
2020-02-27,28.02,28.81,27.53,27.53,27.53,9493100.0,0.0,1.0
2020-02-21,30.26,30.71,30.14,30.36,30.36,3623600.0,0.0,1.0
2020-02-20,31.24,31.36,30.42,30.68,30.68,4012300.0,0.0,1.0
2020-02-19,30.7,31.39,30.54,31.16,31.16,4750800.0,0.0,1.0
2020-02-18,31.0,31.0,30.24,30.85,30.85,3316000.0,0.0,1.0
2020-02-17,31.0,31.34,30.8,31.0,31.0,2759000.0,0.0,1.0
2020-02-14,31.26,31.26,30.68,30.9,30.9,3757600.0,0.0,1.0
2020-02-13,30.99,31.44,30.72,31.33,31.33,3783000.0,0.0,1.0
2020-02-12,31.0,31.85,30.96,31.25,31.25,6964300.0,0.0,1.0
2020-02-11,31.03,31.46,30.7,30.9,30.9,5088500.0,0.0,1.0
2020-02-10,31.48,31.48,30.57,30.84,30.84,7233400.0,0.0,1.0
2020-02-07,31.5,31.8,30.89,31.54,31.54,5041700.0,0.0,1.0
2020-02-06,32.3,32.63,31.85,31.85,31.85,4890100.0,0.0,1.0
2020-02-05,32.85,32.91,31.78,32.07,32.07,4885400.0,0.0,1.0
2020-02-04,32.3,32.75,31.94,32.18,32.18,7005400.0,0.0,1.0
2020-02-03,30.75,32.38,30.75,31.57,31.57,9756300.0,0.0,1.0
2020-01-31,30.21,31.0,29.95,30.55,30.55,7817500.0,0.0,1.0
2020-01-30,30.54,30.8,30.03,30.6,30.6,10067800.0,0.0,1.0
2020-01-29,31.5,31.89,30.58,31.1,31.1,7550800.0,0.0,1.0
2020-01-28,32.3,32.4,31.32,31.36,31.36,12034600.0,0.0,1.0
2020-01-27,33.2,33.2,31.51,31.78,31.78,10937300.0,0.0,1.0
2020-01-24,34.92,34.92,33.62,33.83,33.83,7036300.0,0.0,1.0
