date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2020-06-12,25.9,25.9,24.43,24.45,24.45,3427300.0,0.0,1.0
2020-06-10,27.47,28.08,26.42,26.78,26.78,3723400.0,0.0,1.0
2020-06-09,27.16,27.44,26.63,27.0,27.0,2724300.0,0.0,1.0
2020-06-08,27.59,28.45,27.22,27.55,27.55,3210500.0,0.0,1.0
2020-06-05,27.77,28.17,27.24,27.24,27.24,3390700.0,0.0,1.0
2020-06-04,27.8,28.4,27.15,27.22,27.22,4921500.0,0.0,1.0
2020-06-03,28.79,29.19,27.7,27.95,27.95,9583500.0,0.0,1.0
2020-06-02,28.34,29.75,28.27,29.38,29.38,4727000.0,0.0,1.0
2020-06-01,27.65,28.31,26.88,27.92,27.92,2657100.0,0.0,1.0
2020-05-29,29.05,29.22,27.33,27.74,27.74,6008900.0,0.0,1.0
2020-05-28,27.6,29.7,27.22,29.0,29.0,6071800.0,0.0,1.0
2020-05-27,27.32,28.9,27.18,27.6,27.6,6519800.0,0.0,1.0
2020-05-26,27.0,27.25,26.42,26.47,26.47,2983900.0,0.0,1.0
2020-05-25,26.73,27.1,25.84,26.39,26.39,2875800.0,0.0,1.0
2020-05-22,26.19,26.87,25.52,25.99,25.99,3041300.0,0.0,1.0
2020-05-21,26.27,27.29,26.02,26.39,26.39,4969100.0,0.0,1.0
2020-05-20,26.5,26.84,26.04,26.17,26.17,4769600.0,0.0,1.0
2020-05-19,26.91,28.4,26.0,26.0,26.0,6931900.0,0.0,1.0
2020-05-18,24.22,27.0,24.2,26.95,26.95,11543700.0,0.0,1.0
2020-05-15,21.86,23.95,21.86,23.44,23.44,8593200.0,0.0,1.0
2020-05-14,21.29,22.27,20.76,22.17,22.17,4477300.0,0.0,1.0
2020-05-13,21.85,22.84,21.15,21.67,21.67,9645000.0,0.0,1.0
2020-05-12,22.49,22.84,20.47,20.47,20.47,5841500.0,0.0,1.0
2020-05-11,20.25,22.66,19.41,22.08,22.08,7928700.0,0.0,1.0
2020-05-08,21.0,21.17,20.29,20.38,20.38,2221700.0,0.0,1.0
2020-05-07,20.44,21.02,20.2,20.44,20.44,4020000.0,0.0,1.0
2020-05-06,21.13,21.26,20.02,20.1,20.1,3910400.0,0.0,1.0
2020-05-05,21.5,21.82,20.45,20.68,20.68,2050000.0,0.0,1.0
2020-05-04,20.5,21.23,20.21,21.1,21.1,1945700.0,0.0,1.0
2020-04-30,21.25,21.82,20.92,21.14,21.14,2799100.0,0.0,1.0
2020-04-29,22.8,22.9,21.85,21.95,21.95,3445100.0,0.0,1.0
