date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2020-06-12,10.68,11.22,10.54,10.61,10.61,10346300.0,0.0,1.0
2020-06-10,12.2,12.2,11.0,11.16,11.16,27016100.0,0.0,1.0
2020-06-09,11.22,12.07,11.06,11.77,11.77,23566400.0,0.0,1.0
2020-06-08,11.29,11.5,11.2,11.44,11.44,15931500.0,0.0,1.0
2020-06-05,11.41,11.65,10.9,10.9,10.9,19501700.0,0.0,1.0
2020-06-04,11.29,11.39,10.86,10.97,10.97,10657200.0,0.0,1.0
2020-06-03,10.6,11.39,10.55,11.23,11.23,22154600.0,0.0,1.0
2020-06-02,10.39,10.56,10.17,10.42,10.42,21244500.0,0.0,1.0
2020-06-01,9.75,10.43,9.71,10.43,10.43,12066500.0,0.0,1.0
2020-05-29,9.95,10.04,9.46,9.81,9.81,19431900.0,0.0,1.0
2020-05-28,10.37,10.38,9.95,9.95,9.95,14638800.0,0.0,1.0
2020-05-27,10.2,10.48,9.95,10.46,10.46,14082100.0,0.0,1.0
2020-05-26,10.42,10.51,9.84,10.03,10.03,18066200.0,0.0,1.0
2020-05-25,10.11,10.61,10.11,10.18,10.18,11754400.0,0.0,1.0
2020-05-22,10.09,10.17,9.65,9.65,9.65,10124400.0,0.0,1.0
2020-05-21,9.51,10.45,9.5,10.21,10.21,29044000.0,0.0,1.0
2020-05-20,9.3,9.88,9.04,9.47,9.47,19400700.0,0.0,1.0
2020-05-19,8.98,9.38,8.79,9.05,9.05,16700500.0,0.0,1.0
2020-05-18,8.76,9.02,8.52,9.0,9.0,13829300.0,0.0,1.0
2020-05-15,8.4,8.67,8.15,8.4,8.4,13652200.0,0.0,1.0
2020-05-14,8.4326,8.4786,8.3518,8.4,8.4,80836.0,0.0,1.0
2020-05-13,7.9,8.04,7.71,7.99,7.99,18053000.0,0.0,1.0
2020-05-12,8.0,8.41,7.82,7.82,7.82,29110500.0,0.0,1.0
2020-05-11,8.15,8.22,7.84,7.95,7.95,13189000.0,0.0,1.0
2020-05-08,8.38,8.46,7.98,8.18,8.18,14851900.0,0.0,1.0
2020-05-07,8.89,8.89,8.13,8.14,8.14,25780800.0,0.0,1.0
