date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2020-06-12,97.44,103.39,97.02,98.26,98.26,3294400.0,0.0,1.0
2020-06-10,94.59,100.82,94.36,99.7,99.7,6112000.0,0.0,1.0
2020-06-09,91.14,94.85,90.51,94.5,94.5,3235200.0,0.0,1.0
2020-06-08,86.5,93.0,86.25,93.0,93.0,5134100.0,0.0,1.0
2020-06-05,88.0,88.08,84.3,86.33,86.33,6410100.0,0.0,1.0
2020-06-04,87.01,88.26,84.83,86.03,86.03,4331300.0,0.0,1.0
2020-06-03,91.0,92.03,86.3,87.35,87.35,6052100.0,0.0,1.0
2020-06-02,92.6,94.37,88.01,89.19,89.19,5652200.0,0.0,1.0
2020-06-01,91.65,92.49,89.0,91.4,91.4,2983600.0,0.0,1.0
2020-05-29,91.83,92.88,90.21,91.62,91.62,4645200.0,0.0,1.0
2020-05-28,94.9,95.3,91.31,92.49,92.49,5179500.0,0.0,1.0
2020-05-27,97.05,98.45,90.99,94.0,94.0,5930200.0,0.0,1.0
2020-05-26,89.52,95.7,89.2,95.4,95.4,7173900.0,0.0,1.0
2020-05-25,88.0,89.0,86.01,87.38,87.38,3989900.0,0.0,1.0
2020-05-22,85.72,91.9,84.35,85.15,85.15,6891100.0,0.0,1.0
2020-05-21,89.06,90.02,84.15,86.6,86.6,6660600.0,0.0,1.0
2020-05-20,91.86,93.5,88.05,88.53,88.53,5320300.0,0.0,1.0
2020-05-19,84.4,92.28,84.4,92.16,92.16,5898100.0,0.0,1.0
2020-05-18,88.23,89.78,82.35,84.12,84.12,5448100.0,0.0,1.0
2020-05-15,88.1,88.88,85.62,86.07,86.07,3613700.0,0.0,1.0
2020-05-14,91.88,91.88,87.57,88.85,88.85,4032500.0,0.0,1.0
2020-05-13,91.01,93.3,88.68,91.41,91.41,4502500.0,0.0,1.0
2020-05-12,87.51,92.81,87.0,89.51,89.51,5047900.0,0.0,1.0
2020-05-11,87.8,88.57,85.4,86.94,86.94,3300300.0,0.0,1.0
2020-05-08,91.52,92.69,84.5,87.5,87.5,7681600.0,0.0,1.0
2020-05-07,92.25,93.98,85.17,90.2,90.2,8582400.0,0.0,1.0
2020-05-06,78.12,89.2,78.04,89.18,89.18,10302900.0,0.0,1.0
2020-05-05,76.49,79.19,73.83,74.86,74.86,3078500.0,0.0,1.0
2020-05-04,72.0,74.8,71.08,74.07,74.07,3395600.0,0.0,1.0
2020-04-30,75.7,77.56,73.25,73.25,73.25,3303700.0,0.0,1.0
2020-04-29,79.1,79.7,77.79,77.79,77.79,2539900.0,0.0,1.0
2020-04-28,77.01,79.65,76.22,77.21,77.21,5382600.0,0.0,1.0
