date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2020-06-12,13.82,14.16,13.55,13.63,13.63,3831200.0,0.0,1.0
2020-06-10,14.67,14.8,13.85,14.35,14.35,16459900.0,0.0,1.0
2020-06-09,14.67,14.91,14.36,14.48,14.48,7910400.0,0.0,1.0
2020-06-08,14.85,15.29,14.8,14.94,14.94,6948300.0,0.0,1.0
2020-06-05,15.25,15.29,14.6,14.6,14.6,15344800.0,0.0,1.0
2020-06-04,15.15,15.61,14.51,14.69,14.69,9073800.0,0.0,1.0
2020-06-03,14.81,15.76,14.68,15.15,15.15,10070600.0,0.0,1.0
2020-06-02,14.63,14.95,14.42,14.5,14.5,6255700.0,0.0,1.0
2020-06-01,14.5,14.74,14.28,14.59,14.59,7010400.0,0.0,1.0
2020-05-29,14.75,15.0,14.48,14.7,14.7,11991000.0,0.0,1.0
2020-05-28,14.52,15.19,14.34,14.78,14.78,10012600.0,0.0,1.0
2020-05-27,15.09,15.09,14.49,14.7,14.7,10267300.0,0.0,1.0
2020-05-26,14.95,16.1,14.52,14.69,14.69,15614800.0,0.0,1.0
2020-05-25,13.91,14.64,13.91,14.3,14.3,7119800.0,0.0,1.0
2020-05-22,14.03,14.11,13.47,13.47,13.47,10985700.0,0.0,1.0
2020-05-21,12.71,14.32,12.61,14.18,14.18,27319900.0,0.0,1.0
2020-05-20,12.35,12.93,12.21,12.7,12.7,13839900.0,0.0,1.0
2020-05-19,11.83,12.73,11.77,12.12,12.12,10695600.0,0.0,1.0
2020-05-18,11.45,11.92,11.32,11.83,11.83,9242700.0,0.0,1.0
2020-05-15,11.4,11.61,10.97,10.97,10.97,9717200.0,0.0,1.0
2020-05-14,10.8,11.46,10.61,11.46,11.46,11430900.0,0.0,1.0
2020-05-13,11.14,11.34,10.84,10.91,10.91,11767000.0,0.0,1.0
2020-05-12,11.27,11.81,10.99,10.99,10.99,11902300.0,0.0,1.0
2020-05-11,11.43,11.73,11.05,11.24,11.24,7001400.0,0.0,1.0
2020-05-08,11.71,12.0,11.24,11.42,11.42,8839400.0,0.0,1.0
2020-05-07,12.3,12.39,11.42,11.42,11.42,11237700.0,0.0,1.0
2020-05-06,12.49,12.62,12.24,12.29,12.29,7601300.0,0.0,1.0
2020-05-05,12.35,12.72,12.26,12.5,12.5,6770800.0,0.0,1.0
2020-05-04,11.68,12.29,11.67,12.18,12.18,8342300.0,0.0,1.0
2020-04-30,12.88,13.06,12.27,12.35,12.35,6813200.0,0.0,1.0
2020-04-29,12.93,13.34,12.75,13.08,13.08,6747400.0,0.0,1.0
2020-04-28,12.72,13.08,12.52,12.84,12.84,8641800.0,0.0,1.0
