date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2020-06-12,4.36,4.53,4.23,4.25,4.25,15368200.0,0.0,1.0
2020-06-10,4.95,4.95,4.54,4.56,4.56,41711400.0,0.0,1.0
2020-06-09,4.55,4.99,4.49,4.84,4.84,41620200.0,0.0,1.0
2020-06-08,4.55,4.66,4.53,4.64,4.64,26566000.0,0.0,1.0
2020-06-05,4.57,4.58,4.41,4.5,4.5,32136800.0,0.0,1.0
2020-06-04,4.51,4.57,4.35,4.38,4.38,37089000.0,0.0,1.0
2020-06-03,4.58,4.8,4.47,4.54,4.54,42938200.0,0.0,1.0
2020-06-02,4.23,4.45,4.18,4.4,4.4,34070900.0,0.0,1.0
2020-06-01,4.13,4.22,4.08,4.17,4.17,21287400.0,0.0,1.0
2020-05-29,4.02,4.26,3.93,4.09,4.09,57504100.0,0.0,1.0
2020-05-28,4.0,4.08,3.91,4.05,4.05,27264300.0,0.0,1.0
2020-05-27,3.85,4.0,3.78,4.0,4.0,33995400.0,0.0,1.0
2020-05-26,3.76,3.9,3.75,3.81,3.81,27812400.0,0.0,1.0
2020-05-25,3.51,3.68,3.48,3.68,3.68,23248700.0,0.0,1.0
2020-05-22,3.47,3.56,3.39,3.41,3.41,20835000.0,0.0,1.0
2020-05-21,3.57,3.63,3.47,3.48,3.48,20619700.0,0.0,1.0
2020-05-20,3.65,3.68,3.53,3.56,3.56,19727300.0,0.0,1.0
2020-05-19,3.72,3.79,3.6,3.6,3.6,18582300.0,0.0,1.0
2020-05-18,3.6,3.83,3.53,3.7,3.7,38987300.0,0.0,1.0
2020-05-15,3.51,3.64,3.43,3.47,3.47,23706700.0,0.0,1.0
2020-05-14,3.28,3.58,3.23,3.55,3.55,39654700.0,0.0,1.0
2020-05-13,3.55,3.6,3.27,3.33,3.33,27257500.0,0.0,1.0
2020-05-12,3.66,3.71,3.5,3.54,3.54,23062600.0,0.0,1.0
2020-05-11,3.71,3.79,3.63,3.64,3.64,14532400.0,0.0,1.0
2020-05-08,3.65,3.86,3.55,3.76,3.76,26863600.0,0.0,1.0
2020-05-07,3.85,3.88,3.6,3.6,3.6,29242200.0,0.0,1.0
2020-05-06,3.93,3.97,3.78,3.81,3.81,22550600.0,0.0,1.0
2020-05-05,4.01,4.06,3.91,3.91,3.91,18426000.0,0.0,1.0
2020-05-04,4.01,4.06,3.86,3.94,3.94,24821500.0,0.0,1.0
2020-04-30,4.16,4.21,4.06,4.06,4.06,23941200.0,0.0,1.0
2020-04-29,4.11,4.34,4.05,4.23,4.23,36591400.0,0.0,1.0
2020-04-28,4.24,4.45,4.15,4.18,4.18,28103700.0,0.0,1.0
2020-04-27,4.14,4.23,3.98,4.11,4.11,26555000.0,0.0,1.0
2020-04-24,4.22,4.22,3.84,4.08,4.08,27190100.0,0.0,1.0
2020-04-23,4.5,4.5,4.25,4.26,4.26,20247000.0,0.0,1.0
2020-04-22,4.41,4.48,4.34,4.41,4.41,18760300.0,0.0,1.0
2020-04-20,4.4,4.53,4.32,4.4,4.4,17149200.0,0.0,1.0
2020-04-17,4.76,4.77,4.45,4.53,4.53,15815300.0,0.0,1.0
2020-04-16,4.88,4.98,4.56,4.62,4.62,16381900.0,0.0,1.0
2020-04-15,4.73,4.89,4.66,4.81,4.81,11030600.0,0.0,1.0
2020-04-14,5.07,5.19,4.83,4.83,4.83,20295100.0,0.0,1.0
2020-04-13,4.82,5.03,4.66,4.95,4.95,10899000.0,0.0,1.0
2020-04-09,5.1,5.12,4.6,4.83,4.83,27231500.0,0.0,1.0
2020-04-08,4.14,5.03,4.11,5.02,5.02,30849400.0,0.0,1.0
2020-04-07,4.2,4.44,4.11,4.11,4.11,18355600.0,0.0,1.0
