date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2020-06-12,6.41,6.6,6.16,6.24,6.24,33903300.0,0.0,1.0
2020-06-10,7.1,7.17,6.66,6.66,6.66,47811500.0,0.0,1.0
2020-06-09,6.71,7.09,6.61,6.95,6.95,52792000.0,0.0,1.0
2020-06-08,6.97,7.1,6.78,6.9,6.9,50892200.0,0.0,1.0
2020-06-05,7.09,7.26,6.85,6.9,6.9,63907200.0,0.0,1.0
2020-06-04,6.65,6.85,6.52,6.74,6.74,49205600.0,0.0,1.0
2020-06-03,6.96,6.97,6.6,6.78,6.78,108846600.0,0.0,1.0
2020-06-02,5.86,6.44,5.81,6.4,6.4,122838200.0,0.0,1.0
2020-06-01,5.29,5.67,5.25,5.63,5.63,49317900.0,0.0,1.0
2020-05-29,5.19,5.41,5.1,5.26,5.26,70988400.0,0.0,1.0
2020-05-28,5.32,5.57,5.14,5.23,5.23,78910300.0,0.0,1.0
2020-05-27,4.88,5.3,4.8,5.3,5.3,80534900.0,0.0,1.0
2020-05-26,5.0,5.13,4.75,4.81,4.81,79464100.0,0.0,1.0
2020-05-25,4.45,4.75,4.42,4.73,4.73,62976100.0,0.0,1.0
2020-05-22,4.5,4.54,4.26,4.3,4.3,82675400.0,0.0,1.0
2020-05-21,4.64,4.83,4.57,4.7,4.7,38156400.0,0.0,1.0
2020-05-20,4.72,4.81,4.53,4.57,4.57,42927200.0,0.0,1.0
2020-05-19,4.64,4.87,4.6,4.61,4.61,44411300.0,0.0,1.0
2020-05-18,4.44,4.68,4.31,4.65,4.65,38879200.0,0.0,1.0
2020-05-15,4.15,4.4,4.11,4.21,4.21,49968600.0,0.0,1.0
2020-05-14,4.06,4.3,3.95,4.2,4.2,50183700.0,0.0,1.0
2020-05-13,4.38,4.45,3.97,4.15,4.15,67116300.0,0.0,1.0
2020-05-12,4.58,4.82,4.34,4.36,4.36,67896700.0,0.0,1.0
2020-05-11,4.67,4.72,4.5,4.52,4.52,47892700.0,0.0,1.0
2020-05-08,4.81,4.92,4.64,4.73,4.73,42424100.0,0.0,1.0
2020-05-07,5.05,5.08,4.7,4.71,4.71,60231800.0,0.0,1.0
2020-05-06,5.01,5.14,4.68,4.98,4.98,59635900.0,0.0,1.0
2020-05-05,5.37,5.41,4.93,4.96,4.96,57101000.0,0.0,1.0
2020-05-04,5.4,5.46,5.14,5.22,5.22,66908200.0,0.0,1.0
2020-04-30,5.45,5.73,5.22,5.54,5.54,105295200.0,0.0,1.0
2020-04-29,5.14,5.65,4.98,5.59,5.59,78795700.0,0.0,1.0
2020-04-28,4.76,5.05,4.65,4.98,4.98,60940400.0,0.0,1.0
2020-04-27,4.78,4.82,4.55,4.6,4.6,38809100.0,0.0,1.0
2020-04-24,4.84,4.89,4.25,4.61,4.61,55993300.0,0.0,1.0
2020-04-23,5.17,5.2,4.76,4.9,4.9,40616000.0,0.0,1.0
2020-04-22,5.04,5.28,5.01,5.08,5.08,40698400.0,0.0,1.0
2020-04-20,4.9,5.26,4.83,5.09,5.09,43993900.0,0.0,1.0
2020-04-17,5.3,5.41,4.9,5.04,5.04,45686600.0,0.0,1.0
2020-04-16,5.54,5.6,5.04,5.11,5.11,45165200.0,0.0,1.0
2020-04-15,4.83,5.5,4.72,5.25,5.25,63230200.0,0.0,1.0
2020-04-14,5.07,5.18,4.9,4.96,4.96,41188900.0,0.0,1.0
2020-04-13,4.6,4.88,4.55,4.87,4.87,40740700.0,0.0,1.0
2020-04-09,4.65,4.89,4.46,4.58,4.58,48232800.0,0.0,1.0
2020-04-08,4.46,4.62,4.3,4.6,4.6,65161900.0,0.0,1.0
2020-04-07,4.65,4.92,4.4,4.48,4.48,63028700.0,0.0,1.0
2020-04-06,3.93,4.2,3.85,4.2,4.2,52451400.0,0.0,1.0
2020-04-03,3.68,3.9,3.58,3.72,3.72,49668600.0,0.0,1.0
2020-04-02,4.0,4.12,3.57,3.66,3.66,46616300.0,0.0,1.0
2020-04-01,3.85,4.14,3.75,3.87,3.87,39683100.0,0.0,1.0
2020-03-31,4.69,4.77,3.97,4.0,4.0,95278200.0,0.0,1.0
2020-03-30,5.44,5.58,5.03,5.06,5.06,19222100.0,0.0,1.0
2020-03-27,5.41,5.74,5.32,5.32,5.32,23665500.0,0.0,1.0
2020-03-26,5.01,5.9,5.01,5.85,5.85,39077200.0,0.0,1.0
2020-03-25,4.5,5.28,4.42,5.0,5.0,40368100.0,0.0,1.0
2020-03-24,4.89,5.03,4.41,4.48,4.48,35847800.0,0.0,1.0
2020-03-23,5.03,5.15,4.25,4.53,4.53,25237700.0,0.0,1.0
2020-03-20,5.23,5.48,4.78,4.91,4.91,55651800.0,0.0,1.0
