date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2020-06-12,32.4,32.6,31.56,31.58,31.58,554100.0,0.0,1.0
2020-06-10,33.45,34.1,32.68,33.06,33.06,2984000.0,0.0,1.0
2020-06-09,32.78,33.77,32.67,33.45,33.45,5216500.0,0.0,1.0
2020-06-08,32.34,33.22,32.23,33.21,33.21,5000400.0,0.0,1.0
2020-06-05,32.32,32.64,32.02,32.4,32.4,6290700.0,0.0,1.0
2020-06-04,31.96,32.39,31.52,32.05,32.05,2475900.0,0.0,1.0
2020-06-03,32.25,32.78,31.33,32.1,32.1,6206100.0,0.0,1.0
2020-06-02,31.9,32.0,31.44,32.0,32.0,2501900.0,0.0,1.0
2020-06-01,32.0,32.28,31.36,31.72,31.72,3632700.0,0.0,1.0
2020-05-29,32.98,33.2,31.75,32.25,32.25,32097600.0,0.0,1.0
2020-05-28,33.55,33.55,32.76,32.78,32.78,4134900.0,0.0,1.0
2020-05-27,33.5971,33.6836,33.5175,33.55,33.55,436122.0,0.0,1.0
2020-05-26,31.96,32.7,31.31,31.55,31.55,3860700.0,0.0,1.0
2020-05-25,31.34,32.03,31.34,31.82,31.82,2808200.0,0.0,1.0
2020-05-22,29.82,30.73,29.74,30.57,30.57,3791100.0,0.0,1.0
2020-05-21,28.91,30.31,28.67,29.82,29.82,5630300.0,0.0,1.0
2020-05-20,29.5,29.85,28.52,28.63,28.63,4926400.0,0.0,1.0
2020-05-19,30.5,30.62,29.11,29.4,29.4,4095800.0,0.0,1.0
2020-05-18,30.7,30.7,30.02,30.25,30.25,2748200.0,0.0,1.0
2020-05-15,29.83,30.11,29.38,29.69,29.69,3977600.0,0.0,1.0
2020-05-14,28.1,29.38,27.62,29.35,29.35,2773900.0,0.0,1.0
2020-05-13,29.24,29.97,27.94,28.2,28.2,5931300.0,0.0,1.0
2020-05-12,29.45,29.94,28.99,28.99,28.99,3225300.0,0.0,1.0
2020-05-11,29.52,29.62,28.57,29.17,29.17,2011800.0,0.0,1.0
2020-05-08,28.78,29.87,28.03,29.65,29.65,2404200.0,0.0,1.0
2020-05-07,30.53,30.56,28.19,28.19,28.19,5297400.0,0.0,1.0
2020-05-06,30.5,30.77,29.75,30.1,30.1,3432000.0,0.0,1.0
2020-05-05,29.3,30.85,29.12,30.39,30.39,4146500.0,0.0,1.0
2020-05-04,28.2,29.53,27.95,29.45,29.45,4919300.0,1.801,1.0
2020-04-30,29.97,30.93,29.04,29.04,27.239,10632800.0,0.0,1.0
2020-04-29,31.0,31.3,29.74,30.04,28.177,4321800.0,0.0,1.0
2020-04-28,30.25,30.95,29.85,30.7,28.7961,5118800.0,0.0,1.0
2020-04-27,28.15,29.89,28.15,29.67,27.83,3848600.0,0.0,1.0
2020-04-24,29.63,29.85,27.0,27.95,26.2166,3902900.0,0.0,1.0
2020-04-23,30.23,30.66,29.6,29.94,28.0832,2094300.0,0.0,1.0
2020-04-22,29.7,30.96,29.7,30.1,28.2333,3155000.0,0.0,1.0
2020-04-20,29.07,30.43,28.97,30.02,28.1583,3667600.0,0.0,1.0
2020-04-17,30.13,30.44,29.45,29.59,27.7549,2917600.0,0.0,1.0
2020-04-16,29.64,30.19,29.16,29.77,27.9238,3640300.0,0.0,1.0
2020-04-15,29.03,30.38,29.02,29.62,27.7831,5399100.0,0.0,1.0
2020-04-14,29.22,30.06,28.92,29.5,27.6705,3386300.0,0.0,1.0
2020-04-13,27.82,28.79,27.22,28.79,27.0045,1733600.0,0.0,1.0
2020-04-09,27.89,28.07,27.4,27.8,26.0759,3431100.0,0.0,1.0
2020-04-08,27.35,27.77,26.61,27.6,25.8883,4042800.0,0.0,1.0
2020-04-07,27.11,29.18,27.0,27.32,25.6257,5383900.0,0.0,1.0
2020-04-06,26.83,27.19,25.76,26.54,24.8941,3161200.0,0.0,1.0
2020-04-03,25.9,26.41,25.13,25.83,24.2281,4566000.0,0.0,1.0
2020-04-02,26.3,26.85,25.63,25.9,24.2938,2199700.0,0.0,1.0
2020-04-01,25.99,26.86,25.8,26.29,24.6596,3437400.0,0.0,1.0
2020-03-31,27.22,28.35,26.3,26.87,25.2036,2947200.0,0.0,1.0
2020-03-30,27.21,28.11,26.76,27.06,25.3818,3177400.0,0.0,1.0
2020-03-27,26.5,27.8,26.41,26.99,25.3162,3074700.0,0.0,1.0
2020-03-26,25.87,29.0,25.62,28.07,26.3292,4776100.0,0.0,1.0
2020-03-25,25.49,26.78,24.95,26.03,24.4157,4587300.0,0.0,1.0
2020-03-24,25.01,25.98,23.8,25.3,23.731,5083600.0,0.0,1.0
2020-03-23,25.1,25.18,22.18,23.5,22.0426,5667700.0,0.0,1.0
2020-03-20,25.5,26.38,24.62,25.25,23.6841,5679400.0,0.0,1.0
2020-03-19,24.35,25.57,23.41,24.5,22.9806,6391700.0,0.0,1.0
2020-03-18,28.22,28.22,22.84,25.2,23.6372,6475600.0,0.0,1.0
2020-03-17,28.6,30.3,28.4,29.19,27.3797,4781800.0,0.0,1.0
2020-03-16,27.5,29.01,25.9,28.1,26.3573,2996500.0,0.0,1.0
2020-03-13,30.83,30.83,28.18,30.32,28.4396,5479200.0,0.0,1.0
2020-03-12,28.2,28.69,24.51,27.87,26.1416,5099600.0,0.0,1.0
2020-03-11,33.73,34.19,30.08,32.1,30.1093,4432800.0,0.0,1.0
2020-03-10,36.05,36.2,33.39,34.46,32.3229,5532800.0,0.0,1.0
2020-03-09,35.22,35.22,33.15,34.0,31.8914,4341800.0,0.0,1.0
2020-03-06,36.76,37.0,35.39,37.0,34.7054,3445400.0,0.0,1.0
2020-03-05,38.61,38.89,37.28,37.8,35.4558,2583700.0,0.0,1.0
2020-03-04,37.22,39.1,37.16,39.1,36.6751,2777300.0,0.0,1.0
2020-03-03,37.2,37.76,36.27,37.07,34.771,2708400.0,0.0,1.0
2020-03-02,35.53,37.11,35.32,37.08,34.7804,1337800.0,0.0,1.0
2020-02-28,35.34,35.53,33.82,35.53,33.3265,4781400.0,0.0,1.0
2020-02-27,35.95,36.6,35.23,35.64,33.4297,2784300.0,0.0,1.0
2020-02-21,37.7,37.76,37.29,37.74,35.3995,1592900.0,0.0,1.0
2020-02-20,38.21,38.36,37.59,37.8,35.4558,978200.0,0.0,1.0
2020-02-19,38.05,38.46,37.78,38.45,36.0655,2519500.0,0.0,1.0
2020-02-18,38.0,38.2,37.55,38.0,35.6434,852800.0,0.0,1.0
2020-02-17,37.62,38.29,37.62,38.15,35.7841,812900.0,0.0,1.0
2020-02-14,37.58,37.82,37.01,37.57,35.24,1991600.0,0.0,1.0
2020-02-13,37.81,38.1,37.44,37.54,35.2119,5181200.0,0.0,1.0
2020-02-12,37.83,38.35,37.48,37.96,35.6058,1970300.0,0.0,1.0
2020-02-11,37.06,37.89,36.94,37.68,35.3432,1711500.0,0.0,1.0
2020-02-10,37.72,37.73,36.71,36.87,34.5834,1784800.0,0.0,1.0
