date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2020-06-12,10.9,11.19,10.66,10.75,10.75,6511200.0,0.0,1.0
2020-06-10,12.02,12.31,11.44,11.48,11.48,13303200.0,0.0,1.0
2020-06-09,12.07,12.12,11.6,12.05,12.05,19061800.0,0.0,1.0
2020-06-08,11.04,12.46,11.03,12.45,12.45,31058700.0,0.0,1.0
2020-06-05,11.1,11.2,10.48,10.63,10.63,18744400.0,0.0,1.0
2020-06-04,10.45,10.64,10.2,10.49,10.49,12000700.0,0.0,1.0
2020-06-03,10.97,11.26,10.47,10.6,10.6,15168400.0,0.0,1.0
2020-06-02,10.45,10.75,10.37,10.75,10.75,13190200.0,0.0,1.0
2020-06-01,10.55,10.79,10.21,10.35,10.35,13419000.0,0.0,1.0
2020-05-29,9.8,10.69,9.74,10.32,10.32,40459300.0,0.0,1.0
2020-05-28,9.5,9.82,9.21,9.61,9.61,14141100.0,0.0,1.0
2020-05-27,8.74,9.54,8.67,9.45,9.45,20343200.0,0.0,1.0
2020-05-26,8.78,8.93,8.46,8.53,8.53,11657000.0,0.0,1.0
2020-05-25,8.76,8.99,8.6,8.64,8.64,10159900.0,0.0,1.0
2020-05-22,8.35,8.59,8.19,8.5,8.5,8030400.0,0.0,1.0
2020-05-21,8.61,8.76,8.23,8.52,8.52,14279000.0,0.0,1.0
2020-05-20,8.92,8.95,8.51,8.57,8.57,13595800.0,0.0,1.0
2020-05-19,8.3,8.92,8.28,8.74,8.74,17170000.0,0.0,1.0
2020-05-18,8.32,8.38,8.15,8.28,8.28,13174400.0,0.0,1.0
2020-05-15,8.1,8.31,7.8,7.88,7.88,22312700.0,0.0,1.0
2020-05-14,7.48,8.39,7.32,8.39,8.39,27898300.0,0.0,1.0
2020-05-13,8.01,8.06,7.42,7.52,7.52,12905000.0,0.0,1.0
2020-05-12,8.15,8.18,7.88,7.88,7.88,11590800.0,0.0,1.0
2020-05-11,8.4,8.47,8.02,8.02,8.02,11776700.0,0.0,1.0
2020-05-08,8.74,8.86,8.4,8.51,8.51,14286000.0,0.0,1.0
2020-05-07,8.26,8.65,8.1,8.49,8.49,22482600.0,0.0089,1.0
2020-05-06,8.02,8.27,7.83,8.1,8.0911,12166400.0,0.0,1.0
2020-05-05,8.4,8.58,7.95,7.96,7.9513,13641300.0,0.0,1.0
2020-05-04,8.58,8.58,8.09,8.23,8.221,17770600.0,0.0089,1.0
2020-04-30,8.65,8.99,8.41,8.96,8.9413,25377300.0,0.0,1.0
2020-04-29,8.06,9.27,8.01,9.03,9.0112,34574500.0,0.0,1.0
2020-04-28,7.5,8.0,7.45,7.81,7.7937,19016300.0,0.0,1.0
2020-04-27,7.26,7.29,6.95,7.25,7.2349,13778300.0,0.0,1.0
2020-04-24,7.39,7.66,6.66,7.08,7.0652,20463400.0,0.0,1.0
2020-04-23,7.35,8.06,7.34,7.5,7.4844,18280500.0,0.0,1.0
2020-04-22,7.35,7.46,7.23,7.34,7.3247,7547100.0,0.0,1.0
2020-04-20,7.37,7.5,7.24,7.32,7.3047,8522900.0,0.0,1.0
2020-04-17,7.55,7.7,7.43,7.59,7.5742,11465300.0,0.0,1.0
2020-04-16,7.43,7.45,6.98,7.44,7.4245,12883000.0,0.0,1.0
2020-04-15,7.2,7.4,7.12,7.29,7.2748,10329200.0,0.0,1.0
2020-04-14,7.52,7.64,7.43,7.44,7.4245,9863100.0,0.0,1.0
2020-04-13,7.1,7.33,6.95,7.33,7.3147,11763100.0,0.0,1.0
2020-04-09,7.6,7.75,7.16,7.17,7.1551,10845800.0,0.0,1.0
2020-04-08,7.0,7.5,6.89,7.41,7.3946,11954800.0,0.0,1.0
2020-04-07,6.92,7.2,6.87,6.95,6.9355,16963600.0,0.0,1.0
2020-04-06,6.68,6.77,6.45,6.55,6.5363,10198800.0,0.0,1.0
2020-04-03,7.0,7.04,6.13,6.25,6.237,16042700.0,0.0,1.0
2020-04-02,6.98,7.32,6.84,6.97,6.9555,11170000.0,0.0,1.0
2020-04-01,6.63,6.93,6.53,6.84,6.8257,9417800.0,0.0,1.0
2020-03-31,7.06,7.45,6.97,6.98,6.9655,16501900.0,0.0,1.0
2020-03-30,6.84,7.16,6.54,7.06,7.0453,14322900.0,0.0,1.0
2020-03-27,6.75,7.0,6.6,6.77,6.7559,12228700.0,0.0,1.0
2020-03-26,6.58,7.39,6.58,7.1,7.0852,15025300.0,0.0,1.0
2020-03-25,5.89,6.7,5.87,6.55,6.5363,26109100.0,0.0,1.0
2020-03-24,6.2,6.4,5.8,5.8,5.7879,24499600.0,0.0,1.0
2020-03-23,6.13,6.27,5.48,5.8,5.7879,21595500.0,0.0,1.0
2020-03-20,6.8,6.85,6.13,6.16,6.1472,23683700.0,0.0,1.0
2020-03-19,6.4,6.9,6.06,6.36,6.3467,19199400.0,0.0,1.0
2020-03-18,7.04,7.35,6.34,6.71,6.696,16599500.0,0.0,1.0
2020-03-17,7.45,7.94,7.06,7.75,7.7338,21980700.0,0.0,1.0
2020-03-16,6.8,7.62,6.63,7.2,7.185,16941600.0,0.0,1.0
2020-03-13,7.65,7.98,6.6,7.95,7.9334,20930700.0,0.0,1.0
2020-03-12,6.41,6.99,5.56,6.58,6.5663,19986700.0,0.0,1.0
2020-03-11,8.94,9.17,7.5,8.02,8.0033,26198000.0,0.0,1.0
2020-03-10,9.2,9.37,8.21,9.37,9.3505,32452600.0,0.0,1.0
2020-03-09,9.9,10.04,7.91,8.3,8.2827,29775600.0,0.0,1.0
2020-03-06,11.3,11.42,10.86,11.11,11.0868,14824200.0,0.0,1.0
2020-03-05,12.24,12.45,11.66,11.95,11.9251,14252500.0,0.0,1.0
2020-03-04,12.55,12.62,12.1,12.32,12.2943,11542300.0,0.0,1.0
2020-03-03,12.49,12.69,11.83,12.17,12.1446,13287100.0,0.0,1.0
2020-03-02,12.5845,12.5914,12.4333,12.49,12.49,655110.0,0.0,1.0
2020-02-28,11.19,11.52,10.71,11.18,11.1567,20422800.0,0.0,1.0
2020-02-27,11.45,11.82,11.26,11.32,11.2964,18299700.0,0.0,1.0
