date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2020-06-12,12.95,13.37,12.67,12.97,12.97,1924200.0,0.0,1.0
2020-06-10,14.14,14.24,13.46,13.64,13.64,4276700.0,0.0,1.0
2020-06-09,14.14,14.19,13.71,13.98,13.98,7030100.0,0.0,1.0
2020-06-08,14.25,14.97,14.07,14.41,14.41,4899600.0,0.0,1.0
2020-06-05,14.0,14.55,13.77,13.99,13.99,8444600.0,0.0,1.0
2020-06-04,14.3,14.43,13.54,13.57,13.57,6905700.0,0.0,1.0
2020-06-03,13.29,14.28,13.16,14.17,14.17,5903400.0,0.0,1.0
2020-06-02,13.24,13.42,13.01,13.03,13.03,4846300.0,0.0,1.0
2020-06-01,13.01,13.2,12.78,13.19,13.19,3785400.0,0.0,1.0
2020-05-29,13.52,13.52,12.85,13.15,13.15,5460600.0,0.0,1.0
2020-05-28,13.4,13.68,13.08,13.42,13.42,4839500.0,0.0,1.0
2020-05-27,13.32,13.65,12.99,13.56,13.56,5370600.0,0.0,1.0
2020-05-26,13.4,13.96,12.85,13.12,13.12,7502800.0,0.0,1.0
2020-05-25,13.3346,13.4964,13.2918,13.4,13.4,543184.0,0.0,1.0
2020-05-22,12.15,12.2,11.57,11.91,11.91,3857400.0,0.0,1.0
2020-05-21,11.23,12.29,11.01,12.29,12.29,6130700.0,0.0,1.0
2020-05-20,10.65,11.33,10.6,11.19,11.19,6280400.0,0.0,1.0
2020-05-19,10.15,10.93,10.03,10.59,10.59,5391200.0,0.0,1.0
2020-05-18,9.7,10.24,9.62,10.16,10.16,5278200.0,0.0,1.0
2020-05-15,9.54,9.83,9.31,9.34,9.34,4772800.0,0.0,1.0
2020-05-14,9.14,9.72,8.94,9.63,9.63,3095100.0,0.0,1.0
2020-05-13,9.4,9.47,8.96,9.25,9.25,4251100.0,0.0,1.0
2020-05-12,9.69,9.95,9.39,9.45,9.45,3552000.0,0.0,1.0
2020-05-11,9.7,9.8,9.36,9.66,9.66,3582400.0,0.0,1.0
2020-05-08,9.93,10.17,9.49,9.78,9.78,3888700.0,0.0,1.0
2020-05-07,10.52,10.53,9.58,9.76,9.76,4834600.0,0.0,1.0
