date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2020-06-12,42.04,43.07,41.85,42.56,42.56,927500.0,0.0,1.0
2020-06-10,43.56,44.68,43.5,43.77,43.77,2000900.0,0.0,1.0
2020-06-09,43.43,44.11,42.91,43.36,43.36,1512500.0,0.0,1.0
2020-06-08,42.89,44.09,42.63,43.76,43.76,1774100.0,0.0,1.0
2020-06-05,43.52,43.57,42.68,42.68,42.68,2012800.0,0.0,1.0
2020-06-04,43.11,43.22,42.14,42.7,42.7,1601800.0,0.0,1.0
2020-06-03,42.4,43.1,41.56,42.89,42.89,4905100.0,0.0,1.0
2020-06-02,41.76,42.19,41.5,42.09,42.09,1624800.0,0.0,1.0
2020-06-01,41.83,42.7,41.59,41.59,41.59,1427600.0,0.0,1.0
2020-05-29,42.25,42.75,41.66,42.41,42.41,3041100.0,0.0,1.0
2020-05-28,41.63,42.5,41.04,42.27,42.27,1938800.0,0.0,1.0
2020-05-27,42.0,42.11,41.07,41.64,41.64,2012400.0,0.0,1.0
2020-05-26,41.3,42.0,41.04,41.66,41.66,1637200.0,0.0,1.0
2020-05-25,40.78,41.27,40.09,41.27,41.27,1737200.0,0.0,1.0
2020-05-22,39.72,40.0,38.95,39.29,39.29,1438900.0,0.0,1.0
2020-05-21,39.07,40.03,38.82,39.88,39.88,1953000.0,0.0,1.0
2020-05-20,40.04,40.04,38.6,39.05,39.05,2077600.0,0.0,1.0
2020-05-19,39.8,39.88,39.05,39.43,39.43,1867200.0,0.0,1.0
2020-05-18,39.15,39.89,38.48,39.89,39.89,2197500.0,0.0,1.0
2020-05-15,38.0,38.68,37.1,38.4,38.4,2423000.0,0.0,1.0
2020-05-14,36.4,38.35,35.56,38.35,38.35,2949100.0,0.0,1.0
2020-05-13,37.26,37.73,36.23,36.72,36.72,2504900.0,0.0,1.0
2020-05-12,37.86,38.43,37.0,37.1,37.1,2670700.0,0.0,1.0
2020-05-11,38.24,38.58,37.43,37.72,37.72,1757600.0,0.0,1.0
2020-05-08,37.84,38.28,36.7,38.23,38.23,1534900.0,0.0,1.0
2020-05-07,39.0,39.1,37.0,37.0,37.0,2279600.0,0.0,1.0
2020-05-06,39.05,39.49,38.09,38.79,38.79,1382600.0,0.0,1.0
2020-05-05,39.05,39.51,38.48,38.93,38.93,1518300.0,0.0,1.0
2020-05-04,37.77,39.21,37.76,38.89,38.89,1763100.0,0.0,1.0
2020-04-30,39.69,40.2,38.63,39.12,39.12,2922800.0,0.0,1.0
2020-04-29,40.99,40.99,39.66,40.01,40.01,1926100.0,1.164,1.0
2020-04-28,40.85,41.01,40.07,40.26,39.096,1288200.0,0.0,1.0
2020-04-27,39.5,40.46,38.82,40.09,38.9309,2473000.0,0.0,1.0
2020-04-24,39.89,40.07,37.61,38.23,37.1247,3728300.0,0.0,1.0
2020-04-23,41.15,41.35,40.11,40.87,39.6884,1997700.0,0.0,1.0
2020-04-22,40.63,41.03,39.64,41.03,39.8437,2659100.0,0.0,1.0
2020-04-20,39.51,40.87,39.2,40.63,39.4553,1836500.0,0.0,1.0
2020-04-17,41.25,41.32,39.55,40.05,38.8921,1036400.0,0.0,1.0
2020-04-16,40.58,41.07,39.5,40.5,39.3291,1489400.0,0.0,1.0
2020-04-15,40.55,41.68,40.08,40.34,39.1737,1586000.0,0.0,1.0
2020-04-14,40.5,41.44,40.2,41.0,39.8146,1597700.0,0.0,1.0
2020-04-13,39.27,39.99,38.16,39.99,38.8338,1406100.0,0.0,1.0
2020-04-09,39.32,40.22,38.72,39.27,38.1346,1735600.0,0.0,1.0
2020-04-08,38.44,39.15,38.0,38.96,37.8336,1581900.0,0.0,1.0
2020-04-07,40.28,41.0,38.44,38.44,37.3286,2441100.0,0.0,1.0
