date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2020-06-12,29.0,29.81,28.67,29.23,29.23,2106800.0,0.0,1.0
2020-06-10,28.9961,29.0614,28.9731,29.0,29.0,478487.0,0.0,1.0
2020-06-09,30.8,32.02,30.06,31.87,31.87,4848600.0,0.0,1.0
2020-06-08,30.8377,30.9532,30.4942,30.8,30.8,761043.0,0.0,1.0
2020-06-05,30.0,30.77,29.54,29.61,29.61,4904200.0,0.0,1.0
2020-06-04,29.43,29.74,28.91,29.32,29.32,2777300.0,0.0,1.0
2020-06-03,30.15,30.59,29.22,29.55,29.55,4114200.0,0.0,1.0
2020-06-02,29.73,30.0,29.23,29.79,29.79,4991000.0,0.0,1.0
2020-06-01,28.63,29.73,28.21,29.33,29.33,7678400.0,0.0,1.0
2020-05-29,28.44,29.2,27.65,27.97,27.97,12956400.0,0.0,1.0
2020-05-28,28.59,29.13,27.97,28.42,28.42,5290200.0,0.0,1.0
2020-05-27,27.56,29.55,27.47,28.66,28.66,9246400.0,0.0,1.0
2020-05-26,27.1,27.79,26.81,27.24,27.24,5496600.0,0.0,1.0
2020-05-25,26.6,26.99,26.0,26.6,26.6,6887300.0,0.0,1.0
2020-05-22,23.14,25.43,22.84,25.41,25.41,8869000.0,0.0,1.0
2020-05-21,23.53,24.6,23.25,23.6,23.6,5776700.0,0.0,1.0
2020-05-20,23.66,24.62,23.43,23.48,23.48,4609900.0,0.0,1.0
2020-05-19,24.45,24.8,23.69,23.69,23.69,4159200.0,0.0,1.0
2020-05-18,23.51,24.52,23.07,24.39,24.39,5473100.0,0.0,1.0
2020-05-15,22.28,23.15,21.62,22.65,22.65,6636400.0,0.0,1.0
2020-05-14,20.3,22.72,19.9,22.72,22.72,7671900.0,0.0,1.0
2020-05-13,20.99,21.34,19.54,20.69,20.69,7772700.0,0.0,1.0
2020-05-12,22.3,22.82,20.65,20.65,20.65,5571700.0,0.0,1.0
2020-05-11,21.77,23.05,21.54,21.76,21.76,4432800.0,0.0,1.0
2020-05-08,21.86,22.44,21.65,22.22,22.22,3967200.0,0.0,1.0
2020-05-07,22.8,22.8,21.19,21.4,21.4,6682200.0,0.0,1.0
2020-05-06,23.0,23.12,21.93,22.5,22.5,3774900.0,0.0,1.0
2020-05-05,23.35,23.62,22.61,22.85,22.85,3706100.0,0.0,1.0
2020-05-04,23.06,23.67,22.13,22.93,22.93,6112300.0,1.5909,1.0
2020-04-30,24.21,24.51,23.56,24.25,22.6591,5607900.0,0.0,1.0
2020-04-29,24.35,25.17,23.71,24.89,23.2572,5933900.0,0.0,1.0
2020-04-28,23.65,24.47,23.16,23.9,22.3321,7496500.0,0.0,1.0
2020-04-27,22.71,23.36,21.9,22.29,20.8277,6392500.0,0.0,1.0
2020-04-24,24.54,24.76,20.28,21.78,20.3512,13517700.0,0.0,1.0
2020-04-23,27.0,27.45,24.31,25.05,23.4067,9100700.0,0.0,1.0
2020-04-22,25.68,26.95,25.51,26.67,24.9204,4433600.0,0.0,1.0
2020-04-20,25.44,26.64,24.25,25.7,24.014,5728600.0,0.0,1.0
2020-04-17,26.7,26.77,25.74,25.95,24.2476,4611100.0,0.0,1.0
2020-04-16,27.33,27.53,25.82,25.86,24.1635,4712600.0,0.0,1.0
2020-04-15,26.78,27.81,26.13,26.56,24.8176,5569300.0,0.0,1.0
2020-04-14,26.92,28.57,26.92,27.5,25.6959,8127600.0,0.0,1.0
2020-04-13,25.03,26.63,24.3,26.4,24.6681,5330400.0,0.0,1.0
2020-04-09,24.19,26.6,24.14,25.26,23.6029,8535600.0,0.0,1.0
2020-04-08,22.49,24.36,21.8,23.99,22.4162,5346400.0,0.0,1.0
2020-04-07,23.15,24.18,22.29,22.29,20.8277,5837900.0,0.0,1.0
2020-04-06,23.0,23.54,21.44,21.59,20.1737,7650800.0,0.0,1.0
2020-04-03,22.66,22.71,20.42,21.67,20.2484,5846400.0,0.0,1.0
2020-04-02,22.61,23.47,21.93,22.49,21.0146,3393600.0,0.0,1.0
2020-04-01,22.53,23.24,21.67,22.16,20.7063,6128300.0,0.0,1.0
2020-03-31,23.95,25.5,23.15,23.86,22.2947,9218100.0,0.0,1.0
2020-03-30,22.0,24.19,22.0,23.31,21.7808,8952300.0,0.0,1.0
2020-03-27,19.88,22.09,19.88,21.08,19.6971,6541000.0,0.0,1.0
2020-03-26,19.3,21.59,19.15,21.35,19.9494,6551200.0,0.0,1.0
2020-03-25,17.1,20.54,17.08,19.87,18.5665,6887500.0,0.0,1.0
2020-03-24,16.5,17.65,16.03,17.35,16.2118,7489000.0,0.0,1.0
2020-03-23,16.75,17.03,14.8,15.24,14.2402,7447500.0,0.0,1.0
2020-03-20,18.41,19.36,16.26,16.81,15.7072,10423200.0,0.0,1.0
2020-03-19,18.85,18.9,16.75,17.4,16.2585,14766300.0,0.0,1.0
2020-03-18,22.0,22.56,18.42,19.52,18.2394,10974400.0,0.0,1.0
2020-03-17,24.3,25.3,23.2,24.25,22.6591,6865500.0,0.0,1.0
2020-03-16,22.99,24.9,22.0,23.51,21.9677,8611200.0,0.0,1.0
2020-03-13,27.5,28.21,24.01,28.07,26.2285,7505100.0,0.0,1.0
2020-03-12,23.72,24.68,21.16,23.72,22.1639,5693200.0,0.0,1.0
2020-03-11,31.68,32.36,27.03,29.01,27.1069,8402200.0,0.0,1.0
2020-03-10,29.5,31.68,27.98,31.68,29.6017,9721900.0,0.0,1.0
2020-03-09,29.51,29.53,27.17,27.55,25.7427,11203400.0,0.0,1.0
2020-03-06,33.51,33.63,31.56,32.35,30.2278,6892000.0,0.0,1.0
2020-03-05,35.63,36.16,34.31,35.09,32.788,3714500.0,0.0,1.0
2020-03-04,35.53,36.42,35.01,36.18,33.8065,3519800.0,0.0,1.0
2020-03-03,35.44,36.5,34.18,35.03,32.732,4519900.0,0.0,1.0
2020-03-02,34.84,36.1,34.61,35.43,33.1057,5173900.0,0.0,1.0
2020-02-28,33.5,34.59,32.11,34.53,32.2648,7925300.0,0.0,1.0
2020-02-27,33.82,34.96,33.4,33.5,31.3023,7363900.0,0.0,1.0
2020-02-21,37.68,37.95,37.25,37.66,35.1894,3113800.0,0.0,1.0
2020-02-20,39.0,39.01,37.49,38.2,35.694,4820400.0,0.0,1.0
2020-02-19,38.4,39.48,37.87,39.2,36.6284,6557800.0,0.0,1.0
2020-02-18,36.2,38.47,36.17,38.3,35.7874,5758400.0,0.0,1.0
2020-02-17,36.24,36.42,35.95,36.15,33.7785,2063700.0,0.0,1.0
2020-02-14,35.8,36.35,35.05,35.99,33.629,5399800.0,0.0,1.0
2020-02-13,34.7,35.58,34.46,35.26,32.9469,3264700.0,0.0,1.0
2020-02-12,36.14,36.34,34.4,35.42,33.0964,10149000.0,0.0,1.0
2020-02-11,34.8,35.15,34.02,34.81,32.5264,4220500.0,0.0,1.0
2020-02-10,35.85,36.1,34.2,34.32,32.0685,5696800.0,0.0,1.0
2020-02-07,36.15,36.6,35.61,35.67,33.33,4486500.0,0.0,1.0
2020-02-06,38.61,38.77,36.0,36.29,33.9093,8089400.0,0.0,1.0
2020-02-05,39.31,39.78,38.0,38.0,35.5071,5175100.0,0.0,1.0
2020-02-04,39.26,39.68,38.48,38.62,36.0864,3231400.0,0.0,1.0
2020-02-03,39.12,39.38,38.15,38.87,36.32,4096500.0,0.0,1.0
2020-01-31,39.45,39.68,38.71,39.22,36.6471,3564000.0,0.0,1.0
2020-01-30,40.0,40.27,38.69,39.67,37.0676,4157500.0,0.0,1.0
