date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2020-06-12,8.8,9.16,8.63,8.79,8.79,12623800.0,0.0,1.0
2020-06-10,10.5,10.6,9.33,9.33,9.33,31359700.0,0.0,1.0
2020-06-09,10.5,10.53,10.13,10.31,10.31,30768900.0,0.0,1.0
2020-06-08,9.5,10.7,9.37,10.7,10.7,36773700.0,0.0,1.0
2020-06-05,9.46,9.48,8.85,9.04,9.04,24346100.0,0.0,1.0
2020-06-04,8.68,9.17,8.24,8.93,8.93,23545000.0,0.0,1.0
2020-06-03,8.53,9.17,8.52,8.52,8.52,39312300.0,0.0,1.0
2020-06-02,7.53,8.24,7.5,8.24,8.24,40344200.0,0.0,1.0
2020-06-01,7.29,7.49,7.05,7.41,7.41,36657400.0,0.0,1.0
2020-05-29,6.98,8.28,6.78,7.15,7.15,125473100.0,0.0,1.0
2020-05-28,7.27,7.52,6.98,6.98,6.98,19001900.0,0.0,1.0
2020-05-27,6.81,7.3,6.77,7.27,7.27,24206600.0,0.0,1.0
2020-05-26,6.97,7.17,6.59,6.64,6.64,16462900.0,0.0,1.0
2020-05-25,6.57,7.0,6.56,6.86,6.86,8993300.0,0.0,1.0
2020-05-22,6.56,6.82,6.45,6.47,6.47,11100800.0,0.0,1.0
2020-05-21,6.61,6.71,6.48,6.59,6.59,11752000.0,0.0,1.0
2020-05-20,6.54,6.76,6.48,6.58,6.58,10948100.0,0.0,1.0
2020-05-19,6.65,6.85,6.44,6.44,6.44,15450200.0,0.0,1.0
2020-05-18,6.51,6.69,6.33,6.59,6.59,15945500.0,0.0,1.0
2020-05-15,6.5,6.79,6.23,6.23,6.23,17505400.0,0.0,1.0
2020-05-14,5.91,6.62,5.89,6.57,6.57,26869800.0,0.0,1.0
2020-05-13,6.78,6.78,6.17,6.19,6.19,24710300.0,0.0,1.0
2020-05-12,7.22,7.33,6.73,6.78,6.78,21036900.0,0.0,1.0
2020-05-11,7.45,7.69,7.16,7.19,7.19,12796100.0,0.0,1.0
2020-05-08,7.16,7.57,7.06,7.54,7.54,12009100.0,0.0,1.0
2020-05-07,7.24,7.53,6.99,7.01,7.01,23569500.0,0.0,1.0
