date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2020-06-12,17.66,17.87,17.33,17.76,17.76,1295300.0,0.0,1.0
2020-06-10,18.7,18.77,18.11,18.14,18.14,2090500.0,0.0,1.0
2020-06-09,18.24,18.63,18.07,18.55,18.55,2164900.0,0.0,1.0
2020-06-08,18.08,18.43,17.9,18.32,18.32,2001900.0,0.0,1.0
2020-06-05,18.1151,18.198,17.9829,18.08,18.08,393317.0,0.0,1.0
2020-06-04,17.9,18.22,17.68,17.72,17.72,1613500.0,0.0,1.0
2020-06-03,18.22,18.46,17.91,17.97,17.97,3679600.0,0.0,1.0
2020-06-02,17.78,18.03,17.48,17.95,17.95,2451200.0,0.0,1.0
2020-06-01,17.71,17.78,17.45,17.57,17.57,1938800.0,0.0,1.0
2020-05-29,17.43,17.9,17.23,17.67,17.67,3935700.0,0.0,1.0
2020-05-28,17.45,17.49,17.26,17.41,17.41,2504500.0,0.0,1.0
2020-05-27,17.35,17.73,17.1,17.3,17.3,2690700.0,0.0,1.0
2020-05-26,17.81,17.82,16.99,17.17,17.17,6227200.0,0.0,1.0
2020-05-25,16.79,17.28,16.63,17.22,17.22,2215400.0,0.0,1.0
2020-05-22,16.28,16.57,16.07,16.31,16.31,2227300.0,0.0,1.0
2020-05-21,15.86,16.42,15.76,16.35,16.35,2438500.0,0.0,1.0
2020-05-20,16.23,16.29,15.74,15.74,15.74,2435900.0,0.0,1.0
2020-05-19,16.01,16.49,15.92,15.98,15.98,2976700.0,0.0,1.0
2020-05-18,16.05,16.45,15.59,16.23,16.23,2483500.0,0.0,1.0
2020-05-15,15.46,15.96,15.32,15.63,15.63,2909600.0,0.0,1.0
2020-05-14,15.16,15.88,14.82,15.76,15.76,3126900.0,0.0,1.0
2020-05-13,15.53,15.63,15.02,15.29,15.29,2747800.0,0.0,1.0
2020-05-12,15.5,15.91,15.47,15.47,15.47,2219600.0,0.0,1.0
2020-05-11,16.0,16.21,15.51,15.51,15.51,3057000.0,0.0,1.0
2020-05-08,16.31,16.34,16.02,16.08,16.08,3038200.0,0.0,1.0
2020-05-07,16.9,16.93,15.93,15.97,15.97,3784000.0,0.0,1.0
2020-05-06,16.92,16.96,16.51,16.83,16.83,2817900.0,0.0,1.0
2020-05-05,17.2,17.29,16.85,16.85,16.85,1560700.0,0.0,1.0
