date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2020-06-12,47.4,47.93,46.52,47.1,47.1,680700.0,0.0,1.0
2020-06-10,49.17,50.02,47.7,48.23,48.23,1281600.0,0.0,1.0
2020-06-09,49.28,50.5,48.92,49.65,49.65,917700.0,0.0,1.0
2020-06-08,47.56,50.87,47.48,50.13,50.13,1420200.0,0.0,1.0
2020-06-05,47.79,48.69,46.97,47.37,47.37,1946900.0,0.0,1.0
2020-06-04,48.96,48.96,45.66,47.03,47.03,2489300.0,0.0,1.0
2020-06-03,47.2,48.99,46.81,47.43,47.43,2096400.0,0.0,1.0
2020-06-02,47.28,47.65,46.48,46.9,46.9,1722400.0,0.0,1.0
2020-06-01,47.52,48.44,46.4,46.89,46.89,1159100.0,0.0,1.0
2020-05-29,46.94,47.52,45.97,46.99,46.99,2108600.0,0.0,1.0
2020-05-28,46.25,47.28,45.85,46.89,46.89,1428800.0,0.0,1.0
2020-05-27,44.65,47.75,44.65,46.92,46.92,2287600.0,0.0,1.0
2020-05-26,45.89,46.02,44.41,44.7,44.7,2546600.0,0.0,1.0
2020-05-25,44.77,46.1,44.08,45.02,45.02,2389700.0,0.0,1.0
2020-05-22,42.37,43.6,41.85,43.0,43.0,1483700.0,0.0,1.0
2020-05-21,41.49,43.27,41.3,42.84,42.84,1511900.0,0.0,1.0
2020-05-20,42.77,43.38,41.64,41.71,41.71,1331300.0,0.0,1.0
2020-05-19,44.01,44.59,42.84,42.99,42.99,1610500.0,0.0,1.0
2020-05-18,42.6,44.33,42.16,44.29,44.29,2190800.0,0.0,1.0
2020-05-15,41.58,42.85,41.0,42.0,42.0,1961500.0,0.0,1.0
2020-05-14,39.15,41.68,38.09,41.5,41.5,1141400.0,0.0,1.0
2020-05-13,41.07,41.16,39.01,39.55,39.55,1601700.0,0.0,1.0
2020-05-12,40.82,42.2,40.42,41.14,41.14,1749700.0,0.0,1.0
2020-05-11,40.6,41.57,40.0,41.28,41.28,1264500.0,0.0,1.0
2020-05-08,40.98,41.34,39.41,40.82,40.82,1928700.0,0.0,1.0
2020-05-07,42.4,42.41,39.09,39.8,39.8,3525400.0,0.0,1.0
2020-05-06,43.21,43.59,41.34,41.78,41.78,2941500.0,0.0,1.0
2020-05-05,42.25,44.39,42.25,43.2,43.2,2457000.0,0.0,1.0
2020-05-04,42.22,43.38,41.01,42.32,42.32,2934000.0,0.0,1.0
2020-04-30,46.0,46.77,44.67,45.63,45.63,3534500.0,0.0,1.0
2020-04-29,47.48,47.5,45.44,46.23,46.23,2674500.0,0.0,1.0
2020-04-28,46.0,46.5,44.82,46.5,46.5,1964300.0,0.0,1.0
2020-04-27,43.0,45.76,43.0,44.6,44.6,2346000.0,0.0,1.0
2020-04-24,44.6,44.6,41.47,42.47,42.47,1613000.0,0.0,1.0
2020-04-23,47.42,47.89,44.32,45.45,45.45,2123900.0,0.0,1.0
2020-04-22,44.88,47.03,44.69,46.69,46.69,2145400.0,0.0,1.0
2020-04-20,43.0,45.13,42.28,44.69,44.69,2591900.0,0.0,1.0
2020-04-17,42.03,43.45,41.49,43.19,43.19,1655200.0,0.0,1.0
2020-04-16,41.65,42.59,40.25,41.81,41.81,1688000.0,0.0,1.0
2020-04-15,40.97,42.51,40.48,41.07,41.07,1534200.0,0.0,1.0
2020-04-14,42.2,42.8,41.62,41.62,41.62,1453500.0,0.0,1.0
2020-04-13,41.43,41.54,40.14,41.4,41.4,1076300.0,0.0,1.0
2020-04-09,41.12,43.23,40.85,41.97,41.97,2570400.0,0.0,1.0
2020-04-08,38.32,40.47,37.3,40.2,40.2,2824700.0,0.0,1.0
2020-04-07,39.45,42.47,38.07,38.2,38.2,2610200.0,0.0,1.0
2020-04-06,37.5,39.32,37.07,38.1,38.1,1416900.0,0.0,1.0
2020-04-03,36.0,36.99,35.5,36.0,36.0,3100300.0,0.0,1.0
2020-04-02,37.0,37.15,35.1,36.0,36.0,4136500.0,0.0,1.0
2020-04-01,36.49,37.65,35.15,35.85,35.85,3580300.0,0.0,1.0
2020-03-31,37.5,40.03,37.12,37.8,37.8,2155100.0,0.0,1.0
2020-03-30,38.0,38.95,36.25,37.92,37.92,1751800.0,0.0,1.0
2020-03-27,38.21,38.94,37.0,37.0,37.0,2250700.0,0.0,1.0
2020-03-26,36.55,40.2,36.55,39.18,39.18,2608200.0,0.0,1.0
2020-03-25,35.37,36.53,32.97,36.17,36.17,3468400.0,0.0,1.0
2020-03-24,36.76,37.98,35.0,35.5,35.5,2552500.0,0.0,1.0
2020-03-23,38.45,38.45,33.87,35.5,35.5,1890200.0,0.0,1.0
2020-03-20,42.8,43.72,37.82,38.45,38.45,1857600.0,0.0,1.0
2020-03-19,38.73,43.58,37.32,43.44,43.44,1268800.0,0.0,1.0
