date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2020-06-12,20.69,21.32,20.61,20.95,20.95,2966800.0,0.0,1.0
2020-06-10,21.85,22.06,21.06,21.53,21.53,10279700.0,0.0,1.0
2020-06-09,21.13,21.95,21.02,21.77,21.77,5595200.0,0.0,1.0
2020-06-08,20.74,21.64,20.67,21.55,21.55,6918700.0,0.0,1.0
2020-06-05,21.0,21.25,20.5,20.56,20.56,9011100.0,0.0,1.0
2020-06-04,20.63,21.07,20.35,20.6,20.6,7027400.0,0.0,1.0
2020-06-03,20.5,20.92,20.24,20.8,20.8,9677600.0,0.0,1.0
2020-06-02,19.9,20.1,19.65,20.1,20.1,7606600.0,0.0,1.0
2020-06-01,19.8,20.1,19.57,19.85,19.85,8531600.0,0.0,1.0
2020-05-29,19.99,20.3,19.71,20.05,20.05,15767900.0,0.0,1.0
2020-05-28,19.89,20.29,19.68,19.9,19.9,6824800.0,0.0,1.0
2020-05-27,19.53,20.27,19.47,20.1,20.1,10249000.0,0.0,1.0
2020-05-26,19.91,20.05,19.14,19.39,19.39,16034200.0,0.0,1.0
2020-05-25,18.9,19.68,18.76,19.5,19.5,11522100.0,0.0,1.0
2020-05-22,17.44,18.48,17.37,18.03,18.03,8326600.0,0.0,1.0
2020-05-21,17.52,18.1,17.35,17.54,17.54,13745000.0,0.0,1.0
2020-05-20,17.87,17.92,17.28,17.5,17.5,10019700.0,0.0,1.0
2020-05-19,18.29,18.46,17.6,17.77,17.77,8385400.0,0.0,1.0
2020-05-18,18.09,18.48,17.81,18.3,18.3,10038300.0,0.0,1.0
2020-05-15,17.2,17.65,17.15,17.6,17.6,5699400.0,0.0,1.0
2020-05-14,16.51,17.64,16.14,17.64,17.64,10778200.0,0.0,1.0
2020-05-13,16.473,16.5308,16.4533,16.51,16.51,346750.0,0.0,1.0
2020-05-12,17.96,18.18,17.3,17.3,17.3,7481500.0,0.0,1.0
2020-05-11,17.26,18.1,17.14,17.89,17.89,10080000.0,0.0,1.0
2020-05-08,17.3,17.6,16.7,17.6,17.6,13350300.0,0.0,1.0
2020-05-07,17.62,17.66,16.7,16.7,16.7,12022500.0,0.0,1.0
2020-05-06,18.21,18.26,17.3,17.62,17.62,12596000.0,0.0,1.0
2020-05-05,18.1,18.46,17.95,18.17,18.17,9632200.0,0.0,1.0
2020-05-04,17.61,18.27,17.37,18.0,18.0,6359700.0,0.0,1.0
2020-04-30,18.78,19.02,18.01,18.33,18.33,13842900.0,0.0,1.0
2020-04-29,19.4,19.4,18.85,18.86,18.86,7088400.0,0.0,1.0
2020-04-28,19.5,19.56,18.77,19.09,19.09,6981200.0,0.0,1.0
2020-04-27,18.5,19.18,18.32,18.69,18.69,7000300.0,0.0,1.0
2020-04-24,18.35,18.58,16.85,17.94,17.94,15897900.0,0.0,1.0
2020-04-23,19.67,19.95,18.46,18.71,18.71,10801700.0,0.0,1.0
2020-04-22,19.3,19.71,19.01,19.48,19.48,9429800.0,0.0,1.0
2020-04-20,18.51,19.58,18.48,19.29,19.29,8747800.0,0.0,1.0
2020-04-17,18.6,19.05,18.19,19.0,19.0,9687100.0,0.0,1.0
2020-04-16,18.55,18.82,17.95,18.4,18.4,7587200.0,0.0,1.0
2020-04-15,18.04,18.73,17.72,18.35,18.35,12057000.0,0.0,1.0
2020-04-14,18.81,18.89,18.26,18.44,18.44,10000200.0,0.0,1.0
2020-04-13,18.23,18.49,17.5,18.49,18.49,9426000.0,0.0,1.0
2020-04-09,17.61,18.72,17.61,18.33,18.33,18294400.0,0.0,1.0
2020-04-08,16.49,17.78,15.93,17.52,17.52,28311200.0,0.0,1.0
2020-04-07,17.99,18.1,16.46,16.48,16.48,22181100.0,0.0,1.0
2020-04-06,16.51,17.48,16.16,16.81,16.81,12561200.0,0.0,1.0
2020-04-03,16.14,16.29,15.62,15.88,15.88,15384100.0,0.0,1.0
2020-04-02,16.37,16.45,15.77,16.24,16.24,17780500.0,0.0,1.0
2020-04-01,16.82,16.88,15.78,16.41,16.41,11328700.0,0.0,1.0
2020-03-31,17.5,18.35,17.12,17.6,17.6,11475000.0,0.0,1.0
2020-03-30,16.75,17.91,15.93,17.59,17.59,13211600.0,0.0,1.0
2020-03-27,17.5,17.55,16.45,16.55,16.55,17349400.0,0.0,1.0
2020-03-26,17.2,18.29,17.03,18.1,18.1,15870800.0,0.0,1.0
2020-03-25,16.45,17.35,16.13,17.0,17.0,16840600.0,0.0,1.0
2020-03-24,17.28,17.46,16.0,16.84,16.84,15626900.0,0.0,1.0
2020-03-23,17.6,17.6,15.13,16.29,16.29,11482000.0,0.0,1.0
2020-03-20,18.4,18.51,16.12,17.27,17.27,17510600.0,0.0,1.0
2020-03-19,17.05,18.15,16.12,17.8,17.8,16317700.0,0.0,1.0
2020-03-18,18.5,18.98,15.79,18.0,18.0,22022500.0,0.0,1.0
2020-03-17,19.0,20.1,18.25,19.79,19.79,19994400.0,0.0,1.0
2020-03-16,18.53,19.44,17.45,18.56,18.56,14998800.0,0.0,1.0
2020-03-13,20.9,21.26,18.7,20.3,20.3,15310200.0,0.0,1.0
2020-03-12,18.3,20.4,17.4,19.08,19.08,14062600.0,0.0,1.0
2020-03-11,21.8,22.45,18.86,21.4,21.4,17563300.0,0.0,1.0
2020-03-10,22.7,23.03,21.54,22.5,22.5,25801600.0,0.0,1.0
2020-03-09,23.29,23.5,21.7,22.25,22.25,20203500.0,0.0,1.0
2020-03-06,24.75,25.18,24.26,24.9,24.9,8575600.0,0.0,1.0
2020-03-05,26.39,26.91,25.04,25.78,25.78,9539000.0,0.0,1.0
2020-03-04,26.29,26.92,25.93,26.9,26.9,5961500.0,0.0,1.0
2020-03-03,25.36,26.42,25.22,25.76,25.76,6707200.0,0.0,1.0
2020-03-02,25.3228,25.5301,25.1204,25.36,25.36,351810.0,0.0,1.0
2020-02-28,24.28,24.79,23.05,24.66,24.66,8806400.0,0.0,1.0
2020-02-27,24.5,25.02,24.09,24.24,24.24,7321500.0,0.0,1.0
2020-02-21,25.58,26.35,25.33,26.35,26.35,4488500.0,0.0,1.0
2020-02-20,26.28,26.39,25.69,25.96,25.96,4158900.0,0.0,1.0
2020-02-19,25.57,26.46,25.53,26.46,26.46,3465000.0,0.0,1.0
2020-02-18,26.14,26.14,25.69,25.8,25.8,4542900.0,0.0,1.0
2020-02-17,26.0,26.43,25.87,26.37,26.37,2554200.0,0.0,1.0
2020-02-14,26.35,26.35,25.79,25.95,25.95,3857900.0,0.0,1.0
2020-02-13,26.0,26.37,25.75,26.36,26.36,4059200.0,0.0,1.0
2020-02-12,25.6,26.38,25.46,26.29,26.29,5363100.0,0.0,1.0
2020-02-11,25.02,25.62,24.84,25.6,25.6,5319100.0,0.0,1.0
2020-02-10,25.25,25.27,24.84,24.98,24.98,5145600.0,0.0,1.0
2020-02-07,25.22,25.56,25.09,25.17,25.17,3614900.0,0.0,1.0
2020-02-06,26.01,26.32,25.18,25.46,25.46,4446200.0,0.0,1.0
2020-02-05,26.5,26.58,25.74,25.87,25.87,8194400.0,0.0,1.0
2020-02-04,24.98,25.93,24.98,25.86,25.86,7322200.0,0.0,1.0
2020-02-03,23.95,25.0,23.92,24.9,24.9,6523600.0,0.0,1.0
2020-01-31,23.96,24.31,23.84,23.84,23.84,7259200.0,0.0,1.0
2020-01-30,24.24,24.38,23.54,24.38,24.38,4413800.0,0.0,1.0
2020-01-29,24.65,24.74,24.12,24.27,24.27,3518500.0,0.0,1.0
2020-01-28,24.16,24.65,24.01,24.64,24.64,4707800.0,0.0,1.0
2020-01-27,24.13,24.15,23.73,24.06,24.06,3350900.0,0.0,1.0
2020-01-24,24.41,24.62,24.13,24.43,24.43,2666800.0,0.0,1.0
2020-01-23,24.2,24.48,23.86,24.41,24.41,5387800.0,0.0,1.0
2020-01-22,24.48,24.74,24.07,24.39,24.39,4554900.0,0.0,1.0
2020-01-21,24.38,24.77,24.32,24.4,24.4,5231800.0,0.0,1.0
2020-01-20,24.41,24.84,24.3,24.54,24.54,2889500.0,0.0,1.0
2020-01-17,24.34,24.51,24.17,24.51,24.51,5364500.0,0.0,1.0
2020-01-16,24.35,24.45,24.15,24.4,24.4,4746300.0,0.0,1.0
2020-01-15,24.34,24.49,24.02,24.25,24.25,4539000.0,0.0,1.0
2020-01-14,23.93,24.45,23.6,24.45,24.45,5552300.0,0.0,1.0
2020-01-13,23.89,24.23,23.85,23.89,23.89,8970800.0,0.0,1.0
2020-01-10,23.89,23.92,23.52,23.9,23.9,10573000.0,0.0,1.0
2020-01-09,23.25,23.68,23.05,23.62,23.62,5744700.0,0.0,1.0
2020-01-08,23.28,23.34,22.75,23.34,23.34,4500500.0,0.0,1.0
2020-01-07,23.33,23.39,22.91,23.18,23.18,4821300.0,0.0,1.0
2020-01-06,23.18,23.59,22.94,23.3,23.3,4680500.0,0.0,1.0
2020-01-03,23.3,23.68,23.05,23.27,23.27,4514100.0,0.0,1.0
2020-01-02,22.88,23.61,22.85,23.55,23.55,4940300.0,0.0,1.0
2019-12-30,22.59,23.18,22.59,22.79,22.79,4059200.0,0.0,1.0
2019-12-27,22.91,23.0,22.49,22.73,22.73,3669300.0,0.0,1.0
2019-12-26,22.4,22.75,22.32,22.72,22.72,3675600.0,0.0,1.0
2019-12-23,22.32,22.64,22.09,22.4,22.4,5322200.0,0.0,1.0
2019-12-20,22.47,22.59,22.14,22.32,22.32,7339200.0,0.0,1.0
2019-12-19,22.5,22.58,22.24,22.55,22.55,7604900.0,0.0,1.0
2019-12-18,22.09,22.49,21.99,22.38,22.38,10433300.0,0.0,1.0
2019-12-17,22.01,22.44,21.85,22.08,22.08,7685400.0,0.0,1.0
2019-12-16,22.69,22.79,22.06,22.06,22.06,6661400.0,0.0,1.0
2019-12-13,22.36,22.67,22.06,22.67,22.67,7868400.0,0.0,1.0
2019-12-12,22.54,22.68,21.97,22.18,22.18,9425500.0,0.0,1.0
2019-12-11,22.2,22.55,22.05,22.55,22.55,9921600.0,0.0,1.0
2019-12-10,21.9,22.18,21.82,22.18,22.18,3728300.0,0.0,1.0
2019-12-09,21.78,22.04,21.51,21.92,21.92,4928900.0,0.0,1.0
2019-12-06,21.82,21.95,21.6,21.78,21.78,5075500.0,0.0,1.0
2019-12-05,21.29,21.77,21.14,21.77,21.77,2893300.0,0.0,1.0
2019-12-04,21.04,21.41,20.9,21.32,21.32,4952100.0,0.0,1.0
2019-12-03,20.71,21.05,20.6,20.87,20.87,3990700.0,0.0,1.0
2019-12-02,20.73,20.85,20.48,20.6,20.6,5458500.0,0.0,1.0
2019-11-29,20.5,20.77,20.3,20.64,20.64,6424300.0,0.0,1.0
2019-11-28,20.49,20.59,20.2,20.49,20.49,5726600.0,0.0,5.0
2019-11-27,20.26,20.462,20.052,20.36,20.36,6043500.0,0.0,1.0
2019-11-26,20.434,20.558,19.98,20.1,20.1,16865500.0,0.0,1.0
2019-11-25,20.712,20.858,20.57,20.618,20.618,3929500.0,0.0,1.0
2019-11-22,20.862,20.878,20.56,20.63,20.63,4939500.0,0.0,1.0
2019-11-21,20.558,20.878,20.438,20.878,20.878,5100500.0,0.0,1.0
2019-11-19,20.732,20.82,20.22,20.526,20.526,6969000.0,0.0,5.0
2019-11-18,20.952,20.952,20.66,20.732,20.732,3922500.0,0.0,1.0
2019-11-14,20.448,20.882,20.374,20.882,20.882,5047500.0,0.0,1.0
2019-11-13,20.22,20.476,20.21,20.448,20.448,3601500.0,0.0,1.0
2019-11-12,20.4,20.53,19.998,20.388,20.388,8085000.0,0.0,1.0
2019-11-11,20.05,20.56,19.91,20.56,20.56,4030000.0,0.0,1.0
2019-11-08,20.298,20.5,19.912,20.05,20.05,4031000.0,0.0,1.0
2019-11-07,20.406,20.546,20.256,20.456,20.456,4453000.0,0.0,1.0
2019-11-06,20.62,20.628,20.2,20.244,20.244,4571500.0,0.0,1.0
2019-11-05,20.48,20.508,20.226,20.508,20.508,4758000.0,0.0,1.0
2019-11-04,20.28,20.634,20.28,20.526,20.526,6160000.0,0.0,1.0
2019-11-01,20.33,20.506,19.81,20.264,20.264,8027000.0,0.0,1.0
2019-10-31,20.436,20.492,20.224,20.376,20.376,6063500.0,0.0,1.0
2019-10-30,19.952,20.494,19.89,20.452,20.452,3434500.0,0.0,1.0
2019-10-29,19.676,20.226,19.676,19.952,19.952,6764000.0,0.0,1.0
2019-10-28,19.6,19.752,19.46,19.742,19.742,3134500.0,0.0,1.0
2019-10-25,19.882,19.882,19.462,19.52,19.52,5715500.0,0.0,1.0
2019-10-24,19.8,19.886,19.58,19.85,19.85,3602500.0,0.0,1.0
2019-10-23,20.082,20.082,19.67,19.68,19.68,5996000.0,0.0,1.0
2019-10-22,20.398,20.476,19.83,19.964,19.964,8863000.0,0.0,1.0
2019-10-21,20.02,20.382,20.018,20.382,20.382,3453500.0,0.0,1.0
2019-10-18,19.844,20.19,19.814,20.082,20.082,5547500.0,0.0,1.0
2019-10-17,19.806,19.97,19.728,19.844,19.844,6098000.0,0.0,1.0
2019-10-16,19.62,20.14,19.264,20.0,20.0,13437500.0,0.0,1.0
2019-10-15,20.52,20.786,19.37,19.57,19.57,23692500.0,0.0,1.0
2019-10-14,20.222,20.612,20.12,20.59,20.59,4788000.0,0.0,1.0
2019-10-11,19.898,20.362,19.65,20.244,20.244,4438000.0,0.0,1.0
2019-10-10,19.448,19.78,19.374,19.78,19.78,4143000.0,0.0,1.0
2019-10-09,19.41,19.952,19.32,19.518,19.518,3850500.0,0.0,1.0
2019-10-08,19.538,19.812,19.21,19.288,19.288,5488000.0,0.0,1.0
2019-10-07,19.924,20.03,19.538,19.538,19.538,5656500.0,0.0,1.0
2019-10-04,19.728,20.248,19.584,20.072,20.072,4030000.0,0.0,1.0
2019-10-03,19.604,19.708,19.324,19.7,19.7,2968000.0,0.0,1.0
2019-10-02,19.734,19.738,19.542,19.548,19.548,3349000.0,0.0,1.0
2019-10-01,20.104,20.128,19.798,19.86,19.86,3636500.0,0.0,1.0
2019-09-30,19.98,20.208,19.864,20.058,20.058,4388000.0,0.0,1.0
2019-09-27,19.92,19.992,19.784,19.942,19.942,3668500.0,0.0,1.0
2019-09-26,19.8,19.984,19.786,19.918,19.918,4931000.0,0.0,1.0
2019-09-25,20.152,20.168,19.76,19.9,19.9,8522500.0,0.0,1.0
2019-09-24,20.278,20.308,20.04,20.224,20.224,4316500.0,0.0,1.0
2019-09-23,20.22,20.338,20.138,20.282,20.282,2733000.0,0.0,1.0
2019-09-20,20.98,20.98,19.976,20.426,20.426,8763000.0,0.0,1.0
2019-09-19,20.464,20.986,20.422,20.442,20.442,8348500.0,0.0,1.0
2019-09-18,20.194,20.376,20.06,20.376,20.376,2238000.0,0.0,1.0
