date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2020-06-12,62.3,62.79,61.1,62.18,62.18,2362700.0,0.0,1.0
2020-06-10,64.4,64.93,62.96,64.0,64.0,4172100.0,0.0,1.0
2020-06-09,63.21,63.89,62.15,63.66,63.66,2363500.0,0.0,1.0
2020-06-08,65.38,65.71,63.2,64.24,64.24,3005000.0,0.0,1.0
2020-06-05,63.3,65.4,62.72,64.1,64.1,3570600.0,0.0,1.0
2020-06-04,62.15,63.49,61.6,62.48,62.48,3864500.0,0.0,1.0
2020-06-03,63.35,64.68,61.52,62.75,62.75,6737500.0,0.0,1.0
2020-06-02,61.37,63.62,60.95,63.26,63.26,4619800.0,0.0,1.0
2020-06-01,61.16,62.97,60.54,61.75,61.75,4197700.0,0.0,1.0
2020-05-29,62.52,62.82,60.0,62.3,62.3,6767600.0,0.0,1.0
2020-05-28,61.66,63.78,60.88,62.59,62.59,2862300.0,0.0,1.0
2020-05-27,62.95,63.01,61.03,62.4,62.4,2775100.0,0.0,1.0
2020-05-26,60.12,62.86,59.72,62.4,62.4,4324900.0,0.0,1.0
2020-05-25,57.31,60.05,56.94,59.5,59.5,1814100.0,0.0,1.0
2020-05-22,55.9,57.0,55.6,56.59,56.59,3174000.0,0.0,1.0
2020-05-21,55.8,57.77,54.74,56.52,56.52,5841100.0,0.0,1.0
2020-05-20,55.01,55.98,53.91,55.47,55.47,2474900.0,0.0,1.0
2020-05-19,55.39,56.25,54.1,55.32,55.32,1824300.0,0.0,1.0
2020-05-18,53.77,55.38,52.74,55.38,55.38,2731700.0,0.0,1.0
2020-05-15,51.95,52.34,49.8,52.34,52.34,5230700.0,0.0,1.0
2020-05-14,52.5,53.31,50.46,52.59,52.59,6195400.0,0.0,1.0
2020-05-13,54.79,55.2,51.29,53.12,53.12,3161700.0,0.0,1.0
2020-05-12,53.02,56.04,53.01,54.37,54.37,2827400.0,0.0,1.0
2020-05-11,55.0,55.8,53.17,53.77,53.77,2776200.0,0.0,1.0
2020-05-08,58.25,58.41,54.22,55.69,55.69,3411900.0,0.0,1.0
2020-05-07,56.0,59.56,55.02,56.49,56.49,7156200.0,0.0,1.0
2020-05-06,54.86,55.65,52.65,54.26,54.26,4355400.0,0.0,1.0
2020-05-05,53.81,56.29,52.69,54.7,54.7,3574700.0,0.0,1.0
2020-05-04,51.81,53.5,51.07,53.5,53.5,4366200.0,0.0,1.0
2020-04-30,55.98,56.95,54.51,54.81,54.81,2946400.0,0.0,1.0
2020-04-29,56.8,57.85,56.19,57.0,57.0,3982400.0,0.0,1.0
2020-04-28,55.68,57.37,55.14,56.0,56.0,3351200.0,0.0,1.0
2020-04-27,53.02,54.99,52.35,54.79,54.79,5183000.0,0.0,1.0
2020-04-24,52.16,53.41,46.1,52.04,52.04,6883600.0,0.0,1.0
2020-04-23,56.85,57.24,51.59,54.28,54.28,4697700.0,0.0,1.0
2020-04-22,58.75,59.45,56.18,56.85,56.85,4051300.0,0.0,1.0
2020-04-20,54.0,59.37,53.29,57.54,57.54,2280900.0,0.0,1.0
2020-04-17,56.25,57.0,54.61,55.6,55.6,3690100.0,0.0,1.0
2020-04-16,55.4,56.2,53.7,54.93,54.93,4421800.0,0.0,1.0
2020-04-15,54.69,56.08,52.82,54.74,54.74,4092100.0,0.0,1.0
2020-04-14,52.95,57.13,52.68,56.07,56.07,5406400.0,0.0,1.0
2020-04-13,51.05,52.0,50.18,51.0,51.0,2583000.0,0.0,1.0
2020-04-09,50.25,53.72,49.2,52.15,52.15,4340800.0,0.0,1.0
2020-04-08,48.91,51.0,47.97,50.23,50.23,2067700.0,0.0,1.0
2020-04-07,50.47,51.99,47.86,48.68,48.68,5379500.0,0.0,1.0
2020-04-06,39.19,46.16,39.19,43.61,43.61,5508400.0,0.0,1.0
2020-04-03,42.0,42.12,37.32,37.35,37.35,7724400.0,0.0,1.0
2020-04-02,41.38,43.19,40.7,42.46,42.46,5247100.0,0.0,1.0
2020-04-01,42.31,43.73,39.12,41.42,41.42,7664500.0,0.0,1.0
2020-03-31,47.37,48.58,44.04,44.96,44.96,4600000.0,0.0,1.0
2020-03-30,47.74,49.36,46.86,48.0,48.0,3424600.0,0.0,1.0
2020-03-27,51.4,51.5,47.29,47.74,47.74,4930500.0,0.0,1.0
2020-03-26,49.7,54.63,48.75,53.11,53.11,5970700.0,0.1667,1.0
2020-03-25,42.9,53.0,42.8,48.5,48.3333,5449300.0,0.0,1.0
2020-03-24,41.99,46.4,41.45,44.3,44.1477,8115800.0,0.0,1.0
2020-03-23,39.89,42.1,37.75,39.64,39.5037,6762800.0,0.0,1.0
2020-03-20,37.01,41.69,36.51,39.99,39.8525,10798600.0,0.0,1.0
2020-03-19,32.3,37.04,29.48,36.15,36.0257,8047100.0,0.0,1.0
2020-03-18,36.9,38.17,30.5,33.5,33.3848,13139200.0,0.0,1.0
2020-03-17,41.35,43.08,38.66,41.6,41.457,11685000.0,0.0,1.0
2020-03-16,38.54,42.98,36.65,40.75,40.6099,13890000.0,0.0,1.0
2020-03-13,48.0,48.5,41.33,46.2,46.0412,11546300.0,0.0,1.0
2020-03-12,40.8,44.0,36.12,41.4,41.2577,4809700.0,0.0,1.0
2020-03-11,52.45,53.66,45.5,49.0,48.8316,6116400.0,0.0,1.0
2020-03-10,52.3,55.65,51.24,54.95,54.7611,8145600.0,0.0,1.0
2020-03-09,51.16,54.73,50.8,51.0,50.8247,10199100.0,0.0,1.0
2020-03-06,57.0,59.67,56.68,59.0,58.7972,5953800.0,0.0,1.0
