date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2020-06-12,6.49,6.66,6.33,6.38,6.38,10090500.0,0.0,1.0
2020-06-10,7.14,7.18,6.71,6.77,6.77,19859300.0,0.0,1.0
2020-06-09,7.03,7.12,6.92,7.03,7.03,16313200.0,0.0,1.0
2020-06-08,7.16,7.34,7.07,7.23,7.23,18286200.0,0.0,1.0
2020-06-05,7.28,7.42,7.02,7.07,7.07,22896200.0,0.0,1.0
2020-06-04,6.85,7.14,6.78,7.04,7.04,16216100.0,0.0,1.0
2020-06-03,6.63,7.05,6.48,6.95,6.95,31745400.0,0.0,1.0
2020-06-02,6.3,6.64,6.28,6.48,6.48,24695800.0,0.0,1.0
2020-06-01,6.25,6.31,6.11,6.21,6.21,12076900.0,0.0,1.0
2020-05-29,6.26,6.38,6.0,6.17,6.17,20595100.0,0.0,1.0
2020-05-28,6.07,6.28,5.97,6.2,6.2,21668000.0,0.0,1.0
2020-05-27,5.53,6.08,5.51,6.08,6.08,25086500.0,0.0,1.0
2020-05-26,5.71,5.85,5.4,5.44,5.44,15956800.0,0.0,1.0
2020-05-25,5.48,5.64,5.47,5.62,5.62,8102300.0,0.0,1.0
2020-05-22,5.38,5.44,5.25,5.32,5.32,7661200.0,0.0,1.0
2020-05-21,5.45,5.6,5.33,5.48,5.48,14519000.0,0.0,1.0
2020-05-20,5.51,5.64,5.41,5.42,5.42,9934400.0,0.0,1.0
2020-05-19,5.44,5.55,5.34,5.43,5.43,13197500.0,0.0,1.0
2020-05-18,5.16,5.47,5.14,5.42,5.42,15343700.0,0.0,1.0
2020-05-15,5.17,5.27,4.95,4.95,4.95,18651000.0,0.0,1.0
2020-05-14,5.07,5.27,4.88,5.25,5.25,18809700.0,0.0,1.0
2020-05-13,5.5,5.53,5.12,5.17,5.17,15899000.0,0.0,1.0
2020-05-12,5.69,5.74,5.38,5.44,5.44,12832700.0,0.0,1.0
2020-05-11,5.77,5.83,5.58,5.64,5.64,13621800.0,0.0,1.0
2020-05-08,5.74,5.85,5.58,5.83,5.83,21170900.0,0.0,1.0
2020-05-07,5.3,5.64,5.22,5.54,5.54,24114600.0,0.0,1.0
2020-05-06,5.17,5.31,4.94,5.2,5.2,14913200.0,0.0,1.0
2020-05-05,5.22,5.32,5.12,5.14,5.14,11430300.0,0.0,1.0
2020-05-04,4.94,5.12,4.89,5.1,5.1,12380300.0,0.0,1.0
2020-04-30,5.3,5.37,5.12,5.15,5.15,20218600.0,0.0,1.0
2020-04-29,5.4,5.65,5.34,5.5,5.5,16065800.0,0.0,1.0
2020-04-28,5.2,5.36,5.11,5.27,5.27,16390800.0,0.0,1.0
2020-04-27,5.0,5.1,4.84,5.03,5.03,13072800.0,0.0,1.0
2020-04-24,5.21,5.36,4.7,4.85,4.85,27330200.0,0.0,1.0
2020-04-23,5.21,5.57,5.15,5.32,5.32,27438000.0,0.0,1.0
2020-04-22,5.23,5.36,5.11,5.17,5.17,20181400.0,0.0,1.0
2020-04-20,5.22,5.43,5.15,5.2,5.2,17264700.0,0.0,1.0
2020-04-17,5.25,5.48,5.23,5.4,5.4,20600500.0,0.0,1.0
2020-04-16,5.12,5.15,4.92,5.1,5.1,14127900.0,0.0,1.0
2020-04-15,4.88,5.08,4.81,5.02,5.02,14307800.0,0.0,1.0
2020-04-14,5.07,5.25,5.04,5.11,5.11,13735200.0,0.0,1.0
2020-04-13,4.7,4.96,4.61,4.96,4.96,14494600.0,0.0,1.0
2020-04-09,5.0,5.05,4.68,4.72,4.72,16225000.0,0.0,1.0
2020-04-08,4.6,4.99,4.57,4.89,4.89,18592800.0,0.0,1.0
2020-04-07,4.67,4.85,4.6,4.6,4.6,16674600.0,0.0,1.0
2020-04-06,4.48,4.52,4.26,4.34,4.34,15694700.0,0.0,1.0
2020-04-03,4.6,4.64,4.07,4.18,4.18,20200800.0,0.0,1.0
2020-04-02,4.62,4.81,4.44,4.56,4.56,18724800.0,0.0,1.0
2020-04-01,4.51,4.59,4.37,4.46,4.46,15287300.0,0.0,1.0
2020-03-31,4.55,4.87,4.5,4.65,4.65,26191600.0,0.0,1.0
2020-03-30,4.69,4.76,4.39,4.5,4.5,14577600.0,0.0,1.0
2020-03-27,4.56,4.81,4.48,4.6,4.6,16462300.0,0.0,1.0
2020-03-26,4.45,5.07,4.44,4.81,4.81,27674100.0,0.0,1.0
2020-03-25,4.15,4.7,4.14,4.56,4.56,20820600.0,0.0,1.0
2020-03-24,4.2,4.25,3.99,4.17,4.17,14825000.0,0.0,1.0
2020-03-23,4.12,4.15,3.8,3.84,3.84,19404500.0,0.0,1.0
2020-03-20,4.55,4.65,3.94,4.15,4.15,23403400.0,0.0,1.0
2020-03-19,4.0,4.66,3.71,4.24,4.24,30371000.0,0.0,1.0
2020-03-18,4.55,4.75,3.97,4.32,4.32,24821400.0,0.0,1.0
