date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2020-06-12,18.41,19.97,18.36,18.64,18.64,14761100.0,0.0,1.0
2020-06-10,23.52,24.27,20.05,20.24,20.24,31083900.0,0.0,1.0
2020-06-09,22.85,25.13,21.57,22.4,22.4,35479000.0,0.0,1.0
2020-06-08,20.1,23.99,19.87,23.99,23.99,32713400.0,0.0,1.0
2020-06-05,18.2,18.93,18.11,18.7,18.7,23200600.0,0.0,1.0
2020-06-04,17.31,18.19,16.72,17.04,17.04,23782800.0,0.0,1.0
2020-06-03,16.01,17.87,16.01,17.59,17.59,33646300.0,0.0,1.0
2020-06-02,13.5,15.3,13.37,15.11,15.11,29631400.0,0.0,1.0
2020-06-01,11.86,13.13,11.78,13.06,13.06,19637900.0,0.0,1.0
2020-05-29,12.09,12.18,11.64,12.03,12.03,11099100.0,0.0,1.0
2020-05-28,12.37,12.58,12.0,12.24,12.24,9025600.0,0.0,1.0
2020-05-27,12.48,12.65,11.95,12.37,12.37,8496300.0,0.0,1.0
2020-05-26,13.0,13.19,12.15,12.29,12.29,11545400.0,0.0,1.0
2020-05-25,12.8,13.09,12.44,12.6,12.6,7338500.0,0.0,1.0
2020-05-22,12.15,12.37,11.87,12.23,12.23,10383900.0,0.0,1.0
2020-05-21,12.83,13.7,12.5,12.5,12.5,18749300.0,0.0,1.0
2020-05-20,12.01,13.76,11.9,12.68,12.68,29244300.0,0.0,1.0
2020-05-19,12.3,12.84,11.35,11.65,11.65,20242600.0,0.0,1.0
2020-05-18,11.44,12.57,11.26,12.43,12.43,18105600.0,0.0,1.0
2020-05-15,10.27,11.22,10.22,10.86,10.86,16681900.0,0.0,1.0
2020-05-14,9.89,10.56,9.53,10.43,10.43,9921000.0,0.0,1.0
2020-05-13,10.21,10.35,9.72,10.07,10.07,9714000.0,0.0,1.0
2020-05-12,10.7,10.92,10.0,10.0,10.0,6570600.0,0.0,1.0
2020-05-11,10.64,10.9,10.27,10.54,10.54,5872300.0,0.0,1.0
2020-05-08,11.03,11.24,10.64,11.0,11.0,6818800.0,0.0,1.0
2020-05-07,11.95,11.95,10.74,10.75,10.75,10974800.0,0.0,1.0
2020-05-06,11.6,11.98,11.21,11.52,11.52,7174600.0,0.0,1.0
2020-05-05,11.5,11.96,11.35,11.78,11.78,7917300.0,0.0,1.0
2020-05-04,11.38,11.59,10.79,11.15,11.15,12725500.0,0.0,1.0
2020-04-30,12.87,13.1,12.23,12.4,12.4,12438800.0,0.0,1.0
2020-04-29,12.62,13.4,12.37,13.34,13.34,13112200.0,0.0,1.0
2020-04-28,11.36,12.33,11.08,12.19,12.19,10695900.0,0.0,1.0
2020-04-27,11.15,11.28,10.52,10.92,10.92,7200900.0,0.0,1.0
2020-04-24,11.9,12.02,10.55,10.67,10.67,16227400.0,0.0,1.0
2020-04-23,12.0,12.69,11.9,12.11,12.11,13402800.0,0.0,1.0
2020-04-22,12.05,12.24,11.87,11.9,11.9,6851700.0,0.0,1.0
2020-04-20,11.7,12.39,11.61,12.07,12.07,8218900.0,0.0,1.0
2020-04-17,12.25,12.36,11.8,12.0,12.0,9127900.0,0.0,1.0
2020-04-16,12.76,12.84,11.65,11.76,11.76,12927000.0,0.0,1.0
2020-04-15,11.14,12.34,10.97,12.28,12.28,12479200.0,0.0,1.0
2020-04-14,11.75,11.99,11.36,11.46,11.46,10820500.0,0.0,1.0
2020-04-13,11.3,11.89,11.14,11.45,11.45,8166000.0,0.0,1.0
2020-04-09,12.46,12.89,11.4,11.63,11.63,14736700.0,0.0,1.0
2020-04-08,10.8,12.19,10.34,11.99,11.99,15074600.0,0.0,1.0
2020-04-07,11.28,11.44,10.8,10.95,10.95,14581900.0,0.0,1.0
2020-04-06,10.46,10.77,9.8,10.15,10.15,13090800.0,0.0,1.0
2020-04-03,9.9,10.03,9.06,9.47,9.47,10315300.0,0.0,1.0
2020-04-02,10.39,11.14,9.71,10.13,10.13,15094200.0,0.0,1.0
2020-04-01,10.21,10.44,9.7,9.98,9.98,15959000.0,0.0,1.0
2020-03-31,12.45,12.69,11.25,11.37,11.37,13226500.0,0.0,1.0
2020-03-30,13.63,14.28,12.29,12.3,12.3,18344400.0,0.0,1.0
2020-03-27,11.79,14.18,11.38,12.59,12.59,24692300.0,0.0,1.0
2020-03-26,11.0,14.79,11.0,13.04,13.04,33369200.0,0.0,1.0
2020-03-25,8.2,11.25,8.2,10.94,10.94,29907100.0,0.0,1.0
2020-03-24,8.6,8.6,7.63,8.1,8.1,15416100.0,0.0,1.0
2020-03-23,7.3,7.44,6.4,6.93,6.93,14997900.0,0.0,1.0
2020-03-20,7.35,9.04,6.75,7.28,7.28,26967900.0,0.0,1.0
2020-03-19,5.54,6.93,4.81,6.25,6.25,18287600.0,0.0,1.0
2020-03-18,7.19,7.19,5.3,5.6,5.6,19431100.0,0.0,1.0
2020-03-17,8.41,8.65,7.38,7.78,7.78,18230300.0,0.0,1.0
2020-03-16,8.9,9.47,8.02,8.04,8.04,17498800.0,0.0,1.0
2020-03-13,12.15,12.21,9.54,11.17,11.17,18216100.0,0.0,1.0
2020-03-12,13.1,13.1,9.72,9.97,9.97,9974600.0,0.0,1.0
2020-03-11,17.82,18.1,14.6,15.65,15.65,11844100.0,0.0,1.0
2020-03-10,18.86,19.62,17.07,18.32,18.32,11597600.0,0.0,1.0
2020-03-09,19.5,19.66,17.36,17.38,17.38,7560100.0,0.0,1.0
2020-03-06,18.1,21.72,18.1,21.05,21.05,14833900.0,0.0,1.0
2020-03-05,24.2,24.4,19.82,20.65,20.65,13712100.0,0.0,1.0
2020-03-04,26.0,26.21,24.72,24.81,24.81,9269800.0,0.0,1.0
2020-03-03,26.38,26.78,24.75,25.12,25.12,8695300.0,0.0,1.0
2020-03-02,25.6,27.0,24.92,26.11,26.11,8434200.0,0.0,1.0
2020-02-28,25.74,26.74,24.62,25.6,25.6,8269600.0,0.0,1.0
2020-02-27,28.1,28.47,26.4,26.4,26.4,10723600.0,0.0,1.0
2020-02-21,34.21,34.44,33.44,33.82,33.82,2841900.0,0.0,1.0
2020-02-20,36.5,36.77,34.24,34.8,34.8,6200100.0,0.0,1.0
2020-02-19,35.92,36.35,35.68,36.35,36.35,1937500.0,0.0,1.0
2020-02-18,35.96,36.25,35.07,35.87,35.87,2555300.0,0.0,1.0
2020-02-17,36.05,36.51,35.84,36.39,36.39,2132700.0,0.0,1.0
2020-02-14,35.67,36.18,35.44,36.0,36.0,2414100.0,0.0,1.0
2020-02-13,35.6,36.08,35.17,35.4,35.4,2359300.0,0.0,1.0
2020-02-12,36.5,36.85,35.49,36.3,36.3,4318400.0,0.0,1.0
2020-02-11,34.3,36.38,34.29,36.2,36.2,3383800.0,0.0,1.0
2020-02-10,34.6,34.8,33.7,34.16,34.16,3640500.0,0.0,1.0
2020-02-07,35.45,35.88,34.24,34.46,34.46,3369800.0,0.0,1.0
2020-02-06,36.39,36.86,35.54,35.75,35.75,4277100.0,0.0,1.0
2020-02-05,35.85,36.35,35.33,36.19,36.19,3145700.0,0.0,1.0
2020-02-04,35.49,36.25,35.1,35.16,35.16,3644900.0,0.0,1.0
2020-02-03,34.05,35.23,33.32,34.35,34.35,3807200.0,0.0,1.0
2020-01-31,34.1,34.92,33.94,34.25,34.25,3664900.0,0.0,1.0
2020-01-30,34.2,35.21,33.21,35.04,35.04,6859700.0,0.0,1.0
2020-01-29,36.46,36.83,34.94,34.94,34.94,4150600.0,0.0,1.0
2020-01-28,36.0,36.83,35.4,36.19,36.19,6342400.0,0.0,1.0
2020-01-27,36.4,36.63,35.23,35.3,35.3,6453300.0,0.0,1.0
2020-01-24,39.21,39.26,37.27,37.82,37.82,5773500.0,0.0,1.0
2020-01-23,36.66,39.17,36.44,39.05,39.05,6248800.0,0.0,1.0
2020-01-22,36.98,37.9,36.32,37.18,37.18,5323500.0,0.0,1.0
2020-01-21,37.8,37.8,36.15,36.68,36.68,3322000.0,0.0,1.0
2020-01-20,37.74,37.92,37.25,37.8,37.8,1518400.0,0.0,1.0
2020-01-17,36.98,37.93,36.83,37.93,37.93,3018300.0,0.0,1.0
2020-01-16,37.24,37.49,36.4,36.64,36.64,2737400.0,0.0,1.0
2020-01-15,37.85,37.99,36.72,36.97,36.97,3416200.0,0.0,1.0
2020-01-14,37.99,38.39,37.55,37.99,37.99,3268200.0,0.0,1.0
2020-01-13,37.21,38.2,37.2,38.0,38.0,4686100.0,0.0,1.0
2020-01-10,36.73,37.5,36.7,37.24,37.24,4187300.0,0.0,1.0
2020-01-09,36.05,36.9,35.98,36.65,36.65,4692400.0,0.0,1.0
2020-01-08,34.61,36.3,34.61,35.81,35.81,7156200.0,0.0,1.0
2020-01-07,34.65,34.84,34.21,34.45,34.45,3310300.0,0.0,1.0
2020-01-06,35.5,35.5,34.2,34.25,34.25,6271300.0,0.0,1.0
2020-01-03,36.0,36.45,35.59,35.9,35.9,4342600.0,0.0,1.0
2020-01-02,36.68,37.24,36.6,37.17,37.17,2319400.0,0.0,1.0
2019-12-30,36.75,37.39,36.45,36.8,36.8,2628100.0,0.0,1.0
2019-12-27,36.75,36.99,36.36,36.92,36.92,2680200.0,0.0,1.0
2019-12-26,36.6,36.7,36.32,36.65,36.65,1588800.0,0.0,1.0
2019-12-23,35.99,36.6,35.97,36.46,36.46,2173600.0,0.0,1.0
2019-12-20,36.5,36.7,35.47,35.89,35.89,2146100.0,0.0,1.0
2019-12-19,34.76,36.64,34.76,36.44,36.44,4208500.0,0.0,1.0
2019-12-18,35.17,35.42,34.61,35.15,35.15,5479300.0,0.0,1.0
2019-12-17,36.25,36.44,34.68,35.33,35.33,3635600.0,0.0,1.0
