date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2020-06-12,33.32,33.52,32.2,32.48,32.48,1452700.0,0.0,1.0
2020-06-10,35.14,35.37,33.92,34.36,34.36,2748000.0,0.0,1.0
2020-06-09,34.44,35.3,33.78,35.0,35.0,2816000.0,0.0,1.0
2020-06-08,34.55,34.98,34.06,34.6,34.6,2484900.0,0.0,1.0
2020-06-05,35.63,35.7,34.3,34.5,34.5,4394600.0,0.0,1.0
2020-06-04,34.0,34.94,33.33,34.62,34.62,3006500.0,0.0,1.0
2020-06-03,34.11,34.91,33.82,34.18,34.18,4601100.0,0.0,1.0
2020-06-02,33.0,34.48,32.8,34.1,34.1,4693800.0,0.0,1.0
2020-06-01,31.8,33.0,31.72,32.92,32.92,6838700.0,0.0,1.0
2020-05-29,31.22,32.99,30.65,32.22,32.22,9640900.0,0.0,1.0
2020-05-28,30.39,31.25,30.06,31.25,31.25,2051200.0,0.0,1.0
2020-05-27,30.5,31.39,30.14,31.0,31.0,3955300.0,0.0,1.0
2020-05-26,30.0,31.06,29.75,30.5,30.5,6704100.0,0.0,1.0
2020-05-25,29.1,29.34,28.28,28.5,28.5,3535500.0,0.0,1.0
2020-05-22,28.48,28.99,28.3,28.4,28.4,2037300.0,0.0,1.0
2020-05-21,27.64,28.8,27.64,28.55,28.55,5477700.0,0.0,1.0
2020-05-20,28.39,28.7,27.43,27.74,27.74,13862800.0,0.0,1.0
2020-05-19,29.39,29.41,28.01,28.27,28.27,4216600.0,0.0,1.0
2020-05-18,29.0,29.62,28.03,29.36,29.36,3474400.0,0.0,1.0
2020-05-15,27.84,28.67,27.62,28.39,28.39,2632200.0,0.0,1.0
2020-05-14,28.0,28.74,27.23,28.6,28.6,5508200.0,0.0,1.0
2020-05-13,28.1,28.72,28.01,28.27,28.27,4939500.0,0.0,1.0
2020-05-12,28.11,29.26,27.76,27.91,27.91,3693900.0,0.0,1.0
2020-05-11,28.1,28.4,27.76,28.11,28.11,2111700.0,0.0,1.0
2020-05-08,28.71,28.92,27.81,28.1,28.1,3073300.0,0.0,1.0
2020-05-07,27.73,28.71,27.01,28.08,28.08,5792600.0,0.0,1.0
2020-05-06,28.0,28.36,27.31,27.85,27.85,8782800.0,0.0,1.0
2020-05-05,28.9,28.93,27.58,27.98,27.98,3902100.0,0.0,1.0
2020-05-04,27.93,29.03,27.66,28.69,28.69,2130500.0,0.0,1.0
2020-04-30,29.61,30.0,28.61,29.08,29.08,3710100.0,0.0,1.0
2020-04-29,29.41,30.17,28.46,29.87,29.87,4813900.0,0.0,1.0
2020-04-28,29.7,30.1,28.77,29.25,29.25,3103300.0,0.0,1.0
2020-04-27,30.0,30.44,28.54,29.33,29.33,4912100.0,0.0,1.0
2020-04-24,30.71,30.76,27.72,30.01,30.01,5121400.0,0.0,1.0
2020-04-23,34.0,34.18,30.85,30.85,30.85,3329200.0,0.0,1.0
2020-04-22,31.4,34.09,31.37,33.7,33.7,4540400.0,0.0,1.0
2020-04-20,30.42,31.75,30.31,31.37,31.37,1637800.0,0.0,1.0
2020-04-17,31.59,31.8,30.47,31.36,31.36,2512700.0,0.0,1.0
2020-04-16,31.26,31.72,30.83,31.18,31.18,1734800.0,0.0,1.0
2020-04-15,31.27,31.83,31.0,31.15,31.15,1815700.0,0.0,1.0
2020-04-14,31.75,32.28,30.99,32.0,32.0,2616000.0,0.0,1.0
2020-04-13,31.3,31.55,30.1,31.16,31.16,1380200.0,0.0,1.0
2020-04-09,31.75,32.54,31.23,31.46,31.46,2121900.0,0.0,1.0
2020-04-08,30.3,32.7,29.96,32.12,32.12,2708900.0,0.0,1.0
2020-04-07,31.45,32.21,30.05,30.05,30.05,3161700.0,0.0,1.0
2020-04-06,30.49,30.88,28.88,29.76,29.76,1646300.0,0.0,1.0
2020-04-03,29.4,30.3,27.91,28.72,28.72,3566300.0,0.0,1.0
2020-04-02,27.31,29.52,27.21,29.52,29.52,3853300.0,0.0,1.0
2020-04-01,27.59,28.29,26.52,27.21,27.21,4092800.0,0.0,1.0
2020-03-31,30.7,30.7,28.14,28.59,28.59,2905800.0,0.0,1.0
2020-03-30,30.91,31.36,30.18,30.7,30.7,2432800.0,0.2939,1.0
2020-03-27,30.0,32.05,29.84,31.33,31.0361,4626300.0,0.0,1.0
2020-03-26,32.96,33.98,31.54,31.95,31.6502,5183600.0,0.0,1.0
2020-03-25,28.17,33.81,28.17,32.72,32.413,3905700.0,0.0,1.0
2020-03-24,28.67,31.53,28.03,28.97,28.6982,8132700.0,0.0,1.0
2020-03-23,29.0,29.39,26.1,26.8,26.5486,3989000.0,0.0,1.0
2020-03-20,32.01,32.39,28.78,29.25,28.9756,5340700.0,0.0,1.0
2020-03-19,29.16,31.42,27.34,31.26,30.9667,6811300.0,0.0,1.0
2020-03-18,28.96,31.19,26.07,29.24,28.9657,7655000.0,0.0,1.0
2020-03-17,29.0,32.7,28.21,31.19,30.8974,6912200.0,0.0,1.0
2020-03-16,30.0,30.83,28.11,28.32,28.0543,3763300.0,0.0,1.0
2020-03-13,35.73,37.28,30.27,33.4,33.0866,6429200.0,0.0,1.0
2020-03-12,32.0,32.6,29.98,31.07,30.7785,2866100.0,0.0,1.0
2020-03-11,35.98,36.58,33.27,34.8,34.4735,4383500.0,0.0,1.0
2020-03-10,36.3,37.82,35.34,37.21,36.8609,4143400.0,0.0,1.0
2020-03-09,37.25,37.99,34.73,35.5,35.1669,5185000.0,0.0,1.0
2020-03-06,39.0,40.06,38.55,39.62,39.2483,3664800.0,0.0,1.0
2020-03-05,41.69,41.75,40.08,40.7,40.3181,5295700.0,0.0,1.0
2020-03-04,42.0,42.68,40.83,41.78,41.388,6651900.0,0.0,1.0
2020-03-03,40.1,42.8,40.07,41.05,40.6649,11994500.0,0.0,1.0
2020-03-02,37.01,40.99,36.94,40.0,39.6247,19935100.0,0.0,1.0
2020-02-28,33.94,34.43,32.68,34.3,33.9782,3251200.0,0.0,1.0
2020-02-27,34.46,34.89,33.91,34.06,33.7404,3146000.0,0.0,1.0
2020-02-21,36.07,36.72,35.55,36.2,35.8604,1900200.0,0.0,1.0
2020-02-20,36.45,36.89,35.88,36.22,35.8802,1915600.0,0.0,1.0
2020-02-19,36.39,36.69,36.01,36.65,36.3061,1396700.0,0.0,1.0
2020-02-18,37.33,37.35,36.06,36.39,36.0486,1622500.0,0.0,1.0
2020-02-17,37.32,37.77,37.15,37.48,37.1284,956900.0,0.0,1.0
