date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2020-06-12,9.7,9.87,9.58,9.67,9.67,21460800.0,0.0,1.0
2020-06-10,10.5,10.5,10.01,10.03,10.03,40216500.0,0.0,1.0
2020-06-09,10.18,10.52,10.07,10.36,10.36,32069600.0,0.0,1.0
2020-06-08,10.17,10.45,10.16,10.4,10.4,28408100.0,0.0,1.0
2020-06-05,10.29,10.59,10.0,10.04,10.04,48132000.0,0.0,1.0
2020-06-04,9.74,10.03,9.63,9.92,9.92,43159900.0,0.0,1.0
2020-06-03,9.87,9.99,9.78,9.81,9.81,48489800.0,0.0,1.0
2020-06-02,9.18,9.58,9.15,9.54,9.54,36273300.0,0.0,1.0
2020-06-01,8.84,9.15,8.76,9.07,9.07,38993000.0,0.02,1.0
2020-05-29,8.96,8.97,8.78,8.86,8.84,55731900.0,0.0,1.0
2020-05-28,9.07,9.21,9.0,9.0,8.9797,20739100.0,0.0,1.0
2020-05-27,9.09,9.15,8.98,9.11,9.0894,26588400.0,0.0,1.0
2020-05-26,9.3,9.43,8.83,8.92,8.8999,47685600.0,0.0,1.0
2020-05-25,9.18,9.25,9.05,9.24,9.2191,21854400.0,0.0,1.0
2020-05-22,8.6,9.02,8.51,8.86,8.84,44217600.0,0.0,1.0
2020-05-21,8.28,8.72,8.28,8.69,8.6704,40800700.0,0.0,1.0
2020-05-20,8.26,8.35,8.2,8.25,8.2314,24892000.0,0.0,1.0
2020-05-19,8.5,8.52,8.2,8.24,8.2214,37380300.0,0.0,1.0
2020-05-18,8.43,8.58,8.26,8.54,8.5207,41327900.0,0.0,1.0
2020-05-15,8.45,8.54,8.14,8.14,8.1216,30648100.0,0.0,1.0
2020-05-14,8.1,8.55,7.84,8.52,8.5008,58351400.0,0.0,1.0
2020-05-13,8.26,8.3,7.97,8.22,8.2014,44712700.0,0.0,1.0
2020-05-12,8.41,8.49,8.16,8.18,8.1615,37151400.0,0.0,1.0
2020-05-11,8.48,8.7,8.42,8.42,8.401,27245800.0,0.0,1.0
2020-05-08,8.49,8.72,8.44,8.49,8.4708,33802200.0,0.0,1.0
2020-05-07,8.8,8.83,8.24,8.29,8.2713,55340900.0,0.0,1.0
2020-05-06,8.91,8.94,8.65,8.7,8.6804,25678100.0,0.0,1.0
2020-05-05,8.8,9.08,8.73,8.91,8.8899,39421400.0,0.0,1.0
2020-05-04,8.7,8.74,8.63,8.7,8.6804,24200500.0,0.0,1.0
2020-04-30,8.94,9.13,8.84,9.0,8.9797,30937200.0,0.0,1.0
2020-04-29,9.46,9.53,9.12,9.26,9.2391,30467700.0,0.0,1.0
2020-04-28,9.1,9.35,9.05,9.28,9.2591,34780000.0,0.0,1.0
2020-04-27,8.69,8.93,8.53,8.67,8.6504,28298400.0,0.0,1.0
2020-04-24,8.72,8.73,8.16,8.4,8.381,59277100.0,0.0,1.0
