date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2020-06-12,25.91,26.37,25.73,26.1,26.1,22078800.0,0.0,1.0
2020-06-10,28.11,28.17,26.48,26.59,26.59,49244800.0,0.0,1.0
2020-06-09,27.57,28.24,27.26,27.8,27.8,51638000.0,0.0,1.0
2020-06-08,27.61,28.48,27.51,28.36,28.36,31763300.0,0.0,1.0
2020-06-05,28.16,28.7,27.18,27.26,27.26,64665500.0,0.0,1.0
2020-06-04,25.77,26.83,25.48,26.67,26.67,44336600.0,0.0,1.0
2020-06-03,26.3,26.77,25.8,25.92,25.92,58718200.0,0.0,1.0
2020-06-02,24.0,25.3,23.83,25.25,25.25,57810700.0,0.0,1.0
2020-06-01,22.83,23.85,22.7,23.66,23.66,39221300.0,0.015,1.0
2020-05-29,23.18,23.3,22.71,23.04,23.025,53968500.0,0.0,1.0
2020-05-28,23.49,24.05,23.31,23.31,23.2948,23918500.0,0.0,1.0
2020-05-27,23.64,23.73,23.16,23.73,23.7146,36440100.0,0.0,1.0
2020-05-26,24.33,24.42,22.86,23.01,22.995,53066900.0,0.0,1.0
2020-05-25,23.91,24.19,23.39,23.96,23.9444,28158200.0,0.0,1.0
2020-05-22,22.6,23.35,22.21,22.96,22.9451,51255200.0,0.0,1.0
2020-05-21,21.72,22.84,21.71,22.84,22.8251,60803900.0,0.0,1.0
2020-05-20,21.93,21.95,21.36,21.6,21.5859,41396000.0,0.0,1.0
2020-05-19,22.63,22.72,21.61,21.69,21.6759,40881800.0,0.0,1.0
2020-05-18,22.45,22.94,22.01,22.67,22.6552,49600900.0,0.0,1.0
2020-05-15,22.5,22.77,21.63,21.63,21.6159,37767500.0,0.0,1.0
2020-05-14,21.31,22.59,20.73,22.55,22.5353,61771700.0,0.0,1.0
2020-05-13,21.74,21.94,21.2,21.6,21.5859,34711100.0,0.0,1.0
2020-05-12,22.51,22.66,21.59,21.61,21.5959,43248200.0,0.0,1.0
2020-05-11,22.17,23.03,22.17,22.38,22.3654,38216500.0,0.0,1.0
2020-05-08,22.02,22.77,21.9,22.32,22.3055,35745100.0,0.0,1.0
2020-05-07,22.38,22.48,21.13,21.44,21.426,52200500.0,0.0,1.0
2020-05-06,22.6,22.78,22.0,22.24,22.2255,29178900.0,0.0,1.0
2020-05-05,22.2,23.37,21.91,22.7,22.6852,51925500.0,0.0,1.0
2020-05-04,21.95,22.09,21.78,21.89,21.8757,32042300.0,0.015,1.0
2020-04-30,22.59,23.33,22.46,22.77,22.7402,46293100.0,0.0,1.0
2020-04-29,24.0,24.12,23.16,23.66,23.629,31532100.0,0.0,1.0
2020-04-28,22.98,23.61,22.59,23.35,23.3194,58267500.0,0.0,1.0
2020-04-27,21.54,22.14,21.1,21.57,21.5418,38416700.0,0.0,1.0
2020-04-24,21.74,21.82,20.37,20.88,20.8527,68819700.0,0.0,1.0
2020-04-23,22.66,22.74,21.84,22.05,22.0211,41455100.0,0.0,1.0
2020-04-22,22.4,23.13,22.21,22.37,22.3407,48051200.0,0.0,1.0
2020-04-20,22.72,22.97,22.5,22.64,22.6104,28583800.0,0.0,1.0
2020-04-17,23.44,23.61,22.61,23.22,23.1896,25164100.0,0.0,1.0
2020-04-16,23.7,23.82,22.8,22.81,22.7801,31071300.0,0.0,1.0
2020-04-15,23.85,24.48,23.37,23.4,23.3694,34845100.0,0.0,1.0
2020-04-14,24.46,25.15,24.3,24.3,24.2682,33766100.0,0.0,1.0
2020-04-13,23.45,24.0,23.02,24.0,23.9686,21602700.0,0.0,1.0
2020-04-09,24.46,24.7,23.5,23.5,23.4692,37307000.0,0.0,1.0
2020-04-08,23.01,24.39,22.94,24.18,24.1483,40947000.0,0.0,1.0
2020-04-07,23.5,23.88,22.92,23.0,22.9699,38049700.0,0.0,1.0
2020-04-06,22.14,22.68,21.89,22.18,22.151,39305700.0,0.0,1.0
2020-04-03,21.42,21.48,20.01,20.66,20.6329,37393100.0,0.0,1.0
2020-04-02,21.38,22.0,21.15,21.5,21.4718,39156300.0,0.0,1.0
2020-04-01,22.22,22.38,21.19,21.4,21.372,44343800.0,0.015,1.0
2020-03-31,23.95,24.25,22.81,23.09,23.0448,40625200.0,0.0,1.0
2020-03-30,23.11,24.39,22.83,24.11,24.0628,30225500.0,0.0,1.0
2020-03-27,23.02,24.02,22.51,22.97,22.925,41981300.0,0.0,1.0
2020-03-26,24.23,24.82,23.72,24.25,24.2025,50777700.0,0.0,1.0
2020-03-25,22.23,24.73,22.01,23.6,23.5538,43889700.0,0.0,1.0
2020-03-24,21.7,23.28,21.5,22.5,22.4559,51467700.0,0.0,1.0
2020-03-23,22.26,22.49,20.0,20.52,20.4798,53457900.0,0.0,1.0
2020-03-20,23.39,23.97,21.6,22.05,22.0068,73398600.0,0.0,1.0
2020-03-19,22.77,23.73,21.13,22.85,22.8053,73652600.0,0.0,1.0
2020-03-18,23.97,24.25,21.54,23.45,23.4041,83737300.0,0.0,1.0
2020-03-17,24.51,26.71,23.5,25.2,25.1507,70493400.0,0.0,1.0
2020-03-16,23.5,25.66,22.72,23.8,23.7534,62416000.0,0.0,1.0
2020-03-13,26.94,27.18,23.65,26.21,26.1587,89695700.0,0.0,1.0
2020-03-12,23.2,24.56,22.41,23.6,23.5538,58487200.0,0.0,1.0
2020-03-11,27.8,28.14,25.03,26.17,26.1188,48242100.0,0.0,1.0
2020-03-10,29.5,29.7,27.58,28.49,28.4342,44566300.0,0.0,1.0
