date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2020-06-12,19.4,19.58,18.87,19.13,19.13,4331500.0,0.0,1.0
2020-06-10,19.7,19.82,19.36,19.55,19.55,6974900.0,0.0,1.0
2020-06-09,19.7,19.93,19.3,19.68,19.68,7464900.0,0.0,1.0
2020-06-08,19.18,19.6,18.8,19.6,19.6,5825200.0,0.0,1.0
2020-06-05,19.77,19.83,19.0,19.06,19.06,10306400.0,0.0,1.0
2020-06-04,19.48,20.04,19.44,19.71,19.71,8063700.0,0.0,1.0
2020-06-03,19.76,19.99,19.31,19.48,19.48,8483500.0,0.0,1.0
2020-06-02,19.7,19.9,19.45,19.71,19.71,5796900.0,0.0,1.0
2020-06-01,19.7,20.32,18.98,19.48,19.48,8333700.0,0.0,1.0
2020-05-29,19.55,19.87,19.16,19.56,19.56,8186700.0,0.0,1.0
2020-05-28,19.9,19.97,19.35,19.49,19.49,6668000.0,0.0,1.0
2020-05-27,18.95,19.79,18.76,19.79,19.79,11312500.0,0.0,1.0
2020-05-26,18.95,19.08,18.68,18.8,18.8,8146000.0,0.0,1.0
2020-05-25,19.36,19.36,18.7,18.98,18.98,10321000.0,0.0,1.0
2020-05-22,19.0,19.53,18.96,19.2,19.2,8379900.0,0.0,1.0
2020-05-21,19.75,19.92,18.82,19.07,19.07,10412700.0,0.0,1.0
2020-05-20,20.2,20.49,19.43,19.85,19.85,8011400.0,0.0,1.0
2020-05-19,20.03,20.83,19.54,20.04,20.04,11856400.0,0.0,1.0
2020-05-18,21.51,21.69,19.7,20.0,20.0,11991500.0,0.0,1.0
2020-05-15,22.28,22.55,21.0,21.73,21.73,12089800.0,0.0,1.0
2020-05-14,23.35,23.42,21.57,22.34,22.34,12448400.0,0.0,1.0
2020-05-13,21.68,23.38,21.55,23.31,23.31,16082300.0,0.0,1.0
2020-05-12,21.82,21.97,21.31,21.6,21.6,8166400.0,0.0,1.0
2020-05-11,21.5,22.53,21.22,21.66,21.66,7950300.0,0.0,1.0
2020-05-08,20.87,21.74,20.76,21.49,21.49,10683700.0,0.0,1.0
2020-05-07,18.89,21.36,18.87,20.46,20.46,18870900.0,0.0,1.0
2020-05-06,18.83,19.21,18.42,18.58,18.58,6788700.0,0.0,1.0
2020-05-05,18.05,18.99,17.55,18.7,18.7,9042800.0,0.0,1.0
2020-05-04,17.43,18.29,17.38,17.78,17.78,8782500.0,0.0,1.0
2020-04-30,17.4,18.27,17.38,17.81,17.81,8850700.0,0.0,1.0
2020-04-29,17.94,18.19,17.33,17.48,17.48,7414200.0,0.0,1.0
2020-04-28,18.19,18.32,17.61,17.94,17.94,5896900.0,0.0,1.0
2020-04-27,17.44,18.19,17.35,18.01,18.01,5583800.0,0.0,1.0
2020-04-24,17.06,17.46,15.82,17.0,17.0,10699800.0,0.0,1.0
2020-04-23,16.58,17.27,16.28,16.96,16.96,6958900.0,0.0,1.0
2020-04-22,16.01,16.66,16.01,16.53,16.53,10306200.0,0.0,1.0
2020-04-20,15.68,16.21,15.55,15.95,15.95,5705600.0,0.0,1.0
2020-04-17,16.18,16.26,15.66,15.85,15.85,4453400.0,0.0,1.0
2020-04-16,16.15,16.29,15.7,15.94,15.94,6888500.0,0.0,1.0
2020-04-15,16.26,16.78,15.9,16.12,16.12,7661800.0,0.0,1.0
2020-04-14,16.52,17.1,16.28,16.49,16.49,4244600.0,0.0,1.0
2020-04-13,15.95,16.42,15.77,16.2,16.2,3740900.0,0.0,1.0
2020-04-09,16.43,16.65,15.76,16.0,16.0,6949000.0,0.0,1.0
2020-04-08,16.25,16.58,15.72,16.24,16.24,9277700.0,0.0,1.0
2020-04-07,16.9,17.28,15.51,16.1,16.1,11009600.0,0.0,1.0
2020-04-06,16.87,17.35,16.25,16.49,16.49,5958200.0,0.0,1.0
2020-04-03,17.0,17.1,15.83,16.61,16.61,9800000.0,0.0,1.0
2020-04-02,15.92,17.26,15.61,16.85,16.85,10613200.0,0.0,1.0
2020-04-01,15.99,16.24,15.25,15.75,15.75,8760300.0,0.0,1.0
2020-03-31,16.06,17.05,15.76,16.22,16.22,8592600.0,0.0,1.0
2020-03-30,16.1,16.97,15.54,15.73,15.73,8826100.0,0.0,1.0
2020-03-27,13.7,16.15,13.4,14.98,14.98,10917600.0,0.0,1.0
