date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2020-06-12,29.99,31.13,29.72,30.36,30.36,4347300.0,0.0,1.0
2020-06-10,30.67,31.25,30.06,30.63,30.63,10519400.0,0.0,1.0
2020-06-09,29.41,30.46,29.14,30.25,30.25,6897300.0,0.0,1.0
2020-06-08,29.96,30.21,29.21,29.8,29.8,11014600.0,0.0,1.0
2020-06-05,31.1,31.4,28.9,29.7,29.7,12863800.0,0.0,1.0
2020-06-04,29.75,30.8,29.21,30.39,30.39,7038200.0,0.0,1.0
2020-06-03,31.02,31.18,29.9,30.23,30.23,13043200.0,0.0,1.0
2020-06-02,29.68,30.76,29.35,29.93,29.93,12165400.0,0.0,1.0
2020-06-01,28.55,29.7,27.99,29.3,29.3,9610000.0,0.0,1.0
2020-05-29,28.68,28.83,27.63,28.25,28.25,11461200.0,0.0,1.0
2020-05-28,28.59,29.1,28.0,28.71,28.71,6428600.0,0.0,1.0
2020-05-27,27.3,28.97,27.13,28.9,28.9,11878200.0,0.0,1.0
2020-05-26,26.2,27.41,25.91,26.9,26.9,17792500.0,0.0,1.0
2020-05-25,26.3,26.44,25.75,25.75,25.75,19960300.0,0.0,1.0
2020-05-22,26.54,26.89,25.17,25.35,25.35,16984200.0,0.0,1.0
2020-05-21,26.84,27.24,26.56,26.85,26.85,17154900.0,0.0,1.0
2020-05-20,27.82,28.08,26.61,26.84,26.84,9393900.0,0.0,1.0
2020-05-19,26.95,28.4,26.88,27.81,27.81,6649900.0,0.0,1.0
2020-05-18,27.48,27.73,26.54,26.89,26.89,7355400.0,0.0,1.0
2020-05-15,27.0,27.25,26.11,26.51,26.51,5489900.0,0.0,1.0
2020-05-14,26.9,27.3,26.21,27.17,27.17,11571400.0,0.0,1.0
2020-05-13,26.7,27.8,26.62,27.21,27.21,10970500.0,0.0,1.0
2020-05-12,26.3,27.2,26.04,26.22,26.22,6673100.0,0.0,1.0
2020-05-11,26.51,27.15,25.84,26.27,26.27,7314000.0,0.0,1.0
2020-05-08,27.69,27.86,25.7,26.9,26.9,9294900.0,0.0,1.0
2020-05-07,28.0,28.5,26.12,26.8,26.8,9895200.0,0.0,1.0
2020-05-06,25.97,27.69,25.89,27.42,27.42,10491500.0,0.0,1.0
2020-05-05,25.42,26.37,25.25,25.54,25.54,7051300.0,0.0,1.0
2020-05-04,24.0,25.61,23.8,25.26,25.26,6376700.0,0.0,1.0
2020-04-30,25.34,25.86,24.84,24.88,24.88,9916800.0,0.0,1.0
2020-04-29,25.82,26.14,25.19,25.77,25.77,5736700.0,0.0,1.0
2020-04-28,24.38,25.65,24.26,25.19,25.19,9947500.0,0.0,1.0
2020-04-27,23.63,24.36,23.5,24.0,24.0,9125800.0,0.0,1.0
2020-04-24,23.68,23.79,21.68,22.5,22.5,13596900.0,0.0,1.0
2020-04-23,25.65,25.89,23.69,24.46,24.46,8346500.0,0.0,1.0
2020-04-22,23.01,25.24,23.01,25.17,25.17,12130100.0,0.0,1.0
2020-04-20,21.4,23.48,21.08,22.83,22.83,9542600.0,0.0,1.0
2020-04-17,22.92,23.31,21.4,21.75,21.75,6846200.0,0.0,1.0
2020-04-16,21.94,22.89,21.94,22.37,22.37,11236100.0,0.0,1.0
2020-04-15,20.31,21.9,20.16,21.53,21.53,7654000.0,0.0,1.0
2020-04-14,21.14,21.85,21.0,21.02,21.02,5466300.0,0.0,1.0
2020-04-13,21.13,21.24,20.25,20.69,20.69,7222800.0,0.0,1.0
2020-04-09,22.0,22.76,21.08,21.3,21.3,8705500.0,0.0,1.0
2020-04-08,20.49,22.15,19.91,21.89,21.89,12725600.0,0.0,1.0
2020-04-07,20.57,21.86,20.02,20.46,20.46,12204000.0,0.0,1.0
2020-04-06,18.5,19.8,18.32,19.5,19.5,10085300.0,0.0,1.0
2020-04-03,18.5,18.71,17.16,17.44,17.44,11239000.0,0.0,1.0
2020-04-02,18.1,18.99,18.04,18.55,18.55,6471500.0,0.0,1.0
2020-04-01,17.54,18.19,16.89,17.95,17.95,7762200.0,0.0,1.0
2020-03-31,19.01,19.3,17.67,18.0,18.0,8136300.0,0.0,1.0
2020-03-30,19.06,20.19,18.87,19.04,19.04,8365500.0,0.0,1.0
2020-03-27,19.9,19.93,19.0,19.0,19.0,8092600.0,0.0,1.0
2020-03-26,20.45,21.66,20.28,20.85,20.85,9418700.0,0.0,1.0
2020-03-25,19.16,20.87,18.94,20.03,20.03,10941300.0,0.0,1.0
2020-03-24,18.89,21.21,18.57,19.29,19.29,10966900.0,0.0,1.0
2020-03-23,17.43,17.87,16.2,17.49,17.49,10754600.0,0.0,1.0
2020-03-20,17.21,18.92,16.83,17.61,17.61,16647100.0,0.0,1.0
2020-03-19,15.83,17.88,14.55,16.34,16.34,15069200.0,0.0,1.0
2020-03-18,16.59,17.57,14.39,16.17,16.17,14522200.0,0.0,1.0
2020-03-17,18.19,19.22,16.6,18.4,18.4,17117300.0,0.0,1.0
2020-03-16,17.99,19.25,16.57,17.49,17.49,13494500.0,0.0,1.0
2020-03-13,19.5,21.47,18.11,21.47,21.47,20659700.0,0.0,1.0
2020-03-12,18.0,19.12,16.5,17.74,17.74,8442900.0,0.0,1.0
2020-03-11,22.31,23.05,19.35,21.65,21.65,17628300.0,0.0,1.0
2020-03-10,22.75,23.76,22.02,23.55,23.55,11830500.0,0.0,1.0
2020-03-09,21.1,23.01,21.1,21.91,21.91,12139600.0,0.0,1.0
2020-03-06,24.89,24.95,23.32,23.85,23.85,12994100.0,0.0,1.0
2020-03-05,27.13,27.17,24.77,25.94,25.94,8497500.0,0.0,1.0
2020-03-04,28.01,28.1,27.08,27.7,27.7,6474300.0,0.0,1.0
2020-03-03,26.8,28.31,26.41,27.09,27.09,9088600.0,0.0,1.0
2020-03-02,26.5,27.12,25.54,26.65,26.65,6725800.0,0.0,1.0
2020-02-28,26.03,26.6,24.26,26.6,26.6,12963100.0,0.0,1.0
2020-02-27,26.04,27.1,25.62,26.03,26.03,8668200.0,0.0,1.0
2020-02-21,27.0,29.4,27.0,28.9,28.9,13707200.0,0.0,1.0
2020-02-20,27.1,27.12,26.6,26.84,26.84,3540900.0,0.0,1.0
2020-02-19,27.02,27.44,26.87,27.22,27.22,4156200.0,0.0,1.0
2020-02-18,27.32,27.41,26.83,27.3,27.3,2274100.0,0.0,1.0
2020-02-17,27.25,27.91,26.97,27.43,27.43,3538500.0,0.0,1.0
2020-02-14,27.31,27.5,26.85,27.12,27.12,2270200.0,0.0,1.0
