date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2020-06-12,42.4,43.82,41.54,42.14,42.14,4696100.0,0.0,1.0
2020-06-10,46.3,46.57,43.49,43.9,43.9,7608100.0,0.0,1.0
2020-06-09,45.51,46.08,44.54,45.82,45.82,7554000.0,0.0,1.0
2020-06-08,46.7,48.04,45.43,46.21,46.21,10427400.0,0.0,1.0
2020-06-05,46.99,47.69,45.12,45.98,45.98,12642600.0,0.0,1.0
2020-06-04,44.45,45.44,43.52,44.56,44.56,8496700.0,0.0,1.0
2020-06-03,42.84,44.89,42.75,44.18,44.18,12534500.0,0.0,1.0
2020-06-02,41.69,42.38,41.02,42.13,42.13,10058400.0,0.0,1.0
2020-06-01,38.3,41.82,37.93,40.99,40.99,12172700.0,0.0,1.0
2020-05-29,38.81,39.2,37.67,38.55,38.55,18639500.0,0.0,1.0
2020-05-28,39.5,39.7,38.64,39.03,39.03,8906000.0,0.0,1.0
2020-05-27,38.98,39.81,37.56,39.79,39.79,11602800.0,0.0,1.0
2020-05-26,41.0,41.52,38.11,38.15,38.15,10161000.0,0.0,1.0
2020-05-25,38.55,40.9,38.42,40.37,40.37,8561600.0,0.0,1.0
2020-05-22,38.6,39.48,37.27,37.37,37.37,16624400.0,0.0,1.0
2020-05-21,38.58,41.5,38.09,40.77,40.77,17118000.0,0.0,1.0
2020-05-20,36.74,38.69,36.57,38.28,38.28,10998400.0,0.0,1.0
2020-05-19,37.39,38.5,36.33,36.79,36.79,13899400.0,0.0,1.0
2020-05-18,35.1,36.3,34.67,36.2,36.2,14884000.0,0.0,1.0
2020-05-15,32.96,34.59,32.3,33.42,33.42,12490300.0,0.0,1.0
2020-05-14,31.3,33.3,30.83,33.3,33.3,12633200.0,0.0,1.0
2020-05-13,32.8,33.86,31.7,31.78,31.78,10339200.0,0.0,1.0
2020-05-12,33.49,34.42,32.5,33.08,33.08,14304300.0,0.0,1.0
2020-05-11,33.6,33.66,32.01,32.7,32.7,12850200.0,0.0,1.0
