date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2020-06-12,62.82,65.0,62.51,63.19,63.19,7402400.0,0.0,1.0
2020-06-10,63.0,65.06,61.14,64.6,64.6,19867500.0,0.0,1.0
2020-06-09,61.18,63.69,60.9,62.38,62.38,11476100.0,0.0,1.0
2020-06-08,60.01,63.28,59.3,62.38,62.38,20720300.0,0.0,1.0
2020-06-05,62.0,62.09,58.52,59.45,59.45,19427400.0,0.0,1.0
2020-06-04,61.63,62.15,60.01,60.49,60.49,12876800.0,0.0,1.0
2020-06-03,62.88,63.48,60.18,62.38,62.38,19666300.0,0.0,1.0
2020-06-02,64.61,64.98,61.41,61.8,61.8,18678800.0,0.0,1.0
2020-06-01,64.0,64.66,62.75,63.7,63.7,8825800.0,0.0,1.0
2020-05-29,65.3,65.69,64.0,64.35,64.35,16845800.0,0.0,1.0
2020-05-28,67.25,67.54,64.5,65.25,65.25,13656600.0,0.0,1.0
2020-05-27,66.86,67.77,64.75,67.36,67.36,14189900.0,0.0,1.0
2020-05-26,63.2,68.13,63.15,64.48,64.48,25598600.0,0.0,1.0
2020-05-25,59.2,61.0,58.88,60.4,60.4,10932700.0,0.0,1.0
2020-05-22,57.89,59.3,57.15,57.65,57.65,11111800.0,0.0,1.0
2020-05-21,57.6,59.1,57.08,58.29,58.29,10627200.0,0.0,1.0
2020-05-20,59.0,59.5,56.88,56.9,56.9,12111200.0,0.0,1.0
2020-05-19,55.94,59.25,55.7,58.58,58.58,14923800.0,0.0,1.0
2020-05-18,56.49,56.69,55.1,55.75,55.75,10389400.0,0.0,1.0
2020-05-15,55.0,56.25,54.3,55.13,55.13,8773600.0,0.0,1.0
2020-05-14,54.8,55.71,53.8,55.5,55.5,13387100.0,0.0,1.0
2020-05-13,55.6,55.94,54.43,55.1,55.1,12325400.0,0.0,1.0
2020-05-12,55.5,57.0,54.06,54.8,54.8,10259800.0,0.0,1.0
2020-05-11,55.44,56.55,54.56,54.95,54.95,8451100.0,0.0,1.0
2020-05-08,57.92,57.92,54.75,55.54,55.54,13877500.0,0.0,1.0
2020-05-07,56.5,58.2,53.39,56.79,56.79,23166800.0,0.0,1.0
2020-05-06,52.22,56.08,52.02,55.15,55.15,29841400.0,0.0,1.0
2020-05-05,52.15,52.8,50.15,50.2,50.2,12887500.0,0.0,1.0
2020-05-04,48.0,51.68,47.31,51.44,51.44,13088100.0,0.0,1.0
2020-04-30,49.86,51.55,49.11,49.7,49.7,11691900.0,0.0,1.0
2020-04-29,52.6,52.89,50.15,50.62,50.62,16780100.0,0.0,1.0
2020-04-28,51.0,51.8,50.15,51.8,51.8,14486800.0,0.0,1.0
2020-04-27,49.23,50.0,48.0,49.5,49.5,17502500.0,0.0,1.0
2020-04-24,48.39,49.15,42.68,47.38,47.38,26489800.0,0.0,1.0
2020-04-23,51.86,52.5,48.58,49.47,49.47,17547400.0,0.0,1.0
2020-04-22,49.5,52.18,49.1,50.55,50.55,22373900.0,0.0,1.0
2020-04-20,43.72,48.55,43.25,48.48,48.48,19963900.0,0.0,1.0
2020-04-17,46.68,46.89,43.9,44.59,44.59,12116900.0,0.0,1.0
2020-04-16,44.65,46.0,44.2,45.57,45.57,14580900.0,0.0,1.0
2020-04-15,42.1,44.32,41.5,43.85,43.85,13530600.0,0.0,1.0
2020-04-14,42.9,43.4,42.34,42.9,42.9,11311100.0,0.1795,1.0
2020-04-13,41.09,42.1,40.67,41.91,41.7305,8456100.0,0.0,1.0
2020-04-09,42.82,43.7,41.26,41.65,41.4716,12969900.0,0.0,1.0
2020-04-08,40.27,42.2,39.44,41.96,41.7803,15821300.0,0.0,1.0
2020-04-07,41.44,42.6,40.09,40.09,39.9183,19648800.0,0.0,1.0
2020-04-06,38.4,39.38,37.22,38.2,38.0364,16251500.0,0.0,1.0
2020-04-03,35.34,35.65,33.33,35.54,35.3878,16452600.0,0.0,1.0
