date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2020-06-12,12.19,12.48,11.88,12.39,12.39,4442600.0,0.0,1.0
2020-06-10,12.8,12.8,12.31,12.6,12.6,11194600.0,0.0,1.0
2020-06-09,12.91,13.19,12.55,12.66,12.66,12322100.0,0.0,1.0
2020-06-08,12.75,12.92,12.6,12.87,12.87,6760000.0,0.0,1.0
2020-06-05,13.23,13.24,12.68,12.68,12.68,16522200.0,0.0,1.0
2020-06-04,12.63,13.19,12.57,13.15,13.15,11836200.0,0.0,1.0
2020-06-03,13.09,13.3,12.37,12.75,12.75,19500200.0,0.0,1.0
2020-06-02,13.15,13.22,12.9,13.02,13.02,10747400.0,0.0,1.0
2020-06-01,13.0,13.5,12.79,13.15,13.15,13146900.0,0.0,1.0
2020-05-29,12.85,13.36,12.5,13.03,13.03,16720300.0,0.0,1.0
2020-05-28,13.16,13.23,12.8,12.89,12.89,11437400.0,0.0,1.0
2020-05-27,12.77,13.14,12.66,13.05,13.05,17536000.0,0.0,1.0
2020-05-26,12.38,12.75,12.06,12.35,12.35,30749200.0,0.0,1.0
2020-05-25,12.78,12.9,12.3,12.3,12.3,12557500.0,0.0,1.0
2020-05-22,12.32,12.89,12.2,12.63,12.63,13056000.0,0.0,1.0
2020-05-21,13.14,13.17,12.3,12.51,12.51,18019100.0,0.0,1.0
2020-05-20,13.66,13.77,13.01,13.06,13.06,17346100.0,0.0,1.0
2020-05-19,14.0,14.25,12.96,13.48,13.48,29653700.0,0.0,1.0
2020-05-18,14.4,14.49,13.04,13.11,13.11,18912100.0,0.0,1.0
2020-05-15,14.2,14.37,13.82,14.04,14.04,17168600.0,0.0,1.0
2020-05-14,14.62,14.93,14.09,14.35,14.35,14807000.0,0.0,1.0
2020-05-13,14.48,14.88,14.24,14.51,14.51,13222900.0,0.0,1.0
2020-05-12,13.99,14.47,13.58,14.27,14.27,14440000.0,0.0,1.0
2020-05-11,13.25,14.29,13.06,13.75,13.75,15635000.0,0.0,1.0
2020-05-08,13.8,13.97,13.11,13.25,13.25,10765400.0,0.0,1.0
2020-05-07,12.99,14.1,12.98,13.62,13.62,21955100.0,0.0,1.0
2020-05-06,12.55,12.78,12.31,12.69,12.69,7972300.0,0.0,1.0
2020-05-05,12.77,13.14,12.37,12.5,12.5,9813500.0,0.0,1.0
2020-05-04,12.35,12.88,12.27,12.47,12.47,14668300.0,0.0,1.0
2020-04-30,12.32,12.84,12.08,12.84,12.84,15287600.0,0.0,1.0
2020-04-29,12.6,12.98,12.26,12.51,12.51,14699400.0,0.0,1.0
2020-04-28,11.8,12.55,11.75,12.54,12.54,20795300.0,0.0,1.0
2020-04-27,10.64,11.7,10.57,11.5,11.5,18653100.0,0.0,1.0
2020-04-24,10.35,10.97,9.71,10.45,10.45,22281200.0,0.0,1.0
2020-04-23,10.55,10.67,10.07,10.47,10.47,12091600.0,0.0,1.0
2020-04-22,9.61,10.49,9.61,10.33,10.33,14675000.0,0.0,1.0
2020-04-20,9.19,9.69,9.01,9.57,9.57,7316200.0,0.0,1.0
2020-04-17,9.69,9.69,9.26,9.38,9.38,5861300.0,0.0,1.0
2020-04-16,9.75,9.82,9.33,9.39,9.39,8205400.0,0.0,1.0
2020-04-15,9.25,9.62,9.17,9.5,9.5,9484800.0,0.0,1.0
2020-04-14,9.64,9.72,9.36,9.5,9.5,11062300.0,0.0,1.0
