date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2020-06-12,16.3,16.81,15.93,16.18,16.18,2232100.0,0.0,1.0
2020-06-10,17.5,17.59,16.73,16.88,16.88,4490600.0,0.0,1.0
2020-06-09,17.7,18.0,17.15,17.15,17.15,4837400.0,0.0,1.0
2020-06-08,17.71,18.33,17.51,18.0,18.0,3958100.0,0.0,1.0
2020-06-05,17.9,18.4,17.31,17.49,17.49,6544600.0,0.0,1.0
2020-06-04,17.44,17.68,16.99,17.18,17.18,3982900.0,0.0,1.0
2020-06-03,16.85,17.94,16.68,17.58,17.58,7467100.0,0.0,1.0
2020-06-02,16.0,16.84,15.95,16.65,16.65,3717100.0,0.0,1.0
2020-06-01,15.21,15.9,14.93,15.79,15.79,4389300.0,0.0,1.0
2020-05-29,15.62,15.78,14.87,15.17,15.17,11385700.0,0.0,1.0
2020-05-28,16.48,16.59,15.75,15.75,15.75,7049800.0,0.0,1.0
2020-05-27,16.7,16.81,16.45,16.62,16.62,2665600.0,0.0,1.0
2020-05-26,17.0,17.24,16.33,16.33,16.33,3750400.0,0.0,1.0
2020-05-25,17.0853,17.0943,16.9614,17.0,17.0,452835.0,0.0,1.0
2020-05-22,15.08,15.37,14.7,14.93,14.93,4580800.0,0.0,1.0
2020-05-21,15.14,15.5,14.95,15.28,15.28,7037700.0,0.0,1.0
2020-05-20,15.28,15.37,15.0,15.07,15.07,8417800.0,0.0,1.0
2020-05-19,15.47,15.7,14.8,15.13,15.13,9583400.0,0.0,1.0
2020-05-18,14.01,15.7,13.69,15.48,15.48,6952800.0,0.0,1.0
2020-05-15,13.47,13.88,13.01,13.6,13.6,5153800.0,0.0,1.0
2020-05-14,13.0,13.83,12.76,13.51,13.51,7631600.0,0.0,1.0
2020-05-13,13.7,13.7,13.02,13.23,13.23,3367500.0,0.0,1.0
2020-05-12,13.72,14.06,13.6,13.62,13.62,2827100.0,0.0,1.0
2020-05-11,13.77,14.06,13.53,13.81,13.81,2285000.0,0.0,1.0
2020-05-08,14.32,14.48,13.71,13.83,13.83,2251600.0,0.0,1.0
2020-05-07,14.7,14.92,13.65,13.94,13.94,4002300.0,0.0,1.0
2020-05-06,14.71,15.15,14.33,14.5,14.5,3774200.0,0.0,1.0
2020-05-05,14.95,15.25,14.66,14.66,14.66,3266400.0,0.0,1.0
2020-05-04,14.9,15.01,14.36,14.84,14.84,3711900.0,0.0,1.0
2020-04-30,15.1,15.53,14.88,15.15,15.15,6938800.0,0.0,1.0
2020-04-29,14.81,15.77,14.81,15.65,15.65,6618600.0,0.0,1.0
2020-04-28,14.15,14.82,13.93,14.77,14.77,6775600.0,0.0,1.0
2020-04-27,13.39,13.87,13.02,13.7,13.7,6256900.0,0.0,1.0
2020-04-24,14.0,14.08,12.44,13.0,13.0,5341300.0,0.0,1.0
2020-04-23,14.6,14.76,13.97,14.18,14.18,5692200.0,0.0,1.0
2020-04-22,13.6,14.65,13.56,14.6,14.6,4742100.0,0.0,1.0
2020-04-20,13.06,14.17,12.9,13.7,13.7,3702800.0,0.0,1.0
2020-04-17,13.56,13.7,13.06,13.36,13.36,4593900.0,0.0,1.0
2020-04-16,13.74,13.87,12.73,13.35,13.35,4078000.0,0.0,1.0
2020-04-15,12.95,13.66,12.8,13.44,13.44,3821600.0,0.0,1.0
2020-04-14,13.6,13.74,13.0,13.39,13.39,4872400.0,0.0,1.0
2020-04-13,13.32,13.32,12.62,13.29,13.29,3466800.0,0.0,1.0
2020-04-09,13.34,13.8,13.16,13.36,13.36,4552800.0,0.0,1.0
2020-04-08,12.43,13.17,12.21,12.91,12.91,3717300.0,0.0,1.0
