date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2020-06-12,22.0,22.47,21.44,21.64,21.64,3476300.0,0.0,1.0
2020-06-10,24.84,24.84,22.37,22.7,22.7,14757100.0,0.0,1.0
2020-06-09,22.7,24.43,22.03,23.93,23.93,8234900.0,0.0,1.0
2020-06-08,23.49,23.99,22.7,22.85,22.85,11263800.0,0.0,1.0
2020-06-05,24.3,24.3,22.86,23.09,23.09,7916800.0,0.0,1.0
2020-06-04,23.43,23.52,22.61,22.99,22.99,5547000.0,0.0,1.0
2020-06-03,23.2,23.8,22.94,23.56,23.56,10997400.0,0.0,1.0
2020-06-02,21.96,22.86,21.88,22.71,22.71,9278300.0,0.0,1.0
2020-06-01,20.7,22.34,20.41,22.28,22.28,6620100.0,0.0,1.0
2020-05-29,21.5,21.5,20.21,20.69,20.69,10920800.0,0.0,1.0
2020-05-28,22.34,22.34,21.23,21.3,21.3,5488000.0,0.0,1.0
2020-05-27,22.0,22.71,21.31,22.54,22.54,8003100.0,0.0,1.0
2020-05-26,23.21,23.37,21.26,21.78,21.78,6725400.0,0.0,1.0
2020-05-25,21.82,22.89,21.73,22.64,22.64,4951200.0,0.0,1.0
2020-05-22,21.51,21.63,20.73,21.19,21.19,2601200.0,0.0,1.0
2020-05-21,20.81,22.74,20.72,21.7,21.7,10690400.0,0.0,1.0
2020-05-20,20.47,21.57,20.1,20.62,20.62,12178300.0,0.0,1.0
2020-05-19,19.4,20.97,19.3,19.67,19.67,9171500.0,0.0,1.0
2020-05-18,18.7,19.58,18.7,19.39,19.39,6479800.0,0.0,1.0
2020-05-15,18.17,18.92,18.04,18.1,18.1,5901900.0,0.0,1.0
2020-05-14,17.67,18.67,17.26,18.67,18.67,8166300.0,0.0,1.0
2020-05-13,18.1,18.24,17.5,18.2,18.2,7220000.0,0.0,1.0
2020-05-12,18.21,18.85,17.97,17.99,17.99,4131600.0,0.0,1.0
2020-05-11,19.0,19.09,18.0,18.38,18.38,6859200.0,0.0,1.0
2020-05-08,18.8,19.14,18.28,18.84,18.84,4063700.0,0.0,1.0
2020-05-07,19.33,19.56,17.91,18.44,18.44,10205700.0,0.0,1.0
2020-05-06,19.85,19.92,18.83,19.3,19.3,3878800.0,0.0,1.0
2020-05-05,20.17,20.49,19.37,19.69,19.69,2410300.0,0.0,1.0
2020-05-04,20.0,20.28,19.41,19.98,19.98,4352900.0,0.0,1.0
2020-04-30,22.68,22.68,20.42,20.89,20.89,8470500.0,0.0,1.0
2020-04-29,21.99,22.83,21.5,22.37,22.37,6085400.0,0.0,1.0
2020-04-28,21.62,22.02,20.77,21.76,21.76,7645700.0,0.0,1.0
2020-04-27,21.14,21.36,20.52,21.06,21.06,4255300.0,0.0,1.0
2020-04-24,22.27,22.49,19.85,20.58,20.58,9424000.0,0.0,1.0
2020-04-23,23.51,24.15,22.56,22.98,22.98,9853300.0,0.0,1.0
2020-04-22,22.0,23.51,21.71,23.2,23.2,12122300.0,0.0,1.0
2020-04-20,20.44,21.83,20.25,21.6,21.6,7575800.0,0.0,1.0
2020-04-17,19.44,20.95,19.41,20.95,20.95,17767300.0,0.0,1.0
2020-04-16,19.3,19.68,18.71,18.8,18.8,9978900.0,0.0,1.0
2020-04-15,19.02,19.61,18.78,19.04,19.04,10298000.0,0.0,1.0
2020-04-14,20.12,20.35,19.37,19.6,19.6,16360500.0,0.0,1.0
2020-04-13,19.56,20.0,18.71,19.7,19.7,6978600.0,0.0,1.0
2020-04-09,20.4,21.0,19.48,19.56,19.56,9631400.0,0.0,1.0
2020-04-08,20.42,20.66,19.74,20.17,20.17,6661800.0,0.0,1.0
2020-04-07,20.3085,20.5982,20.2891,20.42,20.42,893831.0,0.0,1.0
2020-04-06,19.21,20.81,19.16,19.68,19.68,4391700.0,0.0,1.0
2020-04-03,18.6,18.68,17.59,18.14,18.14,9568600.0,0.0,1.0
2020-04-02,18.58,19.51,18.34,18.62,18.62,5057400.0,0.0,1.0
2020-04-01,18.42,19.28,18.03,18.53,18.53,9243800.0,0.0,1.0
2020-03-31,20.74,21.08,19.08,19.08,19.08,7225100.0,0.0,1.0
2020-03-30,21.31,22.3,20.63,20.95,20.95,8407000.0,0.0,1.0
2020-03-27,22.92,22.92,21.13,21.31,21.31,8066700.0,0.0,1.0
2020-03-26,23.6,25.72,23.36,23.81,23.81,12343700.0,0.0,1.0
2020-03-25,20.12,24.46,19.75,23.09,23.09,11929600.0,0.0,1.0
2020-03-24,18.28,22.2,18.28,20.54,20.54,13896600.0,0.0,1.0
2020-03-23,18.63,18.99,16.83,17.51,17.51,7086100.0,0.0,1.0
2020-03-20,20.82,20.89,18.33,19.03,19.03,8531500.0,0.0,1.0
2020-03-19,16.64,20.86,15.95,19.98,19.98,12276600.0,0.0,1.0
2020-03-18,17.11,18.45,14.67,17.2,17.2,14457400.0,0.0,1.0
2020-03-17,18.91,20.61,17.58,19.5,19.5,11927100.0,0.0,1.0
2020-03-16,21.0,21.02,18.51,18.51,18.51,6111800.0,0.0,1.0
2020-03-13,24.31,25.73,21.54,23.85,23.85,7044000.0,0.0,1.0
2020-03-12,22.0,24.21,21.95,22.44,22.44,5653700.0,0.0,1.0
2020-03-11,26.93,27.75,24.05,25.97,25.97,6507200.0,0.0,1.0
2020-03-10,27.0,28.2,26.72,28.03,28.03,7413300.0,0.0,1.0
2020-03-09,28.33,28.35,26.59,26.89,26.89,8732100.0,0.0,1.0
2020-03-06,28.5,29.74,28.3,29.46,29.46,4525500.0,0.0,1.0
2020-03-05,32.11,32.38,29.61,30.22,30.22,4050900.0,0.0,1.0
2020-03-04,31.72,32.48,31.25,32.24,32.24,4301700.0,0.0,1.0
2020-03-03,31.81,33.0,30.92,31.22,31.22,4198000.0,0.0,1.0
2020-03-02,30.4,31.99,30.34,31.68,31.68,5172100.0,0.0,1.0
2020-02-28,30.74,30.85,29.17,30.52,30.52,7422600.0,0.0,1.0
2020-02-27,30.97,31.26,30.12,30.69,30.69,8339900.0,0.0,1.0
2020-02-21,33.46,33.86,33.05,33.8,33.8,2892300.0,0.0,1.0
2020-02-20,34.11,34.14,33.36,33.6,33.6,3742600.0,0.0,1.0
2020-02-19,33.68,34.54,33.57,34.07,34.07,2483600.0,0.0,1.0
2020-02-18,33.2,33.94,33.2,33.82,33.82,2812200.0,0.0,1.0
2020-02-17,33.68,33.7,33.19,33.2,33.2,1525900.0,0.0,1.0
