date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2020-06-12,39.48,40.61,39.39,40.17,40.17,4093300.0,0.0,1.0
2020-06-10,41.55,41.95,40.01,40.85,40.85,7792300.0,0.0,1.0
2020-06-09,40.5,41.27,39.88,41.21,41.21,6789800.0,0.0,1.0
2020-06-08,40.65,41.95,39.52,41.29,41.29,7818700.0,0.0,1.0
2020-06-05,38.41,41.14,38.35,40.14,40.14,11240800.0,0.0,1.0
2020-06-04,38.64,38.64,37.15,37.91,37.91,11086100.0,0.0,1.0
2020-06-03,38.48,39.27,37.56,38.33,38.33,5992200.0,0.0,1.0
2020-06-02,38.0,38.71,37.52,38.01,38.01,5244900.0,0.0,1.0
2020-06-01,36.99,38.59,36.35,37.97,37.97,5714100.0,0.0,1.0
2020-05-29,37.73,37.93,36.1,37.18,37.18,14846000.0,0.0,1.0
2020-05-28,38.69,38.99,36.88,37.74,37.74,7211800.0,0.0,1.0
2020-05-27,36.28,39.35,36.23,38.7,38.7,8965200.0,0.0,1.0
2020-05-26,35.7,36.92,35.44,36.08,36.08,7380500.0,0.0,1.0
2020-05-25,34.5,35.6,34.38,35.14,35.14,5711100.0,0.0,1.0
2020-05-22,33.74,34.28,32.7,34.1,34.1,4784600.0,0.0,1.0
2020-05-21,33.65,35.0,33.44,33.91,33.91,5277200.0,0.0,1.0
2020-05-20,32.43,33.9,32.17,33.71,33.71,5111400.0,0.0,1.0
2020-05-19,33.0,34.26,32.54,32.54,32.54,5229500.0,0.0,1.0
2020-05-18,33.53,33.68,32.43,33.36,33.36,5653900.0,0.0,1.0
2020-05-15,32.32,32.96,31.54,32.18,32.18,7992800.0,0.0,1.0
2020-05-14,31.9,33.24,31.46,33.24,33.24,6269000.0,0.0,1.0
2020-05-13,32.27,33.7,31.67,32.43,32.43,6541400.0,0.0,1.0
2020-05-12,34.1373,34.2173,31.9975,32.0475,32.0475,11032160.0,0.0,1.0
2020-05-11,34.8273,35.7672,33.4974,34.1473,34.1473,7448180.0,0.0,1.0
2020-05-08,36.5971,37.4971,34.8473,35.6972,35.6972,12173649.0,0.0,1.0
2020-05-07,36.9971,37.3071,35.3972,36.4472,36.4472,12137346.0,0.0,1.0
2020-05-06,34.6073,36.6571,33.6074,36.4972,36.4972,7067851.0,0.0,1.0
2020-05-05,34.7873,35.4672,34.0973,34.5173,34.5173,5997967.0,0.0,1.0
2020-05-04,34.8285,34.8394,34.7483,34.7873,34.7873,359975.0,0.0,1.0
2020-04-30,35.6972,36.8571,34.9673,35.5172,35.5172,20515600.0,0.0,1.0
2020-04-29,35.48,36.57,34.51,36.32,36.32,7711500.0,0.0,1.0
2020-04-28,35.99,36.35,34.62,35.06,35.06,9973600.0,0.0,1.0
2020-04-27,33.94,35.45,33.35,35.4,35.4,7608500.0,0.0,1.0
2020-04-24,34.0,34.35,30.1,33.23,33.23,9525500.0,0.0,1.0
2020-04-23,35.1,35.7,33.25,34.6,34.6,5787100.0,0.0,1.0
2020-04-22,33.59,35.58,33.09,35.0,35.0,6927100.0,0.0,1.0
2020-04-20,32.5,34.51,32.0,33.46,33.46,5973200.0,0.0,1.0
2020-04-17,33.41,34.32,32.0,33.34,33.34,10444400.0,0.0,1.0
2020-04-16,32.1,33.78,31.51,32.33,32.33,10478900.0,0.0,1.0
2020-04-15,28.85,32.63,28.8,31.8,31.8,11195600.0,0.0,1.0
2020-04-14,28.88,30.55,28.75,29.78,29.78,7773000.0,0.0,1.0
2020-04-13,28.81,29.3,27.05,28.26,28.26,10305200.0,0.0,1.0
2020-04-09,30.15,30.99,28.75,28.98,28.98,10041700.0,0.0,1.0
2020-04-08,28.96,30.38,27.84,30.11,30.11,6465200.0,0.0,1.0
2020-04-07,28.02,29.6,28.02,28.96,28.96,8927600.0,0.0,1.0
2020-04-06,25.61,27.83,24.82,26.44,26.44,8626700.0,0.0,1.0
2020-04-03,23.65,24.4,21.82,23.68,23.68,8495800.0,0.0,1.0
2020-04-02,23.33,24.74,22.7,23.88,23.88,8305300.0,0.0,1.0
2020-04-01,24.0,24.78,22.33,23.19,23.19,14494200.0,0.0,1.0
2020-03-31,27.5,27.5,24.8,25.74,25.74,9117400.0,0.0,1.0
2020-03-30,28.81,29.29,26.63,27.43,27.43,8643700.0,0.0,1.0
2020-03-27,27.3,29.14,27.21,28.55,28.55,6051300.0,0.0,1.0
2020-03-26,28.32,30.17,27.49,29.0,29.0,8756500.0,0.0,1.0
2020-03-25,24.25,30.66,23.62,28.9,28.9,10478800.0,0.0,1.0
2020-03-24,22.7,25.7,22.42,24.9,24.9,10991100.0,0.0,1.0
2020-03-23,24.95,24.98,20.44,21.25,21.25,14845000.0,0.0,1.0
2020-03-20,27.0,28.22,24.8,25.17,25.17,10787400.0,0.0,1.0
2020-03-19,24.1,26.16,21.51,25.89,25.89,12083900.0,0.0,1.0
2020-03-18,25.75,26.36,20.85,25.2,25.2,13264900.0,0.0,1.0
2020-03-17,26.35,27.84,25.05,27.84,27.84,11332800.0,0.0,1.0
2020-03-16,27.0,27.94,24.31,25.0,25.0,15557800.0,0.0,1.0
2020-03-13,34.5,35.99,29.4,33.0,33.0,13098600.0,0.0,1.0
2020-03-12,30.05,33.75,28.0,28.51,28.51,9071700.0,0.0,1.0
2020-03-11,37.5,37.5,32.99,35.91,35.91,15143100.0,0.0,1.0
2020-03-10,37.67,39.1,35.65,39.1,39.1,11768200.0,0.0,1.0
2020-03-09,36.74,37.81,35.4,36.0,36.0,15943800.0,0.0,1.0
2020-03-06,40.27,40.8,39.4,39.8,39.8,15627300.0,0.0,1.0
2020-03-05,44.64,44.64,40.85,41.25,41.25,8391000.0,0.0,1.0
2020-03-04,44.75,45.1,43.3,44.17,44.17,8968600.0,0.0,1.0
2020-03-03,45.3,45.96,43.53,44.5,44.5,17641900.0,0.0,1.0
2020-03-02,44.65,45.81,44.03,44.81,44.81,6106400.0,0.0,1.0
2020-02-28,44.42,45.51,42.27,45.51,45.51,12442300.0,0.0,1.0
2020-02-27,46.18,46.72,44.51,45.53,45.53,9293400.0,0.0,1.0
2020-02-21,49.9,49.9,48.01,48.5,48.5,5545100.0,0.0,1.0
2020-02-20,50.4,50.89,49.1,50.0,50.0,4592900.0,0.0,1.0
2020-02-19,50.15,50.79,48.51,50.35,50.35,3815300.0,0.0,1.0
2020-02-18,50.15,50.28,49.15,49.86,49.86,4230100.0,0.0,1.0
2020-02-17,50.78,51.29,49.48,50.62,50.62,2630700.0,0.0,1.0
2020-02-14,49.06,50.94,48.5,50.89,50.89,4532700.0,0.0,1.0
2020-02-13,48.0,49.17,47.83,49.17,49.17,2545800.0,0.0,1.0
2020-02-12,47.93,50.23,47.7,49.28,49.28,7281900.0,0.0,1.0
2020-02-11,45.3,47.9,45.04,47.8,47.8,6146500.0,0.0,1.0
2020-02-10,45.46,46.35,43.52,44.98,44.98,8622800.0,0.0,1.0
2020-02-07,46.76,47.27,45.02,45.57,45.57,7468200.0,0.0,1.0
2020-02-06,48.9,49.15,46.7,47.04,47.04,4359700.0,0.0,1.0
2020-02-05,49.2,49.6,47.56,48.5,48.5,4125500.0,0.0,1.0
2020-02-04,48.42,49.55,48.09,48.52,48.52,4459600.0,0.0,1.0
2020-02-03,47.98,49.1,47.64,47.79,47.79,4027100.0,0.0,1.0
2020-01-31,48.23,48.93,46.9,47.58,47.58,6292500.0,0.0,1.0
2020-01-30,48.0,48.95,46.12,48.95,48.95,8110500.0,0.0,1.0
2020-01-29,49.49,49.68,48.02,48.35,48.35,6008300.0,0.0,1.0
2020-01-28,47.62,49.44,47.51,49.04,49.04,4028100.0,0.0,1.0
2020-01-27,48.21,48.59,46.18,47.47,47.47,7017800.0,0.0,1.0
2020-01-24,49.6,50.15,48.8,49.18,49.18,3807800.0,0.0,1.0
2020-01-23,47.74,49.38,46.72,49.38,49.38,5322400.0,0.0,1.0
2020-01-22,46.5,48.16,46.2,47.75,47.75,4608300.0,0.0,1.0
2020-01-21,46.38,47.19,45.95,45.95,45.95,6218400.0,0.0,1.0
