date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2020-06-12,21.05,21.77,20.78,21.02,21.02,10954500.0,0.0,1.0
2020-06-10,22.88,22.88,21.88,22.02,22.02,26428300.0,0.0,1.0
2020-06-09,22.84,22.94,22.5,22.69,22.69,18562600.0,0.0,1.0
2020-06-08,23.33,23.4,22.75,23.35,23.35,19812000.0,0.0,1.0
2020-06-05,23.0,23.83,22.81,22.85,22.85,26623200.0,0.0,1.0
2020-06-04,22.02,22.62,21.56,22.16,22.16,24417700.0,0.0,1.0
2020-06-03,22.36,22.39,21.96,22.06,22.06,18771700.0,0.0,1.0
2020-06-02,21.31,21.86,21.1,21.86,21.86,16405100.0,0.0,1.0
2020-06-01,20.67,21.15,20.46,20.95,20.95,16933500.0,0.0,1.0
2020-05-29,20.32,20.84,20.06,20.84,20.84,40906600.0,0.0,1.0
2020-05-28,20.49,20.91,20.31,20.56,20.56,14941700.0,0.0,1.0
2020-05-27,20.61,20.77,19.93,20.65,20.65,17549200.0,0.0,1.0
2020-05-26,20.85,20.92,20.19,20.55,20.55,20457400.0,0.0,1.0
2020-05-25,20.46,20.46,20.21,20.34,20.34,6791800.0,0.0,1.0
2020-05-22,19.63,19.77,19.07,19.52,19.52,14356600.0,0.0,1.0
2020-05-21,20.08,20.42,19.66,19.95,19.95,19480400.0,0.0,1.0
2020-05-20,19.66,20.2,19.66,19.88,19.88,14715100.0,0.0,1.0
2020-05-19,19.49,19.85,19.23,19.3,19.3,18126400.0,0.0,1.0
2020-05-18,18.75,19.5,18.53,19.42,19.42,25804600.0,0.0,1.0
2020-05-15,18.0,18.8,17.7,17.7,17.7,34890800.0,0.0,1.0
2020-05-14,17.95,17.95,17.1,17.69,17.69,33197200.0,0.0,1.0
2020-05-13,18.96,19.13,18.01,18.13,18.13,20723300.0,0.0,1.0
2020-05-12,19.38,19.57,18.87,18.87,18.87,20641000.0,0.0,1.0
2020-05-11,19.38,19.83,18.99,19.03,19.03,23059300.0,0.0,1.0
2020-05-08,18.7,19.65,18.6,19.55,19.55,21161300.0,0.0,1.0
2020-05-07,18.53,18.73,18.16,18.3,18.3,32296200.0,0.0,1.0
2020-05-06,18.75,18.82,17.9,17.94,17.94,19890500.0,0.0,1.0
2020-05-05,18.52,19.14,18.52,18.67,18.67,18728700.0,0.0,1.0
2020-05-04,17.95,18.31,17.74,18.05,18.05,17952300.0,0.0,1.0
2020-04-30,18.73,19.18,18.43,18.65,18.65,23209200.0,0.0,1.0
2020-04-29,18.51,19.3,18.35,19.0,19.0,26938000.0,0.0,1.0
2020-04-28,17.49,18.02,17.11,18.02,18.02,24004700.0,0.2336,1.0
2020-04-27,16.37,16.92,15.97,16.8,16.5664,25446600.0,0.0,1.0
2020-04-24,17.1,17.25,15.52,16.07,15.8465,39716700.0,0.0,1.0
2020-04-23,17.6,17.88,17.09,17.34,17.0988,19498900.0,0.2336,1.0
2020-04-22,16.4,17.16,16.35,17.15,16.6811,19763600.0,0.0,1.0
2020-04-20,15.98,17.02,15.79,16.55,16.0975,37175900.0,0.0,1.0
2020-04-17,16.2,16.76,15.93,16.7,16.2434,24906500.0,0.0,1.0
2020-04-16,16.92,16.98,15.86,16.13,15.689,22075700.0,0.0,1.0
2020-04-15,16.35,16.84,16.21,16.62,16.1656,38442400.0,0.0,1.0
2020-04-14,17.43,17.69,16.96,17.18,16.7103,19421300.0,0.0,1.0
2020-04-13,17.09,17.39,16.64,17.3,16.827,24196800.0,0.0,1.0
2020-04-09,18.03,18.8,16.68,16.86,16.399,44119700.0,0.0,1.0
2020-04-08,16.63,17.86,16.54,17.5,17.0215,29341000.0,0.0,1.0
2020-04-07,16.99,17.34,16.44,16.56,16.1072,34378000.0,0.0,1.0
2020-04-06,16.05,16.15,15.39,16.15,15.7084,38566600.0,0.0,1.0
2020-04-03,16.35,16.38,14.81,15.32,14.9011,38437600.0,0.0,1.0
2020-04-02,15.39,16.66,14.92,15.43,15.0081,57104700.0,0.0,1.0
2020-04-01,13.6,14.49,13.41,14.21,13.8215,28742500.0,0.0,1.0
2020-03-31,13.58,14.75,13.53,14.14,13.7534,46418700.0,0.0,1.0
2020-03-30,12.9,13.62,12.5,13.44,13.0725,47594300.0,0.0,1.0
2020-03-27,13.3,13.85,13.03,13.03,12.6737,50173700.0,0.0,1.0
2020-03-26,14.45,15.33,13.92,14.6,14.2008,39215400.0,0.0,1.0
2020-03-25,13.45,15.04,13.22,14.55,14.1522,40007400.0,0.0,1.0
2020-03-24,12.64,13.75,12.46,13.47,13.1017,33763400.0,0.0,1.0
2020-03-23,12.3,12.34,11.42,11.62,11.3023,29323500.0,0.0,1.0
2020-03-20,13.15,13.47,11.85,12.22,11.8859,38966200.0,0.0,1.0
2020-03-19,11.0,13.05,10.5,12.45,12.1096,68539000.0,0.0,1.0
2020-03-18,11.7,12.2,10.5,11.05,10.7479,73690700.0,0.0,1.0
2020-03-17,13.66,14.11,13.0,13.08,12.7224,53299000.0,0.0,1.0
