date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2020-06-12,25.64,26.19,25.06,25.7,25.7,2566500.0,0.0,1.0
2020-06-10,27.46,27.5,26.78,26.84,26.84,3006400.0,0.0,1.0
2020-06-09,27.39,27.45,26.73,27.09,27.09,3132900.0,0.0,1.0
2020-06-08,27.41,27.94,26.4,27.83,27.83,4241900.0,0.0,1.0
2020-06-05,27.0,27.65,26.43,26.85,26.85,5379100.0,0.0,1.0
2020-06-04,26.93,26.93,25.92,26.15,26.15,4323600.0,0.0,1.0
2020-06-03,26.7705,27.0885,26.6843,26.93,26.93,879465.0,0.0,1.0
2020-06-02,24.71,25.15,24.08,24.41,24.41,3864800.0,0.0,1.0
2020-06-01,23.82,24.68,23.5,24.23,24.23,2962300.0,0.0,1.0
2020-05-29,23.29,24.14,22.92,23.72,23.72,3648800.0,0.0,1.0
2020-05-28,23.84,24.02,23.23,23.29,23.29,1890600.0,0.0,1.0
2020-05-27,23.8,23.98,23.21,23.83,23.83,5274800.0,0.0,1.0
2020-05-26,24.0,24.54,23.21,23.52,23.52,3012000.0,0.0,1.0
2020-05-25,23.09,24.0,23.06,23.43,23.43,2467900.0,0.0,1.0
2020-05-22,21.99,22.89,21.7,22.31,22.31,2856500.0,0.0,1.0
2020-05-21,21.79,22.75,21.39,22.31,22.31,4758600.0,0.0,1.0
2020-05-20,20.79,21.99,20.52,21.57,21.57,5385500.0,0.0,1.0
2020-05-19,19.9,21.08,19.73,20.48,20.48,5086000.0,0.0,1.0
2020-05-18,20.26,20.4,19.19,19.92,19.92,4943700.0,0.0,1.0
2020-05-15,19.9,20.63,19.56,19.7,19.7,4588100.0,0.0,1.0
2020-05-14,19.3,20.08,18.85,20.04,20.04,9249200.0,0.0,1.0
2020-05-13,20.97,21.16,19.49,19.7,19.7,7262600.0,0.0,1.0
2020-05-12,21.73,22.4,20.74,20.85,20.85,5209100.0,0.0,1.0
2020-05-11,22.49,23.09,21.73,21.73,21.73,4570400.0,0.0,1.0
2020-05-08,23.99,23.99,22.48,22.9,22.9,3731200.0,0.0,1.0
2020-05-07,24.36,24.46,22.37,23.55,23.55,4197300.0,0.0,1.0
2020-05-06,24.44,24.74,23.24,24.17,24.17,2248600.0,0.0,1.0
2020-05-05,25.1,25.44,24.17,24.27,24.27,1777500.0,0.0,1.0
2020-05-04,25.0,25.13,23.89,24.53,24.53,2626100.0,0.0042,1.0
2020-04-30,26.16,26.63,25.6,25.92,25.9158,5215700.0,0.0,1.0
2020-04-29,26.14,27.36,25.92,26.64,26.6357,3628400.0,0.0,1.0
2020-04-28,25.65,26.34,25.47,25.61,25.6058,2775200.0,0.0,1.0
2020-04-27,25.91,26.23,24.96,25.05,25.0459,3692000.0,0.0,1.0
2020-04-24,26.28,26.28,23.06,25.68,25.6758,5427800.0,0.0,1.0
2020-04-23,28.35,28.76,26.51,27.19,27.1856,3335300.0,0.0,1.0
2020-04-22,26.57,28.1,26.14,28.1,28.0954,4342100.0,0.0,1.0
2020-04-20,24.8,26.46,24.15,26.46,26.4557,3906900.0,0.0,1.0
2020-04-17,25.33,26.34,24.92,25.34,25.3359,3515100.0,0.0,1.0
2020-04-16,25.2,25.98,24.55,25.02,25.0159,2742600.0,0.0,1.0
2020-04-15,24.94,25.66,24.41,24.81,24.806,2947400.0,0.0,1.0
2020-04-14,24.15,25.8,23.75,25.33,25.3259,3353200.0,0.0,1.0
2020-04-13,24.0,24.4,23.15,23.59,23.5862,2722900.0,0.0,1.0
2020-04-09,25.49,25.74,24.05,24.05,24.0461,3308400.0,0.0,1.0
2020-04-08,25.27,26.05,24.35,25.21,25.2059,5954600.0,0.0,1.0
2020-04-07,24.6,26.45,24.28,25.17,25.1659,4796400.0,0.0,1.0
2020-04-06,22.49,24.43,22.11,22.95,22.9463,4535000.0,0.0,1.0
