date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2020-06-12,23.4,23.98,22.91,23.38,23.38,3422200.0,0.0,1.0
2020-06-10,24.52,24.7,23.93,24.17,24.17,11202700.0,0.0,1.0
2020-06-09,23.41,24.48,23.35,24.31,24.31,6197500.0,0.0,1.0
2020-06-08,23.53,24.29,23.06,24.17,24.17,10847800.0,0.0,1.0
2020-06-05,22.9,23.63,22.62,23.11,23.11,17924400.0,0.0,1.0
2020-06-04,22.9,23.24,21.83,22.36,22.36,12112200.0,0.0,1.0
2020-06-03,22.65,23.26,22.48,23.15,23.15,7754900.0,0.0,1.0
2020-06-02,23.0,23.0,22.35,22.65,22.65,7366800.0,0.0,1.0
2020-06-01,22.48,22.76,22.04,22.62,22.62,7686700.0,0.0,1.0
2020-05-29,23.0,23.0,21.9,22.53,22.53,19789800.0,0.0,1.0
2020-05-28,22.6,23.58,22.4,23.17,23.17,11777500.0,0.0,1.0
2020-05-27,21.9,23.66,21.73,23.45,23.45,13532200.0,0.0,1.0
2020-05-26,21.61,22.58,21.36,21.41,21.41,9525800.0,0.0,1.0
2020-05-25,21.5,21.63,20.91,21.3,21.3,6641600.0,0.0,1.0
2020-05-22,20.68,21.45,20.5,20.89,20.89,7772300.0,0.0,1.0
2020-05-21,20.65,20.96,20.51,20.61,20.61,5450100.0,0.0,1.0
2020-05-20,20.29,20.78,20.08,20.33,20.33,5473200.0,0.0,1.0
2020-05-19,20.85,20.92,20.12,20.12,20.12,4932200.0,0.0,1.0
2020-05-18,20.16,20.99,20.0,20.84,20.84,8140800.0,0.0,1.0
2020-05-15,20.13,20.54,19.38,19.66,19.66,9411100.0,0.0,1.0
2020-05-14,19.35,20.75,19.13,20.54,20.54,10834900.0,0.0,1.0
2020-05-13,19.95,20.0,19.32,19.6,19.6,5582200.0,0.0,1.0
2020-05-12,20.16,20.31,19.52,19.52,19.52,4534500.0,0.0,1.0
2020-05-11,19.77,20.52,19.77,19.97,19.97,4187800.0,0.0,1.0
2020-05-08,20.1,20.5,19.87,20.3,20.3,7632000.0,0.0,1.0
2020-05-07,20.14,20.65,19.5,19.65,19.65,16032000.0,0.0,1.0
2020-05-06,19.65,20.3,19.45,20.14,20.14,7741900.0,0.0,1.0
2020-05-05,19.75,19.9,19.48,19.65,19.65,6082600.0,0.0,1.0
2020-05-04,18.96,19.75,18.77,19.7,19.7,6502400.0,0.0,1.0
2020-04-30,19.39,20.11,19.35,19.79,19.79,9124800.0,0.0,1.0
2020-04-29,20.57,20.57,19.34,19.76,19.76,13565500.0,0.0,1.0
2020-04-28,21.21,21.24,20.18,20.2,20.2,8265200.0,0.0,1.0
2020-04-27,20.85,21.3,19.81,20.67,20.67,10002500.0,0.0,1.0
2020-04-24,20.34,20.6,18.68,20.55,20.55,15649800.0,0.0,1.0
2020-04-23,20.75,21.26,20.16,20.98,20.98,9919100.0,0.0,1.0
2020-04-22,20.14,20.78,20.06,20.77,20.77,10069200.0,0.0,1.0
2020-04-20,19.55,20.92,19.54,20.04,20.04,7705000.0,0.0,1.0
2020-04-17,19.68,20.68,19.48,20.24,20.24,10185000.0,0.0,1.0
2020-04-16,20.01,20.19,19.02,19.35,19.35,8348300.0,0.0,1.0
2020-04-15,19.84,20.1,19.22,19.95,19.95,9640700.0,0.0,1.0
2020-04-14,20.14,20.62,19.92,20.09,20.09,10495300.0,0.0,1.0
2020-04-13,19.24,20.25,19.01,19.86,19.86,6974300.0,0.0,1.0
2020-04-09,19.4,20.0,19.1,19.47,19.47,9069800.0,0.0,1.0
2020-04-08,19.5,20.14,18.85,19.38,19.38,13472900.0,0.0,1.0
2020-04-07,21.87,21.89,19.02,19.61,19.61,15117600.0,0.0,1.0
2020-04-06,21.21,21.72,20.48,20.76,20.76,12992200.0,0.0,1.0
2020-04-03,20.32,20.64,19.4,20.64,20.64,9440600.0,0.0,1.0
2020-04-02,20.0,20.64,19.49,20.34,20.34,10715400.0,0.0,1.0
2020-04-01,18.68,19.9,18.46,19.56,19.56,11072000.0,0.0,1.0
2020-03-31,19.62,20.7,19.27,19.65,19.65,11000900.0,0.0,1.0
2020-03-30,19.19,20.02,18.95,19.8,19.8,15925700.0,0.0,1.0
2020-03-27,20.01,20.42,19.0,19.15,19.15,14106200.0,0.0,1.0
2020-03-26,19.46,21.4,19.34,21.03,21.03,15362300.0,0.0,1.0
2020-03-25,18.5,20.05,18.4,19.55,19.55,16888100.0,0.0,1.0
2020-03-24,18.99,19.7,18.72,19.01,19.01,14061100.0,0.0,1.0
2020-03-23,18.2,18.69,16.8,17.6,17.6,15021000.0,0.0,1.0
2020-03-20,18.79,19.14,17.2,18.41,18.41,18712000.0,0.0,1.0
2020-03-19,15.0,19.2,14.34,18.0,18.0,33206600.0,0.0,1.0
2020-03-18,14.89,15.97,14.6,15.32,15.32,36786000.0,0.0,1.0
2020-03-17,14.81,17.19,13.63,16.6,16.6,36567200.0,0.0,1.0
2020-03-16,14.33,15.13,13.8,14.56,14.56,18282500.0,0.0,1.0
2020-03-13,16.01,17.45,13.86,17.45,17.45,18815700.0,0.0,1.0
2020-03-12,14.25,15.02,13.5,14.29,14.29,15800400.0,0.0,1.0
2020-03-11,17.85,18.1,15.19,17.12,17.12,14630200.0,0.0,1.0
2020-03-10,18.35,18.84,17.82,18.55,18.55,35869000.0,0.0,1.0
2020-03-09,17.1,17.99,16.5,17.35,17.35,30125800.0,0.0,1.0
2020-03-06,19.72,19.99,18.88,19.3,19.3,24503400.0,0.0,1.0
2020-03-05,20.98,21.67,20.61,20.9,20.9,16641400.0,0.0,1.0
2020-03-04,21.59,21.68,21.0,21.29,21.29,12482300.0,0.0,1.0
2020-03-03,21.6,22.41,20.92,21.03,21.03,14348600.0,0.0,1.0
2020-03-02,21.12,21.77,20.79,21.71,21.71,9424300.0,0.0,1.0
2020-02-28,21.36,21.5,20.65,21.12,21.12,16782200.0,0.0,1.0
2020-02-27,21.66,21.76,20.93,21.36,21.36,15990100.0,0.0,1.0
2020-02-21,23.78,23.89,23.11,23.89,23.89,7445200.0,0.0,1.0
2020-02-20,23.89,24.32,23.61,24.13,24.13,7269700.0,0.0,1.0
2020-02-19,22.97,24.07,22.91,24.07,24.07,9206000.0,0.0,1.0
2020-02-18,22.55,23.19,22.13,23.19,23.19,6450100.0,0.0,1.0
2020-02-17,23.04,23.1,22.64,22.72,22.72,4014200.0,0.0,1.0
2020-02-14,23.94,23.94,22.57,23.02,23.02,13184300.0,0.0,1.0
2020-02-13,24.3,24.3,23.69,23.8,23.8,6026800.0,0.0,1.0
2020-02-12,23.75,24.45,23.33,24.44,24.44,9021000.0,0.0,1.0
2020-02-11,22.8,23.87,22.69,23.75,23.75,7312500.0,0.0,1.0
2020-02-10,23.18,23.18,22.46,22.7,22.7,4970700.0,0.0,1.0
2020-02-07,23.55,23.71,23.03,23.2,23.2,3234500.0,0.0,1.0
2020-02-06,23.93,24.19,23.53,23.56,23.56,3697600.0,0.0,1.0
2020-02-05,24.0,24.27,23.66,23.7,23.7,8949600.0,0.0,1.0
2020-02-04,23.45,24.03,23.41,23.73,23.73,7664900.0,0.0,1.0
2020-02-03,23.2,23.4,22.88,23.26,23.26,5812200.0,0.0,1.0
2020-01-31,23.22,23.22,22.7,23.2,23.2,9566100.0,0.0,1.0
2020-01-30,23.5,23.5,22.95,23.22,23.22,8670800.0,0.0,1.0
2020-01-29,24.0,24.04,23.45,23.65,23.65,5554900.0,0.0,1.0
2020-01-28,24.07,24.23,23.81,23.9,23.9,4749700.0,0.0,1.0
2020-01-27,23.95,24.1,23.7,23.9,23.9,8032800.0,0.0,1.0
2020-01-24,24.79,24.85,24.31,24.33,24.33,4910200.0,0.0,1.0
2020-01-23,24.1,24.79,23.7,24.79,24.79,11115200.0,0.0,1.0
2020-01-22,24.4,24.55,23.93,24.32,24.32,3734600.0,0.0,1.0
2020-01-21,24.49,24.72,24.11,24.23,24.23,6299300.0,0.0,1.0
2020-01-20,24.3197,24.6577,24.2513,24.49,24.49,757000.0,0.0,1.0
2020-01-17,24.49,24.8,24.16,24.3,24.3,8464300.0,0.0,1.0
2020-01-16,24.65,24.8,23.88,24.34,24.34,16493600.0,0.0,1.0
2020-01-15,25.61,25.63,24.96,24.97,24.97,10077500.0,0.0,1.0
2020-01-14,25.85,26.09,25.62,25.8,25.8,3856900.0,0.0,1.0
2020-01-13,25.78,25.98,25.31,25.95,25.95,5130600.0,0.0,1.0
2020-01-10,25.97,26.27,25.46,25.67,25.67,6990500.0,0.0,1.0
2020-01-09,25.6,25.93,25.41,25.93,25.93,6467800.0,0.0,1.0
2020-01-08,25.09,25.7,24.9,25.6,25.6,24709700.0,0.0,1.0
2020-01-07,24.93,25.39,24.6,25.27,25.27,10403100.0,0.0,1.0
2020-01-06,25.6,25.6,24.33,24.9,24.9,20872200.0,0.0,1.0
2020-01-03,26.1,26.3,25.63,25.63,25.63,12503800.0,0.0,1.0
2020-01-02,26.32,26.59,26.14,26.4,26.4,20924400.0,0.0,1.0
2019-12-30,26.87,26.89,26.1,26.1,26.1,5820300.0,0.0,1.0
2019-12-27,26.73,26.87,26.27,26.87,26.87,4187500.0,0.0,1.0
2019-12-26,25.95,26.76,25.82,26.6,26.6,3264900.0,0.0,1.0
2019-12-23,25.66,25.99,25.52,25.94,25.94,3360400.0,0.0,1.0
2019-12-20,25.48,25.67,24.95,25.67,25.67,7927700.0,0.0,1.0
2019-12-19,25.26,25.57,25.02,25.48,25.48,5640400.0,0.0,1.0
2019-12-18,25.2,25.35,24.53,25.26,25.26,11735100.0,0.0,1.0
2019-12-17,25.38,25.48,24.99,25.26,25.26,6007900.0,0.0,1.0
2019-12-16,25.55,25.67,25.32,25.37,25.37,20187200.0,0.0,1.0
2019-12-13,25.96,26.03,25.33,25.41,25.41,7934900.0,0.0,1.0
2019-12-12,25.72,25.95,25.49,25.88,25.88,6195300.0,0.0,1.0
2019-12-11,25.07,25.93,24.85,25.65,25.65,8482400.0,0.0,1.0
2019-12-10,25.2,25.23,24.93,25.05,25.05,7106400.0,0.0,1.0
2019-12-09,25.25,25.43,25.11,25.2,25.2,5878900.0,0.0,1.0
2019-12-06,25.14,25.34,25.03,25.2,25.2,6322200.0,0.0,1.0
