date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2020-06-12,39.51,40.84,38.9,39.18,39.18,3945900.0,0.0,1.0
2020-06-10,43.49,43.72,40.64,41.1,41.1,7178700.0,0.0,1.0
2020-06-09,41.97,43.42,40.8,42.9,42.9,5189900.0,0.0,1.0
2020-06-08,41.11,43.44,40.7,43.2,43.2,8253900.0,0.0,1.0
2020-06-05,41.4,41.97,39.91,40.84,40.84,11405100.0,0.0,1.0
2020-06-04,40.9,40.9,39.1,40.0,40.0,10308600.0,0.0,1.0
2020-06-03,39.59,41.54,39.06,41.02,41.02,13794000.0,0.0,1.0
2020-06-02,38.1,39.39,37.46,38.25,38.25,9692000.0,0.0,1.0
2020-06-01,38.4,38.95,37.31,37.61,37.61,9702900.0,0.0,1.0
2020-05-29,37.31,38.48,35.85,38.48,38.48,10127400.0,0.0,1.0
2020-05-28,39.18,39.53,37.14,37.32,37.32,8835800.0,0.0,1.0
2020-05-27,37.12,39.57,37.12,39.1,39.1,8251100.0,0.0,1.0
2020-05-26,37.0,38.12,36.13,36.88,36.88,7444100.0,0.0,1.0
2020-05-25,37.36,38.18,36.45,36.7,36.7,6442500.0,0.0,1.0
2020-05-22,35.8,36.86,35.14,36.19,36.19,8420500.0,0.0,1.0
2020-05-21,35.59,37.75,35.44,36.29,36.29,11882200.0,0.0,1.0
2020-05-20,35.45,36.36,34.87,35.3,35.3,10830000.0,0.0,1.0
2020-05-19,33.51,36.05,32.9,35.07,35.07,16658600.0,0.0,1.0
2020-05-18,31.11,33.91,31.03,33.51,33.51,13688200.0,0.0,1.0
2020-05-15,28.98,31.0,28.24,30.2,30.2,24848900.0,0.0,1.0
2020-05-14,27.01,29.29,26.31,29.29,29.29,13808500.0,0.0,1.0
2020-05-13,27.6,28.28,26.67,27.31,27.31,9381200.0,0.0,1.0
2020-05-12,28.45,29.2,27.51,27.51,27.51,18609000.0,0.0,1.0
2020-05-11,29.32,29.72,27.85,28.1,28.1,14099500.0,0.0,1.0
2020-05-08,30.5,30.82,29.27,29.65,29.65,8743200.0,0.0,1.0
2020-05-07,32.86,32.94,29.77,29.77,29.77,18941300.0,0.0,1.0
2020-05-06,33.88,34.24,32.3,32.5,32.5,8333000.0,0.0,1.0
2020-05-05,34.0,34.92,32.95,33.63,33.63,6637600.0,0.0,1.0
2020-05-04,33.24,34.05,32.43,33.41,33.41,6624300.0,0.0,1.0
2020-04-30,35.3,35.73,33.93,34.19,34.19,7237500.0,0.0,1.0
2020-04-29,35.77,36.46,35.3,36.15,36.15,9345600.0,0.0,1.0
2020-04-28,34.85,35.3,33.02,35.2,35.2,8541000.0,0.0,1.0
2020-04-27,34.0,34.73,32.73,33.5,33.5,10990100.0,0.0,1.0
2020-04-24,34.26,34.85,30.52,32.98,32.98,14190700.0,0.0,1.0
2020-04-23,37.0,38.19,34.61,34.98,34.98,10618000.0,0.0,1.0
2020-04-22,34.1,37.1,33.57,36.5,36.5,15233600.0,0.0,1.0
2020-04-20,31.2,35.0,30.72,34.0,34.0,13174700.0,0.0,1.0
2020-04-17,30.45,32.21,30.08,32.03,32.03,11572000.0,0.0,1.0
2020-04-16,30.88,30.88,29.3,29.56,29.56,10638000.0,0.0,1.0
2020-04-15,29.85,31.85,29.29,30.12,30.12,11246500.0,0.0,1.0
2020-04-14,30.52,31.5,29.85,30.49,30.49,7943900.0,0.0,1.0
2020-04-13,30.0,30.46,28.68,29.75,29.75,9189900.0,0.0,1.0
2020-04-09,32.17,33.6,30.1,30.15,30.15,14493800.0,0.0,1.0
2020-04-08,29.42,33.48,28.54,31.9,31.9,15164300.0,0.0,1.0
