date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2020-06-12,29.18,30.08,28.87,29.94,29.94,3185500.0,0.0,1.0
2020-06-10,29.1574,29.2584,29.1042,29.18,29.18,104965.0,0.0,1.0
2020-06-09,31.8,32.53,31.22,31.89,31.89,4232800.0,0.0,1.0
2020-06-08,31.69,32.6,31.54,32.33,32.33,3343800.0,0.0,1.0
2020-06-05,31.7,32.97,31.07,31.13,31.13,4107500.0,0.0,1.0
2020-06-04,29.0,30.8,28.34,30.44,30.44,5298100.0,0.0,1.0
2020-06-03,29.64,29.74,28.95,29.39,29.39,3792400.0,0.0,1.0
2020-06-02,27.0,28.14,27.0,28.13,28.13,4823500.0,0.0,1.0
2020-06-01,25.49,26.72,25.22,26.61,26.61,2562700.0,0.0,1.0
2020-05-29,25.15,25.6,24.34,25.18,25.18,4630000.0,0.0,1.0
2020-05-28,25.9,26.19,25.0,25.23,25.23,3078800.0,0.0,1.0
2020-05-27,25.8,26.11,25.25,25.9,25.9,2517800.0,0.0,1.0
2020-05-26,26.34,26.64,25.13,25.14,25.14,3409300.0,0.0,1.0
2020-05-25,25.41,26.0,25.41,25.91,25.91,1466900.0,0.0,1.0
2020-05-22,25.0,25.12,24.2,24.61,24.61,2114600.0,0.0,1.0
2020-05-21,23.9,25.18,23.8,25.05,25.05,3148700.0,0.0,1.0
2020-05-20,23.93,24.15,23.36,23.77,23.77,2484200.0,0.0,1.0
2020-05-19,24.65,24.84,23.51,23.51,23.51,3523800.0,0.0,1.0
2020-05-18,24.0,24.64,23.52,24.54,24.54,2691200.0,0.0,1.0
2020-05-15,23.93,24.25,22.96,22.96,22.96,2953800.0,0.0,1.0
2020-05-14,22.7,23.98,21.87,23.94,23.94,4533500.0,0.0,1.0
2020-05-13,23.46,23.88,22.64,22.98,22.98,4254300.0,0.0,1.0
2020-05-12,24.65,24.84,23.24,23.24,23.24,3821500.0,0.0,1.0
2020-05-11,24.18,25.55,24.18,24.69,24.69,2697700.0,0.0,1.0
2020-05-08,24.17,25.08,23.87,24.43,24.43,3139900.0,0.0,1.0
2020-05-07,25.11,25.21,23.89,23.91,23.91,3391500.0,0.0,1.0
2020-05-06,25.12,25.33,24.34,24.91,24.91,3201800.0,0.0,1.0
2020-05-05,25.87,26.36,25.1,25.14,25.14,3228600.0,0.0,1.0
2020-05-04,26.0,26.14,25.24,25.74,25.74,2440500.0,0.0,1.0
2020-04-30,27.2,27.42,26.7,27.0,27.0,4334000.0,0.0,1.0
2020-04-29,27.33,28.35,26.71,28.22,28.22,2971800.0,0.0,1.0
2020-04-28,27.2344,27.3349,27.1747,27.33,27.33,554387.0,0.0,1.0
2020-04-27,24.1,24.99,23.84,24.46,24.46,1731800.0,0.0,1.0
2020-04-24,24.72,24.79,22.74,23.44,23.44,5631700.0,0.0,1.0
2020-04-23,25.64,25.88,24.87,25.03,25.03,3327000.0,0.0,1.0
2020-04-22,25.78,26.22,25.34,25.4,25.4,3737600.0,0.0,1.0
2020-04-20,26.0,26.2,25.67,25.95,25.95,2369300.0,0.0,1.0
2020-04-17,26.53,26.99,26.1,26.5,26.5,1746400.0,0.0,1.0
2020-04-16,27.15,27.32,25.72,25.88,25.88,3382200.0,0.0,1.0
2020-04-15,27.6,27.6,26.91,26.92,26.92,2655600.0,0.0,1.0
2020-04-14,28.68,29.11,28.07,28.2,28.2,1329500.0,0.0,1.0
2020-04-13,27.51,28.29,26.52,28.29,28.29,2017300.0,0.0,1.0
2020-04-09,27.9,28.62,27.47,27.58,27.58,1596700.0,0.0,1.0
2020-04-08,27.53,28.22,27.11,27.73,27.73,1355300.0,0.0,1.0
2020-04-07,28.53,28.88,27.26,27.36,27.36,3173600.0,0.0,1.0
2020-04-06,25.24,26.62,24.87,26.14,26.14,2419500.0,0.0,1.0
2020-04-03,25.24,25.31,23.46,23.86,23.86,2003100.0,0.0,1.0
2020-04-02,24.99,25.73,24.65,25.51,25.51,1401800.0,0.0,1.0
2020-04-01,25.7,26.12,24.51,24.74,24.74,2182300.0,0.0,1.0
2020-03-31,27.8,28.11,26.18,27.0,27.0,2044700.0,0.0,1.0
2020-03-30,27.38,28.35,26.71,28.2,28.2,2172300.0,0.0,1.0
2020-03-27,28.45,28.97,27.23,27.23,27.23,3199400.0,0.0,1.0
2020-03-26,29.92,31.11,29.15,30.17,30.17,2037600.0,0.0,1.0
2020-03-25,27.3,31.2,26.68,29.53,29.53,3500800.0,0.0,1.0
2020-03-24,26.0,28.29,25.37,27.57,27.57,2883400.0,0.0,1.0
2020-03-23,26.05,26.47,23.34,24.31,24.31,3999700.0,0.0,1.0
2020-03-20,26.32,27.2,25.0,25.6,25.6,4846600.0,0.0,1.0
2020-03-19,25.2,25.99,23.45,25.36,25.36,3081500.0,0.0,1.0
2020-03-18,25.9,26.6,24.51,25.79,25.79,3597600.0,0.0,1.0
2020-03-17,26.7,29.03,25.27,27.6,27.6,5825800.0,0.0,1.0
2020-03-16,26.62,28.6,25.0,26.39,26.39,3406600.0,0.0,1.0
2020-03-13,30.96,30.96,26.04,29.97,29.97,4442100.0,0.0,1.0
2020-03-12,26.3,28.0,25.0,26.65,26.65,3208200.0,0.0,1.0
2020-03-11,32.8,33.16,30.02,30.8,30.8,2594000.0,0.0,1.0
2020-03-10,33.0,34.07,32.51,33.59,33.59,3348000.0,0.0,1.0
2020-03-09,33.3,34.89,32.11,32.45,32.45,3594200.0,0.0,1.0
2020-03-06,36.0,37.48,35.87,36.35,36.35,1891300.0,0.0,1.0
2020-03-05,38.02,38.59,37.62,37.66,37.66,1930100.0,0.0,1.0
2020-03-04,39.12,39.2,37.8,38.37,38.37,3221100.0,0.0,1.0
2020-03-03,39.15,39.63,38.4,38.53,38.53,1776200.0,0.0,1.0
2020-03-02,39.75,39.79,38.7,38.93,38.93,2832600.0,0.0,1.0
2020-02-28,38.46,39.27,37.61,38.87,38.87,2783400.0,0.0,1.0
2020-02-27,38.1,39.09,37.82,38.78,38.78,1923400.0,0.0,1.0
2020-02-21,40.98,41.09,40.34,40.48,40.48,849700.0,0.0,1.0
2020-02-20,41.42,41.64,41.03,41.4,41.4,1780900.0,0.0,1.0
2020-02-19,40.93,41.71,40.52,41.34,41.34,1017900.0,0.0,1.0
2020-02-18,40.72,40.82,40.19,40.71,40.71,1289700.0,0.0,1.0
2020-02-17,40.88,41.12,40.77,40.91,40.91,747600.0,0.0,1.0
2020-02-14,41.65,41.95,41.03,41.06,41.06,728400.0,0.0,1.0
2020-02-13,42.27,42.6,41.43,41.5,41.5,1160800.0,0.0,1.0
2020-02-12,42.92,43.26,42.39,43.01,43.01,1206200.0,0.0,1.0
2020-02-11,42.78,43.42,42.55,43.34,43.34,2479100.0,0.0,1.0
2020-02-10,42.0,42.86,41.68,42.63,42.63,2024300.0,0.0,1.0
2020-02-07,41.49,42.1,41.13,41.6,41.6,1032700.0,0.0,1.0
2020-02-06,42.95,42.99,41.65,41.75,41.75,1358600.0,0.0,1.0
2020-02-05,42.79,42.99,41.83,42.4,42.4,2110800.0,0.0,1.0
2020-02-04,42.5,42.98,41.71,42.05,42.05,1363300.0,0.0,1.0
2020-02-03,42.43,43.0,41.9,42.09,42.09,1852400.0,0.0,1.0
2020-01-31,42.9,43.14,41.72,41.8,41.8,1742200.0,0.0,1.0
2020-01-30,42.3,42.6,41.81,42.21,42.21,1179600.0,0.0,1.0
2020-01-29,44.17,44.9,42.39,42.43,42.43,1787600.0,0.0,1.0
2020-01-28,43.96,44.35,43.1,43.42,43.42,593900.0,0.0,1.0
2020-01-27,43.2,44.27,43.2,43.98,43.98,1270000.0,0.0,1.0
2020-01-24,44.85,44.97,44.05,44.14,44.14,727800.0,0.0,1.0
2020-01-23,43.44,44.5,43.2,44.46,44.46,1622100.0,0.0,1.0
2020-01-22,44.19,44.36,43.44,43.51,43.51,802800.0,0.0,1.0
2020-01-21,45.62,46.0,43.66,43.94,43.94,1766500.0,0.0,1.0
2020-01-20,45.93,46.49,45.55,45.71,45.71,483000.0,0.0,1.0
2020-01-17,45.36,46.51,45.34,46.11,46.11,1131500.0,0.0,1.0
2020-01-16,45.44,45.44,44.84,45.17,45.17,1066000.0,0.0,1.0
2020-01-15,45.79,45.86,44.86,45.26,45.26,1512100.0,0.0,1.0
2020-01-14,46.53,46.83,45.55,45.88,45.88,1451200.0,0.0,1.0
2020-01-13,46.23,46.88,45.74,46.52,46.52,1422200.0,0.0,1.0
2020-01-10,46.4,46.77,45.91,45.95,45.95,776000.0,0.0,1.0
2020-01-09,46.88,47.36,46.01,46.15,46.15,987700.0,0.0,1.0
2020-01-08,47.56,47.74,46.6,47.04,47.04,629300.0,0.0,1.0
2020-01-07,47.6,47.98,47.06,47.41,47.41,1086400.0,0.0,1.0
2020-01-06,48.31,48.66,47.35,47.51,47.51,1303400.0,2.0916,1.0
2020-01-03,50.52,51.33,50.51,51.01,48.9184,1346800.0,0.0,1.0
2020-01-02,50.0,51.55,49.82,51.04,48.9472,1752000.0,0.0,1.0
2019-12-30,48.88,50.17,48.86,49.3,47.2785,1900900.0,0.0,1.0
2019-12-27,48.1,48.57,48.07,48.31,46.3291,685400.0,0.0,1.0
2019-12-26,47.6,48.18,47.33,48.04,46.0702,577900.0,0.0,1.0
2019-12-23,47.41,47.42,46.78,47.21,45.2742,507200.0,0.0,1.0
2019-12-20,47.03,47.53,46.55,47.26,45.3222,640900.0,0.0,1.0
2019-12-19,45.93,46.84,45.9,46.81,44.8906,855600.0,0.0,1.0
2019-12-18,44.95,46.66,44.79,46.58,44.6701,2524400.0,0.0,1.0
2019-12-17,44.78,45.45,44.52,45.09,43.2412,782600.0,0.0,1.0
2019-12-16,44.88,45.69,44.83,45.25,43.3946,817400.0,0.0,1.0
2019-12-13,44.46,44.86,44.27,44.53,42.7041,583800.0,0.0,1.0
2019-12-12,44.32,44.72,44.19,44.25,42.4356,794900.0,0.0,1.0
2019-12-11,44.55,44.89,44.25,44.32,42.5027,487800.0,0.0,1.0
2019-12-10,44.3,44.74,44.19,44.55,42.7233,567400.0,0.0,1.0
2019-12-09,44.82,44.82,44.26,44.47,42.6466,489600.0,0.0,1.0
2019-12-06,45.4,45.58,44.5,44.63,42.8,1028500.0,0.0,1.0
2019-12-05,45.2,45.57,45.09,45.4,43.5385,929400.0,0.0,1.0
2019-12-04,44.51,45.12,44.4,44.9,43.059,870400.0,0.0,1.0
2019-12-03,44.4,44.71,44.0,44.46,42.637,904600.0,0.0,1.0
2019-12-02,44.2,44.75,44.07,44.58,42.7521,752800.0,0.0,1.0
2019-11-29,44.01,44.34,43.91,44.2,42.3877,590900.0,0.0,1.0
2019-11-28,44.46,44.73,44.05,44.28,42.4644,511600.0,0.0,1.0
2019-11-27,45.5,45.5,43.9,44.54,42.7137,1088400.0,0.0,1.0
2019-11-26,45.49,45.58,44.58,45.04,43.1932,1049200.0,0.0,1.0
2019-11-25,46.55,46.55,45.34,45.84,43.9604,594900.0,0.0,1.0
2019-11-22,45.92,46.4,45.54,46.1,44.2098,551700.0,0.0,1.0
2019-11-21,45.48,46.04,45.15,45.78,43.9029,1453600.0,0.0,1.0
2019-11-19,45.74,45.96,44.94,45.35,43.4905,1385300.0,0.0,1.0
2019-11-18,46.12,46.6,45.84,45.89,44.0084,1231600.0,0.0,1.0
2019-11-14,45.0,45.58,44.93,45.44,43.5768,578300.0,0.0,1.0
2019-11-13,45.72,45.9,44.81,44.92,43.0781,864500.0,0.0,1.0
2019-11-12,46.22,46.55,45.44,45.78,43.9029,714500.0,0.0,1.0
2019-11-11,46.01,46.67,45.92,46.62,44.7084,903100.0,0.0,1.0
2019-11-08,47.7,47.7,46.64,46.75,44.8331,703000.0,0.0,1.0
2019-11-07,47.74,47.99,47.3,47.54,45.5907,669300.0,0.0,1.0
2019-11-06,48.0,48.59,47.32,47.49,45.5428,991600.0,0.0,1.0
2019-11-05,47.22,48.0,47.21,47.96,45.9935,1285900.0,0.0,1.0
2019-11-04,47.12,47.82,47.12,47.36,45.4181,943300.0,0.0,1.0
