date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2020-06-12,37.91,38.65,36.6,36.98,36.98,5614600.0,0.0,1.0
2020-06-10,38.37,38.94,37.91,38.13,38.13,7899100.0,0.0,1.0
2020-06-09,38.92,39.2,37.94,38.17,38.17,9234400.0,0.0,1.0
2020-06-08,38.15,38.95,37.57,38.16,38.16,11150700.0,0.0,1.0
2020-06-05,39.24,39.37,38.17,38.3,38.3,13046900.0,0.0,1.0
2020-06-04,38.2,40.0,37.89,39.85,39.85,11986800.0,0.0,1.0
2020-06-03,38.36,38.45,37.41,38.13,38.13,9467800.0,0.0,1.0
2020-06-02,38.01,38.69,37.9,38.42,38.42,7999400.0,0.0,1.0
2020-06-01,38.31,39.0,37.5,38.45,38.45,8218400.0,0.0,1.0
2020-05-29,38.62,39.06,36.57,37.86,37.86,14915400.0,0.0,1.0
2020-05-28,39.35,39.37,38.09,38.36,38.36,9203500.0,0.0,1.0
2020-05-27,38.14,39.02,37.39,38.41,38.41,10303200.0,0.0,1.0
2020-05-26,37.63,38.49,37.02,37.88,37.88,11446600.0,0.0,1.0
2020-05-25,38.99,39.2,37.5,37.7,37.7,8586900.0,0.0,1.0
2020-05-22,38.76,39.87,38.0,38.61,38.61,8643400.0,0.0,1.0
2020-05-21,40.24,40.41,38.3,38.48,38.48,12789300.0,0.0,1.0
2020-05-20,42.19,42.45,39.8,40.25,40.25,10568100.0,0.0,1.0
2020-05-19,40.75,42.59,40.38,41.76,41.76,13550700.0,0.0,1.0
2020-05-18,44.8,45.22,41.18,41.18,41.18,18094900.0,0.0,1.0
2020-05-15,46.4,48.84,44.03,45.03,45.03,19162600.0,0.0,1.0
2020-05-14,51.0,51.15,46.55,47.54,47.54,12031000.0,0.0,1.0
2020-05-13,49.08,51.2,48.67,50.59,50.59,11670500.0,0.0,1.0
2020-05-12,48.2,49.48,46.61,48.55,48.55,8104600.0,0.0,1.0
2020-05-11,47.0,49.7,47.0,47.6,47.6,11411700.0,0.0,1.0
2020-05-08,46.99,48.2,45.46,47.35,47.35,10080300.0,0.0,1.0
2020-05-07,43.52,47.8,43.0,45.01,45.01,22747000.0,0.0,1.0
2020-05-06,41.78,42.49,40.62,41.87,41.87,6586200.0,0.0,1.0
2020-05-05,40.62,41.9,39.63,41.6,41.6,8171000.0,0.0,1.0
2020-05-04,38.73,40.5,38.39,40.5,40.5,6603500.0,0.0,1.0
2020-04-30,39.1,40.19,38.84,39.41,39.41,7620300.0,0.0,1.0
2020-04-29,38.9,39.35,38.35,38.72,38.72,6535500.0,0.0,1.0
2020-04-28,40.67,40.67,38.25,38.65,38.65,8406300.0,0.0,1.0
2020-04-27,39.5,40.74,39.16,40.1,40.1,7616700.0,0.0,1.0
2020-04-24,36.8,39.34,35.64,39.13,39.13,18632100.0,0.0,1.0
2020-04-23,35.25,37.21,34.81,36.56,36.56,8806800.0,0.0,1.0
2020-04-22,35.4,36.2,34.9,35.21,35.21,6946500.0,0.0,1.0
2020-04-20,35.32,35.79,34.7,34.92,34.92,5974000.0,0.0,1.0
2020-04-17,36.74,37.0,35.34,35.84,35.84,4435700.0,0.0,1.0
2020-04-16,37.5,37.73,35.5,36.18,36.18,6948100.0,0.0,1.0
2020-04-15,37.6,38.71,36.35,37.23,37.23,7960400.0,0.0,1.0
2020-04-14,36.73,38.38,36.48,38.0,38.0,4579100.0,0.0,1.0
2020-04-13,35.4,37.0,34.81,36.37,36.37,6103500.0,0.0,1.0
2020-04-09,38.14,38.44,35.2,35.4,35.4,10603800.0,0.0,1.0
2020-04-08,37.35,38.25,35.25,37.96,37.96,8814000.0,0.0,1.0
2020-04-07,40.91,41.4,36.82,37.19,37.19,12130300.0,0.0,1.0
2020-04-06,40.63,41.37,39.3,40.02,40.02,9361600.0,0.0,1.0
2020-04-03,40.4,40.84,37.25,39.8,39.8,14609500.0,0.0,1.0
2020-04-02,38.5,40.43,37.28,39.9,39.9,14377500.0,0.0,1.0
2020-04-01,34.5,37.4,33.97,37.38,37.38,10785000.0,0.0,1.0
2020-03-31,34.92,37.39,34.02,35.79,35.79,9876700.0,0.0,1.0
2020-03-30,34.02,35.99,33.53,33.99,33.99,10422100.0,0.0,1.0
2020-03-27,27.0,34.66,26.87,32.87,32.87,15402800.0,0.0,1.0
2020-03-26,29.89,30.15,27.51,28.05,28.05,9962300.0,0.0,1.0
2020-03-25,28.62,31.25,28.5,29.35,29.35,6275000.0,0.0,1.0
2020-03-24,30.05,30.46,28.38,28.9,28.9,7904100.0,0.0,1.0
2020-03-23,27.93,29.29,25.24,28.8,28.8,12110200.0,0.0,1.0
2020-03-20,28.2,29.0,25.39,27.39,27.39,12199200.0,0.0,1.0
2020-03-19,23.8,27.6,22.68,27.33,27.33,13819400.0,0.0,1.0
2020-03-18,27.3,29.0,23.26,24.62,24.62,9446000.0,0.0,1.0
2020-03-17,28.7,31.15,27.46,28.0,28.0,13534800.0,0.0,1.0
2020-03-16,28.84,31.58,27.55,28.37,28.37,12457000.0,0.0,1.0
2020-03-13,32.2,33.27,28.63,31.58,31.58,17037700.0,0.0,1.0
2020-03-12,32.0,33.7,29.03,29.74,29.74,19236100.0,0.0,1.0
2020-03-11,38.22,38.77,33.22,35.46,35.46,10461700.0,0.0,1.0
2020-03-10,38.7,39.71,36.85,38.86,38.86,9528900.0,0.0,1.0
2020-03-09,39.0,39.0,37.17,37.95,37.95,8623700.0,0.0,1.0
2020-03-06,41.83,42.09,40.03,40.03,40.03,9728900.0,0.0,1.0
2020-03-05,42.76,44.28,41.95,42.62,42.62,9592400.0,0.0,1.0
2020-03-04,41.3,43.75,40.6,43.54,43.54,12584800.0,0.0,1.0
2020-03-03,39.3,41.8,39.06,39.94,39.94,7188300.0,0.0,1.0
2020-03-02,38.7,39.96,38.13,39.65,39.65,4635800.0,0.0,1.0
2020-02-28,37.81,38.14,36.69,38.14,38.14,8395900.0,0.0,1.0
2020-02-27,38.38,39.08,37.81,38.13,38.13,7934000.0,0.0,1.0
2020-02-21,40.11,41.42,39.84,41.42,41.42,5933400.0,0.0,1.0
2020-02-20,40.14,40.95,39.7,40.19,40.19,4305700.0,0.0,1.0
2020-02-19,39.8,40.84,39.5,40.17,40.17,3507800.0,0.0,1.0
2020-02-18,40.05,40.68,39.0,40.1,40.1,4439500.0,0.0,1.0
2020-02-17,40.0,41.34,39.7,40.0,40.0,3452400.0,0.0,1.0
2020-02-14,41.6,41.8,39.56,39.81,39.81,8251400.0,0.0,1.0
2020-02-13,39.5,42.07,39.05,41.3,41.3,14330100.0,0.0,1.0
2020-02-12,38.54,40.42,38.5,40.0,40.0,8683200.0,0.0,1.0
2020-02-11,37.15,38.54,36.91,38.49,38.49,4951400.0,0.0,1.0
2020-02-10,37.69,38.12,36.4,37.0,37.0,6614600.0,0.0,1.0
2020-02-07,38.9,38.96,37.64,37.64,37.64,3376300.0,0.0,1.0
2020-02-06,38.92,39.22,38.22,38.9,38.9,4900300.0,0.0,1.0
2020-02-05,39.8,39.98,37.9,38.4,38.4,7074600.0,0.0,1.0
2020-02-04,39.82,40.3,38.66,38.89,38.89,5048000.0,0.0,1.0
2020-02-03,38.97,40.0,38.4,39.5,39.5,7195900.0,0.0,1.0
2020-01-31,39.99,40.45,39.44,39.67,39.67,4972900.0,0.0,1.0
2020-01-30,40.0,40.52,39.66,40.51,40.51,6891200.0,0.0,1.0
2020-01-29,42.1,42.21,40.93,41.02,41.02,4185800.0,0.0,1.0
2020-01-28,41.3,42.2,41.14,41.65,41.65,5065600.0,0.0,1.0
2020-01-27,42.45,42.63,40.89,40.93,40.93,8418200.0,0.0,1.0
2020-01-24,44.45,44.62,43.33,43.87,43.87,3682000.0,0.0,1.0
2020-01-23,44.4,44.85,43.5,44.45,44.45,4179800.0,0.0,1.0
2020-01-22,43.0,44.85,42.89,44.85,44.85,4579000.0,0.0,1.0
2020-01-21,43.0,43.17,42.31,42.7,42.7,5295700.0,0.0,1.0
2020-01-20,43.8,43.93,42.4,42.95,42.95,5251400.0,0.0,1.0
2020-01-17,44.03,44.5,43.43,43.78,43.78,6924400.0,0.0,1.0
2020-01-16,45.1,45.25,43.81,44.3,44.3,5225400.0,0.0,1.0
2020-01-15,44.1,45.27,43.84,44.94,44.94,5810000.0,0.0,1.0
2020-01-14,44.75,45.05,44.2,44.25,44.25,5938500.0,0.0,1.0
2020-01-13,43.5,44.91,43.26,44.7,44.7,8944500.0,0.0,1.0
2020-01-10,43.1,43.5,42.95,43.11,43.11,4514300.0,0.0,1.0
2020-01-09,43.14,43.58,42.6,43.04,43.04,8249400.0,0.0,1.0
2020-01-08,41.3,43.21,41.01,43.15,43.15,9727800.0,0.0,1.0
2020-01-07,40.62,41.33,40.08,41.1,41.1,3623900.0,0.0,1.0
2020-01-06,40.36,41.2,40.11,40.58,40.58,4304900.0,0.0,1.0
2020-01-03,40.22,41.36,40.2,40.65,40.65,4467100.0,0.0,1.0
2020-01-02,40.05,40.82,39.8,40.79,40.79,3978400.0,0.0,1.0
2019-12-30,40.0,40.56,39.68,39.68,39.68,2382500.0,0.0,1.0
2019-12-27,40.72,40.95,39.64,40.0,40.0,3387700.0,0.0,1.0
2019-12-26,40.04,40.79,39.55,40.72,40.72,2794700.0,0.0,1.0
2019-12-23,40.25,40.56,39.47,40.04,40.04,3002900.0,0.0,1.0
2019-12-20,39.7,40.5,39.21,40.18,40.18,5484300.0,0.0,1.0
2019-12-19,39.58,39.86,39.01,39.67,39.67,3837200.0,0.0,1.0
2019-12-18,40.25,40.25,39.0,39.57,39.57,7939100.0,0.0,1.0
2019-12-17,39.2,40.34,39.2,40.03,40.03,6007400.0,0.0,1.0
2019-12-16,39.0,39.79,38.93,39.2,39.2,3799800.0,0.0,1.0
2019-12-13,39.5,39.88,38.64,38.88,38.88,3845800.0,0.0,1.0
2019-12-12,39.35,39.78,39.0,39.16,39.16,3063200.0,0.0,1.0
2019-12-11,37.76,39.34,37.72,39.18,39.18,5541000.0,0.0,1.0
2019-12-10,37.8,38.45,37.74,38.09,38.09,3480200.0,0.0,1.0
2019-12-09,38.1,38.67,37.7,37.78,37.78,3140900.0,0.0,1.0
2019-12-06,38.1,38.65,37.94,38.2,38.2,3729300.0,0.0,1.0
2019-12-05,37.9,38.7,37.64,38.0,38.0,4066400.0,0.0,1.0
2019-12-04,38.95,38.95,37.64,37.91,37.91,5002600.0,0.0,1.0
2019-12-03,38.55,38.95,38.26,38.95,38.95,3905200.0,0.0,1.0
2019-12-02,38.56,39.15,38.38,38.8,38.8,3020600.0,0.0,1.0
2019-11-29,38.4,38.84,37.91,38.56,38.56,4842400.0,0.0,1.0
2019-11-28,39.14,39.5,38.42,38.57,38.57,4109100.0,0.0,1.0
2019-11-27,38.2,39.42,38.05,39.1,39.1,5978500.0,0.0,1.0
2019-11-26,38.12,38.79,37.8,38.08,38.08,8815900.0,0.0,1.0
2019-11-25,38.62,38.62,37.87,38.0,38.0,3909700.0,0.0,1.0
2019-11-22,38.23,38.69,37.87,38.31,38.31,5907400.0,0.0,1.0
2019-11-21,37.9,38.33,37.4,38.23,38.23,3714900.0,0.0,1.0
2019-11-19,38.0,38.55,37.62,37.92,37.92,3907000.0,0.0,1.0
2019-11-18,36.91,37.92,36.35,37.82,37.82,8213400.0,0.0,1.0
2019-11-14,37.8,37.95,36.21,36.65,36.65,5431300.0,0.0,1.0
2019-11-13,38.24,38.6,37.45,37.64,37.64,6706200.0,0.0,1.0
2019-11-12,38.25,39.26,37.92,38.24,38.24,7446400.0,0.0,1.0
2019-11-11,37.9,38.41,37.3,38.24,38.24,5858000.0,0.0,1.0
2019-11-08,38.0,38.7,37.5,38.0,38.0,6803300.0,0.0,1.0
2019-11-07,37.05,38.89,36.92,38.26,38.26,12168700.0,0.0,1.0
2019-11-06,37.14,37.5,36.39,36.95,36.95,8259600.0,0.0,1.0
2019-11-05,36.5,37.58,35.7,37.16,37.16,10436800.0,0.0,1.0
2019-11-04,34.9,36.44,34.51,36.44,36.44,9880400.0,0.0,1.0
2019-11-01,33.0,35.5,33.0,35.01,35.01,21927200.0,0.0,1.0
2019-10-31,32.2,33.04,31.86,32.64,32.64,6564600.0,0.0,1.0
2019-10-30,32.69,32.93,32.08,32.3,32.3,3415100.0,0.0,1.0
2019-10-29,32.81,32.99,32.52,32.72,32.72,2412100.0,0.0,1.0
2019-10-28,32.88,33.15,32.68,32.68,32.68,2625700.0,0.0,1.0
2019-10-25,32.93,33.36,32.57,32.7,32.7,4646600.0,0.0,1.0
2019-10-24,34.24,34.26,32.96,32.96,32.96,8180200.0,0.0,1.0
2019-10-23,35.05,35.14,34.42,34.5,34.5,5064600.0,0.0,1.0
2019-10-22,35.16,35.71,34.76,34.92,34.92,8056100.0,0.0,1.0
2019-10-21,33.85,34.89,33.83,34.88,34.88,4701200.0,0.0,1.0
2019-10-18,34.0,34.45,33.63,33.81,33.81,3915800.0,0.0,1.0
2019-10-17,34.69,34.74,33.83,34.09,34.09,4626100.0,0.0,1.0
2019-10-16,35.42,35.74,34.31,34.43,34.43,5539400.0,0.0,1.0
2019-10-15,34.6,35.33,34.16,35.11,35.11,4052400.0,0.0,1.0
2019-10-14,34.99,35.88,34.62,34.82,34.82,5824200.0,0.0,1.0
2019-10-11,34.14,35.5,34.1,35.24,35.24,10614800.0,0.0,1.0
2019-10-10,32.11,34.09,32.06,33.95,33.95,9402600.0,0.0,1.0
2019-10-09,31.64,32.42,31.57,32.23,32.23,2518400.0,0.0,1.0
2019-10-08,32.28,32.46,31.6,31.64,31.64,3856100.0,0.0,1.0
2019-10-07,32.7,32.7,32.0,32.25,32.25,3881900.0,0.0,1.0
2019-10-04,32.33,33.09,32.04,32.83,32.83,5753700.0,0.0,1.0
2019-10-03,32.61,32.74,31.94,32.33,32.33,4376200.0,0.0,1.0
2019-10-02,33.42,33.49,32.5,32.78,32.78,3826900.0,0.0,1.0
2019-10-01,33.65,33.95,33.16,33.65,33.65,4872600.0,0.0,1.0
2019-09-30,33.8,33.89,33.0,33.65,33.65,5135600.0,0.0,1.0
2019-09-27,33.2,34.09,33.06,33.75,33.75,4820900.0,0.0,1.0
2019-09-26,33.5,33.55,32.84,33.34,33.34,6793000.0,0.0,1.0
2019-09-25,32.3,33.7,32.11,33.4,33.4,5238500.0,0.0,1.0
