date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2020-06-12,28.49,28.88,28.25,28.52,28.52,1391300.0,0.0,1.0
2020-06-10,28.92,29.44,28.89,29.05,29.05,2708400.0,0.0,1.0
2020-06-09,28.94,29.43,28.74,28.81,28.81,3567900.0,0.0,1.0
2020-06-08,29.01,29.5,28.89,28.94,28.94,3270800.0,0.0,1.0
2020-06-05,28.66,29.31,28.5,28.93,28.93,2442200.0,0.0,1.0
2020-06-04,28.52,28.88,28.22,28.26,28.26,2260800.0,0.0,1.0
2020-06-03,29.21,29.68,28.57,28.71,28.71,2934200.0,0.0,1.0
2020-06-02,29.0,29.17,28.87,29.0,29.0,1987400.0,0.0,1.0
2020-06-01,28.61,29.04,28.42,28.97,28.97,1588900.0,0.0,1.0
2020-05-29,28.59,28.85,28.36,28.75,28.75,2238900.0,0.0,1.0
2020-05-28,28.48,28.69,28.23,28.5,28.5,2263600.0,0.0,1.0
2020-05-27,28.41,28.76,28.28,28.38,28.38,2953900.0,0.0,1.0
2020-05-26,28.5,28.95,28.2,28.29,28.29,3719800.0,0.0,1.0
2020-05-25,28.44,28.76,28.24,28.52,28.52,2976700.0,0.0,1.0
2020-05-22,27.78,28.24,27.58,27.93,27.93,1986000.0,0.0,1.0
2020-05-21,27.2,28.24,26.96,27.92,27.92,3241900.0,0.0,1.0
2020-05-20,27.21,27.29,26.84,27.09,27.09,1891900.0,0.0,1.0
2020-05-19,28.04,28.19,27.73,27.84,27.84,2213900.0,0.0,1.0
2020-05-18,27.59,28.17,27.2,27.81,27.81,2294100.0,0.0,1.0
2020-05-15,27.46,27.57,26.78,26.9,26.9,2472100.0,0.0,1.0
2020-05-14,26.22,27.0,26.12,27.0,27.0,1887900.0,0.0,1.0
2020-05-13,26.31,26.62,26.17,26.53,26.53,2359300.0,0.0,1.0
2020-05-12,26.75,27.05,26.35,26.35,26.35,2555200.0,0.0,1.0
2020-05-11,27.0,27.13,26.53,26.6,26.6,1981100.0,0.0,1.0
2020-05-08,27.23,27.23,26.5,27.05,27.05,2131500.0,0.0,1.0
2020-05-07,27.49,27.53,26.69,26.85,26.85,3163500.0,0.0,1.0
2020-05-06,27.8,27.8,27.07,27.6,27.6,1745700.0,0.0,1.0
2020-05-05,27.52,27.67,27.25,27.65,27.65,2035400.0,0.0,1.0
2020-05-04,27.11,27.44,26.68,27.4,27.4,3169900.0,0.0,1.0
2020-04-30,27.35,27.86,27.26,27.5,27.5,3868100.0,0.0,1.0
2020-04-29,28.44,28.49,27.44,27.7,27.7,3182600.0,0.0,1.0
2020-04-28,28.56,28.66,28.06,28.3,28.3,2261100.0,0.0,1.0
2020-04-27,27.19,28.43,27.19,28.12,28.12,3256900.0,0.0,1.0
2020-04-24,27.55,27.63,26.05,27.19,27.19,5022000.0,0.0,1.0
2020-04-23,27.8,28.24,27.54,27.98,27.98,2425100.0,0.0,1.0
2020-04-22,26.66,28.2,26.66,27.69,27.69,2434500.0,0.0,1.0
2020-04-20,26.54,27.14,26.32,26.85,26.85,2422300.0,0.0,1.0
2020-04-17,27.32,27.57,26.46,26.78,26.78,3419300.0,0.0,1.0
2020-04-16,27.62,27.86,26.79,27.01,27.01,1809200.0,0.0,1.0
2020-04-15,27.29,27.7,26.9,27.42,27.42,2208000.0,0.0,1.0
2020-04-14,27.45,27.61,27.22,27.5,27.5,2289600.0,0.0,1.0
2020-04-13,26.77,27.0,26.2,27.0,27.0,1859700.0,0.0,1.0
2020-04-09,27.22,27.55,26.6,26.9,26.9,2474200.0,0.0,1.0
2020-04-08,27.01,27.39,26.45,27.04,27.04,3120200.0,0.0,1.0
2020-04-07,28.12,28.77,27.0,27.0,27.0,3160500.0,0.0,1.0
2020-04-06,27.0,27.46,26.76,27.1,27.1,2765800.0,0.0,1.0
2020-04-03,26.5,26.8,25.94,26.5,26.5,5383600.0,0.0,1.0
2020-04-02,25.51,26.47,25.51,26.35,26.35,3710300.0,0.0,1.0
2020-04-01,25.28,25.59,24.9,25.41,25.41,2706500.0,0.0,1.0
2020-03-31,25.3,26.15,25.3,25.72,25.72,2426100.0,0.0,1.0
2020-03-30,25.66,26.21,25.27,25.27,25.27,1948800.0,0.0,1.0
2020-03-27,25.52,26.33,25.04,25.47,25.47,2084400.0,0.0,1.0
2020-03-26,24.8,26.74,24.8,26.0,26.0,3187200.0,0.0,1.0
2020-03-25,24.95,25.84,24.36,25.22,25.22,3198200.0,0.0,1.0
2020-03-24,26.1,26.37,24.67,25.05,25.05,2778000.0,0.0,1.0
2020-03-23,26.0,26.03,24.0,24.54,24.54,3979100.0,0.0,1.0
2020-03-20,26.6,27.05,25.6,26.07,26.07,3617800.0,0.0,1.0
2020-03-19,25.93,27.21,25.0,25.96,25.96,5231000.0,0.0,1.0
2020-03-18,26.02,27.27,25.38,26.29,26.29,6136500.0,0.0,1.0
2020-03-17,26.9,28.57,26.82,27.54,27.54,3883100.0,0.0,1.0
2020-03-16,26.28,27.78,25.0,26.81,26.81,5213800.0,0.0,1.0
2020-03-13,29.21,29.46,27.22,28.84,28.84,4095500.0,0.0,1.0
2020-03-12,28.67,28.67,26.17,27.97,27.97,4921500.0,0.0,1.0
