date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2020-06-12,18.0,18.22,17.45,17.7,17.7,3943700.0,0.0,1.0
2020-06-10,19.35,19.43,18.43,18.62,18.62,6871200.0,0.0,1.0
2020-06-09,18.75,19.5,18.45,19.27,19.27,5989500.0,0.0,1.0
2020-06-08,18.94,19.69,18.84,19.13,19.13,6648200.0,0.0,1.0
2020-06-05,19.28,19.52,18.55,18.68,18.68,6596400.0,0.0,1.0
2020-06-04,18.95,19.0,18.47,18.63,18.63,4264900.0,0.0,1.0
2020-06-03,18.6,19.29,18.38,18.76,18.76,7755800.0,0.0,1.0
2020-06-02,17.57,19.1,17.53,18.94,18.94,12873700.0,0.0,1.0
2020-06-01,16.87,17.3,16.83,17.19,17.19,8658300.0,0.0,1.0
2020-05-29,17.39,17.62,16.83,17.12,17.12,14373200.0,0.0,1.0
2020-05-28,17.31,18.0,16.71,17.39,17.39,9426200.0,0.0,1.0
2020-05-27,17.36,17.5,16.77,17.31,17.31,10131700.0,0.0,1.0
2020-05-26,17.8,17.94,16.9,17.1,17.1,11331800.0,0.0,1.0
2020-05-25,16.65,17.29,16.52,17.0,17.0,7158800.0,0.0,1.0
2020-05-22,16.15,16.28,15.5,16.1,16.1,7979500.0,0.0,1.0
2020-05-21,15.55,16.87,15.34,16.45,16.45,13371400.0,0.0,1.0
2020-05-20,15.4,15.98,15.31,15.46,15.46,8821800.0,0.0,1.0
2020-05-19,15.05,15.58,14.67,15.14,15.14,10881900.0,0.0,1.0
2020-05-18,14.54,15.12,14.42,15.09,15.09,8171300.0,0.0,1.0
2020-05-15,14.86,15.27,14.1,14.16,14.16,7923500.0,0.0,1.0
2020-05-14,14.8417,14.8639,14.8342,14.86,14.86,257297.0,0.0,1.0
2020-05-13,13.46,13.61,12.96,13.48,13.48,9161500.0,0.0,1.0
2020-05-12,13.23,14.05,13.22,13.73,13.73,7735500.0,0.0,1.0
2020-05-11,13.79,14.14,13.41,13.41,13.41,6384400.0,0.0,1.0
2020-05-08,13.55,14.16,13.45,13.88,13.88,12075000.0,0.0,1.0
2020-05-07,14.25,14.3,13.27,13.3,13.3,16131700.0,0.0,1.0
2020-05-06,14.48,14.69,13.89,14.05,14.05,7286900.0,0.0,1.0
2020-05-05,14.69,15.08,14.12,14.43,14.43,5898100.0,0.0,1.0
2020-05-04,14.04,14.7,13.83,14.6,14.6,5138300.0,0.0,1.0
2020-04-30,15.15,15.25,14.45,14.5,14.5,6644600.0,0.0,1.0
2020-04-29,14.81,15.48,14.65,15.37,15.37,8054800.0,0.0,1.0
2020-04-28,14.69,14.89,14.33,14.58,14.58,7009000.0,0.0,1.0
2020-04-27,13.79,14.49,13.72,14.31,14.31,7632500.0,0.0,1.0
2020-04-24,14.25,14.4,12.05,13.49,13.49,21504300.0,0.0,1.0
2020-04-23,14.56,15.27,14.17,14.54,14.54,15438200.0,0.0,1.0
2020-04-22,14.27,14.64,13.9,14.4,14.4,10220500.0,0.0,1.0
2020-04-20,13.69,14.34,13.62,14.2,14.2,9815100.0,0.0,1.0
2020-04-17,14.47,14.62,13.7,14.05,14.05,6952200.0,0.0,1.0
2020-04-16,14.35,14.5,13.75,14.21,14.21,9483100.0,0.0,1.0
2020-04-15,13.8,14.32,13.51,14.19,14.19,11903500.0,0.0,1.0
2020-04-14,14.76,15.06,14.05,14.1,14.1,13753600.0,0.0,1.0
2020-04-13,14.22,14.53,13.52,14.53,14.53,7210200.0,0.0,1.0
2020-04-09,13.82,14.6,13.73,14.24,14.24,9894200.0,0.0,1.0
2020-04-08,12.99,13.87,12.82,13.72,13.72,6844400.0,0.0,1.0
2020-04-07,13.06,13.89,12.87,12.87,12.87,8931500.0,0.0,1.0
2020-04-06,11.6,12.63,11.54,12.43,12.43,8600900.0,0.0,1.0
2020-04-03,11.61,11.73,10.68,11.12,11.12,13331600.0,0.0,1.0
2020-04-02,11.58,12.28,11.43,11.53,11.53,9967100.0,0.0,1.0
2020-04-01,12.07,12.09,11.13,11.46,11.46,10431100.0,0.0,1.0
2020-03-31,12.7,12.91,12.25,12.53,12.53,9106400.0,0.0,1.0
2020-03-30,13.14,13.44,12.3,12.6,12.6,10193100.0,0.0,1.0
2020-03-27,13.4,13.73,12.81,13.1,13.1,13902000.0,0.0,1.0
2020-03-26,12.44,14.31,12.23,14.31,14.31,14340000.0,0.0,1.0
2020-03-25,11.6,12.72,11.06,12.31,12.31,19195200.0,0.0,1.0
2020-03-24,11.49,12.91,11.06,11.97,11.97,15120900.0,0.0,1.0
2020-03-23,12.46,12.46,10.11,10.69,10.69,17925700.0,0.0,1.0
2020-03-20,12.61,13.22,11.9,12.33,12.33,19314800.0,0.0,1.0
2020-03-19,11.59,12.4,10.65,12.2,12.2,27384300.0,0.0,1.0
2020-03-18,12.37,12.84,10.83,12.07,12.07,15589500.0,0.0,1.0
2020-03-17,13.01,14.31,12.16,14.0,14.0,19526100.0,0.0,1.0
2020-03-16,13.57,14.34,12.52,12.74,12.74,13222500.0,0.0,1.0
2020-03-13,14.55,16.2,12.51,16.2,16.2,15989400.0,0.0,1.0
2020-03-12,15.3,15.3,12.5,13.13,13.13,13124500.0,0.0,1.0
2020-03-11,17.22,17.62,15.5,16.67,16.67,12862700.0,0.0,1.0
2020-03-10,16.13,18.34,15.8,17.88,17.88,16746400.0,0.0,1.0
2020-03-09,16.3,16.3,15.15,15.41,15.41,20243100.0,0.0,1.0
2020-03-06,17.4,17.47,16.86,17.2,17.2,12115000.0,0.0,1.0
2020-03-05,19.55,19.69,17.75,18.1,18.1,11385400.0,0.0,1.0
2020-03-04,20.49,20.49,19.12,19.95,19.95,12758900.0,0.0,1.0
2020-03-03,19.8,20.8,19.36,19.98,19.98,11648100.0,0.0,1.0
2020-03-02,18.65,20.07,18.33,19.72,19.72,20646100.0,0.0,1.0
2020-02-28,19.0,19.11,17.71,19.08,19.08,17466300.0,0.24,1.0
2020-02-27,19.28,19.94,18.88,19.15,18.91,12535200.0,0.0,1.0
2020-02-21,22.25,22.25,21.21,21.55,21.2799,8011600.0,0.0,1.0
2020-02-20,22.71,22.82,21.92,22.11,21.8329,23818500.0,0.0,1.0
2020-02-19,24.05,24.23,23.66,23.86,23.561,12564200.0,0.0,1.0
2020-02-18,24.53,24.53,23.81,24.1,23.798,5352000.0,0.0,1.0
2020-02-17,24.25,24.63,24.06,24.63,24.3213,2372300.0,0.0,1.0
2020-02-14,24.36,24.5,24.06,24.15,23.8473,2266400.0,0.0,1.0
2020-02-13,24.9,24.93,24.28,24.52,24.2127,3406100.0,0.0,1.0
2020-02-12,25.07,25.56,24.96,25.08,24.7657,5826100.0,0.0,1.0
2020-02-11,24.06,25.26,24.05,25.1,24.7854,5521500.0,0.0,1.0
2020-02-10,24.24,24.31,23.7,23.94,23.64,3696100.0,0.0,1.0
2020-02-07,24.67,24.92,24.25,24.34,24.035,5765900.0,0.0,1.0
2020-02-06,25.5,25.66,24.43,25.09,24.7756,5560100.0,0.0,1.0
2020-02-05,25.24,25.61,24.77,25.41,25.0915,5625000.0,0.0,1.0
2020-02-04,25.53,25.7,24.63,25.13,24.8151,6013500.0,0.0,1.0
2020-02-03,25.33,25.84,25.07,25.36,25.0422,4413300.0,0.0,1.0
2020-01-31,25.8,25.9,24.91,25.26,24.9434,6876200.0,0.0,1.0
2020-01-30,25.9,25.96,25.18,25.96,25.6347,6156900.0,0.0,1.0
2020-01-29,27.13,27.22,25.75,26.11,25.7828,5707500.0,0.0,1.0
2020-01-28,26.56,27.12,26.49,26.95,26.6122,2534300.0,0.0,1.0
2020-01-27,27.0,27.13,26.3,26.45,26.1185,3978500.0,0.0,1.0
2020-01-24,27.81,28.07,27.15,27.53,27.185,3700500.0,0.0,1.0
2020-01-23,27.2,27.9,26.6,27.81,27.4615,3807200.0,0.0,1.0
