date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2020-06-12,6.6,6.85,6.43,6.53,6.53,11733700.0,0.0,1.0
2020-06-10,7.4,7.41,6.89,6.89,6.89,26218500.0,0.0,1.0
2020-06-09,7.2,7.35,7.12,7.3,7.3,19203400.0,0.0,1.0
2020-06-08,7.1,7.45,7.07,7.45,7.45,29935100.0,0.0,1.0
2020-06-05,7.15,7.23,6.87,6.9,6.9,27347700.0,0.0,1.0
2020-06-04,6.74,7.07,6.63,6.88,6.88,25949600.0,0.0,1.0
2020-06-03,7.15,7.32,6.77,6.9,6.9,46887100.0,0.0,1.0
2020-06-02,6.29,6.92,6.26,6.92,6.92,43114400.0,0.0,1.0
2020-06-01,6.22,6.33,6.15,6.19,6.19,22797800.0,0.0,1.0
2020-05-29,6.1,6.42,5.93,6.15,6.15,78550900.0,0.0,1.0
2020-05-28,5.69,6.29,5.59,6.0,6.0,60010300.0,0.0,1.0
2020-05-27,4.97,5.79,4.93,5.7,5.7,77238700.0,0.0,1.0
2020-05-26,4.99,5.04,4.83,4.9,4.9,17538800.0,0.0,1.0
2020-05-25,4.88,4.92,4.84,4.88,4.88,11698500.0,0.0,1.0
2020-05-22,4.85,4.93,4.67,4.72,4.72,20114400.0,0.0,1.0
2020-05-21,5.07,5.19,4.93,4.97,4.97,20645900.0,0.0,1.0
2020-05-20,5.0687,5.1007,5.0398,5.07,5.07,347570.0,0.0,1.0
2020-05-19,4.86,5.03,4.8,4.83,4.83,25499500.0,0.0,1.0
2020-05-18,4.69,4.9,4.62,4.9,4.9,28021500.0,0.0,1.0
2020-05-15,4.5,4.67,4.43,4.51,4.51,19310000.0,0.0,1.0
2020-05-14,4.3,4.55,4.13,4.55,4.55,27110100.0,0.0,1.0
2020-05-13,4.64,4.68,4.32,4.35,4.35,22084700.0,0.0,1.0
2020-05-12,4.8,4.86,4.53,4.59,4.59,19968200.0,0.0,1.0
2020-05-11,4.76,4.88,4.67,4.76,4.76,14127500.0,0.0,1.0
2020-05-08,4.84,4.9,4.7,4.81,4.81,17425000.0,0.0,1.0
2020-05-07,4.66,4.88,4.54,4.74,4.74,32822500.0,0.0,1.0
2020-05-06,4.65,4.67,4.51,4.59,4.59,12923800.0,0.0,1.0
2020-05-05,4.76,4.88,4.61,4.61,4.61,15759200.0,0.0,1.0
2020-05-04,4.66,4.7,4.57,4.68,4.68,13196500.0,0.0,1.0
2020-04-30,4.91,5.01,4.77,4.8,4.8,24405800.0,0.0,1.0
2020-04-29,4.8,5.12,4.72,5.06,5.06,30792200.0,0.0435,1.0
2020-04-28,4.47,4.73,4.42,4.71,4.6666,25106200.0,0.0,1.0
2020-04-27,4.48,4.51,4.26,4.34,4.3,19306700.0,0.0,1.0
2020-04-24,4.66,4.72,4.2,4.34,4.3,29094200.0,0.0,1.0
2020-04-23,4.86,5.04,4.64,4.76,4.7161,30461200.0,0.0,1.0
2020-04-22,4.67,4.9,4.67,4.82,4.7755,20137800.0,0.0,1.0
2020-04-20,4.56,4.74,4.52,4.67,4.6269,17477900.0,0.0,1.0
2020-04-17,4.69,4.78,4.56,4.63,4.5873,17606300.0,0.0,1.0
2020-04-16,4.77,4.82,4.5,4.55,4.508,19920700.0,0.0,1.0
2020-04-15,4.55,4.75,4.43,4.7,4.6566,17427000.0,0.0,1.0
2020-04-14,4.66,4.82,4.62,4.77,4.726,18233100.0,0.0,1.0
2020-04-13,4.29,4.55,4.21,4.51,4.4684,18924300.0,0.0,1.0
