date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2020-06-12,48.31,48.79,48.0,48.41,48.41,1554900.0,0.0,1.0
2020-06-10,49.02,50.45,49.02,49.59,49.59,3118700.0,0.0,1.0
2020-06-09,48.2,49.0,47.87,49.0,49.0,3308500.0,0.0,1.0
2020-06-08,47.96,48.93,47.72,48.54,48.54,2318000.0,0.0,1.0
2020-06-05,48.44,48.44,47.45,47.77,47.77,5993900.0,0.0,1.0
2020-06-04,47.25,47.81,46.81,47.3,47.3,4658500.0,0.0,1.0
2020-06-03,48.25,48.6,47.15,47.25,47.25,5102900.0,0.0,1.0
2020-06-02,47.52,48.12,47.34,48.04,48.04,3724500.0,0.0,1.0
2020-06-01,47.2,47.51,46.74,47.4,47.4,2299500.0,0.0,1.0
2020-05-29,47.39,47.53,46.39,47.14,47.14,4824900.0,1.0385,1.0
2020-05-28,48.66,48.74,47.92,48.24,47.2015,1866700.0,0.0,1.0
2020-05-27,49.4,49.93,48.37,48.72,47.6711,2980000.0,0.0,1.0
2020-05-26,48.81,49.65,48.67,49.0,47.9451,2976000.0,0.0,1.0
2020-05-25,47.79,48.76,47.5,48.4,47.358,1836100.0,0.0,1.0
2020-05-22,47.47,47.6,46.56,46.94,45.9295,2350800.0,0.0,1.0
2020-05-21,46.9,47.65,46.9,47.59,46.5655,2570000.0,0.0,1.0
2020-05-20,47.05,47.56,46.56,46.95,45.9392,1939200.0,0.0,1.0
2020-05-19,47.74,47.8,46.56,46.56,45.5576,2097200.0,0.0,1.0
2020-05-18,47.15,47.95,46.11,47.75,46.722,2301600.0,0.0,1.0
2020-05-15,47.26,47.26,45.7,45.9,44.9118,2775900.0,0.0,1.0
2020-05-14,46.55,47.47,46.1,46.98,45.9686,3584300.0,0.0,1.0
2020-05-13,47.0,47.5,46.61,46.84,45.8316,3064700.0,0.0,1.0
2020-05-12,47.07,48.42,46.6,46.6,45.5968,3329900.0,0.0,1.0
2020-05-11,48.0,48.51,46.87,46.87,45.861,2086400.0,0.0,1.0
2020-05-08,48.29,48.9,47.66,48.19,47.1525,1677600.0,0.0,1.0
2020-05-07,48.82,49.49,47.4,47.4,46.3796,3206600.0,0.0,1.0
2020-05-06,49.69,51.5,48.54,49.35,48.2876,3482700.0,0.0,1.0
2020-05-05,48.52,50.09,48.08,49.5,48.4343,2921100.0,0.0,1.0
2020-05-04,45.05,49.1,45.05,48.33,47.2895,4498200.0,0.0,1.0
2020-04-30,46.49,47.13,45.65,45.65,44.6672,3896600.0,0.0,1.0
2020-04-29,47.0,47.71,45.61,47.07,46.0567,2848000.0,0.0,1.0
2020-04-28,48.75,48.94,46.21,46.6,45.5968,2760500.0,0.0,1.0
2020-04-27,46.5,47.6,45.64,47.0,45.9882,2695400.0,0.0,1.0
2020-04-24,47.8,48.4,44.43,45.51,44.5302,4730100.0,0.0,1.0
2020-04-23,49.36,49.65,47.8,48.68,47.632,2674800.0,0.0,1.0
