date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2020-06-12,43.55,44.63,42.7,43.62,43.62,2783700.0,0.0,1.0
2020-06-10,45.93,46.64,44.47,44.99,44.99,4847800.0,0.0,1.0
2020-06-09,44.73,46.08,43.85,45.81,45.81,4179400.0,0.0,1.0
2020-06-08,44.89,46.28,44.26,45.8,45.8,5162800.0,0.0,1.0
2020-06-05,44.5,45.43,44.05,44.33,44.33,6099000.0,0.0,1.0
2020-06-04,42.1,43.86,41.27,43.8,43.8,5808900.0,0.0,1.0
2020-06-03,43.3,43.8,42.31,42.6,42.6,4592900.0,0.0,1.0
2020-06-02,42.42,42.8,41.81,42.42,42.42,3339300.0,0.0,1.0
2020-06-01,41.89,43.0,41.81,42.16,42.16,5534700.0,0.0,1.0
2020-05-29,40.2,41.83,39.61,41.83,41.83,8802900.0,0.0,1.0
2020-05-28,40.37,41.15,40.15,40.68,40.68,4658000.0,0.0,1.0
2020-05-27,40.84,40.98,39.6,40.58,40.58,4885000.0,0.0,1.0
2020-05-26,38.81,40.55,38.5,40.42,40.42,7258500.0,0.0,1.0
2020-05-25,38.11,38.55,37.62,38.04,38.04,3700300.0,0.0,1.0
2020-05-22,37.41,38.43,36.7,37.24,37.24,4836100.0,0.0,1.0
2020-05-21,37.83,38.05,36.97,37.44,37.44,4988000.0,0.0,1.0
2020-05-20,37.05,38.67,37.05,37.64,37.64,5223800.0,0.0,1.0
2020-05-19,36.72,38.0,36.33,36.92,36.92,6069200.0,0.0,1.0
2020-05-18,37.39,37.48,36.58,36.62,36.62,4178400.0,0.0,1.0
2020-05-15,37.08,37.41,36.0,36.41,36.41,5854400.0,0.0,1.0
2020-05-14,37.8,38.06,36.32,37.35,37.35,6265800.0,0.0,1.0
2020-05-13,37.91,38.56,37.44,38.0,38.0,5321100.0,0.0,1.0
2020-05-12,38.99,39.38,37.15,37.5,37.5,4163400.0,0.0,1.0
2020-05-11,38.31,39.24,38.15,38.83,38.83,4905000.0,0.0,1.0
2020-05-08,40.0,40.1,38.0,38.24,38.24,5073300.0,0.0,1.0
2020-05-07,39.23,40.89,38.72,39.09,39.09,9607100.0,0.0,1.0
2020-05-06,39.06,39.23,37.7,38.83,38.83,6652300.0,0.0,1.0
2020-05-05,40.3,40.72,38.83,39.01,39.01,4112500.0,0.0,1.0
2020-05-04,38.98,39.99,38.21,39.84,39.84,4908600.0,0.0,1.0
2020-04-30,40.65,41.29,39.2,39.94,39.94,7003100.0,0.0,1.0
2020-04-29,43.21,44.05,41.4,41.4,41.4,7446800.0,0.0,1.0
2020-04-28,42.0,42.3,40.4,41.58,41.58,7386100.0,0.0,1.0
2020-04-27,39.32,41.06,38.83,40.6,40.6,6394000.0,0.0,1.0
2020-04-24,38.68,39.44,35.25,38.71,38.71,10704200.0,0.0,1.0
