Codneg,Data,Abertura,Maxima,Minima,Fechamento,Empresa
AALR3,02/01/2019,13.31,13.50,13.25,13.25,ALLIAR
AALR3,03/01/2019,13.21,13.65,13.21,13.30,ALLIAR
AALR3,04/01/2019,13.49,13.59,13.33,13.44,ALLIAR
AALR3,07/01/2019,13.43,13.58,13.32,13.34,ALLIAR
AALR3,08/01/2019,13.30,13.30,13.06,13.19,ALLIAR
AALR3,09/01/2019,13.23,13.23,13.10,13.14,ALLIAR
AALR3,10/01/2019,13.11,13.35,13.09,13.35,ALLIAR
AALR3,11/01/2019,13.36,13.49,13.07,13.14,ALLIAR
AALR3,14/01/2019,13.16,13.22,13.12,13.15,ALLIAR
AALR3,15/01/2019,13.17,13.27,13.12,13.27,ALLIAR
AALR3,16/01/2019,13.27,13.42,13.19,13.33,ALLIAR
AALR3,17/01/2019,13.30,13.41,13.00,13.41,ALLIAR
AALR3,18/01/2019,13.41,14.19,13.38,14.16,ALLIAR
AALR3,21/01/2019,14.23,14.38,13.92,14.30,ALLIAR
AALR3,22/01/2019,14.29,14.29,13.98,14.19,ALLIAR
AALR3,23/01/2019,14.15,14.54,14.10,14.41,ALLIAR
AALR3,24/01/2019,14.44,14.82,14.41,14.82,ALLIAR
AALR3,28/01/2019,14.80,14.83,14.58,14.70,ALLIAR
AALR3,29/01/2019,14.80,14.95,14.70,14.95,ALLIAR
AALR3,30/01/2019,14.98,15.55,14.84,15.38,ALLIAR
AALR3,31/01/2019,15.50,15.78,15.32,15.70,ALLIAR
AALR3,01/02/2019,15.70,15.73,15.45,15.50,ALLIAR
AALR3,04/02/2019,15.44,15.60,15.31,15.60,ALLIAR
AALR3,05/02/2019,15.60,15.98,15.56,15.92,ALLIAR
AALR3,06/02/2019,15.80,15.88,15.54,15.58,ALLIAR
AALR3,07/02/2019,15.64,15.69,15.04,15.26,ALLIAR
AALR3,08/02/2019,15.26,15.30,15.02,15.30,ALLIAR
AALR3,11/02/2019,15.32,15.47,15.13,15.29,ALLIAR
AALR3,12/02/2019,15.40,15.42,15.12,15.39,ALLIAR
AALR3,13/02/2019,15.37,15.50,15.24,15.48,ALLIAR
AALR3,14/02/2019,15.55,15.77,15.35,15.77,ALLIAR
AALR3,15/02/2019,15.71,15.82,15.57,15.82,ALLIAR
AALR3,18/02/2019,15.85,15.87,15.70,15.87,ALLIAR
AALR3,19/02/2019,15.87,15.95,15.72,15.80,ALLIAR
AALR3,20/02/2019,15.85,15.85,15.51,15.80,ALLIAR
AALR3,21/02/2019,15.80,15.82,15.52,15.77,ALLIAR
AALR3,22/02/2019,15.87,16.08,15.75,15.90,ALLIAR
AALR3,25/02/2019,15.90,15.99,15.75,15.95,ALLIAR
AALR3,26/02/2019,15.90,15.95,15.67,15.86,ALLIAR
