Codneg,Data,Abertura,Maxima,Minima,Fechamento,Empresa
AAPL34,02/01/2019,60.71,60.71,59.89,60.41,APPLE
AAPL34,03/01/2019,57.94,57.94,53.80,53.80,APPLE
AAPL34,04/01/2019,54.50,55.75,54.45,54.66,APPLE
AAPL34,07/01/2019,55.50,55.67,54.55,54.55,APPLE
AAPL34,08/01/2019,55.96,56.71,55.28,56.19,APPLE
AAPL34,09/01/2019,57.00,57.03,56.29,56.61,APPLE
AAPL34,10/01/2019,56.94,57.56,56.52,56.53,APPLE
AAPL34,11/01/2019,57.00,57.68,56.26,56.26,APPLE
AAPL34,14/01/2019,57.98,58.74,55.24,55.26,APPLE
AAPL34,15/01/2019,55.40,57.33,55.40,56.61,APPLE
AAPL34,16/01/2019,56.70,58.20,56.70,57.68,APPLE
AAPL34,17/01/2019,58.80,58.80,57.68,58.48,APPLE
AAPL34,18/01/2019,59.10,59.53,58.26,58.54,APPLE
AAPL34,21/01/2019,58.65,58.70,58.65,58.70,APPLE
AAPL34,22/01/2019,58.71,59.33,58.01,58.01,APPLE
AAPL34,23/01/2019,58.08,58.69,57.50,57.50,APPLE
AAPL34,24/01/2019,57.90,57.90,57.10,57.18,APPLE
AAPL34,28/01/2019,58.54,58.87,57.84,58.87,APPLE
AAPL34,29/01/2019,57.76,58.41,57.43,57.43,APPLE
AAPL34,30/01/2019,59.00,61.08,59.00,60.94,APPLE
AAPL34,31/01/2019,60.94,61.32,60.50,60.65,APPLE
AAPL34,01/02/2019,61.10,62.16,60.52,60.52,APPLE
AAPL34,04/02/2019,62.24,63.92,62.16,62.58,APPLE
AAPL34,05/02/2019,62.58,64.91,62.00,63.67,APPLE
AAPL34,06/02/2019,63.70,64.14,63.67,64.14,APPLE
AAPL34,07/02/2019,63.32,63.32,63.32,63.32,APPLE
AAPL34,08/02/2019,61.98,63.66,61.00,63.41,APPLE
AAPL34,11/02/2019,63.41,64.56,63.31,63.65,APPLE
AAPL34,12/02/2019,64.62,64.62,62.34,63.10,APPLE
AAPL34,13/02/2019,65.05,65.20,63.83,64.08,APPLE
AAPL34,14/02/2019,64.08,65.49,63.50,63.50,APPLE
AAPL34,15/02/2019,63.50,64.28,62.43,62.43,APPLE
AAPL34,18/02/2019,65.53,65.53,64.01,64.01,APPLE
AAPL34,19/02/2019,64.01,64.01,63.19,63.45,APPLE
AAPL34,20/02/2019,63.45,64.20,63.45,64.20,APPLE
AAPL34,21/02/2019,65.28,65.30,63.60,64.03,APPLE
AAPL34,22/02/2019,64.03,65.00,64.03,64.14,APPLE
AAPL34,25/02/2019,65.30,65.90,63.93,65.10,APPLE
AAPL34,26/02/2019,65.55,66.99,64.80,65.21,APPLE
AAPL34,27/02/2019,65.40,65.80,64.90,65.10,APPLE
AAPL34,28/02/2019,65.10,65.49,64.50,65.01,APPLE
AAPL34,01/03/2019,65.50,66.50,65.20,65.91,APPLE
AAPL34,06/03/2019,65.91,67.50,65.91,66.70,APPLE
AAPL34,07/03/2019,66.40,67.35,66.40,67.26,APPLE
AAPL34,08/03/2019,66.30,67.00,66.30,67.00,APPLE
AAPL34,11/03/2019,68.00,68.82,65.62,68.82,APPLE
AAPL34,12/03/2019,68.99,69.60,68.80,69.14,APPLE
AAPL34,13/03/2019,69.20,69.95,69.18,69.60,APPLE
AAPL34,14/03/2019,70.00,71.47,70.00,70.97,APPLE
AAPL34,15/03/2019,70.20,71.80,70.20,71.43,APPLE
AAPL34,18/03/2019,71.80,72.00,70.92,71.38,APPLE
AAPL34,19/03/2019,71.00,71.00,70.46,70.70,APPLE
AAPL34,20/03/2019,70.99,70.99,70.58,70.58,APPLE
AAPL34,21/03/2019,72.50,74.25,72.50,74.03,APPLE
AAPL34,22/03/2019,75.00,76.00,73.20,74.79,APPLE
AAPL34,25/03/2019,74.00,74.00,72.00,72.69,APPLE
AAPL34,26/03/2019,74.01,74.20,72.00,72.27,APPLE
AAPL34,27/03/2019,73.00,74.80,72.80,74.60,APPLE
AAPL34,28/03/2019,74.60,76.20,72.85,73.56,APPLE
AAPL34,29/03/2019,72.50,74.80,72.50,74.38,APPLE
AAPL34,01/04/2019,73.00,74.48,73.00,74.28,APPLE
AAPL34,02/04/2019,74.48,74.60,73.67,74.52,APPLE
AAPL34,03/04/2019,76.20,76.20,75.00,75.80,APPLE
AAPL34,04/04/2019,75.95,76.41,75.14,75.68,APPLE
AAPL34,05/04/2019,75.68,75.68,75.68,75.68,APPLE
AAPL34,08/04/2019,76.88,77.23,76.61,77.23,APPLE
AAPL34,09/04/2019,78.00,78.00,77.29,77.29,APPLE
AAPL34,10/04/2019,77.60,77.60,76.59,76.95,APPLE
AAPL34,11/04/2019,77.00,77.00,77.00,77.00,APPLE
AAPL34,12/04/2019,77.66,77.68,76.56,77.68,APPLE
AAPL34,15/04/2019,78.20,78.20,77.00,77.29,APPLE
AAPL34,16/04/2019,77.65,78.17,77.65,78.12,APPLE
AAPL34,17/04/2019,79.79,81.00,79.61,81.00,APPLE
AAPL34,18/04/2019,81.00,81.00,79.63,80.36,APPLE
AAPL34,22/04/2019,78.80,81.80,78.80,80.70,APPLE
AAPL34,23/04/2019,79.80,81.80,79.80,81.62,APPLE
AAPL34,24/04/2019,82.30,83.20,82.30,82.98,APPLE
AAPL34,25/04/2019,82.01,82.21,81.32,81.49,APPLE
AAPL34,26/04/2019,79.80,80.60,79.60,80.60,APPLE
AAPL34,29/04/2019,79.36,81.79,79.36,81.04,APPLE
AAPL34,30/04/2019,81.04,81.04,78.20,78.99,APPLE
AAPL34,02/05/2019,82.50,85.00,82.49,82.96,APPLE
AAPL34,03/05/2019,82.98,83.49,82.95,83.49,APPLE
AAPL34,06/05/2019,81.05,83.50,81.05,82.82,APPLE
AAPL34,07/05/2019,81.67,81.67,79.40,80.61,APPLE
AAPL34,08/05/2019,80.61,82.98,79.75,80.40,APPLE
AAPL34,09/05/2019,79.40,79.40,79.40,79.40,APPLE
AAPL34,10/05/2019,78.00,78.62,76.51,78.62,APPLE
AAPL34,13/05/2019,77.00,77.00,74.00,74.00,APPLE
AAPL34,14/05/2019,74.00,75.65,74.00,75.65,APPLE
AAPL34,15/05/2019,75.65,76.47,75.65,76.00,APPLE
AAPL34,16/05/2019,76.00,77.05,76.00,76.90,APPLE
AAPL34,17/05/2019,75.60,78.45,75.60,77.75,APPLE
AAPL34,20/05/2019,75.00,75.36,74.80,75.36,APPLE
AAPL34,21/05/2019,77.40,77.40,75.58,76.02,APPLE
AAPL34,22/05/2019,74.02,74.40,73.80,74.13,APPLE
AAPL34,23/05/2019,72.61,72.96,72.05,72.96,APPLE
AAPL34,24/05/2019,72.01,73.50,71.55,71.55,APPLE
AAPL34,27/05/2019,74.00,75.20,72.50,72.50,APPLE
AAPL34,28/05/2019,72.55,72.55,71.67,72.22,APPLE
AAPL34,29/05/2019,71.00,71.33,70.34,70.73,APPLE
AAPL34,30/05/2019,70.80,71.10,70.20,71.10,APPLE
AAPL34,31/05/2019,69.01,69.99,69.00,69.09,APPLE
AAPL34,03/06/2019,69.39,69.39,66.93,67.07,APPLE
AAPL34,04/06/2019,66.93,69.20,66.93,69.02,APPLE
AAPL34,05/06/2019,70.42,71.00,70.42,70.92,APPLE
AAPL34,06/06/2019,70.79,71.84,70.79,71.61,APPLE
AAPL34,07/06/2019,72.50,73.60,72.50,73.37,APPLE
AAPL34,10/06/2019,75.67,75.67,74.68,74.68,APPLE
AAPL34,11/06/2019,75.26,75.26,74.80,74.80,APPLE
AAPL34,12/06/2019,74.70,75.00,74.70,74.94,APPLE
AAPL34,13/06/2019,75.07,75.07,74.67,74.67,APPLE
AAPL34,14/06/2019,75.00,75.55,75.00,75.50,APPLE
AAPL34,17/06/2019,75.48,76.08,75.36,75.36,APPLE
AAPL34,18/06/2019,77.00,77.00,76.31,76.31,APPLE
AAPL34,19/06/2019,76.70,77.00,76.00,76.09,APPLE
AAPL34,21/06/2019,76.47,77.09,76.02,76.02,APPLE
AAPL34,24/06/2019,76.60,76.60,76.00,76.02,APPLE
AAPL34,25/06/2019,75.80,75.80,75.19,75.19,APPLE
AAPL34,26/06/2019,77.20,77.20,76.60,76.63,APPLE
AAPL34,27/06/2019,76.87,77.18,76.34,76.34,APPLE
AAPL34,28/06/2019,75.65,76.00,75.61,75.61,APPLE
AAPL34,01/07/2019,77.50,77.50,77.10,77.19,APPLE
AAPL34,02/07/2019,76.88,78.21,76.88,77.83,APPLE
AAPL34,03/07/2019,77.70,77.70,77.70,77.70,APPLE
AAPL34,04/07/2019,77.08,77.08,77.08,77.08,APPLE
AAPL34,05/07/2019,78.24,78.27,77.75,77.75,APPLE
AAPL34,08/07/2019,76.00,76.41,75.90,76.41,APPLE
AAPL34,10/07/2019,76.40,76.78,76.15,76.15,APPLE
AAPL34,11/07/2019,76.40,76.40,75.69,75.69,APPLE
AAPL34,12/07/2019,76.47,76.47,75.74,75.74,APPLE
AAPL34,15/07/2019,77.19,77.80,76.75,76.75,APPLE
