Codneg,Data,Abertura,Maxima,Minima,Fechamento,Empresa
ABCB4,02/01/2019,16.47,17.20,16.35,17.12,ABC BRASIL
ABCB4,03/01/2019,17.13,17.15,16.88,17.10,ABC BRASIL
ABCB4,04/01/2019,17.09,17.13,16.89,16.95,ABC BRASIL
ABCB4,07/01/2019,16.95,17.14,16.90,17.00,ABC BRASIL
ABCB4,08/01/2019,17.05,17.40,16.90,17.32,ABC BRASIL
ABCB4,09/01/2019,17.36,17.68,17.36,17.59,ABC BRASIL
ABCB4,10/01/2019,17.58,17.80,17.50,17.72,ABC BRASIL
ABCB4,11/01/2019,17.80,18.08,17.70,18.08,ABC BRASIL
ABCB4,14/01/2019,18.04,18.20,17.84,18.15,ABC BRASIL
ABCB4,15/01/2019,18.20,18.20,17.93,18.07,ABC BRASIL
ABCB4,16/01/2019,18.09,18.13,17.59,17.98,ABC BRASIL
ABCB4,17/01/2019,17.94,18.22,17.94,18.10,ABC BRASIL
ABCB4,18/01/2019,18.11,18.63,18.11,18.35,ABC BRASIL
ABCB4,21/01/2019,18.35,18.72,18.20,18.72,ABC BRASIL
ABCB4,22/01/2019,18.70,18.86,18.62,18.67,ABC BRASIL
ABCB4,23/01/2019,18.69,19.15,18.69,19.05,ABC BRASIL
ABCB4,24/01/2019,19.05,19.34,19.03,19.34,ABC BRASIL
ABCB4,28/01/2019,19.26,19.44,19.12,19.32,ABC BRASIL
ABCB4,29/01/2019,19.43,19.78,19.26,19.71,ABC BRASIL
ABCB4,30/01/2019,19.72,19.81,19.48,19.57,ABC BRASIL
ABCB4,31/01/2019,19.62,19.99,19.62,19.95,ABC BRASIL
ABCB4,01/02/2019,19.99,20.00,19.71,19.71,ABC BRASIL
ABCB4,04/02/2019,19.79,20.00,19.55,19.90,ABC BRASIL
ABCB4,05/02/2019,19.85,20.22,19.81,20.08,ABC BRASIL
ABCB4,06/02/2019,20.06,20.32,19.53,19.53,ABC BRASIL
ABCB4,07/02/2019,19.53,19.67,18.85,18.90,ABC BRASIL
ABCB4,08/02/2019,18.78,19.21,18.70,19.12,ABC BRASIL
ABCB4,11/02/2019,19.23,19.52,18.79,18.79,ABC BRASIL
ABCB4,12/02/2019,18.90,19.08,18.59,18.85,ABC BRASIL
ABCB4,13/02/2019,18.86,19.00,18.79,18.98,ABC BRASIL
ABCB4,14/02/2019,18.98,19.41,18.69,19.23,ABC BRASIL
ABCB4,15/02/2019,19.10,19.16,18.81,18.87,ABC BRASIL
ABCB4,18/02/2019,18.87,18.93,18.61,18.90,ABC BRASIL
ABCB4,19/02/2019,18.84,19.04,18.74,18.85,ABC BRASIL
ABCB4,20/02/2019,19.00,19.01,18.25,18.30,ABC BRASIL
ABCB4,21/02/2019,18.30,18.50,18.16,18.50,ABC BRASIL
ABCB4,22/02/2019,18.59,18.59,18.27,18.52,ABC BRASIL
ABCB4,25/02/2019,18.51,18.71,18.37,18.39,ABC BRASIL
ABCB4,26/02/2019,18.31,18.46,18.19,18.45,ABC BRASIL
ABCB4,27/02/2019,18.50,18.55,18.16,18.32,ABC BRASIL
ABCB4,28/02/2019,18.33,18.36,18.10,18.28,ABC BRASIL
ABCB4,01/03/2019,18.30,18.41,18.09,18.27,ABC BRASIL
ABCB4,06/03/2019,18.39,18.43,17.85,18.33,ABC BRASIL
ABCB4,07/03/2019,18.32,18.41,17.97,17.97,ABC BRASIL
ABCB4,08/03/2019,17.94,19.05,17.82,18.90,ABC BRASIL
ABCB4,11/03/2019,19.18,19.55,19.05,19.27,ABC BRASIL
ABCB4,12/03/2019,19.27,19.38,18.85,19.10,ABC BRASIL
ABCB4,13/03/2019,19.19,19.42,19.00,19.25,ABC BRASIL
ABCB4,14/03/2019,19.25,19.25,19.00,19.06,ABC BRASIL
ABCB4,15/03/2019,19.10,19.24,19.02,19.11,ABC BRASIL
ABCB4,18/03/2019,19.13,19.30,18.80,18.80,ABC BRASIL
ABCB4,19/03/2019,18.90,19.20,18.76,19.07,ABC BRASIL
ABCB4,20/03/2019,19.18,19.18,18.72,19.00,ABC BRASIL
ABCB4,21/03/2019,18.90,18.92,18.35,18.43,ABC BRASIL
ABCB4,22/03/2019,18.25,18.25,18.02,18.14,ABC BRASIL
