Codneg,Data,Abertura,Maxima,Minima,Fechamento,Empresa
ALPA4,02/01/2019,17.03,17.55,16.99,17.50,ALPARGATAS
ALPA4,03/01/2019,17.45,17.53,17.21,17.53,ALPARGATAS
ALPA4,04/01/2019,17.50,17.63,17.25,17.40,ALPARGATAS
ALPA4,07/01/2019,17.40,17.61,17.31,17.36,ALPARGATAS
ALPA4,08/01/2019,17.31,17.83,17.31,17.70,ALPARGATAS
ALPA4,09/01/2019,17.80,18.96,17.79,18.94,ALPARGATAS
ALPA4,10/01/2019,18.94,19.09,18.82,19.00,ALPARGATAS
ALPA4,11/01/2019,18.83,18.99,18.25,18.99,ALPARGATAS
ALPA4,14/01/2019,18.83,19.00,18.56,19.00,ALPARGATAS
ALPA4,15/01/2019,18.87,18.97,18.67,18.95,ALPARGATAS
ALPA4,16/01/2019,18.78,18.94,18.65,18.90,ALPARGATAS
ALPA4,17/01/2019,18.86,19.00,18.73,18.85,ALPARGATAS
ALPA4,18/01/2019,18.80,18.96,18.58,18.80,ALPARGATAS
ALPA4,21/01/2019,18.64,19.00,18.56,18.90,ALPARGATAS
ALPA4,22/01/2019,18.89,19.77,18.82,19.59,ALPARGATAS
ALPA4,23/01/2019,19.57,19.99,19.49,19.90,ALPARGATAS
ALPA4,24/01/2019,19.90,20.50,19.90,20.20,ALPARGATAS
ALPA4,28/01/2019,20.16,20.47,19.67,20.07,ALPARGATAS
ALPA4,29/01/2019,20.20,20.23,19.41,19.99,ALPARGATAS
ALPA4,30/01/2019,20.00,20.35,19.87,20.15,ALPARGATAS
ALPA4,31/01/2019,20.16,20.32,20.06,20.06,ALPARGATAS
ALPA4,01/02/2019,20.05,20.31,19.96,20.14,ALPARGATAS
ALPA4,04/02/2019,20.15,20.47,19.97,20.34,ALPARGATAS
ALPA4,05/02/2019,20.25,20.89,20.23,20.58,ALPARGATAS
ALPA4,06/02/2019,20.52,20.53,19.67,19.95,ALPARGATAS
ALPA4,07/02/2019,19.77,20.00,19.25,19.75,ALPARGATAS
ALPA4,08/02/2019,19.79,19.97,19.30,19.82,ALPARGATAS
ALPA4,11/02/2019,19.99,20.04,19.46,19.56,ALPARGATAS
ALPA4,12/02/2019,19.74,19.99,19.28,19.86,ALPARGATAS
ALPA4,13/02/2019,19.86,20.14,19.44,19.78,ALPARGATAS
ALPA4,14/02/2019,19.77,19.85,19.32,19.75,ALPARGATAS
ALPA4,15/02/2019,19.58,19.71,19.30,19.30,ALPARGATAS
ALPA4,18/02/2019,19.45,19.63,19.34,19.61,ALPARGATAS
ALPA4,19/02/2019,19.60,20.08,19.60,20.00,ALPARGATAS
ALPA4,20/02/2019,20.09,20.35,19.46,19.50,ALPARGATAS
ALPA4,21/02/2019,19.46,19.68,19.36,19.62,ALPARGATAS
ALPA4,22/02/2019,19.70,19.86,18.90,19.07,ALPARGATAS
ALPA4,25/02/2019,19.07,19.39,19.04,19.32,ALPARGATAS
ALPA4,26/02/2019,19.25,19.55,19.11,19.15,ALPARGATAS
ALPA4,27/02/2019,19.15,19.59,19.05,19.27,ALPARGATAS
ALPA4,28/02/2019,19.21,19.27,19.07,19.18,ALPARGATAS
ALPA4,01/03/2019,19.20,19.94,19.10,19.94,ALPARGATAS
ALPA4,06/03/2019,19.94,19.98,19.28,19.55,ALPARGATAS
ALPA4,07/03/2019,19.81,19.81,19.11,19.42,ALPARGATAS
ALPA4,08/03/2019,19.22,20.38,19.21,20.38,ALPARGATAS
ALPA4,11/03/2019,20.30,20.93,20.12,20.58,ALPARGATAS
ALPA4,12/03/2019,20.51,20.60,20.30,20.32,ALPARGATAS
ALPA4,13/03/2019,20.21,20.31,19.71,20.00,ALPARGATAS
ALPA4,14/03/2019,20.12,20.20,19.79,19.90,ALPARGATAS
ALPA4,15/03/2019,19.85,20.22,19.82,20.22,ALPARGATAS
ALPA4,18/03/2019,20.22,20.30,19.80,19.80,ALPARGATAS
ALPA4,19/03/2019,19.83,20.11,19.60,19.60,ALPARGATAS
ALPA4,20/03/2019,19.73,19.73,19.26,19.30,ALPARGATAS
ALPA4,21/03/2019,15.90,15.90,15.31,15.42,ALPARGATAS
ALPA4,22/03/2019,15.37,15.58,15.02,15.17,ALPARGATAS
ALPA4,25/03/2019,15.17,15.26,14.94,15.00,ALPARGATAS
ALPA4,26/03/2019,15.04,15.35,15.04,15.35,ALPARGATAS
ALPA4,27/03/2019,15.34,15.34,14.81,14.96,ALPARGATAS
ALPA4,28/03/2019,14.88,15.10,14.75,15.06,ALPARGATAS
ALPA4,29/03/2019,15.12,15.38,14.94,15.38,ALPARGATAS
ALPA4,01/04/2019,15.41,15.61,15.14,15.39,ALPARGATAS
ALPA4,02/04/2019,15.41,15.46,15.07,15.24,ALPARGATAS
ALPA4,03/04/2019,15.35,15.35,14.96,15.07,ALPARGATAS
ALPA4,04/04/2019,15.05,15.29,15.03,15.29,ALPARGATAS
ALPA4,05/04/2019,15.31,15.98,15.15,15.98,ALPARGATAS
ALPA4,08/04/2019,15.88,15.88,15.36,15.36,ALPARGATAS
ALPA4,09/04/2019,15.30,15.42,14.99,15.03,ALPARGATAS
ALPA4,10/04/2019,15.15,15.18,14.91,15.11,ALPARGATAS
ALPA4,11/04/2019,15.10,15.25,14.95,15.25,ALPARGATAS
ALPA4,12/04/2019,15.09,15.40,15.05,15.20,ALPARGATAS
ALPA4,15/04/2019,15.21,15.44,15.04,15.35,ALPARGATAS
ALPA4,16/04/2019,15.41,15.43,15.24,15.25,ALPARGATAS
ALPA4,17/04/2019,15.27,15.29,15.12,15.15,ALPARGATAS
ALPA4,18/04/2019,15.16,15.35,15.04,15.35,ALPARGATAS
ALPA4,22/04/2019,15.32,15.36,15.16,15.20,ALPARGATAS
ALPA4,23/04/2019,15.20,15.36,15.18,15.20,ALPARGATAS
ALPA4,24/04/2019,15.19,15.24,15.07,15.24,ALPARGATAS
ALPA4,25/04/2019,15.22,15.86,15.05,15.85,ALPARGATAS
ALPA4,26/04/2019,15.79,16.00,15.52,15.63,ALPARGATAS
ALPA4,29/04/2019,15.84,15.84,15.49,15.50,ALPARGATAS
ALPA4,30/04/2019,15.73,15.73,15.36,15.65,ALPARGATAS
ALPA4,02/05/2019,15.65,15.78,15.51,15.65,ALPARGATAS
ALPA4,03/05/2019,15.76,15.85,15.48,15.75,ALPARGATAS
ALPA4,06/05/2019,15.69,15.74,15.55,15.67,ALPARGATAS
ALPA4,07/05/2019,15.53,15.94,15.39,15.80,ALPARGATAS
ALPA4,08/05/2019,15.80,16.32,15.80,16.12,ALPARGATAS
ALPA4,09/05/2019,16.09,16.38,16.04,16.10,ALPARGATAS
ALPA4,10/05/2019,16.10,16.59,16.01,16.58,ALPARGATAS
ALPA4,13/05/2019,16.47,16.48,16.04,16.48,ALPARGATAS
ALPA4,14/05/2019,16.49,16.86,16.49,16.85,ALPARGATAS
ALPA4,15/05/2019,16.79,17.00,16.27,17.00,ALPARGATAS
ALPA4,16/05/2019,17.00,17.36,16.70,17.26,ALPARGATAS
ALPA4,17/05/2019,17.25,17.43,17.05,17.30,ALPARGATAS
ALPA4,20/05/2019,17.34,17.72,17.32,17.61,ALPARGATAS
ALPA4,21/05/2019,17.61,18.28,17.61,18.00,ALPARGATAS
ALPA4,22/05/2019,18.05,18.20,17.75,17.75,ALPARGATAS
ALPA4,23/05/2019,17.71,18.28,17.22,18.12,ALPARGATAS
ALPA4,24/05/2019,18.18,18.19,17.66,17.86,ALPARGATAS
ALPA4,27/05/2019,17.98,18.10,17.73,17.96,ALPARGATAS
ALPA4,28/05/2019,18.06,18.25,17.88,18.17,ALPARGATAS
ALPA4,29/05/2019,18.00,18.44,17.97,18.25,ALPARGATAS
ALPA4,30/05/2019,18.20,18.71,18.18,18.48,ALPARGATAS
ALPA4,31/05/2019,18.47,18.70,18.34,18.36,ALPARGATAS
ALPA4,03/06/2019,18.36,18.59,17.70,17.95,ALPARGATAS
ALPA4,04/06/2019,17.96,18.03,17.49,17.65,ALPARGATAS
ALPA4,05/06/2019,17.62,17.75,17.23,17.30,ALPARGATAS
ALPA4,06/06/2019,17.31,17.75,17.08,17.73,ALPARGATAS
ALPA4,07/06/2019,17.80,18.15,17.80,18.15,ALPARGATAS
ALPA4,10/06/2019,18.10,18.44,18.10,18.30,ALPARGATAS
ALPA4,11/06/2019,18.48,18.55,17.91,18.43,ALPARGATAS
ALPA4,12/06/2019,18.43,18.44,18.25,18.40,ALPARGATAS
ALPA4,13/06/2019,18.40,19.05,18.22,18.48,ALPARGATAS
ALPA4,14/06/2019,18.51,18.87,18.36,18.87,ALPARGATAS
ALPA4,17/06/2019,18.89,19.72,18.84,19.70,ALPARGATAS
ALPA4,18/06/2019,19.68,20.40,19.60,20.35,ALPARGATAS
ALPA4,19/06/2019,20.30,20.47,20.13,20.32,ALPARGATAS
ALPA4,21/06/2019,20.32,21.00,20.32,20.78,ALPARGATAS
ALPA4,24/06/2019,20.79,20.96,20.36,20.37,ALPARGATAS
ALPA4,25/06/2019,20.40,20.78,20.04,20.29,ALPARGATAS
ALPA4,26/06/2019,20.36,20.58,20.01,20.29,ALPARGATAS
ALPA4,27/06/2019,20.29,20.54,20.05,20.54,ALPARGATAS
ALPA4,28/06/2019,20.62,20.79,20.38,20.41,ALPARGATAS
ALPA4,01/07/2019,20.62,20.89,20.44,20.62,ALPARGATAS
ALPA4,02/07/2019,20.74,21.26,20.51,21.10,ALPARGATAS
ALPA4,03/07/2019,21.12,21.34,20.93,21.10,ALPARGATAS
ALPA4,04/07/2019,21.20,21.30,21.03,21.29,ALPARGATAS
ALPA4,05/07/2019,21.11,21.60,21.11,21.45,ALPARGATAS
ALPA4,08/07/2019,21.45,21.57,21.00,21.00,ALPARGATAS
ALPA4,10/07/2019,21.08,22.30,21.03,22.20,ALPARGATAS
ALPA4,11/07/2019,22.23,22.46,21.60,21.90,ALPARGATAS
ALPA4,12/07/2019,21.98,22.09,21.44,21.72,ALPARGATAS
ALPA4,15/07/2019,21.53,21.82,21.33,21.33,ALPARGATAS
ALPA4,16/07/2019,21.25,21.58,21.11,21.30,ALPARGATAS
ALPA4,17/07/2019,21.38,21.91,21.36,21.82,ALPARGATAS
ALPA4,18/07/2019,21.71,22.15,21.56,21.85,ALPARGATAS
ALPA4,19/07/2019,21.90,22.30,21.62,21.69,ALPARGATAS
ALPA4,22/07/2019,21.70,21.81,20.80,21.12,ALPARGATAS
ALPA4,23/07/2019,21.13,21.36,20.81,21.22,ALPARGATAS
ALPA4,24/07/2019,21.37,21.46,20.83,21.00,ALPARGATAS
ALPA4,25/07/2019,21.02,21.10,20.57,20.62,ALPARGATAS
ALPA4,26/07/2019,20.55,21.00,20.32,20.67,ALPARGATAS
ALPA4,29/07/2019,20.85,20.89,20.34,20.60,ALPARGATAS
