Codneg,Data,Abertura,Maxima,Minima,Fechamento,Empresa
ALUP11,02/01/2019,18.49,18.91,18.26,18.67,ALUPAR
ALUP11,03/01/2019,18.79,18.88,18.60,18.70,ALUPAR
ALUP11,04/01/2019,18.70,18.98,18.22,18.27,ALUPAR
ALUP11,07/01/2019,18.34,18.57,17.89,18.17,ALUPAR
ALUP11,08/01/2019,18.30,18.39,18.12,18.36,ALUPAR
ALUP11,09/01/2019,18.50,18.82,18.46,18.75,ALUPAR
ALUP11,10/01/2019,18.77,19.48,18.77,19.12,ALUPAR
ALUP11,11/01/2019,19.16,19.35,19.03,19.14,ALUPAR
ALUP11,14/01/2019,19.22,19.31,19.16,19.25,ALUPAR
ALUP11,15/01/2019,19.30,19.46,19.00,19.03,ALUPAR
ALUP11,16/01/2019,18.98,19.25,18.97,19.12,ALUPAR
ALUP11,17/01/2019,19.13,19.40,19.13,19.24,ALUPAR
ALUP11,18/01/2019,19.36,19.38,19.20,19.25,ALUPAR
ALUP11,21/01/2019,19.25,19.31,19.14,19.30,ALUPAR
ALUP11,22/01/2019,19.29,19.47,19.22,19.47,ALUPAR
ALUP11,23/01/2019,19.49,19.90,19.48,19.89,ALUPAR
ALUP11,24/01/2019,19.90,20.19,19.84,20.04,ALUPAR
ALUP11,28/01/2019,19.99,20.48,19.90,20.48,ALUPAR
ALUP11,29/01/2019,20.49,20.50,20.19,20.40,ALUPAR
ALUP11,30/01/2019,20.50,21.38,20.37,21.11,ALUPAR
ALUP11,31/01/2019,21.15,22.05,21.15,21.55,ALUPAR
ALUP11,01/02/2019,21.63,21.95,21.53,21.95,ALUPAR
ALUP11,04/02/2019,21.94,21.99,21.56,21.70,ALUPAR
ALUP11,05/02/2019,21.65,21.99,21.50,21.80,ALUPAR
ALUP11,06/02/2019,21.75,22.09,21.27,21.61,ALUPAR
ALUP11,07/02/2019,21.62,21.72,21.28,21.30,ALUPAR
ALUP11,08/02/2019,21.25,21.63,21.03,21.44,ALUPAR
ALUP11,11/02/2019,21.31,21.69,21.27,21.61,ALUPAR
ALUP11,12/02/2019,21.71,21.93,21.53,21.56,ALUPAR
ALUP11,13/02/2019,21.57,21.98,21.52,21.76,ALUPAR
ALUP11,14/02/2019,21.77,22.35,21.57,22.23,ALUPAR
ALUP11,15/02/2019,22.34,22.34,21.92,22.04,ALUPAR
ALUP11,18/02/2019,22.02,22.02,21.57,21.91,ALUPAR
ALUP11,19/02/2019,21.89,22.31,21.81,22.24,ALUPAR
ALUP11,20/02/2019,22.11,22.50,22.11,22.35,ALUPAR
ALUP11,21/02/2019,22.35,22.50,22.27,22.48,ALUPAR
ALUP11,22/02/2019,22.50,22.63,22.16,22.63,ALUPAR
ALUP11,25/02/2019,22.68,22.68,22.37,22.45,ALUPAR
ALUP11,26/02/2019,22.49,22.59,22.21,22.34,ALUPAR
ALUP11,27/02/2019,22.33,22.60,22.24,22.49,ALUPAR
ALUP11,28/02/2019,22.60,22.93,22.59,22.85,ALUPAR
ALUP11,01/03/2019,22.95,22.96,22.31,22.35,ALUPAR
ALUP11,06/03/2019,22.35,22.40,21.60,22.09,ALUPAR
ALUP11,07/03/2019,22.10,22.22,21.93,22.00,ALUPAR
ALUP11,08/03/2019,21.97,22.49,21.63,22.28,ALUPAR
ALUP11,11/03/2019,22.38,22.88,22.38,22.61,ALUPAR
ALUP11,12/03/2019,22.57,23.06,22.56,23.00,ALUPAR
ALUP11,13/03/2019,23.12,23.89,22.86,23.73,ALUPAR
ALUP11,14/03/2019,23.79,24.13,23.62,23.81,ALUPAR
ALUP11,15/03/2019,23.81,24.19,23.53,23.53,ALUPAR
ALUP11,18/03/2019,23.78,23.90,23.48,23.71,ALUPAR
ALUP11,19/03/2019,23.71,24.04,23.67,24.04,ALUPAR
ALUP11,20/03/2019,24.03,24.35,23.85,24.16,ALUPAR
ALUP11,21/03/2019,24.17,24.26,23.60,23.60,ALUPAR
ALUP11,22/03/2019,23.48,23.55,22.88,23.04,ALUPAR
ALUP11,25/03/2019,23.04,23.30,22.94,23.20,ALUPAR
ALUP11,26/03/2019,23.30,24.00,23.20,23.90,ALUPAR
ALUP11,27/03/2019,23.90,23.90,23.35,23.35,ALUPAR
ALUP11,28/03/2019,23.37,23.50,23.11,23.25,ALUPAR
ALUP11,29/03/2019,23.41,23.57,23.18,23.22,ALUPAR
ALUP11,01/04/2019,23.27,23.53,23.20,23.20,ALUPAR
