Codneg,Data,Abertura,Maxima,Minima,Fechamento,Empresa
AMAR3,02/01/2019,5.14,5.60,5.14,5.54,LOJAS MARISA
AMAR3,03/01/2019,5.47,5.70,5.45,5.61,LOJAS MARISA
AMAR3,04/01/2019,5.69,5.69,5.55,5.67,LOJAS MARISA
AMAR3,07/01/2019,5.62,5.80,5.61,5.70,LOJAS MARISA
AMAR3,08/01/2019,5.75,5.77,5.53,5.54,LOJAS MARISA
AMAR3,09/01/2019,5.55,5.70,5.55,5.64,LOJAS MARISA
AMAR3,10/01/2019,5.67,5.92,5.64,5.87,LOJAS MARISA
AMAR3,11/01/2019,5.95,5.97,5.78,5.85,LOJAS MARISA
AMAR3,14/01/2019,5.88,5.90,5.62,5.70,LOJAS MARISA
AMAR3,15/01/2019,5.73,5.80,5.44,5.50,LOJAS MARISA
AMAR3,16/01/2019,5.49,5.59,5.31,5.46,LOJAS MARISA
AMAR3,17/01/2019,5.50,5.55,5.40,5.48,LOJAS MARISA
AMAR3,18/01/2019,5.48,5.58,5.46,5.47,LOJAS MARISA
AMAR3,21/01/2019,5.49,5.56,5.34,5.40,LOJAS MARISA
AMAR3,22/01/2019,5.35,5.52,5.35,5.43,LOJAS MARISA
AMAR3,23/01/2019,5.42,5.68,5.42,5.62,LOJAS MARISA
AMAR3,24/01/2019,5.70,5.90,5.64,5.85,LOJAS MARISA
AMAR3,28/01/2019,5.81,5.96,5.75,5.88,LOJAS MARISA
AMAR3,29/01/2019,5.90,5.97,5.81,5.83,LOJAS MARISA
AMAR3,30/01/2019,5.82,6.25,5.82,6.23,LOJAS MARISA
AMAR3,31/01/2019,6.25,6.41,6.16,6.25,LOJAS MARISA
AMAR3,01/02/2019,6.28,6.46,6.20,6.37,LOJAS MARISA
AMAR3,04/02/2019,6.40,6.58,6.30,6.50,LOJAS MARISA
AMAR3,05/02/2019,6.55,6.59,6.21,6.39,LOJAS MARISA
AMAR3,06/02/2019,6.39,6.39,6.06,6.10,LOJAS MARISA
AMAR3,07/02/2019,6.13,6.20,5.97,6.13,LOJAS MARISA
AMAR3,08/02/2019,6.12,6.34,6.04,6.34,LOJAS MARISA
AMAR3,11/02/2019,6.38,6.48,6.21,6.23,LOJAS MARISA
AMAR3,12/02/2019,6.29,6.50,6.11,6.50,LOJAS MARISA
AMAR3,13/02/2019,6.50,6.74,6.40,6.43,LOJAS MARISA
AMAR3,14/02/2019,6.48,6.49,6.19,6.49,LOJAS MARISA
AMAR3,15/02/2019,6.45,6.48,6.32,6.35,LOJAS MARISA
AMAR3,18/02/2019,6.35,6.36,6.24,6.32,LOJAS MARISA
AMAR3,19/02/2019,6.32,6.46,6.32,6.46,LOJAS MARISA
AMAR3,20/02/2019,6.46,6.66,6.26,6.26,LOJAS MARISA
AMAR3,21/02/2019,6.30,6.35,6.01,6.07,LOJAS MARISA
AMAR3,22/02/2019,6.07,6.50,6.04,6.50,LOJAS MARISA
AMAR3,25/02/2019,6.45,6.49,6.24,6.24,LOJAS MARISA
AMAR3,26/02/2019,6.26,6.30,6.14,6.15,LOJAS MARISA
AMAR3,27/02/2019,6.21,6.47,6.16,6.38,LOJAS MARISA
AMAR3,28/02/2019,6.38,6.38,6.16,6.16,LOJAS MARISA
AMAR3,01/03/2019,6.19,6.40,6.03,6.40,LOJAS MARISA
AMAR3,06/03/2019,6.33,6.33,6.08,6.10,LOJAS MARISA
AMAR3,07/03/2019,6.10,6.57,6.06,6.57,LOJAS MARISA
AMAR3,08/03/2019,6.39,6.50,6.27,6.50,LOJAS MARISA
AMAR3,11/03/2019,6.54,6.54,6.31,6.38,LOJAS MARISA
AMAR3,12/03/2019,6.40,6.47,6.32,6.32,LOJAS MARISA
AMAR3,13/03/2019,6.39,6.44,6.26,6.28,LOJAS MARISA
AMAR3,14/03/2019,6.34,6.35,6.22,6.24,LOJAS MARISA
AMAR3,15/03/2019,6.43,6.44,6.03,6.03,LOJAS MARISA
AMAR3,18/03/2019,6.03,6.30,5.85,6.24,LOJAS MARISA
AMAR3,19/03/2019,6.20,6.35,6.19,6.19,LOJAS MARISA
AMAR3,20/03/2019,6.21,6.26,6.12,6.19,LOJAS MARISA
AMAR3,21/03/2019,6.19,6.23,5.97,6.18,LOJAS MARISA
AMAR3,22/03/2019,6.06,6.20,6.03,6.03,LOJAS MARISA
AMAR3,25/03/2019,6.02,6.25,6.02,6.15,LOJAS MARISA
AMAR3,26/03/2019,6.20,6.31,6.16,6.22,LOJAS MARISA
AMAR3,27/03/2019,6.19,6.29,5.99,6.22,LOJAS MARISA
AMAR3,28/03/2019,6.14,6.21,6.10,6.16,LOJAS MARISA
AMAR3,29/03/2019,6.21,6.43,6.18,6.43,LOJAS MARISA
AMAR3,01/04/2019,6.44,7.11,6.40,7.06,LOJAS MARISA
AMAR3,02/04/2019,7.02,7.24,6.80,7.22,LOJAS MARISA
AMAR3,03/04/2019,7.23,7.66,7.23,7.58,LOJAS MARISA
AMAR3,04/04/2019,7.58,7.75,7.19,7.39,LOJAS MARISA
AMAR3,05/04/2019,7.39,7.57,7.35,7.57,LOJAS MARISA
AMAR3,08/04/2019,7.54,7.54,7.21,7.23,LOJAS MARISA
AMAR3,09/04/2019,7.25,7.39,7.08,7.09,LOJAS MARISA
AMAR3,10/04/2019,7.15,7.65,7.15,7.65,LOJAS MARISA
AMAR3,11/04/2019,7.67,7.97,7.40,7.80,LOJAS MARISA
AMAR3,12/04/2019,7.78,7.78,7.50,7.77,LOJAS MARISA
AMAR3,15/04/2019,7.73,7.89,7.57,7.61,LOJAS MARISA
AMAR3,16/04/2019,7.66,7.78,7.56,7.66,LOJAS MARISA
AMAR3,17/04/2019,7.62,7.71,7.49,7.65,LOJAS MARISA
AMAR3,18/04/2019,7.65,7.86,7.56,7.80,LOJAS MARISA
AMAR3,22/04/2019,7.82,7.86,7.65,7.75,LOJAS MARISA
AMAR3,23/04/2019,7.80,7.94,7.78,7.90,LOJAS MARISA
AMAR3,24/04/2019,7.86,7.95,7.71,7.82,LOJAS MARISA
AMAR3,25/04/2019,7.82,8.06,7.66,7.98,LOJAS MARISA
AMAR3,26/04/2019,8.05,8.33,8.04,8.30,LOJAS MARISA
AMAR3,29/04/2019,8.28,8.38,7.95,8.05,LOJAS MARISA
AMAR3,30/04/2019,8.12,8.15,7.85,8.05,LOJAS MARISA
AMAR3,02/05/2019,8.05,8.05,7.88,7.94,LOJAS MARISA
AMAR3,03/05/2019,7.91,8.02,7.88,7.92,LOJAS MARISA
AMAR3,06/05/2019,7.80,7.99,7.71,7.83,LOJAS MARISA
AMAR3,07/05/2019,7.86,7.90,7.56,7.66,LOJAS MARISA
AMAR3,08/05/2019,7.62,7.80,7.42,7.49,LOJAS MARISA
AMAR3,09/05/2019,7.49,7.49,7.25,7.28,LOJAS MARISA
AMAR3,10/05/2019,7.15,7.15,6.83,7.13,LOJAS MARISA
AMAR3,13/05/2019,7.00,7.08,6.83,7.04,LOJAS MARISA
AMAR3,14/05/2019,7.03,7.06,6.81,6.89,LOJAS MARISA
AMAR3,15/05/2019,6.80,6.80,6.38,6.38,LOJAS MARISA
AMAR3,16/05/2019,6.35,6.40,5.88,5.88,LOJAS MARISA
AMAR3,17/05/2019,5.87,6.10,5.60,5.65,LOJAS MARISA
AMAR3,20/05/2019,5.64,5.99,5.62,5.96,LOJAS MARISA
AMAR3,21/05/2019,6.02,6.19,5.97,6.05,LOJAS MARISA
AMAR3,22/05/2019,6.10,6.19,5.76,5.82,LOJAS MARISA
AMAR3,23/05/2019,5.76,5.94,5.70,5.87,LOJAS MARISA
AMAR3,24/05/2019,5.94,5.94,5.78,5.86,LOJAS MARISA
AMAR3,27/05/2019,5.86,5.99,5.84,5.97,LOJAS MARISA
AMAR3,28/05/2019,5.95,6.06,5.89,6.04,LOJAS MARISA
AMAR3,29/05/2019,6.01,6.04,5.90,5.96,LOJAS MARISA
AMAR3,30/05/2019,5.98,6.09,5.88,6.04,LOJAS MARISA
AMAR3,31/05/2019,6.01,6.01,5.90,6.01,LOJAS MARISA
AMAR3,03/06/2019,6.03,6.14,5.93,5.95,LOJAS MARISA
AMAR3,04/06/2019,5.96,6.08,5.72,5.80,LOJAS MARISA
AMAR3,05/06/2019,5.85,5.87,5.72,5.72,LOJAS MARISA
AMAR3,06/06/2019,5.78,5.85,5.72,5.78,LOJAS MARISA
