Codneg,Data,Abertura,Maxima,Minima,Fechamento,Empresa
ANIM3,02/01/2019,16.85,18.16,16.85,18.01,ANIMA
ANIM3,03/01/2019,18.00,19.06,17.96,18.80,ANIMA
ANIM3,04/01/2019,18.75,19.20,18.70,18.75,ANIMA
ANIM3,07/01/2019,18.72,19.14,18.55,18.89,ANIMA
ANIM3,08/01/2019,18.83,19.63,18.81,19.49,ANIMA
ANIM3,09/01/2019,19.51,19.69,19.02,19.02,ANIMA
ANIM3,10/01/2019,19.02,19.33,18.87,19.32,ANIMA
ANIM3,11/01/2019,19.32,19.34,18.59,18.81,ANIMA
ANIM3,14/01/2019,18.60,18.95,18.21,18.82,ANIMA
ANIM3,15/01/2019,18.96,19.11,18.47,18.55,ANIMA
ANIM3,16/01/2019,18.50,19.15,18.38,18.57,ANIMA
ANIM3,17/01/2019,18.40,19.06,18.40,18.65,ANIMA
ANIM3,18/01/2019,18.70,19.06,18.35,18.64,ANIMA
ANIM3,21/01/2019,18.65,18.99,18.30,18.88,ANIMA
ANIM3,22/01/2019,18.96,19.85,18.68,19.44,ANIMA
ANIM3,23/01/2019,19.67,20.00,19.46,19.69,ANIMA
ANIM3,24/01/2019,19.85,20.20,19.51,19.99,ANIMA
ANIM3,28/01/2019,19.89,19.94,19.41,19.67,ANIMA
ANIM3,29/01/2019,19.68,20.16,19.60,19.60,ANIMA
ANIM3,30/01/2019,19.66,20.28,19.66,20.28,ANIMA
ANIM3,31/01/2019,20.29,20.48,19.99,20.18,ANIMA
ANIM3,01/02/2019,20.18,20.37,19.98,20.31,ANIMA
ANIM3,04/02/2019,20.38,20.46,20.01,20.25,ANIMA
ANIM3,05/02/2019,20.25,20.40,19.62,19.64,ANIMA
ANIM3,06/02/2019,19.67,19.77,18.85,18.99,ANIMA
ANIM3,07/02/2019,19.12,19.28,18.00,18.24,ANIMA
ANIM3,08/02/2019,18.36,18.50,17.71,18.49,ANIMA
ANIM3,11/02/2019,18.60,19.35,18.60,18.80,ANIMA
ANIM3,12/02/2019,18.91,19.06,18.13,18.75,ANIMA
ANIM3,13/02/2019,18.73,18.78,18.13,18.13,ANIMA
ANIM3,14/02/2019,18.22,18.45,18.05,18.36,ANIMA
ANIM3,15/02/2019,18.48,18.48,17.86,18.13,ANIMA
ANIM3,18/02/2019,18.12,18.12,17.34,17.70,ANIMA
ANIM3,19/02/2019,17.71,18.26,17.54,18.25,ANIMA
ANIM3,20/02/2019,18.25,18.40,17.52,17.58,ANIMA
ANIM3,21/02/2019,17.51,18.10,17.45,17.79,ANIMA
ANIM3,22/02/2019,18.04,18.56,17.72,18.32,ANIMA
ANIM3,25/02/2019,18.30,19.11,18.30,18.80,ANIMA
ANIM3,26/02/2019,18.67,18.95,18.41,18.79,ANIMA
ANIM3,27/02/2019,18.98,19.15,18.74,19.15,ANIMA
ANIM3,28/02/2019,19.13,19.13,18.46,18.72,ANIMA
ANIM3,01/03/2019,18.77,19.00,18.26,18.26,ANIMA
ANIM3,06/03/2019,18.26,18.26,17.81,17.93,ANIMA
ANIM3,07/03/2019,18.00,18.00,17.45,17.50,ANIMA
ANIM3,08/03/2019,17.45,18.96,17.45,18.76,ANIMA
ANIM3,11/03/2019,18.80,19.30,18.69,19.16,ANIMA
ANIM3,12/03/2019,19.29,19.29,18.83,18.83,ANIMA
ANIM3,13/03/2019,18.83,19.08,18.74,19.04,ANIMA
ANIM3,14/03/2019,19.03,19.03,18.44,18.80,ANIMA
ANIM3,15/03/2019,18.98,19.16,18.47,18.61,ANIMA
ANIM3,18/03/2019,18.65,18.87,18.61,18.80,ANIMA
ANIM3,19/03/2019,18.87,19.19,18.68,18.93,ANIMA
ANIM3,20/03/2019,18.86,18.98,18.51,18.88,ANIMA
ANIM3,21/03/2019,18.67,18.83,17.92,18.14,ANIMA
ANIM3,22/03/2019,18.00,18.30,17.86,18.15,ANIMA
ANIM3,25/03/2019,18.00,18.50,17.69,18.36,ANIMA
ANIM3,26/03/2019,18.30,19.47,18.26,19.15,ANIMA
ANIM3,27/03/2019,19.10,19.10,18.14,18.20,ANIMA
ANIM3,28/03/2019,18.24,18.66,18.02,18.36,ANIMA
ANIM3,29/03/2019,18.60,18.84,18.14,18.70,ANIMA
ANIM3,01/04/2019,18.87,18.87,18.27,18.27,ANIMA
ANIM3,02/04/2019,18.36,18.91,18.36,18.91,ANIMA
ANIM3,03/04/2019,18.89,19.49,18.81,18.99,ANIMA
