Codneg,Data,Abertura,Maxima,Minima,Fechamento,Empresa
APER3,02/01/2019,18.00,19.18,17.55,18.00,ALPER S.A.
APER3,03/01/2019,18.67,18.79,18.56,18.73,ALPER S.A.
APER3,04/01/2019,18.87,18.87,18.10,18.18,ALPER S.A.
APER3,07/01/2019,18.50,18.65,17.33,18.25,ALPER S.A.
APER3,08/01/2019,18.66,18.66,17.71,17.71,ALPER S.A.
APER3,09/01/2019,17.55,17.90,17.53,17.71,ALPER S.A.
APER3,10/01/2019,17.70,17.89,17.33,17.62,ALPER S.A.
APER3,11/01/2019,17.40,18.00,17.40,17.71,ALPER S.A.
APER3,14/01/2019,17.99,18.35,17.02,18.00,ALPER S.A.
APER3,15/01/2019,17.92,18.45,17.74,17.79,ALPER S.A.
APER3,16/01/2019,17.51,19.20,17.51,18.94,ALPER S.A.
APER3,17/01/2019,18.93,19.17,18.50,19.17,ALPER S.A.
APER3,18/01/2019,19.16,19.16,18.39,18.39,ALPER S.A.
APER3,21/01/2019,18.38,18.79,18.06,18.35,ALPER S.A.
APER3,22/01/2019,18.45,19.13,17.85,18.90,ALPER S.A.
APER3,23/01/2019,19.03,19.03,18.23,18.50,ALPER S.A.
APER3,24/01/2019,18.65,18.66,18.30,18.35,ALPER S.A.
APER3,28/01/2019,18.24,18.32,18.00,18.10,ALPER S.A.
APER3,29/01/2019,18.54,18.79,18.05,18.50,ALPER S.A.
APER3,30/01/2019,18.79,25.70,18.18,24.77,ALPER S.A.
APER3,31/01/2019,24.50,27.84,24.02,25.80,ALPER S.A.
APER3,01/02/2019,25.79,27.08,25.78,26.89,ALPER S.A.
APER3,04/02/2019,27.00,29.01,27.00,28.38,ALPER S.A.
APER3,05/02/2019,29.16,29.26,26.90,27.75,ALPER S.A.
APER3,06/02/2019,27.75,29.16,27.10,27.99,ALPER S.A.
APER3,07/02/2019,27.99,28.89,27.01,27.70,ALPER S.A.
APER3,08/02/2019,28.18,28.48,27.26,28.15,ALPER S.A.
APER3,11/02/2019,27.99,28.23,27.00,27.84,ALPER S.A.
APER3,12/02/2019,27.00,27.47,26.98,27.00,ALPER S.A.
APER3,13/02/2019,27.38,28.39,27.15,27.30,ALPER S.A.
APER3,14/02/2019,27.66,27.66,26.15,26.16,ALPER S.A.
APER3,15/02/2019,26.31,26.70,23.35,25.15,ALPER S.A.
APER3,18/02/2019,25.38,25.51,24.50,24.50,ALPER S.A.
APER3,19/02/2019,24.89,25.94,24.33,25.70,ALPER S.A.
APER3,20/02/2019,25.10,26.30,24.73,24.92,ALPER S.A.
APER3,21/02/2019,24.50,26.29,24.15,26.29,ALPER S.A.
APER3,22/02/2019,26.66,27.00,24.00,26.25,ALPER S.A.
APER3,25/02/2019,26.97,26.97,24.54,24.60,ALPER S.A.
APER3,26/02/2019,24.60,25.99,24.20,25.99,ALPER S.A.
APER3,27/02/2019,25.39,25.50,24.43,24.43,ALPER S.A.
APER3,28/02/2019,24.01,24.70,24.00,24.50,ALPER S.A.
APER3,01/03/2019,24.51,24.51,24.15,24.25,ALPER S.A.
APER3,06/03/2019,24.30,24.49,23.94,24.49,ALPER S.A.
APER3,07/03/2019,24.49,25.93,23.82,25.19,ALPER S.A.
APER3,08/03/2019,25.00,25.22,24.63,25.00,ALPER S.A.
APER3,11/03/2019,24.98,25.18,24.42,24.83,ALPER S.A.
APER3,12/03/2019,24.81,26.20,24.81,25.75,ALPER S.A.
APER3,13/03/2019,26.24,26.81,25.64,25.99,ALPER S.A.
APER3,14/03/2019,25.98,26.52,25.77,25.77,ALPER S.A.
APER3,15/03/2019,25.77,25.93,25.54,25.54,ALPER S.A.
APER3,18/03/2019,25.51,26.08,25.50,25.55,ALPER S.A.
APER3,19/03/2019,25.80,26.20,25.73,25.91,ALPER S.A.
APER3,20/03/2019,25.96,26.98,25.81,26.98,ALPER S.A.
APER3,21/03/2019,27.30,27.66,25.79,26.12,ALPER S.A.
APER3,22/03/2019,26.12,26.12,25.10,25.10,ALPER S.A.
APER3,25/03/2019,25.50,26.71,25.50,26.00,ALPER S.A.
APER3,26/03/2019,26.30,26.37,25.30,25.32,ALPER S.A.
APER3,27/03/2019,25.30,25.30,24.02,24.11,ALPER S.A.
APER3,28/03/2019,24.20,24.53,23.81,23.94,ALPER S.A.
APER3,29/03/2019,24.02,25.21,24.00,24.90,ALPER S.A.
APER3,01/04/2019,25.49,25.49,24.50,24.57,ALPER S.A.
APER3,02/04/2019,24.62,24.76,24.53,24.75,ALPER S.A.
APER3,03/04/2019,24.94,24.94,24.40,24.40,ALPER S.A.
APER3,04/04/2019,24.55,24.55,23.80,24.00,ALPER S.A.
APER3,05/04/2019,23.54,24.32,23.40,24.10,ALPER S.A.
APER3,08/04/2019,23.12,24.57,23.12,24.00,ALPER S.A.
APER3,09/04/2019,24.15,24.79,23.58,24.24,ALPER S.A.
APER3,10/04/2019,24.36,24.66,24.00,24.32,ALPER S.A.
APER3,11/04/2019,24.79,24.79,24.06,24.40,ALPER S.A.
APER3,12/04/2019,24.63,24.99,24.29,24.62,ALPER S.A.
APER3,15/04/2019,24.22,24.78,23.21,24.48,ALPER S.A.
APER3,16/04/2019,24.10,25.00,24.01,25.00,ALPER S.A.
APER3,17/04/2019,24.89,25.00,24.46,25.00,ALPER S.A.
APER3,18/04/2019,24.51,25.00,24.51,25.00,ALPER S.A.
APER3,22/04/2019,25.00,25.30,24.87,24.90,ALPER S.A.
APER3,23/04/2019,24.90,24.98,24.80,24.98,ALPER S.A.
APER3,24/04/2019,24.98,24.98,24.60,24.60,ALPER S.A.
APER3,25/04/2019,24.60,24.98,23.93,24.65,ALPER S.A.
APER3,26/04/2019,24.30,24.51,24.10,24.10,ALPER S.A.
APER3,29/04/2019,24.98,24.98,23.45,24.30,ALPER S.A.
APER3,30/04/2019,24.25,24.89,23.89,24.60,ALPER S.A.
APER3,02/05/2019,24.70,24.95,23.83,24.48,ALPER S.A.
APER3,03/05/2019,24.25,24.42,23.80,24.00,ALPER S.A.
APER3,06/05/2019,24.19,24.68,23.50,24.51,ALPER S.A.
APER3,07/05/2019,24.39,24.47,22.74,23.75,ALPER S.A.
APER3,08/05/2019,24.00,24.16,23.47,23.65,ALPER S.A.
APER3,09/05/2019,23.98,23.98,22.79,23.40,ALPER S.A.
