Codneg,Data,Abertura,Maxima,Minima,Fechamento,Empresa
ARZZ3,02/01/2019,54.24,55.48,54.24,55.31,AREZZO CO
ARZZ3,03/01/2019,54.83,55.58,54.33,55.58,AREZZO CO
ARZZ3,04/01/2019,55.01,55.01,53.05,53.33,AREZZO CO
ARZZ3,07/01/2019,53.01,53.49,51.97,52.53,AREZZO CO
ARZZ3,08/01/2019,52.79,54.34,52.43,54.05,AREZZO CO
ARZZ3,09/01/2019,54.30,55.50,54.01,55.28,AREZZO CO
ARZZ3,10/01/2019,55.30,55.30,54.25,55.10,AREZZO CO
ARZZ3,11/01/2019,54.63,54.83,53.21,53.21,AREZZO CO
ARZZ3,14/01/2019,53.22,53.70,51.08,52.05,AREZZO CO
ARZZ3,15/01/2019,51.91,52.25,51.71,52.10,AREZZO CO
ARZZ3,16/01/2019,52.10,52.71,51.17,51.70,AREZZO CO
ARZZ3,17/01/2019,51.89,52.49,50.81,51.15,AREZZO CO
ARZZ3,18/01/2019,51.10,51.98,49.85,51.50,AREZZO CO
ARZZ3,21/01/2019,51.75,51.75,50.51,51.30,AREZZO CO
ARZZ3,22/01/2019,51.30,51.89,50.52,51.89,AREZZO CO
ARZZ3,23/01/2019,51.71,52.25,51.02,51.90,AREZZO CO
ARZZ3,24/01/2019,52.05,52.36,51.38,52.36,AREZZO CO
ARZZ3,28/01/2019,52.24,52.24,50.92,51.78,AREZZO CO
ARZZ3,29/01/2019,52.70,53.85,52.10,53.47,AREZZO CO
ARZZ3,30/01/2019,53.62,55.00,53.55,55.00,AREZZO CO
ARZZ3,31/01/2019,54.98,55.45,54.59,55.00,AREZZO CO
ARZZ3,01/02/2019,55.41,55.60,54.45,55.60,AREZZO CO
ARZZ3,04/02/2019,55.59,56.17,54.56,55.85,AREZZO CO
ARZZ3,05/02/2019,55.86,55.86,54.57,55.08,AREZZO CO
ARZZ3,06/02/2019,54.75,54.75,52.56,52.56,AREZZO CO
ARZZ3,07/02/2019,52.51,53.21,50.82,51.87,AREZZO CO
ARZZ3,08/02/2019,52.00,52.45,51.05,52.40,AREZZO CO
ARZZ3,11/02/2019,52.45,52.47,51.00,51.61,AREZZO CO
ARZZ3,12/02/2019,51.67,52.20,51.11,51.58,AREZZO CO
ARZZ3,13/02/2019,51.51,51.98,50.65,51.80,AREZZO CO
ARZZ3,14/02/2019,51.87,52.49,50.35,52.49,AREZZO CO
ARZZ3,15/02/2019,52.50,53.08,51.66,52.46,AREZZO CO
ARZZ3,18/02/2019,53.06,53.83,51.82,53.52,AREZZO CO
ARZZ3,19/02/2019,53.53,54.41,53.53,54.41,AREZZO CO
ARZZ3,20/02/2019,54.48,55.16,53.50,54.22,AREZZO CO
ARZZ3,21/02/2019,54.14,54.14,52.73,53.76,AREZZO CO
ARZZ3,22/02/2019,54.39,54.50,52.80,54.35,AREZZO CO
ARZZ3,25/02/2019,54.59,54.59,53.61,53.93,AREZZO CO
ARZZ3,26/02/2019,54.00,54.44,53.26,54.30,AREZZO CO
ARZZ3,27/02/2019,53.62,54.19,52.88,53.80,AREZZO CO
ARZZ3,28/02/2019,53.91,54.09,52.96,53.97,AREZZO CO
ARZZ3,01/03/2019,53.97,53.97,52.50,52.90,AREZZO CO
ARZZ3,06/03/2019,52.80,53.47,51.91,52.20,AREZZO CO
ARZZ3,07/03/2019,52.18,52.23,50.82,51.47,AREZZO CO
ARZZ3,08/03/2019,50.92,52.35,50.63,52.20,AREZZO CO
ARZZ3,11/03/2019,52.66,53.90,52.10,53.59,AREZZO CO
ARZZ3,12/03/2019,53.46,53.79,53.01,53.38,AREZZO CO
ARZZ3,13/03/2019,53.53,53.53,52.17,53.35,AREZZO CO
ARZZ3,14/03/2019,52.94,53.18,51.79,52.96,AREZZO CO
ARZZ3,15/03/2019,53.00,53.02,52.10,52.10,AREZZO CO
ARZZ3,18/03/2019,52.17,53.03,51.63,53.03,AREZZO CO
ARZZ3,19/03/2019,52.75,53.48,52.30,52.30,AREZZO CO
ARZZ3,20/03/2019,52.54,52.75,50.50,50.50,AREZZO CO
ARZZ3,21/03/2019,50.26,51.02,48.66,50.79,AREZZO CO
ARZZ3,22/03/2019,50.00,50.33,49.13,49.92,AREZZO CO
ARZZ3,25/03/2019,50.35,51.64,49.57,49.75,AREZZO CO
ARZZ3,26/03/2019,50.59,50.59,49.40,50.41,AREZZO CO
ARZZ3,27/03/2019,49.52,49.70,48.51,49.60,AREZZO CO
ARZZ3,28/03/2019,49.60,49.82,48.75,49.23,AREZZO CO
ARZZ3,29/03/2019,50.16,50.16,49.04,49.98,AREZZO CO
ARZZ3,01/04/2019,50.56,51.24,49.78,50.72,AREZZO CO
ARZZ3,02/04/2019,50.80,50.80,49.66,50.40,AREZZO CO
ARZZ3,03/04/2019,50.35,50.70,49.33,49.95,AREZZO CO
ARZZ3,04/04/2019,50.28,50.30,49.30,49.30,AREZZO CO
ARZZ3,05/04/2019,49.20,49.94,48.79,49.48,AREZZO CO
ARZZ3,08/04/2019,49.49,49.85,48.63,49.16,AREZZO CO
ARZZ3,09/04/2019,49.32,49.32,47.85,49.03,AREZZO CO
ARZZ3,10/04/2019,49.08,49.08,48.34,49.00,AREZZO CO
ARZZ3,11/04/2019,48.99,48.99,48.05,48.70,AREZZO CO
ARZZ3,12/04/2019,48.46,48.84,47.68,48.50,AREZZO CO
ARZZ3,15/04/2019,48.75,48.75,48.07,48.40,AREZZO CO
ARZZ3,16/04/2019,48.65,48.65,47.11,47.11,AREZZO CO
ARZZ3,17/04/2019,47.31,47.57,45.63,46.20,AREZZO CO
ARZZ3,18/04/2019,46.38,47.40,45.91,47.40,AREZZO CO
ARZZ3,22/04/2019,47.80,47.80,46.69,46.80,AREZZO CO
ARZZ3,23/04/2019,46.81,48.68,46.81,48.50,AREZZO CO
ARZZ3,24/04/2019,48.08,49.98,47.65,49.98,AREZZO CO
ARZZ3,25/04/2019,49.97,50.57,49.07,50.57,AREZZO CO
ARZZ3,26/04/2019,51.00,51.09,50.03,50.82,AREZZO CO
ARZZ3,29/04/2019,51.68,51.68,49.83,50.08,AREZZO CO
ARZZ3,30/04/2019,50.11,51.00,49.57,51.00,AREZZO CO
ARZZ3,02/05/2019,50.69,50.78,49.47,50.00,AREZZO CO
ARZZ3,03/05/2019,50.47,51.18,49.72,51.18,AREZZO CO
ARZZ3,06/05/2019,50.70,50.95,49.80,50.20,AREZZO CO
ARZZ3,07/05/2019,49.80,50.66,49.05,50.66,AREZZO CO
ARZZ3,08/05/2019,51.19,51.22,50.47,50.90,AREZZO CO
ARZZ3,09/05/2019,50.89,50.89,49.56,49.56,AREZZO CO
ARZZ3,10/05/2019,49.74,49.78,48.37,48.50,AREZZO CO
ARZZ3,13/05/2019,48.49,48.50,47.47,48.27,AREZZO CO
ARZZ3,14/05/2019,48.97,48.97,47.72,48.00,AREZZO CO
ARZZ3,15/05/2019,47.74,47.93,46.30,47.88,AREZZO CO
ARZZ3,16/05/2019,47.95,48.29,46.52,47.42,AREZZO CO
ARZZ3,17/05/2019,47.62,47.62,45.79,46.44,AREZZO CO
ARZZ3,20/05/2019,46.44,47.44,46.13,47.05,AREZZO CO
ARZZ3,21/05/2019,46.95,49.39,46.91,49.00,AREZZO CO
ARZZ3,22/05/2019,49.01,50.00,48.44,49.09,AREZZO CO
ARZZ3,23/05/2019,48.85,49.50,48.54,49.06,AREZZO CO
ARZZ3,24/05/2019,49.28,49.28,47.95,48.45,AREZZO CO
ARZZ3,27/05/2019,49.24,49.24,47.96,48.16,AREZZO CO
ARZZ3,28/05/2019,48.00,48.89,47.60,47.85,AREZZO CO
ARZZ3,29/05/2019,47.84,49.23,47.10,49.11,AREZZO CO
ARZZ3,30/05/2019,48.81,50.59,48.30,49.66,AREZZO CO
ARZZ3,31/05/2019,49.59,50.50,49.05,50.50,AREZZO CO
ARZZ3,03/06/2019,50.96,50.96,50.07,50.14,AREZZO CO
ARZZ3,04/06/2019,50.14,50.15,47.81,48.50,AREZZO CO
ARZZ3,05/06/2019,48.61,49.39,48.61,49.20,AREZZO CO
ARZZ3,06/06/2019,48.70,49.64,48.58,49.00,AREZZO CO
ARZZ3,07/06/2019,49.00,50.25,48.80,49.60,AREZZO CO
ARZZ3,10/06/2019,49.90,50.12,49.15,49.36,AREZZO CO
ARZZ3,11/06/2019,49.30,50.00,48.86,48.86,AREZZO CO
ARZZ3,12/06/2019,49.17,49.54,47.95,47.95,AREZZO CO
ARZZ3,13/06/2019,48.47,49.49,48.01,49.47,AREZZO CO
ARZZ3,14/06/2019,48.78,49.72,48.78,49.05,AREZZO CO
ARZZ3,17/06/2019,49.45,50.39,49.00,49.25,AREZZO CO
ARZZ3,18/06/2019,49.12,49.97,48.82,49.00,AREZZO CO
ARZZ3,19/06/2019,49.49,50.00,49.49,49.99,AREZZO CO
ARZZ3,21/06/2019,50.27,50.60,49.88,50.27,AREZZO CO
ARZZ3,24/06/2019,50.49,50.70,49.60,50.10,AREZZO CO
ARZZ3,25/06/2019,49.91,50.17,49.21,49.35,AREZZO CO
ARZZ3,26/06/2019,49.36,49.90,48.75,48.85,AREZZO CO
ARZZ3,27/06/2019,48.96,49.12,48.51,48.85,AREZZO CO
ARZZ3,28/06/2019,48.76,50.20,48.71,50.20,AREZZO CO
ARZZ3,01/07/2019,50.11,50.18,49.43,49.82,AREZZO CO
ARZZ3,02/07/2019,50.08,50.27,49.55,49.90,AREZZO CO
ARZZ3,03/07/2019,50.26,50.28,49.48,50.28,AREZZO CO
ARZZ3,04/07/2019,50.30,51.37,50.29,51.00,AREZZO CO
