Codneg,Data,Abertura,Maxima,Minima,Fechamento,Empresa
ATOM3,02/01/2019,2.46,2.63,2.44,2.49,ATOMPAR
ATOM3,03/01/2019,2.50,2.61,2.49,2.59,ATOMPAR
ATOM3,04/01/2019,2.59,2.65,2.53,2.54,ATOMPAR
ATOM3,07/01/2019,2.55,2.58,2.50,2.57,ATOMPAR
ATOM3,08/01/2019,2.58,2.59,2.50,2.55,ATOMPAR
ATOM3,09/01/2019,2.52,2.59,2.50,2.58,ATOMPAR
ATOM3,10/01/2019,2.57,2.57,2.49,2.49,ATOMPAR
ATOM3,11/01/2019,2.50,2.56,2.50,2.51,ATOMPAR
ATOM3,14/01/2019,2.55,2.95,2.55,2.67,ATOMPAR
ATOM3,15/01/2019,2.69,2.76,2.62,2.66,ATOMPAR
ATOM3,16/01/2019,2.66,2.67,2.57,2.59,ATOMPAR
ATOM3,17/01/2019,2.60,2.63,2.58,2.58,ATOMPAR
ATOM3,18/01/2019,2.60,2.63,2.60,2.63,ATOMPAR
ATOM3,21/01/2019,2.63,2.70,2.62,2.65,ATOMPAR
ATOM3,22/01/2019,2.59,2.59,2.45,2.53,ATOMPAR
ATOM3,23/01/2019,2.52,2.57,2.43,2.50,ATOMPAR
ATOM3,24/01/2019,2.53,2.54,2.50,2.52,ATOMPAR
ATOM3,28/01/2019,2.50,2.50,2.44,2.45,ATOMPAR
ATOM3,29/01/2019,2.46,2.55,2.46,2.53,ATOMPAR
ATOM3,30/01/2019,2.50,2.59,2.48,2.59,ATOMPAR
ATOM3,31/01/2019,2.60,2.60,2.55,2.58,ATOMPAR
ATOM3,01/02/2019,2.54,2.58,2.50,2.51,ATOMPAR
ATOM3,04/02/2019,2.53,2.53,2.45,2.47,ATOMPAR
ATOM3,05/02/2019,2.49,2.50,2.47,2.47,ATOMPAR
ATOM3,06/02/2019,2.47,2.50,2.45,2.45,ATOMPAR
ATOM3,07/02/2019,2.42,2.46,2.42,2.46,ATOMPAR
ATOM3,08/02/2019,2.43,2.49,2.43,2.45,ATOMPAR
ATOM3,11/02/2019,2.45,2.46,2.39,2.42,ATOMPAR
ATOM3,12/02/2019,2.41,2.45,2.40,2.40,ATOMPAR
ATOM3,13/02/2019,2.41,2.55,2.34,2.44,ATOMPAR
ATOM3,14/02/2019,2.46,2.46,2.40,2.44,ATOMPAR
ATOM3,15/02/2019,2.43,2.45,2.41,2.42,ATOMPAR
ATOM3,18/02/2019,2.40,2.45,2.38,2.39,ATOMPAR
ATOM3,19/02/2019,2.45,2.45,2.35,2.37,ATOMPAR
ATOM3,20/02/2019,2.38,2.45,2.38,2.40,ATOMPAR
ATOM3,21/02/2019,2.40,2.43,2.38,2.38,ATOMPAR
ATOM3,22/02/2019,2.39,2.42,2.33,2.40,ATOMPAR
ATOM3,25/02/2019,2.40,2.40,2.36,2.37,ATOMPAR
ATOM3,26/02/2019,2.37,2.41,2.35,2.36,ATOMPAR
ATOM3,27/02/2019,2.37,2.40,2.34,2.34,ATOMPAR
ATOM3,28/02/2019,2.36,2.41,2.36,2.36,ATOMPAR
ATOM3,01/03/2019,2.34,2.42,2.27,2.30,ATOMPAR
ATOM3,06/03/2019,2.36,2.36,2.33,2.34,ATOMPAR
ATOM3,07/03/2019,2.34,2.36,2.34,2.35,ATOMPAR
ATOM3,08/03/2019,2.35,2.40,2.35,2.36,ATOMPAR
ATOM3,11/03/2019,2.37,2.37,2.31,2.31,ATOMPAR
ATOM3,12/03/2019,2.32,2.34,2.31,2.34,ATOMPAR
ATOM3,13/03/2019,2.36,2.37,2.30,2.31,ATOMPAR
ATOM3,14/03/2019,2.30,2.42,2.28,2.31,ATOMPAR
ATOM3,15/03/2019,2.28,2.33,2.20,2.25,ATOMPAR
ATOM3,18/03/2019,2.26,2.28,2.24,2.26,ATOMPAR
ATOM3,19/03/2019,2.27,2.27,2.15,2.19,ATOMPAR
ATOM3,20/03/2019,2.23,2.23,2.16,2.19,ATOMPAR
ATOM3,21/03/2019,2.19,2.22,2.17,2.18,ATOMPAR
ATOM3,22/03/2019,2.18,2.18,2.10,2.10,ATOMPAR
ATOM3,25/03/2019,2.10,2.25,2.10,2.10,ATOMPAR
ATOM3,26/03/2019,2.15,2.16,2.11,2.16,ATOMPAR
ATOM3,27/03/2019,2.16,2.16,2.07,2.07,ATOMPAR
ATOM3,28/03/2019,2.02,2.11,2.00,2.05,ATOMPAR
ATOM3,29/03/2019,2.05,2.06,2.00,2.00,ATOMPAR
ATOM3,01/04/2019,1.98,2.04,1.97,2.00,ATOMPAR
ATOM3,02/04/2019,2.00,2.00,1.88,1.94,ATOMPAR
ATOM3,03/04/2019,1.93,1.95,1.83,1.86,ATOMPAR
ATOM3,04/04/2019,1.89,1.91,1.84,1.88,ATOMPAR
ATOM3,05/04/2019,1.88,1.94,1.88,1.90,ATOMPAR
ATOM3,08/04/2019,1.89,1.92,1.87,1.92,ATOMPAR
ATOM3,09/04/2019,1.90,1.95,1.87,1.94,ATOMPAR
ATOM3,10/04/2019,1.93,1.94,1.88,1.88,ATOMPAR
ATOM3,11/04/2019,1.88,1.90,1.85,1.88,ATOMPAR
ATOM3,12/04/2019,1.88,1.91,1.84,1.89,ATOMPAR
ATOM3,15/04/2019,1.90,1.91,1.85,1.85,ATOMPAR
ATOM3,16/04/2019,1.83,1.83,1.76,1.76,ATOMPAR
ATOM3,17/04/2019,1.79,1.80,1.75,1.78,ATOMPAR
ATOM3,18/04/2019,1.76,1.82,1.76,1.79,ATOMPAR
ATOM3,22/04/2019,1.77,1.80,1.75,1.76,ATOMPAR
ATOM3,23/04/2019,1.72,1.81,1.72,1.77,ATOMPAR
ATOM3,24/04/2019,1.75,1.77,1.70,1.73,ATOMPAR
ATOM3,25/04/2019,1.74,1.80,1.68,1.76,ATOMPAR
ATOM3,26/04/2019,1.78,1.78,1.69,1.77,ATOMPAR
ATOM3,29/04/2019,1.81,1.84,1.77,1.80,ATOMPAR
ATOM3,30/04/2019,1.81,1.81,1.72,1.77,ATOMPAR
ATOM3,02/05/2019,1.77,1.84,1.75,1.77,ATOMPAR
ATOM3,03/05/2019,1.78,1.83,1.77,1.80,ATOMPAR
ATOM3,06/05/2019,1.79,1.79,1.76,1.76,ATOMPAR
ATOM3,07/05/2019,1.78,1.79,1.75,1.76,ATOMPAR
ATOM3,08/05/2019,1.75,1.80,1.75,1.79,ATOMPAR
ATOM3,09/05/2019,1.80,1.80,1.76,1.78,ATOMPAR
ATOM3,10/05/2019,1.77,1.77,1.71,1.75,ATOMPAR
ATOM3,13/05/2019,1.75,1.77,1.72,1.72,ATOMPAR
ATOM3,14/05/2019,1.72,1.73,1.70,1.70,ATOMPAR
ATOM3,15/05/2019,1.71,1.71,1.60,1.62,ATOMPAR
ATOM3,16/05/2019,1.62,1.62,1.57,1.60,ATOMPAR
ATOM3,17/05/2019,1.61,1.63,1.58,1.59,ATOMPAR
ATOM3,20/05/2019,1.60,1.61,1.57,1.57,ATOMPAR
ATOM3,21/05/2019,1.60,1.64,1.59,1.59,ATOMPAR
ATOM3,22/05/2019,1.59,1.69,1.57,1.68,ATOMPAR
ATOM3,23/05/2019,1.68,1.82,1.68,1.82,ATOMPAR
ATOM3,24/05/2019,1.82,1.90,1.70,1.90,ATOMPAR
ATOM3,27/05/2019,1.88,1.88,1.71,1.72,ATOMPAR
ATOM3,28/05/2019,1.73,1.77,1.72,1.72,ATOMPAR
ATOM3,29/05/2019,1.73,1.77,1.69,1.70,ATOMPAR
ATOM3,30/05/2019,1.70,1.72,1.61,1.62,ATOMPAR
ATOM3,31/05/2019,1.65,1.65,1.59,1.59,ATOMPAR
ATOM3,03/06/2019,1.64,1.64,1.60,1.60,ATOMPAR
ATOM3,04/06/2019,1.60,1.65,1.60,1.61,ATOMPAR
ATOM3,05/06/2019,1.64,1.66,1.61,1.61,ATOMPAR
ATOM3,06/06/2019,1.66,1.68,1.63,1.66,ATOMPAR
ATOM3,07/06/2019,1.66,1.75,1.66,1.74,ATOMPAR
ATOM3,10/06/2019,1.70,1.84,1.67,1.80,ATOMPAR
ATOM3,11/06/2019,1.80,1.82,1.74,1.74,ATOMPAR
ATOM3,12/06/2019,1.73,1.73,1.69,1.69,ATOMPAR
ATOM3,13/06/2019,1.71,1.73,1.69,1.71,ATOMPAR
ATOM3,14/06/2019,1.72,1.73,1.69,1.73,ATOMPAR
ATOM3,17/06/2019,1.70,1.74,1.68,1.70,ATOMPAR
ATOM3,18/06/2019,1.69,1.80,1.69,1.76,ATOMPAR
ATOM3,19/06/2019,1.75,1.80,1.72,1.78,ATOMPAR
ATOM3,21/06/2019,1.78,1.78,1.69,1.71,ATOMPAR
ATOM3,24/06/2019,1.72,1.72,1.69,1.70,ATOMPAR
ATOM3,25/06/2019,1.72,1.74,1.69,1.70,ATOMPAR
ATOM3,26/06/2019,1.70,1.71,1.68,1.71,ATOMPAR
ATOM3,27/06/2019,1.72,1.72,1.68,1.70,ATOMPAR
ATOM3,28/06/2019,1.70,1.71,1.69,1.71,ATOMPAR
ATOM3,01/07/2019,1.71,1.71,1.69,1.71,ATOMPAR
ATOM3,02/07/2019,1.70,1.71,1.69,1.71,ATOMPAR
ATOM3,03/07/2019,1.70,1.72,1.70,1.70,ATOMPAR
ATOM3,04/07/2019,1.70,1.70,1.67,1.67,ATOMPAR
ATOM3,05/07/2019,1.69,1.71,1.65,1.71,ATOMPAR
ATOM3,08/07/2019,1.71,1.88,1.71,1.81,ATOMPAR
ATOM3,10/07/2019,1.80,1.84,1.74,1.79,ATOMPAR
ATOM3,11/07/2019,1.79,1.96,1.76,1.87,ATOMPAR
ATOM3,12/07/2019,1.89,1.94,1.82,1.86,ATOMPAR
