Codneg,Data,Abertura,Maxima,Minima,Fechamento,Empresa
AZUL4,02/01/2019,35.97,36.55,35.45,36.33,AZUL
AZUL4,03/01/2019,36.19,37.60,35.71,36.37,AZUL
AZUL4,04/01/2019,36.48,36.63,35.80,36.25,AZUL
AZUL4,07/01/2019,36.16,36.47,34.91,35.30,AZUL
AZUL4,08/01/2019,35.59,35.94,34.40,34.72,AZUL
AZUL4,09/01/2019,34.85,35.21,34.64,35.15,AZUL
AZUL4,10/01/2019,35.26,36.10,35.08,35.91,AZUL
AZUL4,11/01/2019,36.00,37.20,35.81,37.20,AZUL
AZUL4,14/01/2019,37.20,38.00,36.83,37.47,AZUL
AZUL4,15/01/2019,37.50,37.75,36.84,37.00,AZUL
AZUL4,16/01/2019,37.01,37.40,36.43,37.00,AZUL
AZUL4,17/01/2019,37.32,37.40,36.30,37.05,AZUL
AZUL4,18/01/2019,37.10,37.69,36.36,36.36,AZUL
AZUL4,21/01/2019,36.21,36.34,35.50,36.18,AZUL
AZUL4,22/01/2019,36.13,36.26,35.10,35.50,AZUL
AZUL4,23/01/2019,35.49,36.00,35.27,36.00,AZUL
AZUL4,24/01/2019,36.30,36.50,35.80,36.06,AZUL
AZUL4,28/01/2019,36.06,36.14,34.91,35.06,AZUL
AZUL4,29/01/2019,35.16,35.58,34.34,34.80,AZUL
AZUL4,30/01/2019,35.25,36.09,35.11,35.95,AZUL
AZUL4,31/01/2019,36.09,37.40,36.09,37.11,AZUL
AZUL4,01/02/2019,36.92,37.32,36.61,37.20,AZUL
AZUL4,04/02/2019,37.17,38.33,37.03,38.04,AZUL
AZUL4,05/02/2019,38.50,39.17,38.25,38.59,AZUL
AZUL4,06/02/2019,38.69,38.96,37.10,37.30,AZUL
AZUL4,07/02/2019,37.57,37.62,35.76,36.18,AZUL
AZUL4,08/02/2019,36.49,37.05,35.78,37.00,AZUL
AZUL4,11/02/2019,37.49,37.72,36.74,37.20,AZUL
AZUL4,12/02/2019,37.50,38.75,37.21,38.26,AZUL
AZUL4,13/02/2019,38.63,38.74,37.88,38.40,AZUL
AZUL4,14/02/2019,38.50,38.70,37.07,38.60,AZUL
AZUL4,15/02/2019,38.58,38.59,37.44,38.50,AZUL
AZUL4,18/02/2019,38.05,38.88,37.90,38.88,AZUL
