Codneg,Data,Abertura,Maxima,Minima,Fechamento,Empresa
B3SA3,02/01/2019,26.85,27.91,26.68,27.79,B3
B3SA3,03/01/2019,27.41,29.12,27.40,29.00,B3
B3SA3,04/01/2019,28.68,29.26,27.84,27.95,B3
B3SA3,07/01/2019,28.15,28.15,27.31,27.80,B3
B3SA3,08/01/2019,27.96,28.20,27.55,27.88,B3
B3SA3,09/01/2019,28.00,28.40,27.71,28.01,B3
B3SA3,10/01/2019,28.05,28.38,27.80,28.27,B3
B3SA3,11/01/2019,28.27,28.98,28.24,28.87,B3
B3SA3,14/01/2019,28.89,29.75,28.84,29.51,B3
B3SA3,15/01/2019,29.45,29.64,28.94,29.22,B3
B3SA3,16/01/2019,29.18,29.95,28.83,29.85,B3
B3SA3,17/01/2019,29.90,30.04,29.35,30.00,B3
B3SA3,18/01/2019,30.00,30.67,29.80,30.40,B3
B3SA3,21/01/2019,30.15,30.63,29.76,30.50,B3
B3SA3,22/01/2019,30.20,30.55,29.69,29.77,B3
B3SA3,23/01/2019,30.00,31.16,29.87,31.16,B3
B3SA3,24/01/2019,31.08,31.65,30.60,31.65,B3
B3SA3,28/01/2019,31.40,32.23,31.09,32.23,B3
B3SA3,29/01/2019,32.48,32.60,31.36,31.55,B3
B3SA3,30/01/2019,31.90,31.96,31.08,31.47,B3
B3SA3,31/01/2019,31.61,31.81,31.20,31.47,B3
B3SA3,01/02/2019,31.25,31.94,31.25,31.94,B3
B3SA3,04/02/2019,31.88,32.33,31.30,32.27,B3
B3SA3,05/02/2019,32.01,33.11,32.01,32.98,B3
B3SA3,06/02/2019,32.60,32.60,31.99,32.20,B3
B3SA3,07/02/2019,32.60,32.65,30.76,31.00,B3
B3SA3,08/02/2019,30.80,31.58,30.73,31.33,B3
B3SA3,11/02/2019,31.03,31.11,30.48,30.78,B3
B3SA3,12/02/2019,31.04,31.40,30.71,31.12,B3
B3SA3,13/02/2019,31.35,31.37,30.85,31.04,B3
B3SA3,14/02/2019,30.85,32.37,30.70,32.36,B3
B3SA3,15/02/2019,32.07,32.54,31.80,32.32,B3
B3SA3,18/02/2019,31.90,32.14,31.70,31.97,B3
B3SA3,19/02/2019,32.16,32.82,31.77,32.80,B3
B3SA3,20/02/2019,32.67,33.08,32.30,32.55,B3
B3SA3,21/02/2019,32.56,32.78,31.89,32.35,B3
B3SA3,22/02/2019,32.90,33.30,32.53,33.19,B3
B3SA3,25/02/2019,33.32,33.79,33.22,33.45,B3
B3SA3,26/02/2019,33.47,33.99,33.46,33.85,B3
B3SA3,27/02/2019,33.71,33.83,33.01,33.33,B3
B3SA3,28/02/2019,33.43,33.64,32.63,32.79,B3
B3SA3,01/03/2019,32.66,32.90,31.83,31.88,B3
B3SA3,06/03/2019,32.08,32.20,31.61,31.61,B3
B3SA3,07/03/2019,31.53,31.65,30.77,31.09,B3
B3SA3,08/03/2019,31.05,31.73,30.79,31.61,B3
B3SA3,11/03/2019,31.85,32.95,31.69,32.90,B3
B3SA3,12/03/2019,33.05,33.11,32.33,33.05,B3
B3SA3,13/03/2019,32.95,33.61,32.56,33.28,B3
B3SA3,14/03/2019,33.12,33.62,32.94,33.18,B3
B3SA3,15/03/2019,33.30,34.10,33.11,33.87,B3
B3SA3,18/03/2019,34.00,34.56,33.98,34.36,B3
B3SA3,19/03/2019,34.40,34.75,33.97,34.68,B3
B3SA3,20/03/2019,34.55,34.90,33.97,34.05,B3
B3SA3,21/03/2019,34.00,34.11,32.54,33.47,B3
B3SA3,22/03/2019,32.59,33.17,32.14,32.55,B3
B3SA3,25/03/2019,32.30,32.96,31.76,32.48,B3
B3SA3,26/03/2019,32.80,33.48,32.42,33.30,B3
B3SA3,27/03/2019,32.46,32.64,30.91,31.27,B3
B3SA3,28/03/2019,31.11,32.50,30.69,32.07,B3
B3SA3,29/03/2019,32.42,32.42,31.61,32.12,B3
B3SA3,01/04/2019,32.24,32.75,32.12,32.58,B3
B3SA3,02/04/2019,32.90,32.90,32.26,32.66,B3
B3SA3,03/04/2019,32.88,33.00,31.53,31.56,B3
B3SA3,04/04/2019,31.86,32.74,31.37,32.74,B3
B3SA3,05/04/2019,32.78,33.20,32.40,32.90,B3
B3SA3,08/04/2019,32.89,33.25,32.62,33.00,B3
B3SA3,09/04/2019,32.80,32.88,31.86,32.02,B3
B3SA3,10/04/2019,32.16,32.39,31.72,32.14,B3
B3SA3,11/04/2019,32.10,32.24,31.17,31.42,B3
B3SA3,12/04/2019,31.07,31.74,30.55,30.68,B3
B3SA3,15/04/2019,31.10,31.20,30.23,31.15,B3
B3SA3,16/04/2019,31.13,31.94,31.00,31.45,B3
B3SA3,17/04/2019,31.66,31.72,30.20,31.10,B3
B3SA3,18/04/2019,31.30,32.27,30.98,31.95,B3
B3SA3,22/04/2019,31.80,32.13,31.60,31.95,B3
B3SA3,23/04/2019,32.22,32.98,32.05,32.84,B3
B3SA3,24/04/2019,32.79,33.50,32.51,33.50,B3
B3SA3,25/04/2019,33.15,35.06,33.10,34.77,B3
B3SA3,26/04/2019,34.59,34.59,33.69,34.12,B3
B3SA3,29/04/2019,34.11,34.55,33.86,34.40,B3
B3SA3,30/04/2019,34.45,34.80,34.00,34.45,B3
B3SA3,02/05/2019,34.25,34.65,33.75,33.90,B3
B3SA3,03/05/2019,33.98,34.34,33.90,34.07,B3
B3SA3,06/05/2019,33.69,33.78,33.21,33.70,B3
B3SA3,07/05/2019,33.34,33.70,32.81,33.66,B3
B3SA3,08/05/2019,34.00,34.68,33.90,34.35,B3
B3SA3,09/05/2019,33.95,34.12,33.51,33.90,B3
B3SA3,10/05/2019,33.99,34.05,32.84,33.30,B3
B3SA3,13/05/2019,32.57,32.95,32.14,32.34,B3
B3SA3,14/05/2019,32.41,33.16,32.37,32.60,B3
B3SA3,15/05/2019,31.81,32.61,31.70,32.50,B3
B3SA3,16/05/2019,32.04,32.24,31.59,31.90,B3
B3SA3,17/05/2019,31.41,32.71,31.26,31.70,B3
B3SA3,20/05/2019,31.97,33.00,31.53,32.71,B3
B3SA3,21/05/2019,32.93,34.66,32.77,34.32,B3
B3SA3,22/05/2019,34.30,34.70,33.77,33.98,B3
B3SA3,23/05/2019,33.70,34.45,33.62,34.34,B3
B3SA3,24/05/2019,34.70,34.70,33.98,34.20,B3
B3SA3,27/05/2019,34.50,35.04,34.29,34.71,B3
B3SA3,28/05/2019,34.88,36.01,34.62,35.74,B3
B3SA3,29/05/2019,35.60,36.11,35.45,36.11,B3
B3SA3,30/05/2019,36.06,36.87,35.83,36.70,B3
B3SA3,31/05/2019,36.50,37.59,36.23,36.57,B3
B3SA3,03/06/2019,37.00,37.46,36.07,36.50,B3
B3SA3,04/06/2019,36.84,36.96,36.16,36.35,B3
B3SA3,05/06/2019,36.35,36.53,35.50,35.92,B3
B3SA3,06/06/2019,36.00,37.34,35.97,37.30,B3
B3SA3,07/06/2019,37.35,37.50,36.93,37.09,B3
B3SA3,10/06/2019,37.17,37.50,36.89,37.25,B3
B3SA3,11/06/2019,37.50,38.50,37.06,38.02,B3
B3SA3,12/06/2019,38.00,38.29,37.25,37.64,B3
B3SA3,13/06/2019,37.60,38.49,37.37,37.76,B3
B3SA3,14/06/2019,37.74,37.84,35.41,35.75,B3
B3SA3,17/06/2019,35.74,36.08,35.31,35.50,B3
B3SA3,18/06/2019,36.79,38.11,36.60,38.11,B3
B3SA3,19/06/2019,37.73,38.05,37.08,37.39,B3
B3SA3,21/06/2019,37.40,39.75,37.28,39.75,B3
B3SA3,24/06/2019,39.87,39.92,39.17,39.70,B3
B3SA3,25/06/2019,39.25,39.48,37.65,37.66,B3
B3SA3,26/06/2019,38.12,38.28,36.73,36.90,B3
B3SA3,27/06/2019,36.56,37.73,36.42,37.59,B3
B3SA3,28/06/2019,38.20,38.25,37.31,37.46,B3
B3SA3,01/07/2019,38.00,38.34,37.66,38.15,B3
B3SA3,02/07/2019,38.15,38.38,37.37,37.55,B3
B3SA3,03/07/2019,37.60,38.40,37.60,38.40,B3
B3SA3,04/07/2019,38.66,39.84,38.66,39.74,B3
B3SA3,05/07/2019,39.50,40.41,39.11,40.40,B3
B3SA3,08/07/2019,40.40,40.63,40.08,40.30,B3
B3SA3,10/07/2019,40.95,43.00,40.77,42.10,B3
B3SA3,11/07/2019,42.10,42.10,40.81,41.16,B3
