Codneg,Data,Abertura,Maxima,Minima,Fechamento,Empresa
BBAS3,02/01/2019,46.20,49.70,46.09,48.60,BRASIL
BBAS3,03/01/2019,48.50,49.20,47.85,48.80,BRASIL
BBAS3,04/01/2019,48.08,49.83,47.92,48.80,BRASIL
BBAS3,07/01/2019,48.83,49.47,48.17,48.48,BRASIL
BBAS3,08/01/2019,48.60,49.05,46.83,47.93,BRASIL
BBAS3,09/01/2019,48.35,48.35,47.48,47.80,BRASIL
BBAS3,10/01/2019,47.45,48.81,47.15,48.50,BRASIL
BBAS3,11/01/2019,48.48,48.89,48.12,48.70,BRASIL
BBAS3,14/01/2019,48.70,49.83,48.50,49.83,BRASIL
BBAS3,15/01/2019,49.53,49.94,48.97,49.25,BRASIL
BBAS3,16/01/2019,49.35,49.42,48.67,48.78,BRASIL
BBAS3,17/01/2019,48.84,49.49,48.40,48.96,BRASIL
BBAS3,18/01/2019,49.01,49.43,48.55,48.55,BRASIL
BBAS3,21/01/2019,48.62,48.75,47.70,48.29,BRASIL
BBAS3,22/01/2019,48.40,48.92,47.93,48.20,BRASIL
BBAS3,23/01/2019,48.45,49.42,48.20,49.20,BRASIL
BBAS3,24/01/2019,49.19,49.57,48.75,48.95,BRASIL
BBAS3,28/01/2019,48.00,49.22,48.00,48.32,BRASIL
BBAS3,29/01/2019,49.00,49.93,48.59,49.93,BRASIL
BBAS3,30/01/2019,50.00,50.58,49.47,50.58,BRASIL
BBAS3,31/01/2019,51.00,52.75,50.89,51.86,BRASIL
BBAS3,01/02/2019,51.56,52.11,51.21,52.11,BRASIL
BBAS3,04/02/2019,51.72,53.46,51.30,53.10,BRASIL
BBAS3,05/02/2019,52.65,54.65,52.65,54.65,BRASIL
BBAS3,06/02/2019,53.85,53.92,51.32,51.32,BRASIL
BBAS3,07/02/2019,52.00,52.76,50.10,51.66,BRASIL
BBAS3,08/02/2019,51.55,52.76,50.91,51.73,BRASIL
BBAS3,11/02/2019,52.00,52.17,50.20,50.20,BRASIL
BBAS3,12/02/2019,50.82,53.47,50.80,53.29,BRASIL
BBAS3,13/02/2019,53.29,53.75,51.65,52.08,BRASIL
BBAS3,14/02/2019,53.20,54.98,52.08,54.74,BRASIL
BBAS3,15/02/2019,54.70,55.48,54.27,54.81,BRASIL
BBAS3,18/02/2019,54.36,54.78,53.53,54.27,BRASIL
BBAS3,19/02/2019,54.43,55.91,54.32,54.50,BRASIL
BBAS3,20/02/2019,55.28,55.52,52.96,52.96,BRASIL
BBAS3,21/02/2019,53.45,53.89,52.90,53.20,BRASIL
BBAS3,22/02/2019,53.20,53.50,52.58,53.09,BRASIL
BBAS3,25/02/2019,53.67,53.77,52.20,52.22,BRASIL
BBAS3,26/02/2019,52.30,52.92,52.00,52.50,BRASIL
BBAS3,27/02/2019,52.47,52.69,51.85,51.90,BRASIL
