Codneg,Data,Abertura,Maxima,Minima,Fechamento,Empresa
BBDC3,02/01/2019,33.98,36.11,33.55,35.77,BRADESCO
BBDC3,03/01/2019,35.60,36.50,35.04,36.50,BRADESCO
BBDC3,04/01/2019,35.75,36.64,35.45,35.70,BRADESCO
BBDC3,07/01/2019,35.65,36.38,35.61,36.00,BRADESCO
BBDC3,08/01/2019,36.00,36.40,35.28,36.40,BRADESCO
BBDC3,09/01/2019,36.57,37.22,36.25,37.16,BRADESCO
BBDC3,10/01/2019,36.73,37.67,36.68,37.27,BRADESCO
BBDC3,11/01/2019,37.25,37.25,36.48,37.12,BRADESCO
BBDC3,14/01/2019,36.77,37.41,36.74,37.16,BRADESCO
BBDC3,15/01/2019,37.00,37.32,36.54,37.30,BRADESCO
BBDC3,16/01/2019,37.29,37.59,37.02,37.50,BRADESCO
BBDC3,17/01/2019,37.48,37.80,37.08,37.65,BRADESCO
BBDC3,18/01/2019,37.74,38.19,37.53,38.10,BRADESCO
BBDC3,21/01/2019,37.79,37.93,37.04,37.44,BRADESCO
BBDC3,22/01/2019,37.30,37.70,36.88,37.41,BRADESCO
BBDC3,23/01/2019,37.46,38.12,37.26,38.12,BRADESCO
BBDC3,24/01/2019,37.83,38.68,37.82,38.68,BRADESCO
BBDC3,28/01/2019,38.35,39.59,38.00,39.59,BRADESCO
BBDC3,29/01/2019,39.71,39.80,38.51,38.51,BRADESCO
BBDC3,30/01/2019,38.80,38.98,37.55,38.82,BRADESCO
BBDC3,31/01/2019,40.10,41.18,39.71,40.26,BRADESCO
BBDC3,01/02/2019,40.35,40.48,39.15,39.78,BRADESCO
BBDC3,04/02/2019,39.36,41.00,39.11,40.63,BRADESCO
BBDC3,05/02/2019,40.75,41.24,40.33,40.60,BRADESCO
BBDC3,06/02/2019,40.18,40.29,38.66,38.67,BRADESCO
BBDC3,07/02/2019,38.90,39.58,38.51,39.23,BRADESCO
BBDC3,08/02/2019,39.16,40.25,38.88,40.25,BRADESCO
BBDC3,11/02/2019,40.02,40.26,39.01,39.47,BRADESCO
BBDC3,12/02/2019,40.00,40.94,39.85,40.32,BRADESCO
BBDC3,13/02/2019,40.32,40.83,39.70,39.98,BRADESCO
BBDC3,14/02/2019,39.90,41.34,39.18,41.34,BRADESCO
BBDC3,15/02/2019,41.16,41.61,40.59,40.79,BRADESCO
BBDC3,18/02/2019,40.48,40.83,39.75,39.85,BRADESCO
BBDC3,19/02/2019,40.27,40.81,40.03,40.50,BRADESCO
BBDC3,20/02/2019,40.65,40.96,39.70,39.72,BRADESCO
BBDC3,21/02/2019,40.08,40.27,39.30,40.20,BRADESCO
BBDC3,22/02/2019,40.48,40.48,39.61,40.12,BRADESCO
BBDC3,25/02/2019,40.12,40.29,39.57,39.84,BRADESCO
BBDC3,26/02/2019,39.58,40.20,39.46,40.01,BRADESCO
BBDC3,27/02/2019,39.92,40.14,39.33,39.75,BRADESCO
BBDC3,28/02/2019,39.75,39.79,38.51,38.53,BRADESCO
BBDC3,01/03/2019,38.86,38.91,37.40,37.40,BRADESCO
BBDC3,06/03/2019,37.61,37.91,36.97,37.18,BRADESCO
BBDC3,07/03/2019,37.17,37.80,36.93,37.44,BRADESCO
BBDC3,08/03/2019,37.42,38.04,36.96,37.80,BRADESCO
BBDC3,11/03/2019,38.09,39.43,38.02,39.34,BRADESCO
BBDC3,12/03/2019,39.63,39.77,39.05,39.77,BRADESCO
BBDC3,13/03/2019,39.49,40.18,39.28,39.75,BRADESCO
BBDC3,14/03/2019,39.84,39.89,39.25,39.61,BRADESCO
BBDC3,15/03/2019,39.57,39.90,39.52,39.80,BRADESCO
BBDC3,18/03/2019,39.84,40.09,39.67,40.09,BRADESCO
BBDC3,19/03/2019,39.90,40.09,39.30,39.30,BRADESCO
BBDC3,20/03/2019,39.34,39.55,38.51,38.56,BRADESCO
BBDC3,21/03/2019,38.56,38.72,36.92,37.35,BRADESCO
BBDC3,22/03/2019,36.86,36.86,35.80,36.36,BRADESCO
BBDC3,25/03/2019,35.87,36.80,35.81,36.50,BRADESCO
BBDC3,26/03/2019,36.97,37.05,36.48,36.62,BRADESCO
BBDC3,27/03/2019,36.00,36.29,35.22,35.46,BRADESCO
BBDC3,28/03/2019,35.31,37.50,35.02,37.00,BRADESCO
BBDC3,29/03/2019,37.33,37.85,36.97,37.85,BRADESCO
BBDC3,01/04/2019,31.82,32.23,31.39,31.60,BRADESCO
BBDC3,02/04/2019,31.79,31.92,30.90,31.30,BRADESCO
BBDC3,03/04/2019,31.67,31.70,30.52,30.90,BRADESCO
BBDC3,04/04/2019,31.30,31.63,30.90,31.40,BRADESCO
BBDC3,05/04/2019,31.56,31.87,31.15,31.57,BRADESCO
BBDC3,08/04/2019,31.61,31.83,31.24,31.68,BRADESCO
BBDC3,09/04/2019,31.55,31.55,30.93,31.49,BRADESCO
BBDC3,10/04/2019,31.60,31.60,30.96,31.20,BRADESCO
BBDC3,11/04/2019,31.28,31.28,30.35,30.87,BRADESCO
BBDC3,12/04/2019,30.46,31.11,30.16,30.50,BRADESCO
BBDC3,15/04/2019,30.61,30.67,30.06,30.26,BRADESCO
BBDC3,16/04/2019,30.12,30.60,30.12,30.24,BRADESCO
BBDC3,17/04/2019,30.34,30.52,29.48,30.08,BRADESCO
BBDC3,18/04/2019,30.25,30.65,29.88,30.45,BRADESCO
BBDC3,22/04/2019,30.26,30.58,29.91,30.44,BRADESCO
BBDC3,23/04/2019,30.55,31.32,30.44,31.00,BRADESCO
BBDC3,24/04/2019,31.00,31.04,30.26,31.01,BRADESCO
BBDC3,25/04/2019,31.10,31.10,30.13,31.00,BRADESCO
BBDC3,26/04/2019,30.97,31.15,30.82,31.00,BRADESCO
BBDC3,29/04/2019,31.35,31.35,30.60,30.91,BRADESCO
BBDC3,30/04/2019,30.86,31.10,30.61,31.00,BRADESCO
BBDC3,02/05/2019,30.72,31.27,30.53,31.12,BRADESCO
BBDC3,03/05/2019,31.20,31.73,31.06,31.73,BRADESCO
BBDC3,06/05/2019,31.43,31.58,30.60,30.70,BRADESCO
BBDC3,07/05/2019,30.44,30.44,29.60,30.27,BRADESCO
BBDC3,08/05/2019,30.48,31.48,30.45,30.98,BRADESCO
BBDC3,09/05/2019,30.65,30.72,30.14,30.37,BRADESCO
BBDC3,10/05/2019,30.20,30.53,29.73,30.06,BRADESCO
BBDC3,13/05/2019,29.41,29.65,29.09,29.20,BRADESCO
BBDC3,14/05/2019,29.40,29.45,28.90,28.95,BRADESCO
BBDC3,15/05/2019,28.60,28.88,28.24,28.69,BRADESCO
BBDC3,16/05/2019,28.33,28.63,27.90,28.17,BRADESCO
BBDC3,17/05/2019,28.14,28.71,28.00,28.40,BRADESCO
BBDC3,20/05/2019,28.53,29.38,28.25,29.38,BRADESCO
BBDC3,21/05/2019,29.48,30.73,29.21,30.65,BRADESCO
BBDC3,22/05/2019,30.67,30.79,30.04,30.21,BRADESCO
BBDC3,23/05/2019,29.93,30.38,29.69,30.22,BRADESCO
BBDC3,24/05/2019,30.52,30.52,29.86,30.02,BRADESCO
BBDC3,27/05/2019,30.30,30.81,30.14,30.45,BRADESCO
BBDC3,28/05/2019,30.50,31.48,30.22,31.47,BRADESCO
BBDC3,29/05/2019,31.27,32.20,31.14,32.05,BRADESCO
BBDC3,30/05/2019,32.05,32.61,31.65,32.55,BRADESCO
BBDC3,31/05/2019,32.28,32.89,32.27,32.65,BRADESCO
BBDC3,03/06/2019,32.75,32.89,32.32,32.77,BRADESCO
BBDC3,04/06/2019,32.95,32.97,32.44,32.70,BRADESCO
