Codneg,Data,Abertura,Maxima,Minima,Fechamento,Empresa
BEEF3,02/01/2019,4.98,5.14,4.86,5.08,MINERVA
BEEF3,03/01/2019,5.13,5.23,5.04,5.20,MINERVA
BEEF3,04/01/2019,5.23,5.42,5.19,5.40,MINERVA
BEEF3,07/01/2019,5.39,5.49,5.31,5.37,MINERVA
BEEF3,08/01/2019,5.37,5.42,5.26,5.31,MINERVA
BEEF3,09/01/2019,5.33,5.44,5.33,5.40,MINERVA
BEEF3,10/01/2019,5.40,5.45,5.39,5.44,MINERVA
BEEF3,11/01/2019,5.44,5.50,5.31,5.40,MINERVA
BEEF3,14/01/2019,5.40,5.45,5.37,5.44,MINERVA
BEEF3,15/01/2019,5.47,5.55,5.45,5.46,MINERVA
BEEF3,16/01/2019,5.48,5.51,5.34,5.43,MINERVA
BEEF3,17/01/2019,5.43,5.66,5.40,5.65,MINERVA
BEEF3,18/01/2019,5.69,5.87,5.66,5.73,MINERVA
BEEF3,21/01/2019,5.75,5.79,5.56,5.67,MINERVA
BEEF3,22/01/2019,5.66,5.69,5.36,5.49,MINERVA
BEEF3,23/01/2019,5.46,5.50,5.40,5.44,MINERVA
BEEF3,24/01/2019,5.46,5.67,5.41,5.55,MINERVA
BEEF3,28/01/2019,5.54,5.68,5.48,5.54,MINERVA
BEEF3,29/01/2019,5.55,5.79,5.55,5.75,MINERVA
BEEF3,30/01/2019,5.80,6.15,5.80,6.15,MINERVA
BEEF3,31/01/2019,6.20,6.31,6.04,6.10,MINERVA
BEEF3,01/02/2019,6.16,6.20,5.99,6.12,MINERVA
BEEF3,04/02/2019,6.17,6.27,6.16,6.16,MINERVA
BEEF3,05/02/2019,6.19,6.23,6.08,6.16,MINERVA
BEEF3,06/02/2019,6.17,6.17,5.80,5.90,MINERVA
BEEF3,07/02/2019,5.94,5.98,5.73,5.74,MINERVA
BEEF3,08/02/2019,5.75,5.94,5.70,5.92,MINERVA
BEEF3,11/02/2019,6.00,6.07,5.75,5.76,MINERVA
BEEF3,12/02/2019,5.83,5.87,5.60,5.71,MINERVA
BEEF3,13/02/2019,5.72,5.88,5.70,5.80,MINERVA
BEEF3,14/02/2019,5.80,6.03,5.76,5.96,MINERVA
BEEF3,15/02/2019,5.98,6.08,5.91,5.95,MINERVA
BEEF3,18/02/2019,5.97,6.04,5.95,6.04,MINERVA
BEEF3,19/02/2019,6.08,6.44,6.07,6.40,MINERVA
BEEF3,20/02/2019,6.40,6.47,6.18,6.20,MINERVA
BEEF3,21/02/2019,6.21,6.28,6.10,6.15,MINERVA
BEEF3,22/02/2019,6.20,6.27,6.10,6.10,MINERVA
BEEF3,25/02/2019,6.14,6.40,6.12,6.35,MINERVA
BEEF3,26/02/2019,6.41,6.42,6.22,6.25,MINERVA
BEEF3,27/02/2019,6.29,6.32,6.15,6.31,MINERVA
BEEF3,28/02/2019,6.33,6.43,6.21,6.38,MINERVA
BEEF3,01/03/2019,6.36,6.58,6.30,6.39,MINERVA
BEEF3,06/03/2019,6.45,6.45,6.29,6.30,MINERVA
BEEF3,07/03/2019,6.33,6.43,6.23,6.40,MINERVA
BEEF3,08/03/2019,6.40,6.50,6.31,6.47,MINERVA
BEEF3,11/03/2019,6.55,6.77,6.51,6.75,MINERVA
BEEF3,12/03/2019,6.79,6.83,6.62,6.82,MINERVA
BEEF3,13/03/2019,6.84,6.99,6.71,6.78,MINERVA
BEEF3,14/03/2019,6.80,6.85,6.74,6.84,MINERVA
BEEF3,15/03/2019,6.82,6.99,6.72,6.72,MINERVA
BEEF3,18/03/2019,6.75,7.19,6.75,7.13,MINERVA
BEEF3,19/03/2019,7.20,7.30,7.03,7.12,MINERVA
BEEF3,20/03/2019,7.11,7.29,7.05,7.28,MINERVA
BEEF3,21/03/2019,7.24,7.25,6.90,7.16,MINERVA
BEEF3,22/03/2019,7.05,7.15,6.85,6.95,MINERVA
BEEF3,25/03/2019,6.79,7.01,6.64,6.89,MINERVA
BEEF3,26/03/2019,6.99,7.14,6.94,7.10,MINERVA
