Codneg,Data,Abertura,Maxima,Minima,Fechamento,Empresa
BEES3,02/01/2019,4.13,4.22,3.98,4.15,BANESTES
BEES3,03/01/2019,4.18,4.19,4.13,4.19,BANESTES
BEES3,04/01/2019,4.19,4.42,4.18,4.36,BANESTES
BEES3,07/01/2019,4.31,4.45,4.31,4.41,BANESTES
BEES3,08/01/2019,4.36,4.40,4.35,4.39,BANESTES
BEES3,09/01/2019,4.35,4.49,4.34,4.41,BANESTES
BEES3,10/01/2019,4.40,4.48,4.40,4.44,BANESTES
BEES3,11/01/2019,4.44,4.47,4.39,4.47,BANESTES
BEES3,14/01/2019,4.48,4.48,4.40,4.47,BANESTES
BEES3,15/01/2019,4.45,4.59,4.45,4.55,BANESTES
BEES3,16/01/2019,4.55,4.75,4.51,4.74,BANESTES
BEES3,17/01/2019,4.70,4.72,4.61,4.72,BANESTES
BEES3,18/01/2019,4.74,4.79,4.66,4.78,BANESTES
BEES3,21/01/2019,4.80,4.84,4.77,4.83,BANESTES
BEES3,22/01/2019,4.80,4.82,4.65,4.77,BANESTES
BEES3,23/01/2019,4.66,4.79,4.65,4.75,BANESTES
BEES3,24/01/2019,4.75,4.79,4.60,4.77,BANESTES
BEES3,28/01/2019,4.75,4.75,4.60,4.70,BANESTES
BEES3,29/01/2019,4.70,4.75,4.61,4.67,BANESTES
BEES3,30/01/2019,4.70,4.72,4.60,4.69,BANESTES
BEES3,31/01/2019,4.57,4.70,4.57,4.70,BANESTES
BEES3,01/02/2019,4.70,4.70,4.61,4.61,BANESTES
BEES3,04/02/2019,4.66,5.00,4.66,4.94,BANESTES
BEES3,05/02/2019,4.99,5.00,4.87,4.89,BANESTES
BEES3,06/02/2019,4.89,4.99,4.89,4.97,BANESTES
BEES3,07/02/2019,5.00,5.10,4.91,4.98,BANESTES
BEES3,08/02/2019,4.98,4.98,4.95,4.98,BANESTES
BEES3,11/02/2019,4.98,5.10,4.91,4.95,BANESTES
BEES3,12/02/2019,5.07,5.07,4.90,5.00,BANESTES
BEES3,13/02/2019,5.04,5.25,5.00,5.15,BANESTES
BEES3,14/02/2019,5.01,5.15,4.99,5.07,BANESTES
BEES3,15/02/2019,5.07,5.19,5.03,5.16,BANESTES
BEES3,18/02/2019,5.22,5.24,5.05,5.12,BANESTES
BEES3,19/02/2019,5.12,5.12,4.86,4.88,BANESTES
BEES3,20/02/2019,4.92,5.00,4.78,4.86,BANESTES
BEES3,21/02/2019,4.92,4.92,4.80,4.84,BANESTES
BEES3,22/02/2019,4.84,4.90,4.73,4.87,BANESTES
BEES3,25/02/2019,4.87,5.09,4.79,4.90,BANESTES
BEES3,26/02/2019,4.96,5.00,4.87,4.95,BANESTES
BEES3,27/02/2019,4.88,4.95,4.88,4.90,BANESTES
BEES3,28/02/2019,4.91,4.95,4.85,4.89,BANESTES
BEES3,01/03/2019,4.94,4.94,4.85,4.85,BANESTES
BEES3,06/03/2019,4.94,5.05,4.85,4.92,BANESTES
BEES3,07/03/2019,4.92,5.05,4.92,4.94,BANESTES
BEES3,08/03/2019,5.00,5.00,4.94,4.99,BANESTES
BEES3,11/03/2019,4.99,5.04,4.96,5.03,BANESTES
BEES3,12/03/2019,5.00,5.07,4.96,5.05,BANESTES
BEES3,13/03/2019,5.04,5.04,5.00,5.00,BANESTES
BEES3,14/03/2019,5.00,5.08,4.91,4.94,BANESTES
BEES3,15/03/2019,4.96,5.05,4.95,5.00,BANESTES
BEES3,18/03/2019,4.99,5.00,4.90,4.99,BANESTES
BEES3,19/03/2019,4.99,5.00,4.93,5.00,BANESTES
BEES3,20/03/2019,5.00,5.00,4.90,4.96,BANESTES
BEES3,21/03/2019,4.90,5.00,4.86,4.94,BANESTES
BEES3,22/03/2019,4.96,4.99,4.83,4.85,BANESTES
BEES3,25/03/2019,4.85,4.94,4.76,4.94,BANESTES
BEES3,26/03/2019,4.94,4.95,4.91,4.95,BANESTES
BEES3,27/03/2019,4.70,4.95,4.70,4.84,BANESTES
BEES3,28/03/2019,4.84,4.91,4.77,4.90,BANESTES
BEES3,29/03/2019,4.93,4.95,4.82,4.92,BANESTES
BEES3,01/04/2019,4.80,4.92,4.80,4.89,BANESTES
BEES3,02/04/2019,4.87,4.92,4.86,4.90,BANESTES
BEES3,03/04/2019,4.87,4.94,4.80,4.94,BANESTES
BEES3,04/04/2019,4.80,4.94,4.80,4.92,BANESTES
BEES3,05/04/2019,4.92,4.92,4.83,4.90,BANESTES
BEES3,08/04/2019,4.91,4.92,4.85,4.90,BANESTES
BEES3,09/04/2019,4.88,4.92,4.86,4.92,BANESTES
BEES3,10/04/2019,4.90,4.92,4.83,4.89,BANESTES
BEES3,11/04/2019,4.89,4.89,4.84,4.89,BANESTES
BEES3,12/04/2019,4.84,4.90,4.82,4.88,BANESTES
BEES3,15/04/2019,4.90,4.90,4.80,4.80,BANESTES
BEES3,16/04/2019,4.87,4.87,4.73,4.85,BANESTES
BEES3,17/04/2019,4.84,4.84,4.56,4.84,BANESTES
BEES3,18/04/2019,4.80,4.85,4.76,4.85,BANESTES
BEES3,22/04/2019,4.85,4.85,4.70,4.83,BANESTES
BEES3,23/04/2019,4.83,4.91,4.83,4.90,BANESTES
BEES3,24/04/2019,4.91,4.91,4.78,4.84,BANESTES
BEES3,25/04/2019,4.84,4.91,4.84,4.85,BANESTES
BEES3,26/04/2019,4.85,4.91,4.79,4.88,BANESTES
BEES3,29/04/2019,4.77,4.88,4.77,4.88,BANESTES
BEES3,30/04/2019,4.88,4.90,4.80,4.84,BANESTES
BEES3,02/05/2019,4.80,4.90,4.80,4.87,BANESTES
BEES3,03/05/2019,4.88,4.88,4.82,4.83,BANESTES
BEES3,06/05/2019,4.83,4.89,4.80,4.81,BANESTES
BEES3,07/05/2019,4.82,4.90,4.80,4.86,BANESTES
BEES3,08/05/2019,4.82,4.88,4.69,4.88,BANESTES
BEES3,09/05/2019,4.80,4.87,4.72,4.82,BANESTES
BEES3,10/05/2019,4.73,4.88,4.73,4.83,BANESTES
BEES3,13/05/2019,4.74,4.86,4.72,4.86,BANESTES
BEES3,14/05/2019,4.82,4.88,4.79,4.86,BANESTES
BEES3,15/05/2019,4.91,5.00,4.89,4.98,BANESTES
BEES3,16/05/2019,5.01,5.05,4.94,4.98,BANESTES
BEES3,17/05/2019,4.98,5.01,4.80,4.97,BANESTES
BEES3,20/05/2019,4.98,4.98,4.84,4.95,BANESTES
BEES3,21/05/2019,4.96,4.97,4.91,4.97,BANESTES
BEES3,22/05/2019,4.98,5.00,4.83,4.87,BANESTES
BEES3,23/05/2019,4.98,4.98,4.85,4.97,BANESTES
BEES3,24/05/2019,4.98,5.10,4.89,5.00,BANESTES
BEES3,27/05/2019,5.00,5.00,4.96,5.00,BANESTES
BEES3,28/05/2019,5.00,5.08,4.97,5.04,BANESTES
