Codneg,Data,Abertura,Maxima,Minima,Fechamento,Empresa
BIDI4,02/01/2019,38.55,39.90,38.31,39.46,BANCO INTER
BIDI4,03/01/2019,39.21,39.68,38.06,38.32,BANCO INTER
BIDI4,04/01/2019,38.74,38.88,37.50,37.85,BANCO INTER
BIDI4,07/01/2019,37.85,38.17,37.71,38.00,BANCO INTER
BIDI4,08/01/2019,38.62,40.60,38.62,39.81,BANCO INTER
BIDI4,09/01/2019,40.29,40.50,39.00,39.95,BANCO INTER
BIDI4,10/01/2019,40.00,40.00,38.73,39.30,BANCO INTER
BIDI4,11/01/2019,39.30,39.63,38.96,39.00,BANCO INTER
BIDI4,14/01/2019,39.25,40.60,39.15,40.60,BANCO INTER
BIDI4,15/01/2019,40.66,42.00,39.37,39.81,BANCO INTER
BIDI4,16/01/2019,40.19,40.31,39.42,40.30,BANCO INTER
BIDI4,17/01/2019,40.60,41.96,40.60,41.90,BANCO INTER
BIDI4,18/01/2019,42.30,43.00,42.01,42.34,BANCO INTER
BIDI4,21/01/2019,42.36,43.30,42.36,43.20,BANCO INTER
BIDI4,22/01/2019,43.50,43.99,42.40,43.20,BANCO INTER
BIDI4,23/01/2019,43.36,43.80,43.08,43.44,BANCO INTER
BIDI4,24/01/2019,41.99,41.99,40.03,41.25,BANCO INTER
BIDI4,28/01/2019,40.39,40.39,38.70,39.55,BANCO INTER
BIDI4,29/01/2019,39.60,40.68,39.28,40.15,BANCO INTER
BIDI4,30/01/2019,40.30,41.11,40.30,40.70,BANCO INTER
BIDI4,31/01/2019,40.70,42.30,40.60,41.90,BANCO INTER
BIDI4,01/02/2019,41.90,42.30,41.00,41.83,BANCO INTER
BIDI4,04/02/2019,41.90,42.67,41.61,42.67,BANCO INTER
BIDI4,05/02/2019,42.67,43.14,42.37,43.14,BANCO INTER
BIDI4,06/02/2019,43.09,43.14,42.40,43.06,BANCO INTER
BIDI4,07/02/2019,43.06,43.32,42.70,42.90,BANCO INTER
BIDI4,08/02/2019,43.01,43.01,40.48,40.75,BANCO INTER
BIDI4,11/02/2019,40.97,41.39,40.01,40.49,BANCO INTER
BIDI4,12/02/2019,40.65,41.18,38.90,39.05,BANCO INTER
BIDI4,13/02/2019,39.33,39.41,38.21,38.80,BANCO INTER
BIDI4,14/02/2019,38.80,39.10,38.04,38.84,BANCO INTER
BIDI4,15/02/2019,38.99,40.30,38.65,40.11,BANCO INTER
BIDI4,18/02/2019,40.31,40.89,39.66,40.89,BANCO INTER
BIDI4,19/02/2019,40.80,40.99,40.13,40.40,BANCO INTER
BIDI4,20/02/2019,40.61,40.90,39.50,40.00,BANCO INTER
BIDI4,21/02/2019,40.00,40.16,39.66,39.90,BANCO INTER
BIDI4,22/02/2019,39.99,40.50,39.69,40.22,BANCO INTER
BIDI4,25/02/2019,40.20,40.50,39.20,39.49,BANCO INTER
BIDI4,26/02/2019,39.56,39.70,38.30,39.00,BANCO INTER
BIDI4,27/02/2019,39.24,39.36,38.61,38.64,BANCO INTER
BIDI4,28/02/2019,38.81,39.03,37.71,38.20,BANCO INTER
BIDI4,01/03/2019,38.20,40.20,38.20,40.07,BANCO INTER
BIDI4,06/03/2019,40.00,40.07,38.94,40.07,BANCO INTER
BIDI4,07/03/2019,40.10,40.60,40.10,40.60,BANCO INTER
BIDI4,08/03/2019,40.61,41.69,40.19,41.45,BANCO INTER
BIDI4,11/03/2019,41.32,43.10,41.17,43.00,BANCO INTER
BIDI4,12/03/2019,42.96,44.00,42.25,43.80,BANCO INTER
BIDI4,13/03/2019,43.79,43.87,42.75,43.80,BANCO INTER
BIDI4,14/03/2019,43.77,43.86,43.04,43.73,BANCO INTER
BIDI4,15/03/2019,43.56,44.30,43.33,44.23,BANCO INTER
BIDI4,18/03/2019,44.40,45.89,44.33,44.89,BANCO INTER
BIDI4,19/03/2019,45.01,47.02,45.01,46.52,BANCO INTER
BIDI4,20/03/2019,46.50,48.99,46.50,48.45,BANCO INTER
BIDI4,21/03/2019,48.45,48.72,47.41,48.72,BANCO INTER
BIDI4,22/03/2019,47.90,50.00,47.90,48.09,BANCO INTER
BIDI4,25/03/2019,47.90,50.40,46.70,49.00,BANCO INTER
BIDI4,26/03/2019,49.39,54.29,49.26,54.00,BANCO INTER
BIDI4,27/03/2019,53.47,54.95,52.58,52.99,BANCO INTER
BIDI4,28/03/2019,52.89,52.90,50.35,51.70,BANCO INTER
BIDI4,29/03/2019,51.72,54.09,51.72,52.91,BANCO INTER
BIDI4,01/04/2019,53.09,54.80,53.09,53.40,BANCO INTER
BIDI4,02/04/2019,53.55,55.49,53.51,55.49,BANCO INTER
BIDI4,03/04/2019,56.00,57.87,55.49,56.20,BANCO INTER
BIDI4,04/04/2019,56.31,56.88,55.60,55.99,BANCO INTER
BIDI4,05/04/2019,56.30,57.95,54.66,57.95,BANCO INTER
BIDI4,08/04/2019,58.01,58.08,56.98,57.30,BANCO INTER
BIDI4,09/04/2019,57.41,57.47,56.58,57.20,BANCO INTER
BIDI4,10/04/2019,57.47,57.47,55.80,56.15,BANCO INTER
BIDI4,11/04/2019,56.40,57.46,53.91,55.00,BANCO INTER
BIDI4,12/04/2019,54.10,56.49,54.10,55.20,BANCO INTER
BIDI4,15/04/2019,55.47,55.96,54.40,54.40,BANCO INTER
BIDI4,16/04/2019,54.35,54.90,53.60,54.23,BANCO INTER
BIDI4,17/04/2019,54.50,57.28,53.88,56.30,BANCO INTER
BIDI4,18/04/2019,57.00,60.28,56.40,59.99,BANCO INTER
BIDI4,22/04/2019,60.29,64.94,60.29,63.60,BANCO INTER
BIDI4,23/04/2019,64.60,66.50,61.97,62.39,BANCO INTER
BIDI4,24/04/2019,62.84,63.95,62.30,63.58,BANCO INTER
BIDI4,25/04/2019,64.00,64.56,63.30,63.90,BANCO INTER
BIDI4,26/04/2019,64.40,64.53,63.30,64.40,BANCO INTER
BIDI4,29/04/2019,64.50,65.72,64.00,64.00,BANCO INTER
BIDI4,30/04/2019,64.88,65.31,64.10,64.86,BANCO INTER
BIDI4,02/05/2019,65.00,66.80,62.70,63.68,BANCO INTER
BIDI4,03/05/2019,63.68,64.35,60.81,64.35,BANCO INTER
BIDI4,06/05/2019,63.00,64.08,62.78,63.32,BANCO INTER
BIDI4,07/05/2019,63.50,63.88,62.01,63.29,BANCO INTER
BIDI4,08/05/2019,63.58,64.00,62.44,62.44,BANCO INTER
BIDI4,09/05/2019,62.45,63.40,60.90,61.25,BANCO INTER
BIDI4,10/05/2019,61.41,62.61,59.26,59.32,BANCO INTER
BIDI4,13/05/2019,58.99,58.99,56.71,56.80,BANCO INTER
BIDI4,14/05/2019,57.80,58.30,54.29,55.20,BANCO INTER
BIDI4,15/05/2019,55.00,56.60,54.54,56.50,BANCO INTER
BIDI4,16/05/2019,56.81,60.15,55.69,59.00,BANCO INTER
BIDI4,17/05/2019,59.00,59.95,57.14,57.81,BANCO INTER
BIDI4,20/05/2019,57.60,61.74,57.60,60.97,BANCO INTER
BIDI4,21/05/2019,61.50,64.90,61.44,64.20,BANCO INTER
BIDI4,22/05/2019,64.20,65.39,62.61,63.24,BANCO INTER
BIDI4,23/05/2019,63.40,64.49,62.70,64.45,BANCO INTER
BIDI4,24/05/2019,64.60,65.37,63.51,64.60,BANCO INTER
BIDI4,27/05/2019,64.98,65.99,64.81,65.54,BANCO INTER
BIDI4,28/05/2019,65.60,68.60,65.60,68.50,BANCO INTER
BIDI4,29/05/2019,68.39,69.95,67.84,69.60,BANCO INTER
BIDI4,30/05/2019,69.70,71.16,69.20,69.49,BANCO INTER
BIDI4,31/05/2019,69.33,69.33,67.18,67.24,BANCO INTER
BIDI4,03/06/2019,67.24,68.00,65.70,66.10,BANCO INTER
BIDI4,04/06/2019,66.89,67.46,64.00,64.00,BANCO INTER
BIDI4,05/06/2019,64.00,64.00,59.56,59.56,BANCO INTER
BIDI4,06/06/2019,60.30,62.61,56.54,62.49,BANCO INTER
BIDI4,07/06/2019,63.50,64.87,63.10,63.49,BANCO INTER
BIDI4,10/06/2019,63.52,64.40,61.21,64.40,BANCO INTER
BIDI4,11/06/2019,65.32,66.00,64.10,64.10,BANCO INTER
BIDI4,12/06/2019,64.30,65.40,62.00,62.00,BANCO INTER
BIDI4,13/06/2019,62.72,63.50,60.50,60.80,BANCO INTER
BIDI4,14/06/2019,61.00,62.11,60.50,61.00,BANCO INTER
BIDI4,17/06/2019,61.46,61.68,58.61,59.21,BANCO INTER
BIDI4,18/06/2019,59.92,60.60,59.40,59.82,BANCO INTER
BIDI4,19/06/2019,59.82,60.60,59.41,59.70,BANCO INTER
BIDI4,21/06/2019,60.20,60.20,59.06,60.19,BANCO INTER
BIDI4,24/06/2019,60.22,61.93,59.50,59.70,BANCO INTER
BIDI4,25/06/2019,59.81,60.41,59.10,59.99,BANCO INTER
BIDI4,26/06/2019,59.99,60.58,58.71,58.83,BANCO INTER
BIDI4,27/06/2019,59.00,60.83,58.01,60.83,BANCO INTER
BIDI4,28/06/2019,61.20,61.65,60.85,60.91,BANCO INTER
BIDI4,01/07/2019,61.50,62.00,61.50,61.80,BANCO INTER
BIDI4,02/07/2019,62.00,62.74,61.12,62.50,BANCO INTER
BIDI4,03/07/2019,62.76,64.58,62.60,64.50,BANCO INTER
BIDI4,04/07/2019,11.09,11.86,10.95,11.86,BANCO INTER
BIDI4,05/07/2019,12.21,13.55,12.21,12.98,BANCO INTER
BIDI4,08/07/2019,13.71,14.57,13.50,14.39,BANCO INTER
BIDI4,10/07/2019,15.30,16.50,13.99,13.99,BANCO INTER
BIDI4,11/07/2019,13.00,14.29,12.82,13.90,BANCO INTER
BIDI4,12/07/2019,14.47,14.65,13.45,13.67,BANCO INTER
BIDI4,15/07/2019,13.68,13.68,13.02,13.10,BANCO INTER
BIDI4,16/07/2019,12.89,13.89,12.38,13.89,BANCO INTER
BIDI4,17/07/2019,14.10,14.25,13.52,13.59,BANCO INTER
BIDI4,18/07/2019,13.71,13.84,13.36,13.60,BANCO INTER
BIDI4,19/07/2019,13.75,14.00,13.47,13.77,BANCO INTER
BIDI4,22/07/2019,13.78,13.95,13.57,13.76,BANCO INTER
BIDI4,23/07/2019,13.88,14.13,13.53,14.08,BANCO INTER
BIDI4,24/07/2019,14.08,14.15,13.71,13.71,BANCO INTER
BIDI4,25/07/2019,13.83,13.96,13.63,13.84,BANCO INTER
BIDI4,26/07/2019,13.82,14.05,13.64,13.87,BANCO INTER
BIDI4,29/07/2019,13.98,13.99,13.51,13.54,BANCO INTER
BIDI4,30/07/2019,16.00,16.04,14.60,15.75,BANCO INTER
BIDI4,31/07/2019,15.91,17.50,15.88,16.45,BANCO INTER
BIDI4,01/08/2019,17.35,17.85,17.12,17.66,BANCO INTER
BIDI4,02/08/2019,17.80,17.99,16.66,17.63,BANCO INTER
