Codneg,Data,Abertura,Maxima,Minima,Fechamento,Empresa
BMEB4,02/01/2019,7.10,7.25,7.09,7.25,MERC BRASIL
BMEB4,03/01/2019,7.27,7.27,7.01,7.14,MERC BRASIL
BMEB4,04/01/2019,7.14,7.22,7.10,7.14,MERC BRASIL
BMEB4,07/01/2019,7.28,7.29,7.16,7.25,MERC BRASIL
BMEB4,08/01/2019,7.45,7.45,7.24,7.31,MERC BRASIL
BMEB4,09/01/2019,7.29,7.40,7.22,7.30,MERC BRASIL
BMEB4,10/01/2019,7.31,7.43,7.29,7.43,MERC BRASIL
BMEB4,11/01/2019,7.31,7.40,7.30,7.30,MERC BRASIL
BMEB4,14/01/2019,7.45,7.49,7.40,7.48,MERC BRASIL
BMEB4,15/01/2019,7.48,7.50,7.40,7.40,MERC BRASIL
BMEB4,16/01/2019,7.60,7.85,7.33,7.33,MERC BRASIL
BMEB4,17/01/2019,7.30,7.35,7.25,7.35,MERC BRASIL
BMEB4,18/01/2019,7.40,7.45,7.40,7.45,MERC BRASIL
BMEB4,21/01/2019,7.36,7.44,7.32,7.32,MERC BRASIL
BMEB4,22/01/2019,7.35,7.49,7.35,7.40,MERC BRASIL
BMEB4,23/01/2019,7.40,7.45,7.40,7.45,MERC BRASIL
BMEB4,24/01/2019,7.40,7.49,7.40,7.43,MERC BRASIL
BMEB4,28/01/2019,7.44,7.80,7.40,7.43,MERC BRASIL
BMEB4,29/01/2019,7.44,7.74,7.43,7.45,MERC BRASIL
BMEB4,30/01/2019,7.63,7.63,7.60,7.60,MERC BRASIL
BMEB4,31/01/2019,7.70,7.70,7.65,7.65,MERC BRASIL
BMEB4,01/02/2019,7.52,7.72,7.50,7.50,MERC BRASIL
BMEB4,04/02/2019,7.60,7.73,7.55,7.69,MERC BRASIL
BMEB4,05/02/2019,7.70,7.72,7.59,7.68,MERC BRASIL
BMEB4,06/02/2019,7.68,7.70,7.68,7.68,MERC BRASIL
BMEB4,07/02/2019,7.68,7.72,7.56,7.67,MERC BRASIL
BMEB4,08/02/2019,7.73,7.76,7.73,7.75,MERC BRASIL
BMEB4,11/02/2019,7.75,7.75,7.40,7.50,MERC BRASIL
BMEB4,12/02/2019,7.50,7.60,7.40,7.60,MERC BRASIL
BMEB4,13/02/2019,7.50,7.50,7.42,7.43,MERC BRASIL
BMEB4,14/02/2019,7.48,7.48,7.30,7.32,MERC BRASIL
BMEB4,15/02/2019,7.49,7.52,7.37,7.37,MERC BRASIL
BMEB4,18/02/2019,7.38,7.38,7.30,7.35,MERC BRASIL
BMEB4,19/02/2019,7.47,7.47,7.35,7.46,MERC BRASIL
BMEB4,20/02/2019,7.40,7.45,7.36,7.45,MERC BRASIL
BMEB4,21/02/2019,7.60,7.80,7.45,7.61,MERC BRASIL
BMEB4,22/02/2019,7.80,8.30,7.65,8.20,MERC BRASIL
BMEB4,25/02/2019,8.25,8.45,8.18,8.25,MERC BRASIL
BMEB4,26/02/2019,7.59,7.75,7.43,7.63,MERC BRASIL
BMEB4,27/02/2019,7.50,7.59,7.40,7.41,MERC BRASIL
BMEB4,28/02/2019,7.44,7.49,7.37,7.41,MERC BRASIL
BMEB4,01/03/2019,7.43,7.63,7.27,7.63,MERC BRASIL
BMEB4,06/03/2019,7.60,7.60,7.30,7.58,MERC BRASIL
BMEB4,07/03/2019,7.58,7.58,7.34,7.35,MERC BRASIL
BMEB4,08/03/2019,7.36,7.55,7.35,7.48,MERC BRASIL
BMEB4,11/03/2019,7.50,7.55,7.35,7.55,MERC BRASIL
BMEB4,12/03/2019,7.55,7.70,7.44,7.65,MERC BRASIL
BMEB4,13/03/2019,7.64,7.64,7.40,7.59,MERC BRASIL
BMEB4,14/03/2019,7.68,7.68,7.47,7.59,MERC BRASIL
BMEB4,15/03/2019,7.67,7.67,7.42,7.47,MERC BRASIL
BMEB4,18/03/2019,7.50,7.59,7.40,7.49,MERC BRASIL
BMEB4,19/03/2019,7.50,7.65,7.45,7.60,MERC BRASIL
BMEB4,20/03/2019,7.59,7.60,7.48,7.57,MERC BRASIL
BMEB4,21/03/2019,7.57,7.60,7.41,7.58,MERC BRASIL
BMEB4,22/03/2019,7.41,7.53,7.37,7.39,MERC BRASIL
BMEB4,25/03/2019,7.50,7.55,7.33,7.45,MERC BRASIL
BMEB4,26/03/2019,7.55,7.55,7.41,7.49,MERC BRASIL
BMEB4,27/03/2019,7.40,7.52,7.30,7.33,MERC BRASIL
BMEB4,28/03/2019,7.47,7.47,7.31,7.42,MERC BRASIL
BMEB4,29/03/2019,7.45,7.46,7.34,7.40,MERC BRASIL
BMEB4,01/04/2019,7.39,7.45,7.37,7.40,MERC BRASIL
BMEB4,02/04/2019,7.38,7.40,7.30,7.33,MERC BRASIL
